,Date,State,Confirmed,Recovered,Deceased,Other,Tested
377,2020-03-26,Andaman and Nicobar Islands,1,0,0,0,
405,2020-03-27,Andaman and Nicobar Islands,6,0,0,0,
433,2020-03-28,Andaman and Nicobar Islands,9,0,0,0,
461,2020-03-29,Andaman and Nicobar Islands,9,0,0,0,
489,2020-03-30,Andaman and Nicobar Islands,10,0,0,0,
517,2020-03-31,Andaman and Nicobar Islands,10,0,0,0,
547,2020-04-01,Andaman and Nicobar Islands,10,0,0,0,
577,2020-04-02,Andaman and Nicobar Islands,10,0,0,0,
608,2020-04-03,Andaman and Nicobar Islands,10,0,0,0,
639,2020-04-04,Andaman and Nicobar Islands,10,0,0,0,
670,2020-04-05,Andaman and Nicobar Islands,10,0,0,0,
701,2020-04-06,Andaman and Nicobar Islands,10,0,0,0,
734,2020-04-07,Andaman and Nicobar Islands,10,0,0,0,
767,2020-04-08,Andaman and Nicobar Islands,11,0,0,0,
800,2020-04-09,Andaman and Nicobar Islands,11,10,0,0,
834,2020-04-10,Andaman and Nicobar Islands,11,10,0,0,
868,2020-04-11,Andaman and Nicobar Islands,11,10,0,0,
902,2020-04-12,Andaman and Nicobar Islands,11,10,0,0,
936,2020-04-13,Andaman and Nicobar Islands,11,10,0,0,
971,2020-04-14,Andaman and Nicobar Islands,11,10,0,0,
1006,2020-04-15,Andaman and Nicobar Islands,11,10,0,0,
1041,2020-04-16,Andaman and Nicobar Islands,11,11,0,0,
1076,2020-04-17,Andaman and Nicobar Islands,12,11,0,0,1403.0
1111,2020-04-18,Andaman and Nicobar Islands,14,11,0,0,1403.0
1146,2020-04-19,Andaman and Nicobar Islands,15,11,0,0,1403.0
1181,2020-04-20,Andaman and Nicobar Islands,16,11,0,0,1403.0
1216,2020-04-21,Andaman and Nicobar Islands,17,11,0,0,1403.0
1251,2020-04-22,Andaman and Nicobar Islands,18,11,0,0,1403.0
1286,2020-04-23,Andaman and Nicobar Islands,22,11,0,0,1403.0
1321,2020-04-24,Andaman and Nicobar Islands,29,11,0,0,2679.0
1356,2020-04-25,Andaman and Nicobar Islands,33,11,0,0,2679.0
1391,2020-04-26,Andaman and Nicobar Islands,33,11,0,0,2679.0
1426,2020-04-27,Andaman and Nicobar Islands,33,11,0,0,2848.0
1461,2020-04-28,Andaman and Nicobar Islands,33,15,0,0,2848.0
1496,2020-04-29,Andaman and Nicobar Islands,33,15,0,0,2848.0
1531,2020-04-30,Andaman and Nicobar Islands,33,16,0,0,2848.0
1566,2020-05-01,Andaman and Nicobar Islands,33,16,0,0,3754.0
1601,2020-05-02,Andaman and Nicobar Islands,33,26,0,0,3754.0
1636,2020-05-03,Andaman and Nicobar Islands,33,32,0,0,3754.0
1671,2020-05-04,Andaman and Nicobar Islands,33,32,0,0,3754.0
1707,2020-05-05,Andaman and Nicobar Islands,33,32,0,0,3754.0
1743,2020-05-06,Andaman and Nicobar Islands,33,32,0,0,3754.0
1779,2020-05-07,Andaman and Nicobar Islands,33,33,0,0,3754.0
1815,2020-05-08,Andaman and Nicobar Islands,33,33,0,0,3754.0
1851,2020-05-09,Andaman and Nicobar Islands,33,33,0,0,3754.0
1887,2020-05-10,Andaman and Nicobar Islands,33,33,0,0,3754.0
1923,2020-05-11,Andaman and Nicobar Islands,33,33,0,0,3754.0
1959,2020-05-12,Andaman and Nicobar Islands,33,33,0,0,3754.0
1995,2020-05-13,Andaman and Nicobar Islands,33,33,0,0,3754.0
2031,2020-05-14,Andaman and Nicobar Islands,33,33,0,0,3754.0
