,Date,State,Confirmed,Recovered,Deceased,Other,Tested
95,2020-03-12,Andhra Pradesh,1,0,0,0,
109,2020-03-13,Andhra Pradesh,1,0,0,0,
123,2020-03-14,Andhra Pradesh,1,0,0,0,
138,2020-03-15,Andhra Pradesh,1,0,0,0,
154,2020-03-16,Andhra Pradesh,1,0,0,0,
171,2020-03-17,Andhra Pradesh,1,0,0,0,
190,2020-03-18,Andhra Pradesh,1,0,0,0,
209,2020-03-19,Andhra Pradesh,3,0,0,0,
231,2020-03-20,Andhra Pradesh,3,0,0,0,
254,2020-03-21,Andhra Pradesh,5,0,0,0,
277,2020-03-22,Andhra Pradesh,6,0,0,0,
301,2020-03-23,Andhra Pradesh,7,0,0,0,
325,2020-03-24,Andhra Pradesh,8,0,0,0,
350,2020-03-25,Andhra Pradesh,10,0,0,0,
378,2020-03-26,Andhra Pradesh,11,0,0,0,
406,2020-03-27,Andhra Pradesh,13,0,0,0,
434,2020-03-28,Andhra Pradesh,19,0,0,0,
462,2020-03-29,Andhra Pradesh,21,1,0,0,
490,2020-03-30,Andhra Pradesh,23,1,0,0,
518,2020-03-31,Andhra Pradesh,44,1,0,0,
548,2020-04-01,Andhra Pradesh,111,2,0,0,
578,2020-04-02,Andhra Pradesh,149,2,0,0,1800.0
609,2020-04-03,Andhra Pradesh,164,2,1,0,1800.0
640,2020-04-04,Andhra Pradesh,192,2,1,0,1800.0
671,2020-04-05,Andhra Pradesh,256,5,1,0,1800.0
702,2020-04-06,Andhra Pradesh,303,5,3,0,1800.0
735,2020-04-07,Andhra Pradesh,314,5,4,0,1800.0
768,2020-04-08,Andhra Pradesh,348,6,4,0,1800.0
801,2020-04-09,Andhra Pradesh,363,10,6,0,1800.0
835,2020-04-10,Andhra Pradesh,381,10,6,0,6374.0
869,2020-04-11,Andhra Pradesh,405,10,6,0,6958.0
903,2020-04-12,Andhra Pradesh,420,12,7,0,6958.0
937,2020-04-13,Andhra Pradesh,439,12,7,0,8755.0
972,2020-04-14,Andhra Pradesh,484,16,11,0,10505.0
1007,2020-04-15,Andhra Pradesh,525,20,14,0,11613.0
1042,2020-04-16,Andhra Pradesh,534,20,14,0,20235.0
1077,2020-04-17,Andhra Pradesh,572,35,14,0,20235.0
1112,2020-04-18,Andhra Pradesh,603,42,16,0,21450.0
1147,2020-04-19,Andhra Pradesh,647,65,17,0,26958.0
1182,2020-04-20,Andhra Pradesh,722,92,20,0,30733.0
1217,2020-04-21,Andhra Pradesh,757,96,22,0,35755.0
1252,2020-04-22,Andhra Pradesh,813,120,24,0,41512.0
1287,2020-04-23,Andhra Pradesh,893,141,27,0,48032.0
1322,2020-04-24,Andhra Pradesh,955,145,29,0,54338.0
1357,2020-04-25,Andhra Pradesh,1016,171,31,0,61266.0
1392,2020-04-26,Andhra Pradesh,1097,231,31,0,68034.0
1427,2020-04-27,Andhra Pradesh,1177,235,31,0,74551.0
1462,2020-04-28,Andhra Pradesh,1259,258,31,0,80334.0
1497,2020-04-29,Andhra Pradesh,1332,287,31,0,88061.0
1532,2020-04-30,Andhra Pradesh,1403,321,31,0,94558.0
1567,2020-05-01,Andhra Pradesh,1463,403,33,0,102460.0
1602,2020-05-02,Andhra Pradesh,1525,441,33,0,108403.0
1637,2020-05-03,Andhra Pradesh,1583,488,33,0,114937.0
1672,2020-05-04,Andhra Pradesh,1650,524,33,0,125229.0
1708,2020-05-05,Andhra Pradesh,1717,589,34,0,133492.0
1744,2020-05-06,Andhra Pradesh,1777,729,36,0,141274.0
1780,2020-05-07,Andhra Pradesh,1833,780,38,0,149361.0
1816,2020-05-08,Andhra Pradesh,1887,842,41,0,156681.0
1852,2020-05-09,Andhra Pradesh,1930,887,44,0,165069.0
1888,2020-05-10,Andhra Pradesh,1980,925,45,0,173735.0
1924,2020-05-11,Andhra Pradesh,2018,998,45,0,181144.0
1960,2020-05-12,Andhra Pradesh,2089,1056,46,0,191874.0
1996,2020-05-13,Andhra Pradesh,2137,1142,47,0,201196.0
2032,2020-05-14,Andhra Pradesh,2205,1192,48,0,210452.0
2068,2020-05-15,Andhra Pradesh,2307,1252,48,0,219490.0
2104,2020-05-16,Andhra Pradesh,2355,1353,49,0,219490.0
2140,2020-05-17,Andhra Pradesh,2380,1456,50,0,238998.0
2176,2020-05-18,Andhra Pradesh,2432,1552,50,0,248771.0
2212,2020-05-19,Andhra Pradesh,2489,1621,52,0,258450.0
2249,2020-05-20,Andhra Pradesh,2560,1664,53,0,267612.0
