,Date,State,Confirmed,Recovered,Deceased,Other,Tested
579,2020-04-02,Arunachal Pradesh,1,0,0,0,
610,2020-04-03,Arunachal Pradesh,1,0,0,0,
641,2020-04-04,Arunachal Pradesh,1,0,0,0,
672,2020-04-05,Arunachal Pradesh,1,0,0,0,
703,2020-04-06,Arunachal Pradesh,1,0,0,0,
736,2020-04-07,Arunachal Pradesh,1,0,0,0,
769,2020-04-08,Arunachal Pradesh,1,0,0,0,
802,2020-04-09,Arunachal Pradesh,1,0,0,0,
836,2020-04-10,Arunachal Pradesh,1,0,0,0,
870,2020-04-11,Arunachal Pradesh,1,0,0,0,
904,2020-04-12,Arunachal Pradesh,1,0,0,0,
938,2020-04-13,Arunachal Pradesh,1,0,0,0,206.0
973,2020-04-14,Arunachal Pradesh,1,0,0,0,280.0
1008,2020-04-15,Arunachal Pradesh,1,1,0,0,280.0
1043,2020-04-16,Arunachal Pradesh,1,1,0,0,280.0
1078,2020-04-17,Arunachal Pradesh,1,1,0,0,363.0
1113,2020-04-18,Arunachal Pradesh,1,1,0,0,389.0
1148,2020-04-19,Arunachal Pradesh,1,1,0,0,389.0
1183,2020-04-20,Arunachal Pradesh,1,1,0,0,439.0
1218,2020-04-21,Arunachal Pradesh,1,1,0,0,454.0
1253,2020-04-22,Arunachal Pradesh,1,1,0,0,496.0
1288,2020-04-23,Arunachal Pradesh,1,1,0,0,496.0
1323,2020-04-24,Arunachal Pradesh,1,1,0,0,526.0
1358,2020-04-25,Arunachal Pradesh,1,1,0,0,526.0
1393,2020-04-26,Arunachal Pradesh,1,1,0,0,568.0
1428,2020-04-27,Arunachal Pradesh,1,1,0,0,584.0
1463,2020-04-28,Arunachal Pradesh,1,1,0,0,610.0
1498,2020-04-29,Arunachal Pradesh,1,1,0,0,662.0
1533,2020-04-30,Arunachal Pradesh,1,1,0,0,694.0
1568,2020-05-01,Arunachal Pradesh,1,1,0,0,724.0
1603,2020-05-02,Arunachal Pradesh,1,1,0,0,724.0
1638,2020-05-03,Arunachal Pradesh,1,1,0,0,810.0
1673,2020-05-04,Arunachal Pradesh,1,1,0,0,869.0
1709,2020-05-05,Arunachal Pradesh,1,1,0,0,970.0
1745,2020-05-06,Arunachal Pradesh,1,1,0,0,1039.0
1781,2020-05-07,Arunachal Pradesh,1,1,0,0,1144.0
1817,2020-05-08,Arunachal Pradesh,1,1,0,0,1354.0
1853,2020-05-09,Arunachal Pradesh,1,1,0,0,1597.0
1889,2020-05-10,Arunachal Pradesh,1,1,0,0,1823.0
1925,2020-05-11,Arunachal Pradesh,1,1,0,0,2078.0
1961,2020-05-12,Arunachal Pradesh,1,1,0,0,2257.0
1997,2020-05-13,Arunachal Pradesh,1,1,0,0,2483.0
2033,2020-05-14,Arunachal Pradesh,1,1,0,0,2677.0
2069,2020-05-15,Arunachal Pradesh,1,1,0,0,2942.0
2105,2020-05-16,Arunachal Pradesh,1,1,0,0,3163.0
2141,2020-05-17,Arunachal Pradesh,1,1,0,0,3349.0
2177,2020-05-18,Arunachal Pradesh,1,1,0,0,3662.0
2213,2020-05-19,Arunachal Pradesh,1,1,0,0,3941.0
2250,2020-05-20,Arunachal Pradesh,1,1,0,0,4157.0
2287,2020-05-21,Arunachal Pradesh,1,1,0,0,4438.0
2324,2020-05-22,Arunachal Pradesh,1,1,0,0,4844.0
2361,2020-05-23,Arunachal Pradesh,1,1,0,0,5206.0
2398,2020-05-24,Arunachal Pradesh,2,1,0,0,5428.0
2435,2020-05-25,Arunachal Pradesh,2,1,0,0,5997.0
2472,2020-05-26,Arunachal Pradesh,2,1,0,0,6319.0
2509,2020-05-27,Arunachal Pradesh,2,1,0,0,6436.0
2546,2020-05-28,Arunachal Pradesh,3,1,0,0,6984.0
2583,2020-05-29,Arunachal Pradesh,3,1,0,0,7488.0
2620,2020-05-30,Arunachal Pradesh,4,1,0,0,8017.0
2657,2020-05-31,Arunachal Pradesh,4,1,0,0,8283.0
2694,2020-06-01,Arunachal Pradesh,23,1,0,0,8768.0
2731,2020-06-02,Arunachal Pradesh,25,1,0,0,9079.0
2768,2020-06-03,Arunachal Pradesh,34,1,0,0,9551.0
2805,2020-06-04,Arunachal Pradesh,39,1,0,0,10025.0
2842,2020-06-05,Arunachal Pradesh,43,1,0,0,10790.0
2879,2020-06-06,Arunachal Pradesh,45,1,0,0,11261.0
2916,2020-06-07,Arunachal Pradesh,48,1,0,0,11516.0
2953,2020-06-08,Arunachal Pradesh,54,1,0,0,12012.0
