,Date,State,Confirmed,Recovered,Deceased,Other,Tested
519,2020-03-31,Assam,1,0,0,0,
549,2020-04-01,Assam,16,0,0,0,
580,2020-04-02,Assam,16,0,0,0,962.0
611,2020-04-03,Assam,23,0,0,0,962.0
642,2020-04-04,Assam,26,0,0,0,962.0
673,2020-04-05,Assam,26,0,0,0,962.0
704,2020-04-06,Assam,26,0,0,0,962.0
737,2020-04-07,Assam,28,0,0,0,962.0
770,2020-04-08,Assam,28,0,0,0,962.0
803,2020-04-09,Assam,29,0,0,0,962.0
837,2020-04-10,Assam,29,0,1,0,2863.0
871,2020-04-11,Assam,29,0,1,0,3011.0
905,2020-04-12,Assam,30,0,1,0,3138.0
939,2020-04-13,Assam,32,0,1,0,3138.0
974,2020-04-14,Assam,33,0,1,0,3491.0
1009,2020-04-15,Assam,33,2,1,0,3613.0
1044,2020-04-16,Assam,35,5,1,0,4108.0
1079,2020-04-17,Assam,35,9,1,0,4236.0
1114,2020-04-18,Assam,35,12,1,0,4400.0
1149,2020-04-19,Assam,35,17,1,0,4865.0
1184,2020-04-20,Assam,35,19,1,0,5112.0
1219,2020-04-21,Assam,35,19,1,0,5514.0
1254,2020-04-22,Assam,35,19,1,0,5514.0
1289,2020-04-23,Assam,36,19,1,0,5514.0
1324,2020-04-24,Assam,36,19,1,0,6680.0
1359,2020-04-25,Assam,36,19,1,0,7159.0
1394,2020-04-26,Assam,36,27,1,0,7823.0
1429,2020-04-27,Assam,36,27,1,0,8117.0
1464,2020-04-28,Assam,38,27,1,0,8117.0
1499,2020-04-29,Assam,38,29,1,0,9520.0
1534,2020-04-30,Assam,43,29,1,0,9520.0
1569,2020-05-01,Assam,43,33,1,0,9520.0
1604,2020-05-02,Assam,43,33,1,0,11623.0
1639,2020-05-03,Assam,43,33,1,0,11623.0
1674,2020-05-04,Assam,43,33,1,0,12775.0
1710,2020-05-05,Assam,45,33,1,0,13442.0
1746,2020-05-06,Assam,46,35,1,0,13442.0
1782,2020-05-07,Assam,54,35,1,0,13442.0
1818,2020-05-08,Assam,60,35,2,0,13442.0
1854,2020-05-09,Assam,62,35,2,0,16167.0
1890,2020-05-10,Assam,63,35,2,0,18002.0
1926,2020-05-11,Assam,65,40,2,0,19589.0
1962,2020-05-12,Assam,65,40,2,0,21791.0
1998,2020-05-13,Assam,80,40,2,0,21791.0
2034,2020-05-14,Assam,87,40,2,0,25824.0
2070,2020-05-15,Assam,90,41,2,0,28178.0
2106,2020-05-16,Assam,93,41,2,0,31276.0
2142,2020-05-17,Assam,101,42,2,0,34376.0
2178,2020-05-18,Assam,116,42,4,0,37898.0
2214,2020-05-19,Assam,158,42,4,0,41116.0
2251,2020-05-20,Assam,189,49,4,3,47084.0
2288,2020-05-21,Assam,211,55,4,3,51730.0
2325,2020-05-22,Assam,226,55,4,3,55791.0
2362,2020-05-23,Assam,347,57,4,3,60405.0
2399,2020-05-24,Assam,393,58,4,3,66444.0
