,Date,State,Confirmed,Recovered,Deceased,Other,Tested
278,2020-03-22,Bihar,2,0,0,0,
302,2020-03-23,Bihar,3,0,0,0,
326,2020-03-24,Bihar,3,0,0,0,
351,2020-03-25,Bihar,4,0,0,0,
379,2020-03-26,Bihar,7,0,0,0,
407,2020-03-27,Bihar,9,0,0,0,
435,2020-03-28,Bihar,11,0,0,0,
463,2020-03-29,Bihar,15,0,1,0,
491,2020-03-30,Bihar,15,0,1,0,
520,2020-03-31,Bihar,21,0,1,0,
550,2020-04-01,Bihar,24,0,1,0,
581,2020-04-02,Bihar,29,3,1,0,
612,2020-04-03,Bihar,31,3,1,0,
643,2020-04-04,Bihar,32,3,1,0,
674,2020-04-05,Bihar,32,3,1,0,3037.0
705,2020-04-06,Bihar,32,9,1,0,3037.0
738,2020-04-07,Bihar,38,15,1,0,3037.0
771,2020-04-08,Bihar,39,15,1,0,4596.0
804,2020-04-09,Bihar,58,15,1,0,4991.0
838,2020-04-10,Bihar,60,15,1,0,5457.0
872,2020-04-11,Bihar,64,15,1,0,6250.0
906,2020-04-12,Bihar,64,26,1,0,6703.0
940,2020-04-13,Bihar,66,28,1,0,7263.0
975,2020-04-14,Bihar,66,29,1,0,7727.0
1010,2020-04-15,Bihar,72,29,1,0,8263.0
1045,2020-04-16,Bihar,83,37,1,0,8846.0
1080,2020-04-17,Bihar,85,37,1,0,9486.0
1115,2020-04-18,Bihar,86,42,2,0,10130.0
1150,2020-04-19,Bihar,96,42,2,0,10745.0
1185,2020-04-20,Bihar,113,42,2,0,11319.0
1220,2020-04-21,Bihar,126,42,2,0,11999.0
1255,2020-04-22,Bihar,143,42,2,0,12978.0
1290,2020-04-23,Bihar,170,44,2,0,13785.0
1325,2020-04-24,Bihar,223,44,2,0,14924.0
1360,2020-04-25,Bihar,251,45,2,0,15885.0
1395,2020-04-26,Bihar,277,56,2,0,17041.0
1430,2020-04-27,Bihar,346,56,2,0,18179.0
1465,2020-04-28,Bihar,366,64,2,0,19790.0
1500,2020-04-29,Bihar,403,64,2,0,21180.0
1535,2020-04-30,Bihar,425,84,2,0,22672.0
1570,2020-05-01,Bihar,466,98,3,0,24118.0
1605,2020-05-02,Bihar,481,117,4,0,25724.0
1640,2020-05-03,Bihar,517,124,4,0,26951.0
1675,2020-05-04,Bihar,528,127,4,0,28345.0
1711,2020-05-05,Bihar,535,158,4,0,28791.0
1747,2020-05-06,Bihar,542,158,4,0,29328.0
1783,2020-05-07,Bihar,550,218,5,0,29841.0
1819,2020-05-08,Bihar,579,267,5,0,30320.0
1855,2020-05-09,Bihar,611,318,5,0,31552.0
1891,2020-05-10,Bihar,707,354,6,0,32670.0
1927,2020-05-11,Bihar,749,377,6,0,34662.0
1963,2020-05-12,Bihar,879,382,6,0,37430.0
1999,2020-05-13,Bihar,953,400,7,0,39149.0
