,Date,State,Confirmed,Recovered,Deceased,Other,Tested
213,2020-03-19,Gujarat,2,0,0,0,
235,2020-03-20,Gujarat,7,0,0,0,
258,2020-03-21,Gujarat,14,0,0,0,
282,2020-03-22,Gujarat,18,0,0,0,
306,2020-03-23,Gujarat,30,0,0,0,
330,2020-03-24,Gujarat,36,0,0,0,
356,2020-03-25,Gujarat,38,0,0,0,
384,2020-03-26,Gujarat,44,0,0,0,
412,2020-03-27,Gujarat,47,0,0,0,
440,2020-03-28,Gujarat,55,0,0,0,
468,2020-03-29,Gujarat,63,1,5,0,
496,2020-03-30,Gujarat,70,3,6,0,
525,2020-03-31,Gujarat,74,5,6,0,
555,2020-04-01,Gujarat,87,5,6,0,
586,2020-04-02,Gujarat,88,10,7,0,
617,2020-04-03,Gujarat,95,10,9,0,
648,2020-04-04,Gujarat,108,13,10,0,
679,2020-04-05,Gujarat,128,21,11,0,
710,2020-04-06,Gujarat,146,22,12,0,
743,2020-04-07,Gujarat,175,25,14,0,
776,2020-04-08,Gujarat,186,25,16,0,4224.0
810,2020-04-09,Gujarat,262,26,18,0,4224.0
844,2020-04-10,Gujarat,378,33,19,0,7718.0
878,2020-04-11,Gujarat,468,44,22,0,9763.0
912,2020-04-12,Gujarat,516,44,24,0,11715.0
946,2020-04-13,Gujarat,572,54,26,0,14251.0
981,2020-04-14,Gujarat,650,59,28,0,14980.0
1016,2020-04-15,Gujarat,766,64,33,0,19197.0
1051,2020-04-16,Gujarat,929,73,36,0,20903.0
1086,2020-04-17,Gujarat,1099,86,41,0,23483.0
1121,2020-04-18,Gujarat,1376,93,53,0,26102.0
1156,2020-04-19,Gujarat,1743,105,63,0,29104.0
1191,2020-04-20,Gujarat,1939,131,71,0,33316.0
1226,2020-04-21,Gujarat,2178,139,90,0,36829.0
1261,2020-04-22,Gujarat,2407,179,103,0,39421.0
1296,2020-04-23,Gujarat,2624,258,112,0,42384.0
1331,2020-04-24,Gujarat,2815,265,127,0,46743.0
1366,2020-04-25,Gujarat,3071,282,133,0,48315.0
1401,2020-04-26,Gujarat,3301,313,151,0,51091.0
1436,2020-04-27,Gujarat,3548,394,162,0,53575.0
1471,2020-04-28,Gujarat,3774,434,181,0,56101.0
1506,2020-04-29,Gujarat,4082,527,197,0,59488.0
1541,2020-04-30,Gujarat,4395,613,214,0,64007.0
1576,2020-05-01,Gujarat,4721,736,236,0,68774.0
1611,2020-05-02,Gujarat,5054,896,262,0,74116.0
1646,2020-05-03,Gujarat,5428,1042,290,0,80060.0
1681,2020-05-04,Gujarat,5804,1195,319,0,84648.0
1717,2020-05-05,Gujarat,6245,1381,368,0,89632.0
1753,2020-05-06,Gujarat,6625,1500,396,0,95191.0
1789,2020-05-07,Gujarat,7013,1709,425,0,100553.0
1825,2020-05-08,Gujarat,7403,1872,449,0,105386.0
1861,2020-05-09,Gujarat,7797,2091,472,0,109650.0
1897,2020-05-10,Gujarat,8195,2545,493,0,113493.0
1933,2020-05-11,Gujarat,8542,2780,513,0,116470.0
1969,2020-05-12,Gujarat,8904,3246,537,0,119536.0
2005,2020-05-13,Gujarat,9268,3562,566,0,122297.0
2041,2020-05-14,Gujarat,9592,3753,586,0,124708.0
2077,2020-05-15,Gujarat,9932,4035,606,0,127859.0
2113,2020-05-16,Gujarat,10989,4308,625,0,138407.0
2149,2020-05-17,Gujarat,11380,4499,659,0,143600.0
2185,2020-05-18,Gujarat,11746,4804,694,0,148824.0
2221,2020-05-19,Gujarat,12141,5043,719,0,154674.0
2258,2020-05-20,Gujarat,12539,5219,749,0,160772.0
2295,2020-05-21,Gujarat,12910,5488,773,0,166152.0
2332,2020-05-22,Gujarat,13273,5880,802,0,172562.0
2369,2020-05-23,Gujarat,13669,6169,829,0,178068.0
2406,2020-05-24,Gujarat,14063,6412,858,0,182868.0
2443,2020-05-25,Gujarat,14468,6636,888,0,186361.0
2480,2020-05-26,Gujarat,14829,7137,915,0,189313.0
2517,2020-05-27,Gujarat,15205,7547,938,0,193863.0
2554,2020-05-28,Gujarat,15572,8001,960,0,198048.0
2591,2020-05-29,Gujarat,15944,8609,980,0,201481.0
2628,2020-05-30,Gujarat,16356,9230,1007,0,205780.0
2665,2020-05-31,Gujarat,16794,9919,1038,0,211930.0
2702,2020-06-01,Gujarat,17217,10780,1063,0,216258.0
2739,2020-06-02,Gujarat,17632,11894,1092,0,221610.0
2776,2020-06-03,Gujarat,18117,12212,1122,0,227898.0
2813,2020-06-04,Gujarat,18609,12667,1155,0,233921.0
2850,2020-06-05,Gujarat,19119,13011,1190,0,239911.0
2887,2020-06-06,Gujarat,19617,13324,1219,0,245606.0
2924,2020-06-07,Gujarat,20097,13643,1249,0,251686.0
2961,2020-06-08,Gujarat,20574,13964,1280,0,256289.0
2998,2020-06-09,Gujarat,21044,14373,1313,0,261587.0
3035,2020-06-10,Gujarat,21554,14743,1347,0,266404.0
3072,2020-06-11,Gujarat,22067,15109,1385,0,272924.0
3109,2020-06-12,Gujarat,22562,15501,1416,0,278137.0
3146,2020-06-13,Gujarat,23079,15891,1449,0,283623.0
3183,2020-06-14,Gujarat,23590,16333,1478,0,288565.0
3220,2020-06-15,Gujarat,24104,16672,1506,0,292909.0
3257,2020-06-16,Gujarat,24628,17090,1534,0,296335.0
3294,2020-06-17,Gujarat,25148,17438,1561,0,303671.0
3331,2020-06-18,Gujarat,25658,17827,1592,0,308744.0
3368,2020-06-19,Gujarat,26198,18167,1619,0,314301.0
3405,2020-06-20,Gujarat,26737,18702,1639,0,319414.0
3442,2020-06-21,Gujarat,27317,19357,1664,0,324874.0
3479,2020-06-22,Gujarat,27880,19917,1685,0,329343.0
3516,2020-06-23,Gujarat,28429,20521,1711,0,334326.0
3553,2020-06-24,Gujarat,29001,21096,1736,0,340080.0
3590,2020-06-25,Gujarat,29578,21506,1754,0,345278.0
3627,2020-06-26,Gujarat,30158,22038,1772,0,351179.0
3664,2020-06-27,Gujarat,30773,22417,1790,0,357148.0
3701,2020-06-28,Gujarat,31397,22808,1809,0,363306.0
3738,2020-06-29,Gujarat,32023,23248,1828,0,367739.0
3775,2020-06-30,Gujarat,32643,23670,1848,0,373613.0
3812,2020-07-01,Gujarat,33318,24038,1869,0,380640.0
3849,2020-07-02,Gujarat,33999,24601,1888,0,388065.0
3886,2020-07-03,Gujarat,34686,24941,1906,0,395873.0
3923,2020-07-04,Gujarat,35398,25414,1927,0,404354.0
3960,2020-07-05,Gujarat,36123,25900,1945,0,412124.0
3997,2020-07-06,Gujarat,36858,26323,1962,0,418464.0
4034,2020-07-07,Gujarat,37636,26744,1979,0,425830.0
4071,2020-07-08,Gujarat,38419,27313,1995,0,433864.0
4108,2020-07-09,Gujarat,39280,27742,2010,0,441692.0
4145,2020-07-10,Gujarat,40155,28183,2024,0,449349.0
4182,2020-07-11,Gujarat,41027,28685,2034,0,457066.0
4219,2020-07-12,Gujarat,41906,29198,2047,0,464646.0
4256,2020-07-13,Gujarat,42808,29806,2057,0,470265.0
4293,2020-07-14,Gujarat,43723,30555,2071,0,478367.0
4330,2020-07-15,Gujarat,44648,31346,2081,0,487707.0
4367,2020-07-16,Gujarat,45567,32174,2091,0,499170.0
4404,2020-07-17,Gujarat,46516,32944,2108,0,512000.0
4441,2020-07-18,Gujarat,47476,34005,2127,0,524297.0
4478,2020-07-19,Gujarat,48441,34882,2147,0,536122.0
4514,2020-07-20,Gujarat,49439,35659,2167,0,548989.0
4550,2020-07-21,Gujarat,50465,36403,2201,0,562682.0
4586,2020-07-22,Gujarat,51485,37240,2229,0,576706.0
4622,2020-07-23,Gujarat,52563,37958,2257,0,591561.0
4658,2020-07-24,Gujarat,53631,38830,2283,0,606718.0
4694,2020-07-25,Gujarat,54712,39612,2305,0,620662.0
4730,2020-07-26,Gujarat,55822,40365,2326,0,642370.0
4766,2020-07-27,Gujarat,56874,41380,2348,0,667844.0
4802,2020-07-28,Gujarat,57982,42412,2372,0,690092.0
4838,2020-07-29,Gujarat,59126,43195,2396,0,713006.0
4874,2020-07-30,Gujarat,60285,44074,2418,0,738073.0
4910,2020-07-31,Gujarat,61438,44907,2441,0,764777.0
4946,2020-08-01,Gujarat,62574,45782,2465,0,791080.0
4982,2020-08-02,Gujarat,63675,46587,2487,0,814335.0
5018,2020-08-03,Gujarat,64684,47561,2509,0,834104.0
5054,2020-08-04,Gujarat,65704,48459,2534,0,854839.0
5090,2020-08-05,Gujarat,66777,49505,2557,0,879213.0
5126,2020-08-06,Gujarat,67811,50422,2584,0,903782.0
5162,2020-08-07,Gujarat,68885,51792,2606,0,930373.0
5198,2020-08-08,Gujarat,69986,52927,2629,0,956645.0
5234,2020-08-09,Gujarat,71064,54238,2654,0,987630.0
5270,2020-08-10,Gujarat,72120,55376,2674,0,1017234.0
5306,2020-08-11,Gujarat,73238,56516,2697,0,1058881.0
5342,2020-08-12,Gujarat,74390,57493,2715,0,1109005.0
5378,2020-08-13,Gujarat,75482,58539,2733,0,1159822.0
5414,2020-08-14,Gujarat,76569,59622,2748,0,1211047.0
5450,2020-08-15,Gujarat,77663,60637,2767,0,1262264.0
5486,2020-08-16,Gujarat,78783,61596,2787,0,1312824.0
5522,2020-08-17,Gujarat,79816,62679,2802,0,1358364.0
5558,2020-08-18,Gujarat,80942,63810,2822,0,1415598.0
5594,2020-08-19,Gujarat,82087,64930,2839,0,1478629.0
