,Date,State,Confirmed,Recovered,Deceased,Other,Tested
18,2020-03-04,Haryana,14,0,0,0,
25,2020-03-05,Haryana,14,0,0,0,
32,2020-03-06,Haryana,14,0,0,0,
39,2020-03-07,Haryana,14,0,0,0,
48,2020-03-08,Haryana,14,0,0,0,
57,2020-03-09,Haryana,14,0,0,0,
70,2020-03-10,Haryana,14,0,0,0,
83,2020-03-11,Haryana,14,0,0,0,
97,2020-03-12,Haryana,14,0,0,0,
111,2020-03-13,Haryana,14,0,0,0,
126,2020-03-14,Haryana,14,0,0,0,
141,2020-03-15,Haryana,14,0,0,0,
157,2020-03-16,Haryana,14,0,0,0,
174,2020-03-17,Haryana,15,0,0,0,
193,2020-03-18,Haryana,17,0,0,0,
215,2020-03-19,Haryana,17,0,0,0,
237,2020-03-20,Haryana,19,0,0,0,
260,2020-03-21,Haryana,21,0,0,0,
284,2020-03-22,Haryana,21,0,0,0,
308,2020-03-23,Haryana,28,0,0,0,
332,2020-03-24,Haryana,30,0,0,0,
358,2020-03-25,Haryana,31,0,0,0,
386,2020-03-26,Haryana,32,0,0,0,
414,2020-03-27,Haryana,33,0,0,0,
442,2020-03-28,Haryana,35,0,0,0,
470,2020-03-29,Haryana,35,14,0,0,
498,2020-03-30,Haryana,36,20,0,0,
527,2020-03-31,Haryana,43,24,0,0,
557,2020-04-01,Haryana,43,27,0,0,
588,2020-04-02,Haryana,49,27,0,0,
619,2020-04-03,Haryana,58,28,0,0,1325.0
650,2020-04-04,Haryana,84,29,0,0,1325.0
681,2020-04-05,Haryana,90,29,0,0,1325.0
712,2020-04-06,Haryana,110,29,2,0,1325.0
745,2020-04-07,Haryana,143,31,2,0,2520.0
778,2020-04-08,Haryana,167,32,2,0,2650.0
812,2020-04-09,Haryana,170,32,2,0,2964.0
846,2020-04-10,Haryana,176,36,2,0,3527.0
880,2020-04-11,Haryana,179,36,2,0,3663.0
914,2020-04-12,Haryana,195,44,3,0,3903.0
948,2020-04-13,Haryana,196,51,3,0,4489.0
983,2020-04-14,Haryana,198,55,3,0,5210.0
1018,2020-04-15,Haryana,204,57,3,0,7388.0
1053,2020-04-16,Haryana,215,65,3,0,8064.0
1088,2020-04-17,Haryana,223,86,3,0,8884.0
1123,2020-04-18,Haryana,232,100,3,0,10454.0
1158,2020-04-19,Haryana,250,104,3,0,12687.0
1193,2020-04-20,Haryana,251,141,3,0,13894.0
