,Date,State,Confirmed,Recovered,Deceased,Other,Tested
125,2020-03-14,Himachal Pradesh,0,0,0,3,
140,2020-03-15,Himachal Pradesh,0,0,0,3,
156,2020-03-16,Himachal Pradesh,0,0,0,3,
173,2020-03-17,Himachal Pradesh,0,0,0,3,
192,2020-03-18,Himachal Pradesh,0,0,0,3,
214,2020-03-19,Himachal Pradesh,0,0,0,3,
236,2020-03-20,Himachal Pradesh,2,0,0,3,
259,2020-03-21,Himachal Pradesh,2,0,0,3,
283,2020-03-22,Himachal Pradesh,2,0,0,3,
307,2020-03-23,Himachal Pradesh,3,0,0,3,
331,2020-03-24,Himachal Pradesh,3,0,0,3,
357,2020-03-25,Himachal Pradesh,3,0,0,3,
385,2020-03-26,Himachal Pradesh,3,0,0,3,
413,2020-03-27,Himachal Pradesh,3,0,0,3,
441,2020-03-28,Himachal Pradesh,3,0,0,3,
469,2020-03-29,Himachal Pradesh,3,1,1,3,
497,2020-03-30,Himachal Pradesh,3,1,1,3,
526,2020-03-31,Himachal Pradesh,3,1,1,3,
556,2020-04-01,Himachal Pradesh,3,1,1,3,
587,2020-04-02,Himachal Pradesh,6,1,1,3,
618,2020-04-03,Himachal Pradesh,6,1,2,3,
649,2020-04-04,Himachal Pradesh,13,1,2,3,
680,2020-04-05,Himachal Pradesh,14,1,2,3,
711,2020-04-06,Himachal Pradesh,18,1,2,3,
744,2020-04-07,Himachal Pradesh,27,2,2,3,
777,2020-04-08,Himachal Pradesh,27,2,2,3,
811,2020-04-09,Himachal Pradesh,28,2,2,3,
845,2020-04-10,Himachal Pradesh,28,2,2,3,900.0
879,2020-04-11,Himachal Pradesh,32,8,2,3,900.0
913,2020-04-12,Himachal Pradesh,32,12,2,3,1113.0
947,2020-04-13,Himachal Pradesh,32,12,2,3,1210.0
982,2020-04-14,Himachal Pradesh,33,13,2,3,1311.0
1017,2020-04-15,Himachal Pradesh,35,13,2,3,1426.0
1052,2020-04-16,Himachal Pradesh,35,16,2,3,1604.0
1087,2020-04-17,Himachal Pradesh,38,16,2,3,1992.0
1122,2020-04-18,Himachal Pradesh,39,16,2,3,2207.0
1157,2020-04-19,Himachal Pradesh,39,16,2,3,2553.0
1192,2020-04-20,Himachal Pradesh,39,16,2,3,2892.0
1227,2020-04-21,Himachal Pradesh,39,16,2,3,3341.0
1262,2020-04-22,Himachal Pradesh,39,16,2,3,3700.0
1297,2020-04-23,Himachal Pradesh,40,18,2,3,4020.0
1332,2020-04-24,Himachal Pradesh,40,18,2,3,4328.0
1367,2020-04-25,Himachal Pradesh,40,22,2,3,4623.0
1402,2020-04-26,Himachal Pradesh,40,22,2,3,4901.0
1437,2020-04-27,Himachal Pradesh,40,25,2,3,5106.0
1472,2020-04-28,Himachal Pradesh,40,25,2,3,5391.0
1507,2020-04-29,Himachal Pradesh,40,25,2,3,5772.0
1542,2020-04-30,Himachal Pradesh,40,28,2,3,6133.0
1577,2020-05-01,Himachal Pradesh,40,30,2,3,6472.0
1612,2020-05-02,Himachal Pradesh,40,33,2,3,6836.0
1647,2020-05-03,Himachal Pradesh,40,34,2,3,7185.0
1682,2020-05-04,Himachal Pradesh,41,34,2,3,7430.0
1718,2020-05-05,Himachal Pradesh,42,34,3,3,7893.0
1754,2020-05-06,Himachal Pradesh,43,34,3,3,8491.0
1790,2020-05-07,Himachal Pradesh,46,34,3,3,9005.0
1826,2020-05-08,Himachal Pradesh,50,34,3,3,9522.0
1862,2020-05-09,Himachal Pradesh,52,35,3,3,10208.0
1898,2020-05-10,Himachal Pradesh,58,35,3,3,10791.0
1934,2020-05-11,Himachal Pradesh,59,35,3,3,11267.0
1970,2020-05-12,Himachal Pradesh,67,35,3,3,12224.0
2006,2020-05-13,Himachal Pradesh,68,35,3,3,13190.0
2042,2020-05-14,Himachal Pradesh,74,35,3,3,14256.0
2078,2020-05-15,Himachal Pradesh,76,35,3,3,15557.0
2114,2020-05-16,Himachal Pradesh,78,39,3,3,16534.0
2150,2020-05-17,Himachal Pradesh,80,40,3,3,17417.0
2186,2020-05-18,Himachal Pradesh,90,42,3,3,18224.0
2222,2020-05-19,Himachal Pradesh,92,47,4,3,19645.0
2259,2020-05-20,Himachal Pradesh,110,50,4,3,21147.0
2296,2020-05-21,Himachal Pradesh,152,55,4,3,22641.0
2333,2020-05-22,Himachal Pradesh,168,55,4,3,24246.0
2370,2020-05-23,Himachal Pradesh,185,57,4,3,25905.0
2407,2020-05-24,Himachal Pradesh,203,59,4,3,27288.0
2444,2020-05-25,Himachal Pradesh,223,63,4,3,28346.0
2481,2020-05-26,Himachal Pradesh,247,63,4,3,29379.0
2518,2020-05-27,Himachal Pradesh,273,66,6,3,30852.0
2555,2020-05-28,Himachal Pradesh,281,73,6,3,32449.0
2592,2020-05-29,Himachal Pradesh,295,83,6,3,33979.0
2629,2020-05-30,Himachal Pradesh,313,107,6,3,35668.0
2666,2020-05-31,Himachal Pradesh,331,116,6,3,37168.0
2703,2020-06-01,Himachal Pradesh,340,118,6,3,37897.0
2740,2020-06-02,Himachal Pradesh,345,136,6,3,39620.0
2777,2020-06-03,Himachal Pradesh,359,146,6,6,41351.0
2814,2020-06-04,Himachal Pradesh,383,175,6,6,42703.0
2851,2020-06-05,Himachal Pradesh,393,185,6,6,43688.0
2888,2020-06-06,Himachal Pradesh,400,190,6,6,44509.0
2925,2020-06-07,Himachal Pradesh,411,218,6,6,45888.0
2962,2020-06-08,Himachal Pradesh,421,223,6,6,46416.0
2999,2020-06-09,Himachal Pradesh,437,237,6,6,47655.0
3036,2020-06-10,Himachal Pradesh,451,250,7,6,48922.0
3073,2020-06-11,Himachal Pradesh,470,276,7,13,50222.0
3110,2020-06-12,Himachal Pradesh,486,293,7,13,51420.0
3147,2020-06-13,Himachal Pradesh,502,309,7,13,52737.0
3184,2020-06-14,Himachal Pradesh,518,326,7,14,53946.0
3221,2020-06-15,Himachal Pradesh,556,342,7,14,54484.0
3258,2020-06-16,Himachal Pradesh,560,361,7,14,56106.0
3295,2020-06-17,Himachal Pradesh,585,368,7,14,57479.0
3332,2020-06-18,Himachal Pradesh,595,373,7,14,59214.0
3369,2020-06-19,Himachal Pradesh,627,385,7,16,60814.0
3406,2020-06-20,Himachal Pradesh,656,405,7,16,62580.0
3443,2020-06-21,Himachal Pradesh,673,417,7,16,64338.0
