,Date,State,Confirmed,Recovered,Deceased,Other,Tested
58,2020-03-09,Jammu and Kashmir,1,0,0,0,
71,2020-03-10,Jammu and Kashmir,1,0,0,0,
84,2020-03-11,Jammu and Kashmir,1,0,0,0,
98,2020-03-12,Jammu and Kashmir,1,0,0,0,
112,2020-03-13,Jammu and Kashmir,2,0,0,0,
127,2020-03-14,Jammu and Kashmir,2,0,0,0,
142,2020-03-15,Jammu and Kashmir,2,0,0,0,
158,2020-03-16,Jammu and Kashmir,3,0,0,0,
175,2020-03-17,Jammu and Kashmir,3,0,0,0,
194,2020-03-18,Jammu and Kashmir,4,0,0,0,
216,2020-03-19,Jammu and Kashmir,4,0,0,0,
238,2020-03-20,Jammu and Kashmir,4,0,0,0,
261,2020-03-21,Jammu and Kashmir,4,0,0,0,
285,2020-03-22,Jammu and Kashmir,4,0,0,0,
309,2020-03-23,Jammu and Kashmir,4,0,0,0,
333,2020-03-24,Jammu and Kashmir,6,0,0,0,
359,2020-03-25,Jammu and Kashmir,11,0,0,0,
387,2020-03-26,Jammu and Kashmir,14,0,0,0,
415,2020-03-27,Jammu and Kashmir,20,0,0,0,
443,2020-03-28,Jammu and Kashmir,33,0,0,0,
471,2020-03-29,Jammu and Kashmir,38,1,1,0,
499,2020-03-30,Jammu and Kashmir,49,1,1,0,
529,2020-03-31,Jammu and Kashmir,55,1,2,0,
559,2020-04-01,Jammu and Kashmir,62,2,2,0,
590,2020-04-02,Jammu and Kashmir,70,3,2,0,
621,2020-04-03,Jammu and Kashmir,75,3,2,0,
652,2020-04-04,Jammu and Kashmir,92,3,2,0,
683,2020-04-05,Jammu and Kashmir,106,4,2,0,
714,2020-04-06,Jammu and Kashmir,109,4,2,0,
747,2020-04-07,Jammu and Kashmir,125,4,3,0,
780,2020-04-08,Jammu and Kashmir,158,6,3,0,
814,2020-04-09,Jammu and Kashmir,184,6,4,0,
848,2020-04-10,Jammu and Kashmir,207,6,4,0,2961.0
882,2020-04-11,Jammu and Kashmir,224,6,4,0,3206.0
916,2020-04-12,Jammu and Kashmir,245,6,4,0,3600.0
950,2020-04-13,Jammu and Kashmir,270,16,4,0,4065.0
985,2020-04-14,Jammu and Kashmir,278,30,4,0,4619.0
1020,2020-04-15,Jammu and Kashmir,300,36,4,0,5171.0
1055,2020-04-16,Jammu and Kashmir,314,38,4,0,5680.0
1090,2020-04-17,Jammu and Kashmir,328,42,5,0,6438.0
1125,2020-04-18,Jammu and Kashmir,341,51,5,0,6937.0
1160,2020-04-19,Jammu and Kashmir,354,56,5,0,7895.0
1195,2020-04-20,Jammu and Kashmir,368,71,5,0,8612.0
1230,2020-04-21,Jammu and Kashmir,380,81,5,0,9220.0
1265,2020-04-22,Jammu and Kashmir,407,92,5,0,10039.0
1300,2020-04-23,Jammu and Kashmir,434,92,5,0,10977.0
1335,2020-04-24,Jammu and Kashmir,454,109,5,0,11764.0
1370,2020-04-25,Jammu and Kashmir,494,112,6,0,12835.0
1405,2020-04-26,Jammu and Kashmir,523,137,6,0,13959.0
1440,2020-04-27,Jammu and Kashmir,546,164,7,0,14988.0
1475,2020-04-28,Jammu and Kashmir,565,176,8,0,16619.0
1510,2020-04-29,Jammu and Kashmir,581,192,8,0,18450.0
1545,2020-04-30,Jammu and Kashmir,614,216,8,0,19746.0
1580,2020-05-01,Jammu and Kashmir,639,247,8,0,21695.0
1615,2020-05-02,Jammu and Kashmir,666,254,8,0,23406.0
1650,2020-05-03,Jammu and Kashmir,701,287,8,0,26038.0
1685,2020-05-04,Jammu and Kashmir,726,303,8,0,28199.0
1721,2020-05-05,Jammu and Kashmir,741,320,8,0,31312.0
1757,2020-05-06,Jammu and Kashmir,775,322,8,0,34277.0
1793,2020-05-07,Jammu and Kashmir,793,335,9,0,37706.0
1829,2020-05-08,Jammu and Kashmir,823,364,9,0,42427.0
1865,2020-05-09,Jammu and Kashmir,836,368,9,0,44753.0
1901,2020-05-10,Jammu and Kashmir,861,383,9,0,47080.0
1937,2020-05-11,Jammu and Kashmir,879,427,10,0,51334.0
1973,2020-05-12,Jammu and Kashmir,934,455,10,0,53726.0
2009,2020-05-13,Jammu and Kashmir,971,466,11,0,57111.0
2045,2020-05-14,Jammu and Kashmir,983,485,11,0,63515.0
2081,2020-05-15,Jammu and Kashmir,1013,513,11,0,70306.0
2117,2020-05-16,Jammu and Kashmir,1121,542,12,0,76191.0
2153,2020-05-17,Jammu and Kashmir,1183,575,13,0,80934.0
2189,2020-05-18,Jammu and Kashmir,1289,609,15,0,88601.0
2225,2020-05-19,Jammu and Kashmir,1317,647,17,0,96826.0
2262,2020-05-20,Jammu and Kashmir,1390,678,18,0,101950.0
2299,2020-05-21,Jammu and Kashmir,1449,684,20,0,107108.0
2336,2020-05-22,Jammu and Kashmir,1489,720,20,0,114859.0
2373,2020-05-23,Jammu and Kashmir,1569,774,21,0,124074.0
2410,2020-05-24,Jammu and Kashmir,1621,809,21,0,130433.0
2447,2020-05-25,Jammu and Kashmir,1668,809,23,0,134188.0
2484,2020-05-26,Jammu and Kashmir,1759,833,24,0,140962.0
2521,2020-05-27,Jammu and Kashmir,1921,854,26,0,145162.0
2558,2020-05-28,Jammu and Kashmir,2036,859,27,0,153522.0
2595,2020-05-29,Jammu and Kashmir,2164,875,28,0,158729.0
2632,2020-05-30,Jammu and Kashmir,2341,908,28,0,164581.0
2669,2020-05-31,Jammu and Kashmir,2446,927,28,0,171045.0
2706,2020-06-01,Jammu and Kashmir,2601,946,31,0,176309.0
2743,2020-06-02,Jammu and Kashmir,2718,953,33,0,183067.0
2780,2020-06-03,Jammu and Kashmir,2857,1007,34,0,189364.0
