,Date,State,Confirmed,Recovered,Deceased,Other,Tested
528,2020-03-31,Jharkhand,1,0,0,0,
558,2020-04-01,Jharkhand,1,0,0,0,
589,2020-04-02,Jharkhand,2,0,0,0,
620,2020-04-03,Jharkhand,2,0,0,0,
651,2020-04-04,Jharkhand,2,0,0,0,
682,2020-04-05,Jharkhand,3,0,0,0,
713,2020-04-06,Jharkhand,4,0,0,0,
746,2020-04-07,Jharkhand,4,0,0,0,
779,2020-04-08,Jharkhand,4,0,0,0,
813,2020-04-09,Jharkhand,13,0,1,0,
847,2020-04-10,Jharkhand,14,0,1,0,1340.0
881,2020-04-11,Jharkhand,17,0,1,0,1546.0
915,2020-04-12,Jharkhand,19,0,2,0,1683.0
949,2020-04-13,Jharkhand,24,0,2,0,1982.0
984,2020-04-14,Jharkhand,27,0,2,0,2334.0
1019,2020-04-15,Jharkhand,28,0,2,0,2334.0
1054,2020-04-16,Jharkhand,29,0,2,0,2334.0
1089,2020-04-17,Jharkhand,32,0,2,0,3143.0
1124,2020-04-18,Jharkhand,33,0,2,0,3431.0
1159,2020-04-19,Jharkhand,41,0,2,0,3646.0
1194,2020-04-20,Jharkhand,46,4,2,0,4235.0
1229,2020-04-21,Jharkhand,46,4,2,0,4235.0
1264,2020-04-22,Jharkhand,46,4,2,0,5176.0
1299,2020-04-23,Jharkhand,53,8,3,0,5380.0
1334,2020-04-24,Jharkhand,59,8,3,0,6162.0
1369,2020-04-25,Jharkhand,67,8,3,0,6970.0
1404,2020-04-26,Jharkhand,82,13,3,0,7806.0
1439,2020-04-27,Jharkhand,103,17,3,0,8757.0
1474,2020-04-28,Jharkhand,105,19,3,0,9408.0
1509,2020-04-29,Jharkhand,107,19,3,0,10268.0
1544,2020-04-30,Jharkhand,110,19,3,0,10987.0
1579,2020-05-01,Jharkhand,113,21,3,0,11771.0
1614,2020-05-02,Jharkhand,115,22,3,0,12393.0
1649,2020-05-03,Jharkhand,115,27,3,0,13055.0
1684,2020-05-04,Jharkhand,115,27,3,0,13832.0
1720,2020-05-05,Jharkhand,125,33,3,0,15064.0
1756,2020-05-06,Jharkhand,127,37,3,0,15908.0
1792,2020-05-07,Jharkhand,132,41,3,0,17101.0
1828,2020-05-08,Jharkhand,154,41,3,0,17219.0
1864,2020-05-09,Jharkhand,156,78,3,0,18632.0
1900,2020-05-10,Jharkhand,157,78,3,0,20832.0
1936,2020-05-11,Jharkhand,161,78,3,0,21201.0
1972,2020-05-12,Jharkhand,172,79,3,0,22815.0
2008,2020-05-13,Jharkhand,177,87,3,0,25769.0
2044,2020-05-14,Jharkhand,203,87,3,0,27789.0
2080,2020-05-15,Jharkhand,211,97,3,0,29236.0
2116,2020-05-16,Jharkhand,217,113,3,0,31025.0
2152,2020-05-17,Jharkhand,223,113,3,0,33220.0
2188,2020-05-18,Jharkhand,228,127,3,0,35359.0
2224,2020-05-19,Jharkhand,248,127,3,0,37589.0
2261,2020-05-20,Jharkhand,290,129,3,0,39402.0
2298,2020-05-21,Jharkhand,303,136,3,0,41936.0
2335,2020-05-22,Jharkhand,323,136,3,0,43988.0
2372,2020-05-23,Jharkhand,350,141,3,0,45785.0
2409,2020-05-24,Jharkhand,370,148,4,0,48641.0
2446,2020-05-25,Jharkhand,405,148,4,0,50709.0
2483,2020-05-26,Jharkhand,426,153,4,0,53309.0
2520,2020-05-27,Jharkhand,433,153,4,0,55427.0
2557,2020-05-28,Jharkhand,439,153,4,0,57250.0
2594,2020-05-29,Jharkhand,521,216,5,0,59452.0
2631,2020-05-30,Jharkhand,594,256,5,0,62916.0
2668,2020-05-31,Jharkhand,635,256,5,0,65886.0
2705,2020-06-01,Jharkhand,661,296,5,0,69187.0
2742,2020-06-02,Jharkhand,722,296,5,0,71296.0
2779,2020-06-03,Jharkhand,764,297,5,0,74499.0
2816,2020-06-04,Jharkhand,827,366,6,0,77641.0
2853,2020-06-05,Jharkhand,922,435,7,0,80097.0
2890,2020-06-06,Jharkhand,1028,473,7,0,84444.0
2927,2020-06-07,Jharkhand,1103,490,7,0,87721.0
