,Date,State,Confirmed,Recovered,Deceased,Other,Tested
243,2020-03-20,Madhya Pradesh,4,0,0,0,
266,2020-03-21,Madhya Pradesh,4,0,0,0,
290,2020-03-22,Madhya Pradesh,6,0,0,0,
314,2020-03-23,Madhya Pradesh,6,0,0,0,
339,2020-03-24,Madhya Pradesh,7,0,0,0,
365,2020-03-25,Madhya Pradesh,15,0,0,0,
393,2020-03-26,Madhya Pradesh,20,0,0,0,
421,2020-03-27,Madhya Pradesh,29,0,0,0,
449,2020-03-28,Madhya Pradesh,39,0,0,0,
477,2020-03-29,Madhya Pradesh,39,0,2,0,
505,2020-03-30,Madhya Pradesh,47,0,4,0,
535,2020-03-31,Madhya Pradesh,66,0,5,0,
565,2020-04-01,Madhya Pradesh,98,0,6,0,
596,2020-04-02,Madhya Pradesh,107,0,8,0,
627,2020-04-03,Madhya Pradesh,154,0,8,0,
658,2020-04-04,Madhya Pradesh,179,0,11,0,
689,2020-04-05,Madhya Pradesh,193,3,13,0,2812.0
720,2020-04-06,Madhya Pradesh,256,11,15,0,2812.0
753,2020-04-07,Madhya Pradesh,290,21,21,0,3770.0
786,2020-04-08,Madhya Pradesh,341,25,24,0,4056.0
820,2020-04-09,Madhya Pradesh,411,25,33,0,5135.0
854,2020-04-10,Madhya Pradesh,451,37,36,0,7049.0
888,2020-04-11,Madhya Pradesh,529,38,40,0,8516.0
922,2020-04-12,Madhya Pradesh,562,41,43,0,10481.0
957,2020-04-13,Madhya Pradesh,614,51,50,0,10481.0
992,2020-04-14,Madhya Pradesh,741,64,53,0,8105.0
1027,2020-04-15,Madhya Pradesh,938,64,53,0,9596.0
1062,2020-04-16,Madhya Pradesh,1164,70,55,0,13492.0
1097,2020-04-17,Madhya Pradesh,1310,70,69,0,15302.0
1132,2020-04-18,Madhya Pradesh,1402,127,69,0,14978.0
1167,2020-04-19,Madhya Pradesh,1407,131,72,0,17835.0
1202,2020-04-20,Madhya Pradesh,1485,138,76,0,19142.0
1237,2020-04-21,Madhya Pradesh,1552,148,80,0,20905.0
1272,2020-04-22,Madhya Pradesh,1587,152,80,0,22664.0
1307,2020-04-23,Madhya Pradesh,1687,203,83,0,24548.0
1342,2020-04-24,Madhya Pradesh,1846,210,92,0,26233.0
1377,2020-04-25,Madhya Pradesh,1945,281,99,0,27866.0
1412,2020-04-26,Madhya Pradesh,2090,302,103,0,25232.0
1447,2020-04-27,Madhya Pradesh,2165,357,110,0,27009.0
1482,2020-04-28,Madhya Pradesh,2387,373,120,0,31060.0
1517,2020-04-29,Madhya Pradesh,2560,461,130,0,33837.0
1552,2020-04-30,Madhya Pradesh,2625,482,137,0,41712.0
1587,2020-05-01,Madhya Pradesh,2715,524,145,0,44116.0
1622,2020-05-02,Madhya Pradesh,2788,624,151,0,46578.0
1657,2020-05-03,Madhya Pradesh,2837,798,156,0,49186.0
1692,2020-05-04,Madhya Pradesh,2942,856,165,0,52095.0
1728,2020-05-05,Madhya Pradesh,3049,1000,176,0,54595.0
1764,2020-05-06,Madhya Pradesh,3138,1099,185,0,54595.0
1800,2020-05-07,Madhya Pradesh,3252,1231,193,0,61020.0
1836,2020-05-08,Madhya Pradesh,3341,1349,200,0,63705.0
1872,2020-05-09,Madhya Pradesh,3457,1480,211,0,68010.0
1908,2020-05-10,Madhya Pradesh,3614,1676,215,0,72069.0
1944,2020-05-11,Madhya Pradesh,3785,1747,221,0,76039.0
1980,2020-05-12,Madhya Pradesh,3986,1860,225,0,80885.0
2016,2020-05-13,Madhya Pradesh,4173,2004,232,0,85903.0
2052,2020-05-14,Madhya Pradesh,4426,2171,237,0,89760.0
2088,2020-05-15,Madhya Pradesh,4595,2283,239,0,93849.0
2124,2020-05-16,Madhya Pradesh,4790,2315,243,0,99677.0
2160,2020-05-17,Madhya Pradesh,4977,2403,248,0,103898.0
2196,2020-05-18,Madhya Pradesh,5236,2435,252,0,112168.0
