,Date,State,Confirmed,Recovered,Deceased,Other,Tested
62,2020-03-09,Maharashtra,2,0,0,0,
75,2020-03-10,Maharashtra,5,0,0,0,
88,2020-03-11,Maharashtra,11,0,0,0,
102,2020-03-12,Maharashtra,14,0,0,0,
116,2020-03-13,Maharashtra,17,0,0,0,
131,2020-03-14,Maharashtra,26,0,0,0,
146,2020-03-15,Maharashtra,32,0,0,0,
162,2020-03-16,Maharashtra,39,0,0,0,
179,2020-03-17,Maharashtra,41,0,0,0,
198,2020-03-18,Maharashtra,45,0,0,0,
220,2020-03-19,Maharashtra,48,0,0,0,
242,2020-03-20,Maharashtra,52,0,0,0,
265,2020-03-21,Maharashtra,64,0,0,0,
289,2020-03-22,Maharashtra,74,0,0,0,
313,2020-03-23,Maharashtra,89,0,0,0,
337,2020-03-24,Maharashtra,107,0,0,0,
363,2020-03-25,Maharashtra,122,0,0,0,
391,2020-03-26,Maharashtra,125,0,0,0,
419,2020-03-27,Maharashtra,153,0,0,0,
447,2020-03-28,Maharashtra,181,0,0,0,
475,2020-03-29,Maharashtra,203,25,8,0,
503,2020-03-30,Maharashtra,220,39,10,0,
533,2020-03-31,Maharashtra,302,39,11,0,
563,2020-04-01,Maharashtra,335,39,16,0,
594,2020-04-02,Maharashtra,423,42,21,0,
625,2020-04-03,Maharashtra,487,50,26,0,
656,2020-04-04,Maharashtra,635,52,32,0,
687,2020-04-05,Maharashtra,747,56,45,0,16008.0
718,2020-04-06,Maharashtra,868,70,52,0,17563.0
751,2020-04-07,Maharashtra,1018,79,64,0,20877.0
784,2020-04-08,Maharashtra,1135,117,72,0,20877.0
818,2020-04-09,Maharashtra,1364,125,97,0,20877.0
852,2020-04-10,Maharashtra,1574,188,110,0,30000.0
886,2020-04-11,Maharashtra,1761,208,127,0,31841.0
920,2020-04-12,Maharashtra,1982,217,149,0,35668.0
954,2020-04-13,Maharashtra,2334,229,160,0,39725.0
989,2020-04-14,Maharashtra,2680,259,178,0,41071.0
1024,2020-04-15,Maharashtra,2916,295,187,0,45142.0
1059,2020-04-16,Maharashtra,3201,300,194,0,50882.0
1094,2020-04-17,Maharashtra,3321,331,201,0,55678.0
1129,2020-04-18,Maharashtra,3648,365,211,0,60166.0
1164,2020-04-19,Maharashtra,4200,507,223,0,66796.0
1199,2020-04-20,Maharashtra,4666,572,232,0,71321.0
1234,2020-04-21,Maharashtra,5218,722,251,0,75838.0
1269,2020-04-22,Maharashtra,5649,789,269,0,82304.0
1304,2020-04-23,Maharashtra,6427,840,283,0,89197.0
1339,2020-04-24,Maharashtra,6817,957,301,0,95210.0
1374,2020-04-25,Maharashtra,7628,1076,323,0,100912.0
1409,2020-04-26,Maharashtra,8068,1188,342,0,107979.0
1444,2020-04-27,Maharashtra,8590,1282,369,0,115147.0
1479,2020-04-28,Maharashtra,9318,1388,400,0,120620.0
1514,2020-04-29,Maharashtra,9915,1593,432,0,128726.0
1549,2020-04-30,Maharashtra,10498,1773,459,0,135694.0
