,Date,State,Confirmed,Recovered,Deceased,Other,Tested
338,2020-03-24,Manipur,1,0,0,0,
364,2020-03-25,Manipur,1,0,0,0,
392,2020-03-26,Manipur,1,0,0,0,
420,2020-03-27,Manipur,1,0,0,0,
448,2020-03-28,Manipur,1,0,0,0,
476,2020-03-29,Manipur,1,0,0,0,
504,2020-03-30,Manipur,1,0,0,0,
534,2020-03-31,Manipur,1,0,0,0,
564,2020-04-01,Manipur,1,0,0,0,
595,2020-04-02,Manipur,2,0,0,0,
626,2020-04-03,Manipur,2,0,0,0,
657,2020-04-04,Manipur,2,0,0,0,
688,2020-04-05,Manipur,2,0,0,0,
719,2020-04-06,Manipur,2,1,0,0,
752,2020-04-07,Manipur,2,1,0,0,
785,2020-04-08,Manipur,2,1,0,0,
819,2020-04-09,Manipur,2,1,0,0,
853,2020-04-10,Manipur,2,1,0,0,
887,2020-04-11,Manipur,2,1,0,0,
921,2020-04-12,Manipur,2,1,0,0,
956,2020-04-13,Manipur,2,1,0,0,
991,2020-04-14,Manipur,2,1,0,0,276.0
1026,2020-04-15,Manipur,2,1,0,0,276.0
1061,2020-04-16,Manipur,2,1,0,0,276.0
1096,2020-04-17,Manipur,2,1,0,0,311.0
1131,2020-04-18,Manipur,2,1,0,0,311.0
1166,2020-04-19,Manipur,2,1,0,0,311.0
1201,2020-04-20,Manipur,2,2,0,0,311.0
1236,2020-04-21,Manipur,2,2,0,0,311.0
1271,2020-04-22,Manipur,2,2,0,0,311.0
1306,2020-04-23,Manipur,2,2,0,0,311.0
1341,2020-04-24,Manipur,2,2,0,0,402.0
1376,2020-04-25,Manipur,2,2,0,0,416.0
1411,2020-04-26,Manipur,2,2,0,0,416.0
1446,2020-04-27,Manipur,2,2,0,0,416.0
1481,2020-04-28,Manipur,2,2,0,0,416.0
1516,2020-04-29,Manipur,2,2,0,0,416.0
1551,2020-04-30,Manipur,2,2,0,0,459.0
1586,2020-05-01,Manipur,2,2,0,0,461.0
1621,2020-05-02,Manipur,2,2,0,0,468.0
1656,2020-05-03,Manipur,2,2,0,0,468.0
1691,2020-05-04,Manipur,2,2,0,0,571.0
1727,2020-05-05,Manipur,2,2,0,0,571.0
1763,2020-05-06,Manipur,2,2,0,0,571.0
1799,2020-05-07,Manipur,2,2,0,0,684.0
1835,2020-05-08,Manipur,2,2,0,0,756.0
1871,2020-05-09,Manipur,2,2,0,0,865.0
1907,2020-05-10,Manipur,2,2,0,0,1096.0
1943,2020-05-11,Manipur,2,2,0,0,1337.0
1979,2020-05-12,Manipur,2,2,0,0,1337.0
2015,2020-05-13,Manipur,2,2,0,0,1706.0
2051,2020-05-14,Manipur,3,2,0,0,1706.0
2087,2020-05-15,Manipur,3,2,0,0,1799.0
2123,2020-05-16,Manipur,7,2,0,0,1900.0
2159,2020-05-17,Manipur,7,2,0,0,1900.0
2195,2020-05-18,Manipur,7,2,0,0,2483.0
2231,2020-05-19,Manipur,9,2,0,0,2483.0
2268,2020-05-20,Manipur,25,2,0,0,3087.0
2305,2020-05-21,Manipur,25,2,0,0,3087.0
2342,2020-05-22,Manipur,26,2,0,0,3721.0
2379,2020-05-23,Manipur,29,2,0,0,4094.0
2416,2020-05-24,Manipur,32,4,0,0,4094.0
2453,2020-05-25,Manipur,36,4,0,0,5041.0
2490,2020-05-26,Manipur,39,4,0,0,6233.0
2527,2020-05-27,Manipur,44,4,0,0,6836.0
2564,2020-05-28,Manipur,55,4,0,0,7758.0
2601,2020-05-29,Manipur,59,6,0,0,8596.0
2638,2020-05-30,Manipur,60,6,0,0,8596.0
2675,2020-05-31,Manipur,71,11,0,0,8596.0
2712,2020-06-01,Manipur,83,11,0,0,8596.0
2749,2020-06-02,Manipur,89,14,0,0,8596.0
2786,2020-06-03,Manipur,108,38,0,0,12454.0
2823,2020-06-04,Manipur,124,38,0,0,12454.0
2860,2020-06-05,Manipur,132,38,0,0,14629.0
2897,2020-06-06,Manipur,157,52,0,0,14629.0
2934,2020-06-07,Manipur,172,52,0,0,17028.0
2971,2020-06-08,Manipur,272,58,0,0,17028.0
3008,2020-06-09,Manipur,304,64,0,0,18612.0
3045,2020-06-10,Manipur,311,64,0,0,19756.0
3082,2020-06-11,Manipur,366,73,0,0,20528.0
3119,2020-06-12,Manipur,385,73,0,0,20528.0
3156,2020-06-13,Manipur,449,73,0,0,24046.0
3193,2020-06-14,Manipur,458,91,0,0,25226.0
3230,2020-06-15,Manipur,490,151,0,0,26458.0
3267,2020-06-16,Manipur,500,159,0,0,26458.0
3304,2020-06-17,Manipur,552,192,0,0,29865.0
3341,2020-06-18,Manipur,606,199,0,0,30476.0
3378,2020-06-19,Manipur,681,218,0,0,32093.0
3415,2020-06-20,Manipur,777,232,0,0,32093.0
3452,2020-06-21,Manipur,841,250,0,0,35943.0
3489,2020-06-22,Manipur,898,250,0,0,38286.0
3526,2020-06-23,Manipur,921,258,0,0,40829.0
3563,2020-06-24,Manipur,970,328,0,0,43477.0
3600,2020-06-25,Manipur,1056,354,0,0,45253.0
3637,2020-06-26,Manipur,1075,393,0,0,45253.0
3674,2020-06-27,Manipur,1092,432,0,0,48220.0
3711,2020-06-28,Manipur,1185,455,0,0,48220.0
3748,2020-06-29,Manipur,1227,494,0,0,49882.0
3785,2020-06-30,Manipur,1234,553,0,0,49882.0
3822,2020-07-01,Manipur,1260,579,0,0,49882.0
3859,2020-07-02,Manipur,1279,616,0,0,53030.0
3896,2020-07-03,Manipur,1316,639,0,0,53608.0
3933,2020-07-04,Manipur,1325,667,0,0,54483.0
3970,2020-07-05,Manipur,1366,689,0,0,54483.0
4007,2020-07-06,Manipur,1390,734,0,0,56584.0
4044,2020-07-07,Manipur,1430,771,0,0,57769.0
4081,2020-07-08,Manipur,1435,793,0,0,57769.0
4118,2020-07-09,Manipur,1450,799,0,0,59740.0
4155,2020-07-10,Manipur,1582,832,0,0,60887.0
4192,2020-07-11,Manipur,1593,843,0,0,61897.0
4229,2020-07-12,Manipur,1609,896,0,0,63534.0
4266,2020-07-13,Manipur,1626,970,0,0,63534.0
4303,2020-07-14,Manipur,1672,1020,0,0,63534.0
4340,2020-07-15,Manipur,1700,1080,0,0,65866.0
4377,2020-07-16,Manipur,1764,1129,0,0,65866.0
4414,2020-07-17,Manipur,1800,1163,0,0,68554.0
4451,2020-07-18,Manipur,1891,1182,0,0,70195.0
4488,2020-07-19,Manipur,1911,1235,0,0,71016.0
4524,2020-07-20,Manipur,1925,1320,0,0,71703.0
4560,2020-07-21,Manipur,2015,1384,0,0,73053.0
4596,2020-07-22,Manipur,2060,1418,0,0,73866.0
4632,2020-07-23,Manipur,2115,1460,0,0,74614.0
4668,2020-07-24,Manipur,2146,1491,0,0,75932.0
4704,2020-07-25,Manipur,2176,1520,0,0,76992.0
4740,2020-07-26,Manipur,2235,1521,0,0,78368.0
4776,2020-07-27,Manipur,2286,1559,0,0,80055.0
4812,2020-07-28,Manipur,2317,1615,0,0,80603.0
4848,2020-07-29,Manipur,2458,1653,1,0,83111.0
4884,2020-07-30,Manipur,2505,1672,4,0,83111.0
4920,2020-07-31,Manipur,2621,1689,5,0,85441.0
4956,2020-08-01,Manipur,2756,1699,6,0,85441.0
4992,2020-08-02,Manipur,2831,1737,7,0,85441.0
5028,2020-08-03,Manipur,2922,1766,7,0,89403.0
5064,2020-08-04,Manipur,3020,1814,7,0,90901.0
5100,2020-08-05,Manipur,3095,1862,7,0,92617.0
5136,2020-08-06,Manipur,3219,1905,8,0,94808.0
5172,2020-08-07,Manipur,3468,1926,10,0,96837.0
5208,2020-08-08,Manipur,3637,1927,11,0,98819.0
5244,2020-08-09,Manipur,3755,2044,11,0,101230.0
5280,2020-08-10,Manipur,3855,2122,11,0,103268.0
5316,2020-08-11,Manipur,3943,2155,12,0,104263.0
5352,2020-08-12,Manipur,3984,2231,12,0,104263.0
5388,2020-08-13,Manipur,4114,2295,13,0,107469.0
5424,2020-08-14,Manipur,4200,2360,13,0,110026.0
5460,2020-08-15,Manipur,4392,2438,13,0,112780.0
5496,2020-08-16,Manipur,4571,2632,16,0,115041.0
5532,2020-08-17,Manipur,4689,2734,17,0,115041.0
5568,2020-08-18,Manipur,4767,2789,18,0,117299.0
5604,2020-08-19,Manipur,4878,2885,18,0,120135.0
5640,2020-08-20,Manipur,4927,3002,18,0,122778.0
5676,2020-08-21,Manipur,5051,3261,20,0,125230.0
5712,2020-08-22,Manipur,5134,3455,22,0,128468.0
5748,2020-08-23,Manipur,5248,3616,22,0,131709.0
5784,2020-08-24,Manipur,5364,3713,22,0,135399.0
5820,2020-08-25,Manipur,5446,3812,24,0,137384.0
5856,2020-08-26,Manipur,5587,3829,25,0,140610.0
5892,2020-08-27,Manipur,5727,3957,25,0,142813.0
5928,2020-08-28,Manipur,5845,4057,27,0,146140.0
5964,2020-08-29,Manipur,5962,4186,28,0,149155.0
6000,2020-08-30,Manipur,6114,4239,28,0,152229.0
6036,2020-08-31,Manipur,6254,4330,28,0,155216.0
6072,2020-09-01,Manipur,6384,4450,29,0,158098.0
6108,2020-09-02,Manipur,6509,4607,29,0,160871.0
6144,2020-09-03,Manipur,6611,4774,32,0,160871.0
6180,2020-09-04,Manipur,6701,4899,35,0,160871.0
6216,2020-09-05,Manipur,6885,4975,36,0,169093.0
6252,2020-09-06,Manipur,7024,5164,38,0,172650.0
6288,2020-09-07,Manipur,7108,5358,38,0,174731.0
6324,2020-09-08,Manipur,7204,5484,39,0,177002.0
6360,2020-09-09,Manipur,7364,5548,40,0,177002.0
6396,2020-09-10,Manipur,7472,5793,44,0,183083.0
6432,2020-09-11,Manipur,7581,6002,44,0,185925.0
6468,2020-09-12,Manipur,7733,6102,45,0,188526.0
6504,2020-09-13,Manipur,7877,6191,46,0,190914.0
6540,2020-09-14,Manipur,7973,6340,46,0,193048.0
6576,2020-09-15,Manipur,8212,6418,47,0,196010.0
6612,2020-09-16,Manipur,8322,6521,48,0,198837.0
6648,2020-09-17,Manipur,8432,6539,51,0,201670.0
6684,2020-09-18,Manipur,8609,6629,52,0,204871.0
6720,2020-09-19,Manipur,8726,6723,55,0,206986.0
6756,2020-09-20,Manipur,8896,6767,57,0,209863.0
6792,2020-09-21,Manipur,9012,6838,59,0,212175.0
6828,2020-09-22,Manipur,9282,6887,60,0,215614.0
6864,2020-09-23,Manipur,9378,7108,62,0,217880.0
6900,2020-09-24,Manipur,9539,7369,62,0,221490.0
6936,2020-09-25,Manipur,9793,7602,63,0,225166.0
6972,2020-09-26,Manipur,10053,7681,64,0,228546.0
7008,2020-09-27,Manipur,10301,7876,64,0,231305.0
7044,2020-09-28,Manipur,10479,7982,64,0,234066.0
7080,2020-09-29,Manipur,10748,8039,65,0,238516.0
7116,2020-09-30,Manipur,10985,8460,67,0,241648.0
7152,2020-10-01,Manipur,11113,8641,68,0,243870.0
7188,2020-10-02,Manipur,11399,8992,69,0,246769.0
7224,2020-10-03,Manipur,11651,9081,71,0,250089.0
7260,2020-10-04,Manipur,11857,9205,74,0,252437.0
7296,2020-10-05,Manipur,12107,9334,75,0,254209.0
