,Date,State,Confirmed,Recovered,Deceased,Other,Tested
955,2020-04-13,Meghalaya,1,0,0,0,
990,2020-04-14,Meghalaya,1,0,0,0,
1025,2020-04-15,Meghalaya,7,0,1,0,
1060,2020-04-16,Meghalaya,9,0,1,0,552.0
1095,2020-04-17,Meghalaya,9,0,1,0,617.0
1130,2020-04-18,Meghalaya,11,0,1,0,738.0
1165,2020-04-19,Meghalaya,11,0,1,0,766.0
1200,2020-04-20,Meghalaya,11,0,1,0,838.0
1235,2020-04-21,Meghalaya,12,0,1,0,933.0
1270,2020-04-22,Meghalaya,12,0,1,0,1046.0
1305,2020-04-23,Meghalaya,12,0,1,0,1109.0
1340,2020-04-24,Meghalaya,12,0,1,0,1130.0
1375,2020-04-25,Meghalaya,12,0,1,0,1169.0
1410,2020-04-26,Meghalaya,12,0,1,0,1169.0
1445,2020-04-27,Meghalaya,12,0,1,0,1254.0
1480,2020-04-28,Meghalaya,12,0,1,0,1382.0
1515,2020-04-29,Meghalaya,12,0,1,0,1397.0
1550,2020-04-30,Meghalaya,12,0,1,0,1595.0
1585,2020-05-01,Meghalaya,12,10,1,0,1595.0
1620,2020-05-02,Meghalaya,12,10,1,0,1707.0
1655,2020-05-03,Meghalaya,12,10,1,0,1707.0
1690,2020-05-04,Meghalaya,12,10,1,0,1884.0
1726,2020-05-05,Meghalaya,12,10,1,0,1944.0
1762,2020-05-06,Meghalaya,12,10,1,0,1944.0
1798,2020-05-07,Meghalaya,12,10,1,0,2054.0
1834,2020-05-08,Meghalaya,12,10,1,0,2054.0
1870,2020-05-09,Meghalaya,13,10,1,0,2287.0
1906,2020-05-10,Meghalaya,13,10,1,0,2287.0
1942,2020-05-11,Meghalaya,13,10,1,0,2480.0
1978,2020-05-12,Meghalaya,13,10,1,0,2480.0
2014,2020-05-13,Meghalaya,13,11,1,0,2480.0
2050,2020-05-14,Meghalaya,13,11,1,0,2480.0
2086,2020-05-15,Meghalaya,13,11,1,0,2712.0
2122,2020-05-16,Meghalaya,13,11,1,0,2712.0
2158,2020-05-17,Meghalaya,13,11,1,0,2712.0
2194,2020-05-18,Meghalaya,13,12,1,0,2896.0
2230,2020-05-19,Meghalaya,13,12,1,0,3104.0
2267,2020-05-20,Meghalaya,14,12,1,0,3419.0
2304,2020-05-21,Meghalaya,14,12,1,0,3419.0
2341,2020-05-22,Meghalaya,14,12,1,0,3682.0
2378,2020-05-23,Meghalaya,14,12,1,0,3682.0
2415,2020-05-24,Meghalaya,14,12,1,0,3682.0
2452,2020-05-25,Meghalaya,15,12,1,0,3682.0
