,Date,State,Confirmed,Recovered,Deceased,Other,Tested
366,2020-03-25,Mizoram,1,0,0,0,
394,2020-03-26,Mizoram,1,0,0,0,
422,2020-03-27,Mizoram,1,0,0,0,
450,2020-03-28,Mizoram,1,0,0,0,
478,2020-03-29,Mizoram,1,0,0,0,
506,2020-03-30,Mizoram,1,0,0,0,
536,2020-03-31,Mizoram,1,0,0,0,
566,2020-04-01,Mizoram,1,0,0,0,
597,2020-04-02,Mizoram,1,0,0,0,
628,2020-04-03,Mizoram,1,0,0,0,
659,2020-04-04,Mizoram,1,0,0,0,
690,2020-04-05,Mizoram,1,0,0,0,
721,2020-04-06,Mizoram,1,0,0,0,58.0
754,2020-04-07,Mizoram,1,0,0,0,58.0
787,2020-04-08,Mizoram,1,0,0,0,74.0
821,2020-04-09,Mizoram,1,0,0,0,84.0
855,2020-04-10,Mizoram,1,0,0,0,84.0
889,2020-04-11,Mizoram,1,0,0,0,84.0
923,2020-04-12,Mizoram,1,0,0,0,87.0
958,2020-04-13,Mizoram,1,0,0,0,89.0
993,2020-04-14,Mizoram,1,0,0,0,91.0
1028,2020-04-15,Mizoram,1,0,0,0,94.0
1063,2020-04-16,Mizoram,1,0,0,0,94.0
1098,2020-04-17,Mizoram,1,0,0,0,94.0
1133,2020-04-18,Mizoram,1,0,0,0,102.0
1168,2020-04-19,Mizoram,1,0,0,0,116.0
1203,2020-04-20,Mizoram,1,0,0,0,132.0
1238,2020-04-21,Mizoram,1,0,0,0,135.0
1273,2020-04-22,Mizoram,1,0,0,0,135.0
1308,2020-04-23,Mizoram,1,0,0,0,137.0
1343,2020-04-24,Mizoram,1,0,0,0,137.0
1378,2020-04-25,Mizoram,1,0,0,0,137.0
1413,2020-04-26,Mizoram,1,0,0,0,146.0
1448,2020-04-27,Mizoram,1,0,0,0,146.0
1483,2020-04-28,Mizoram,1,0,0,0,158.0
1518,2020-04-29,Mizoram,1,0,0,0,179.0
1553,2020-04-30,Mizoram,1,0,0,0,180.0
1588,2020-05-01,Mizoram,1,0,0,0,180.0
1623,2020-05-02,Mizoram,1,0,0,0,183.0
1658,2020-05-03,Mizoram,1,0,0,0,183.0
1693,2020-05-04,Mizoram,1,0,0,0,183.0
1729,2020-05-05,Mizoram,1,1,0,0,188.0
1765,2020-05-06,Mizoram,1,1,0,0,195.0
1801,2020-05-07,Mizoram,1,1,0,0,197.0
1837,2020-05-08,Mizoram,1,1,0,0,199.0
1873,2020-05-09,Mizoram,1,1,0,0,201.0
1909,2020-05-10,Mizoram,1,1,0,0,201.0
1945,2020-05-11,Mizoram,1,1,0,0,206.0
1981,2020-05-12,Mizoram,1,1,0,0,224.0
2017,2020-05-13,Mizoram,1,1,0,0,224.0
2053,2020-05-14,Mizoram,1,1,0,0,273.0
2089,2020-05-15,Mizoram,1,1,0,0,273.0
2125,2020-05-16,Mizoram,1,1,0,0,282.0
2161,2020-05-17,Mizoram,1,1,0,0,282.0
2197,2020-05-18,Mizoram,1,1,0,0,301.0
2233,2020-05-19,Mizoram,1,1,0,0,313.0
2270,2020-05-20,Mizoram,1,1,0,0,315.0
2307,2020-05-21,Mizoram,1,1,0,0,320.0
2344,2020-05-22,Mizoram,1,1,0,0,324.0
2381,2020-05-23,Mizoram,1,1,0,0,336.0
2418,2020-05-24,Mizoram,1,1,0,0,342.0
2455,2020-05-25,Mizoram,1,1,0,0,359.0
2492,2020-05-26,Mizoram,1,1,0,0,438.0
2529,2020-05-27,Mizoram,1,1,0,0,438.0
2566,2020-05-28,Mizoram,1,1,0,0,516.0
2603,2020-05-29,Mizoram,1,1,0,0,529.0
2640,2020-05-30,Mizoram,1,1,0,0,686.0
2677,2020-05-31,Mizoram,1,1,0,0,777.0
2714,2020-06-01,Mizoram,1,1,0,0,896.0
2751,2020-06-02,Mizoram,13,1,0,0,1012.0
2788,2020-06-03,Mizoram,14,1,0,0,1095.0
2825,2020-06-04,Mizoram,17,1,0,0,1346.0
2862,2020-06-05,Mizoram,24,1,0,0,1687.0
2899,2020-06-06,Mizoram,24,1,0,0,1991.0
2936,2020-06-07,Mizoram,34,1,0,0,2252.0
2973,2020-06-08,Mizoram,42,1,0,0,2496.0
3010,2020-06-09,Mizoram,88,1,0,0,2747.0
3047,2020-06-10,Mizoram,93,1,0,0,2747.0
3084,2020-06-11,Mizoram,102,1,0,0,3152.0
3121,2020-06-12,Mizoram,104,1,0,0,3152.0
3158,2020-06-13,Mizoram,110,1,0,0,3727.0
3195,2020-06-14,Mizoram,112,1,0,0,4327.0
3232,2020-06-15,Mizoram,117,1,0,0,4919.0
3269,2020-06-16,Mizoram,121,1,0,0,5524.0
3306,2020-06-17,Mizoram,121,1,0,0,6035.0
3343,2020-06-18,Mizoram,130,1,0,0,6661.0
3380,2020-06-19,Mizoram,130,9,0,0,7496.0
3417,2020-06-20,Mizoram,140,9,0,0,8284.0
3454,2020-06-21,Mizoram,141,9,0,0,8718.0
3491,2020-06-22,Mizoram,142,12,0,0,9277.0
3528,2020-06-23,Mizoram,142,19,0,0,9840.0
3565,2020-06-24,Mizoram,145,24,0,0,10486.0
3602,2020-06-25,Mizoram,145,30,0,0,11672.0
3639,2020-06-26,Mizoram,147,47,0,0,12753.0
3676,2020-06-27,Mizoram,150,55,0,0,12846.0
3713,2020-06-28,Mizoram,151,55,0,0,13012.0
3750,2020-06-29,Mizoram,151,61,0,0,13072.0
3787,2020-06-30,Mizoram,160,122,0,0,13746.0
3824,2020-07-01,Mizoram,160,123,0,0,13886.0
3861,2020-07-02,Mizoram,162,126,0,0,13931.0
3898,2020-07-03,Mizoram,162,127,0,0,14370.0
3935,2020-07-04,Mizoram,164,130,0,0,14509.0
3972,2020-07-05,Mizoram,186,133,0,0,14981.0
4009,2020-07-06,Mizoram,197,133,0,0,15006.0
4046,2020-07-07,Mizoram,198,139,0,0,15058.0
4083,2020-07-08,Mizoram,203,143,0,0,15183.0
4120,2020-07-09,Mizoram,203,143,0,0,15523.0
4157,2020-07-10,Mizoram,226,143,0,0,15868.0
4194,2020-07-11,Mizoram,227,150,0,0,16396.0
4231,2020-07-12,Mizoram,231,150,0,0,16696.0
4268,2020-07-13,Mizoram,233,151,0,0,16914.0
4305,2020-07-14,Mizoram,238,159,0,0,16914.0
4342,2020-07-15,Mizoram,238,159,0,0,17168.0
4379,2020-07-16,Mizoram,272,160,0,0,17489.0
4416,2020-07-17,Mizoram,282,160,0,0,17760.0
4453,2020-07-18,Mizoram,284,167,0,0,17963.0
4490,2020-07-19,Mizoram,284,167,0,0,18147.0
4526,2020-07-20,Mizoram,297,168,0,0,18147.0
4562,2020-07-21,Mizoram,297,168,0,0,18297.0
4598,2020-07-22,Mizoram,317,179,0,0,18603.0
4634,2020-07-23,Mizoram,326,183,0,0,19014.0
4670,2020-07-24,Mizoram,332,183,0,0,19238.0
4706,2020-07-25,Mizoram,361,183,0,0,19781.0
4742,2020-07-26,Mizoram,361,193,0,0,20053.0
4778,2020-07-27,Mizoram,361,193,0,0,20053.0
4814,2020-07-28,Mizoram,384,198,0,0,20442.0
4850,2020-07-29,Mizoram,395,215,0,0,20597.0
4886,2020-07-30,Mizoram,408,234,0,0,20798.0
4922,2020-07-31,Mizoram,408,247,0,0,21118.0
4958,2020-08-01,Mizoram,413,253,0,0,21294.0
4994,2020-08-02,Mizoram,470,258,0,0,21523.0
5030,2020-08-03,Mizoram,496,266,0,0,21583.0
5066,2020-08-04,Mizoram,502,282,0,0,21845.0
5102,2020-08-05,Mizoram,505,286,0,0,21956.0
5138,2020-08-06,Mizoram,538,288,0,0,22211.0
5174,2020-08-07,Mizoram,559,288,0,0,22211.0
5210,2020-08-08,Mizoram,567,296,0,0,22211.0
5246,2020-08-09,Mizoram,608,298,0,0,23324.0
5282,2020-08-10,Mizoram,620,323,0,0,23702.0
5318,2020-08-11,Mizoram,623,323,0,0,23848.0
5354,2020-08-12,Mizoram,648,330,0,0,24895.0
5390,2020-08-13,Mizoram,649,343,0,0,25054.0
5426,2020-08-14,Mizoram,657,347,0,0,25472.0
5462,2020-08-15,Mizoram,713,356,0,0,25929.0
5498,2020-08-16,Mizoram,777,371,0,0,26611.0
5534,2020-08-17,Mizoram,789,372,0,0,27115.0
5570,2020-08-18,Mizoram,815,379,0,0,27388.0
5606,2020-08-19,Mizoram,860,384,0,0,28076.0
5642,2020-08-20,Mizoram,874,402,0,0,28976.0
5678,2020-08-21,Mizoram,895,420,0,0,30753.0
5714,2020-08-22,Mizoram,903,421,0,0,32391.0
5750,2020-08-23,Mizoram,918,459,0,0,33486.0
5786,2020-08-24,Mizoram,918,461,0,0,33507.0
5822,2020-08-25,Mizoram,953,464,0,0,35214.0
5858,2020-08-26,Mizoram,967,473,0,0,36240.0
5894,2020-08-27,Mizoram,974,500,0,0,37452.0
5930,2020-08-28,Mizoram,1003,514,0,0,38534.0
5966,2020-08-29,Mizoram,1003,584,0,0,38906.0
6002,2020-08-30,Mizoram,1008,589,0,0,40383.0
6038,2020-08-31,Mizoram,1011,589,0,0,40797.0
6074,2020-09-01,Mizoram,1012,610,0,0,41683.0
6110,2020-09-02,Mizoram,1020,659,0,0,42332.0
6146,2020-09-03,Mizoram,1040,669,0,0,42977.0
6182,2020-09-04,Mizoram,1046,681,0,0,43846.0
6218,2020-09-05,Mizoram,1062,713,0,0,44803.0
6254,2020-09-06,Mizoram,1093,732,0,0,45073.0
6290,2020-09-07,Mizoram,1114,732,0,0,45153.0
6326,2020-09-08,Mizoram,1123,745,0,0,45925.0
6362,2020-09-09,Mizoram,1192,750,0,0,46414.0
6398,2020-09-10,Mizoram,1333,750,0,0,46638.0
6434,2020-09-11,Mizoram,1353,790,0,0,47214.0
6470,2020-09-12,Mizoram,1379,823,0,0,49091.0
6506,2020-09-13,Mizoram,1414,830,0,0,50259.0
6542,2020-09-14,Mizoram,1428,919,0,0,51316.0
6578,2020-09-15,Mizoram,1468,922,0,0,52622.0
6614,2020-09-16,Mizoram,1480,929,0,0,54199.0
6650,2020-09-17,Mizoram,1506,949,0,0,55463.0
6686,2020-09-18,Mizoram,1534,973,0,0,57012.0
6722,2020-09-19,Mizoram,1548,989,0,0,59015.0
6758,2020-09-20,Mizoram,1578,1002,0,0,60759.0
6794,2020-09-21,Mizoram,1585,1012,0,0,62407.0
6830,2020-09-22,Mizoram,1691,1023,0,0,64312.0
6866,2020-09-23,Mizoram,1713,1095,0,0,66320.0
6902,2020-09-24,Mizoram,1759,1104,0,0,68340.0
6938,2020-09-25,Mizoram,1786,1288,0,0,70483.0
6974,2020-09-26,Mizoram,1835,1316,0,0,72410.0
7010,2020-09-27,Mizoram,1865,1368,0,0,74326.0
7046,2020-09-28,Mizoram,1908,1417,0,0,75552.0
7082,2020-09-29,Mizoram,1958,1548,0,0,76976.0
7118,2020-09-30,Mizoram,1986,1598,0,0,78491.0
7154,2020-10-01,Mizoram,2018,1721,0,0,79743.0
7190,2020-10-02,Mizoram,2049,1736,0,0,80859.0
7226,2020-10-03,Mizoram,2103,1772,0,0,81967.0
7262,2020-10-04,Mizoram,2120,1791,0,0,82667.0
7298,2020-10-05,Mizoram,2120,1837,0,0,83092.0
7334,2020-10-06,Mizoram,2128,1887,0,0,83965.0
7370,2020-10-07,Mizoram,2148,1895,0,0,84822.0
7406,2020-10-08,Mizoram,2150,1926,0,0,85701.0
7442,2020-10-09,Mizoram,2157,1974,0,0,85986.0
7478,2020-10-10,Mizoram,2162,1984,0,0,87240.0
7514,2020-10-11,Mizoram,2175,2010,0,0,87699.0
7550,2020-10-12,Mizoram,2184,2046,0,0,88551.0
7586,2020-10-13,Mizoram,2202,2093,0,0,89795.0
7622,2020-10-14,Mizoram,2212,2108,0,0,90748.0
7658,2020-10-15,Mizoram,2220,2121,0,0,92151.0
7694,2020-10-16,Mizoram,2229,2127,0,0,93584.0
7730,2020-10-17,Mizoram,2245,2137,0,0,95288.0
7766,2020-10-18,Mizoram,2253,2148,0,0,95288.0
7802,2020-10-19,Mizoram,2253,2151,0,0,96427.0
7838,2020-10-20,Mizoram,2280,2163,0,0,97664.0
7874,2020-10-21,Mizoram,2310,2174,0,0,99424.0
7910,2020-10-22,Mizoram,2341,2175,0,0,100553.0
7946,2020-10-23,Mizoram,2359,2184,0,0,101868.0
7982,2020-10-24,Mizoram,2389,2194,0,0,102952.0
8018,2020-10-25,Mizoram,2447,2194,0,0,104131.0
8054,2020-10-26,Mizoram,2493,2209,0,0,104545.0
8090,2020-10-27,Mizoram,2527,2224,0,0,106304.0
8126,2020-10-28,Mizoram,2607,2238,1,0,107811.0
8162,2020-10-29,Mizoram,2656,2256,1,0,109476.0
8198,2020-10-30,Mizoram,2694,2270,1,0,111058.0
8234,2020-10-31,Mizoram,2722,2291,1,0,112216.0
8270,2020-11-01,Mizoram,2756,2299,1,0,113915.0
8306,2020-11-02,Mizoram,2757,2347,1,0,114065.0
8342,2020-11-03,Mizoram,2792,2374,1,0,115980.0
8378,2020-11-04,Mizoram,2893,2435,1,0,117038.0
8414,2020-11-05,Mizoram,2958,2473,2,0,118253.0
8450,2020-11-06,Mizoram,2990,2485,2,0,119661.0
8486,2020-11-07,Mizoram,3032,2526,2,0,121633.0
8522,2020-11-08,Mizoram,3090,2618,2,0,123015.0
