,Date,State,Confirmed,Recovered,Deceased,Other,Tested
722,2020-04-06,Nagaland,0,0,0,0,60.0
755,2020-04-07,Nagaland,0,0,0,0,60.0
788,2020-04-08,Nagaland,0,0,0,0,60.0
822,2020-04-09,Nagaland,0,0,0,0,60.0
856,2020-04-10,Nagaland,0,0,0,0,70.0
890,2020-04-11,Nagaland,0,0,0,0,70.0
924,2020-04-12,Nagaland,0,0,0,0,74.0
959,2020-04-13,Nagaland,0,0,0,0,74.0
994,2020-04-14,Nagaland,0,0,0,0,174.0
1029,2020-04-15,Nagaland,0,0,0,0,184.0
1064,2020-04-16,Nagaland,0,0,0,0,184.0
1099,2020-04-17,Nagaland,0,0,0,0,274.0
1134,2020-04-18,Nagaland,0,0,0,0,392.0
1169,2020-04-19,Nagaland,0,0,0,0,404.0
1204,2020-04-20,Nagaland,0,0,0,0,434.0
1239,2020-04-21,Nagaland,0,0,0,0,537.0
1274,2020-04-22,Nagaland,0,0,0,0,543.0
1309,2020-04-23,Nagaland,0,0,0,0,607.0
1344,2020-04-24,Nagaland,0,0,0,0,607.0
1379,2020-04-25,Nagaland,0,0,0,0,613.0
1414,2020-04-26,Nagaland,0,0,0,0,613.0
1449,2020-04-27,Nagaland,0,0,0,0,629.0
1484,2020-04-28,Nagaland,0,0,0,0,639.0
1519,2020-04-29,Nagaland,0,0,0,0,644.0
1554,2020-04-30,Nagaland,0,0,0,0,653.0
1589,2020-05-01,Nagaland,0,0,0,0,664.0
1624,2020-05-02,Nagaland,0,0,0,0,674.0
1659,2020-05-03,Nagaland,0,0,0,0,684.0
1694,2020-05-04,Nagaland,0,0,0,0,708.0
1730,2020-05-05,Nagaland,0,0,0,0,724.0
1766,2020-05-06,Nagaland,0,0,0,0,763.0
1802,2020-05-07,Nagaland,0,0,0,0,786.0
1838,2020-05-08,Nagaland,0,0,0,0,805.0
1874,2020-05-09,Nagaland,0,0,0,0,848.0
1910,2020-05-10,Nagaland,0,0,0,0,862.0
1946,2020-05-11,Nagaland,0,0,0,0,875.0
1982,2020-05-12,Nagaland,0,0,0,0,882.0
2018,2020-05-13,Nagaland,0,0,0,0,889.0
2054,2020-05-14,Nagaland,0,0,0,0,891.0
2090,2020-05-15,Nagaland,0,0,0,0,910.0
2126,2020-05-16,Nagaland,0,0,0,0,917.0
2162,2020-05-17,Nagaland,0,0,0,0,952.0
2198,2020-05-18,Nagaland,0,0,0,0,961.0
2234,2020-05-19,Nagaland,0,0,0,0,978.0
2271,2020-05-20,Nagaland,0,0,0,0,985.0
2308,2020-05-21,Nagaland,0,0,0,0,1001.0
2345,2020-05-22,Nagaland,0,0,0,0,1035.0
2382,2020-05-23,Nagaland,0,0,0,0,1065.0
2419,2020-05-24,Nagaland,0,0,0,0,1097.0
2456,2020-05-25,Nagaland,3,0,0,0,1366.0
2493,2020-05-26,Nagaland,4,0,0,0,1366.0
2530,2020-05-27,Nagaland,9,0,0,0,1554.0
2567,2020-05-28,Nagaland,18,0,0,0,1765.0
2604,2020-05-29,Nagaland,25,0,0,0,1997.0
2641,2020-05-30,Nagaland,36,0,0,0,2210.0
2678,2020-05-31,Nagaland,43,0,0,0,2576.0
2715,2020-06-01,Nagaland,43,0,0,0,2870.0
2752,2020-06-02,Nagaland,49,0,0,0,3257.0
2789,2020-06-03,Nagaland,58,0,0,0,3414.0
2826,2020-06-04,Nagaland,80,0,0,0,3739.0
2863,2020-06-05,Nagaland,107,0,0,0,3974.0
2900,2020-06-06,Nagaland,107,8,0,0,4061.0
2937,2020-06-07,Nagaland,116,8,0,0,4371.0
2974,2020-06-08,Nagaland,122,8,0,0,4729.0
3011,2020-06-09,Nagaland,127,10,0,0,4896.0
3048,2020-06-10,Nagaland,128,22,0,0,5220.0
3085,2020-06-11,Nagaland,130,29,0,0,5667.0
3122,2020-06-12,Nagaland,156,57,0,0,6104.0
3159,2020-06-13,Nagaland,163,84,0,0,6466.0
3196,2020-06-14,Nagaland,173,88,0,0,6478.0
3233,2020-06-15,Nagaland,177,88,0,0,7132.0
3270,2020-06-16,Nagaland,179,103,0,0,7835.0
3307,2020-06-17,Nagaland,193,103,0,0,8387.0
3344,2020-06-18,Nagaland,193,109,0,0,9039.0
3381,2020-06-19,Nagaland,198,125,0,0,10102.0
3418,2020-06-20,Nagaland,201,138,0,0,9128.0
3455,2020-06-21,Nagaland,211,141,0,0,9971.0
3492,2020-06-22,Nagaland,280,141,0,0,10599.0
3529,2020-06-23,Nagaland,330,141,0,0,11173.0
3566,2020-06-24,Nagaland,347,148,0,0,11867.0
3603,2020-06-25,Nagaland,355,160,0,0,12546.0
3640,2020-06-26,Nagaland,371,162,0,0,13085.0
3677,2020-06-27,Nagaland,387,164,0,0,14217.0
3714,2020-06-28,Nagaland,415,164,0,0,15240.0
3751,2020-06-29,Nagaland,451,168,0,0,15905.0
3788,2020-06-30,Nagaland,459,168,0,0,16563.0
3825,2020-07-01,Nagaland,501,182,0,0,17177.0
3862,2020-07-02,Nagaland,535,197,0,0,17887.0
3899,2020-07-03,Nagaland,539,228,0,0,18635.0
3936,2020-07-04,Nagaland,563,228,0,0,19263.0
3973,2020-07-05,Nagaland,590,231,0,0,19867.0
4010,2020-07-06,Nagaland,625,243,0,0,20484.0
4047,2020-07-07,Nagaland,644,303,0,0,21209.0
4084,2020-07-08,Nagaland,657,304,0,0,21980.0
4121,2020-07-09,Nagaland,673,304,0,0,22697.0
4158,2020-07-10,Nagaland,732,304,0,0,23402.0
4195,2020-07-11,Nagaland,748,313,0,0,24065.0
4232,2020-07-12,Nagaland,774,327,0,0,24985.0
4269,2020-07-13,Nagaland,845,340,0,0,26151.0
4306,2020-07-14,Nagaland,896,346,0,0,26927.0
4343,2020-07-15,Nagaland,902,348,0,0,27421.0
4380,2020-07-16,Nagaland,916,391,0,0,28020.0
4417,2020-07-17,Nagaland,956,405,0,0,28472.0
4454,2020-07-18,Nagaland,978,432,0,0,29092.0
4491,2020-07-19,Nagaland,988,445,0,0,29326.0
4527,2020-07-20,Nagaland,1021,484,0,0,29994.0
4563,2020-07-21,Nagaland,1030,485,0,0,30574.0
4599,2020-07-22,Nagaland,1084,486,0,0,31503.0
4635,2020-07-23,Nagaland,1174,530,0,0,32169.0
4671,2020-07-24,Nagaland,1239,537,1,0,32909.0
4707,2020-07-25,Nagaland,1289,541,4,0,33704.0
4743,2020-07-26,Nagaland,1339,549,4,0,34389.0
4779,2020-07-27,Nagaland,1385,569,5,0,34968.0
4815,2020-07-28,Nagaland,1460,577,4,1,35676.0
4851,2020-07-29,Nagaland,1513,595,4,1,36355.0
4887,2020-07-30,Nagaland,1566,625,4,2,37156.0
4923,2020-07-31,Nagaland,1693,635,4,2,37895.0
4959,2020-08-01,Nagaland,1831,640,4,4,38634.0
4995,2020-08-02,Nagaland,1935,648,4,4,39292.0
5031,2020-08-03,Nagaland,2129,657,4,4,40293.0
5067,2020-08-04,Nagaland,2405,659,4,4,41367.0
5103,2020-08-05,Nagaland,2498,685,6,3,42029.0
5139,2020-08-06,Nagaland,2580,819,6,3,42900.0
5175,2020-08-07,Nagaland,2657,824,7,2,43911.0
5211,2020-08-08,Nagaland,2688,893,7,3,44566.0
5247,2020-08-09,Nagaland,2781,904,8,3,45564.0
5283,2020-08-10,Nagaland,3011,973,8,3,46518.0
5319,2020-08-11,Nagaland,3031,985,7,7,47008.0
5355,2020-08-12,Nagaland,3118,1113,7,7,47939.0
5391,2020-08-13,Nagaland,3168,1139,7,7,48445.0
5427,2020-08-14,Nagaland,3322,1198,7,7,49534.0
5463,2020-08-15,Nagaland,3340,1321,7,7,50200.0
5499,2020-08-16,Nagaland,3394,1422,7,7,50946.0
5535,2020-08-17,Nagaland,3455,1530,7,7,51483.0
5571,2020-08-18,Nagaland,3520,1664,7,7,52139.0
5607,2020-08-19,Nagaland,3558,1706,7,7,52672.0
5643,2020-08-20,Nagaland,3583,1921,7,7,54047.0
5679,2020-08-21,Nagaland,3619,2074,7,7,54660.0
5715,2020-08-22,Nagaland,3635,2166,8,8,55479.0
5751,2020-08-23,Nagaland,3686,2294,8,8,56340.0
5787,2020-08-24,Nagaland,3714,2396,8,9,56901.0
5823,2020-08-25,Nagaland,3752,2611,8,10,57426.0
5859,2020-08-26,Nagaland,3778,2611,8,10,58053.0
5895,2020-08-27,Nagaland,3784,2735,8,10,58431.0
5931,2020-08-28,Nagaland,3805,2850,8,10,58782.0
5967,2020-08-29,Nagaland,3851,2908,8,10,59413.0
6003,2020-08-30,Nagaland,3922,3017,8,10,60225.0
6039,2020-08-31,Nagaland,3950,3058,8,10,60865.0
6075,2020-09-01,Nagaland,4003,3191,8,10,61539.0
6111,2020-09-02,Nagaland,4017,3213,8,11,62404.0
6147,2020-09-03,Nagaland,4066,3314,8,12,63159.0
6183,2020-09-04,Nagaland,4107,3351,8,12,64092.0
6219,2020-09-05,Nagaland,4128,3419,8,12,64803.0
6255,2020-09-06,Nagaland,4178,3496,8,12,65555.0
6291,2020-09-07,Nagaland,4220,3674,8,13,66061.0
6327,2020-09-08,Nagaland,4245,3728,8,13,66444.0
6363,2020-09-09,Nagaland,4375,3776,8,13,67268.0
6399,2020-09-10,Nagaland,4636,3781,8,13,68141.0
6435,2020-09-11,Nagaland,4946,3791,8,13,69050.0
6471,2020-09-12,Nagaland,5064,3822,8,13,69666.0
6507,2020-09-13,Nagaland,5083,3883,8,20,70171.0
6543,2020-09-14,Nagaland,5214,3897,8,20,70622.0
6579,2020-09-15,Nagaland,5229,3927,10,23,70994.0
6615,2020-09-16,Nagaland,5263,3968,10,24,71631.0
6651,2020-09-17,Nagaland,5306,4079,10,24,72077.0
6687,2020-09-18,Nagaland,5357,4108,10,26,72596.0
6723,2020-09-19,Nagaland,5392,4150,10,26,72807.0
6759,2020-09-20,Nagaland,5451,4228,10,29,73611.0
6795,2020-09-21,Nagaland,5544,4451,10,31,74423.0
6831,2020-09-22,Nagaland,5604,4491,10,31,74978.0
6867,2020-09-23,Nagaland,5671,4509,11,32,75435.0
6903,2020-09-24,Nagaland,5730,4598,11,33,76072.0
6939,2020-09-25,Nagaland,5768,4693,11,37,76682.0
6975,2020-09-26,Nagaland,5862,4782,11,42,77364.0
7011,2020-09-27,Nagaland,5946,4848,11,45,77953.0
7047,2020-09-28,Nagaland,5957,4897,12,46,78280.0
7083,2020-09-29,Nagaland,6040,4942,12,49,78853.0
7119,2020-09-30,Nagaland,6163,5025,12,51,79713.0
7155,2020-10-01,Nagaland,6244,5099,12,55,80426.0
7191,2020-10-02,Nagaland,6318,5166,12,55,81109.0
7227,2020-10-03,Nagaland,6429,5212,12,55,81538.0
7263,2020-10-04,Nagaland,6552,5263,12,56,81989.0
7299,2020-10-05,Nagaland,6594,5377,12,56,82417.0
7335,2020-10-06,Nagaland,6662,5414,12,57,82968.0
7371,2020-10-07,Nagaland,6715,5450,12,59,83560.0
7407,2020-10-08,Nagaland,6736,5516,12,59,84033.0
7443,2020-10-09,Nagaland,6888,5608,12,59,84777.0
7479,2020-10-10,Nagaland,6949,5641,12,64,85196.0
7515,2020-10-11,Nagaland,7019,5690,12,64,85973.0
7551,2020-10-12,Nagaland,7240,5760,13,64,87014.0
7587,2020-10-13,Nagaland,7363,5778,14,66,87666.0
7623,2020-10-14,Nagaland,7416,5860,17,66,88447.0
7659,2020-10-15,Nagaland,7492,5960,17,67,88459.0
7695,2020-10-16,Nagaland,7604,6051,17,70,89203.0
7731,2020-10-17,Nagaland,7698,6077,21,71,89735.0
7767,2020-10-18,Nagaland,7816,6142,21,71,90407.0
7803,2020-10-19,Nagaland,7953,6208,21,72,91154.0
7839,2020-10-20,Nagaland,8020,6268,21,72,91678.0
7875,2020-10-21,Nagaland,8139,6361,21,72,92889.0
7911,2020-10-22,Nagaland,8296,6400,21,72,93381.0
7947,2020-10-23,Nagaland,8436,6501,21,72,93929.0
7983,2020-10-24,Nagaland,8515,6598,24,78,94496.0
8019,2020-10-25,Nagaland,8626,6653,25,83,95168.0
8055,2020-10-26,Nagaland,8700,6720,33,83,95524.0
8091,2020-10-27,Nagaland,8763,6755,33,73,95968.0
8127,2020-10-28,Nagaland,8824,6869,34,81,96714.0
8163,2020-10-29,Nagaland,8894,7019,35,82,97298.0
8199,2020-10-30,Nagaland,8945,7229,39,81,97719.0
8235,2020-10-31,Nagaland,9047,7375,39,81,98271.0
8271,2020-11-01,Nagaland,9075,7454,39,83,98575.0
8307,2020-11-02,Nagaland,9096,7606,42,85,98836.0
8343,2020-11-03,Nagaland,9151,7786,42,85,99362.0
8379,2020-11-04,Nagaland,9207,7934,44,86,100002.0
8415,2020-11-05,Nagaland,9264,8078,45,86,100534.0
8451,2020-11-06,Nagaland,9327,8195,45,90,102234.0
8487,2020-11-07,Nagaland,9455,8249,45,90,102862.0
8523,2020-11-08,Nagaland,9474,8350,46,93,101801.0
8559,2020-11-09,Nagaland,9503,8423,46,93,102210.0
8595,2020-11-10,Nagaland,9536,8505,50,95,102562.0
8631,2020-11-11,Nagaland,9578,8595,50,95,103037.0
8667,2020-11-12,Nagaland,9615,8683,50,96,103513.0
8703,2020-11-13,Nagaland,9638,8764,52,96,103856.0
8739,2020-11-14,Nagaland,9750,8794,52,99,104157.0
8775,2020-11-15,Nagaland,9885,8814,52,103,104878.0
8811,2020-11-16,Nagaland,10025,8860,53,103,105213.0
8847,2020-11-17,Nagaland,10188,8897,53,104,124809.0
8883,2020-11-18,Nagaland,10366,8955,54,106,106738.0
8919,2020-11-19,Nagaland,10460,9007,54,107,107276.0
8955,2020-11-20,Nagaland,10608,9104,56,108,108054.0
8991,2020-11-21,Nagaland,10674,9137,57,110,108781.0
9027,2020-11-22,Nagaland,10777,9203,59,109,109416.0
9063,2020-11-23,Nagaland,10852,9241,61,108,109931.0
9099,2020-11-24,Nagaland,10931,9291,61,108,110382.0
9135,2020-11-25,Nagaland,10991,9357,61,108,110864.0
9171,2020-11-26,Nagaland,11060,9488,63,109,111551.0
9207,2020-11-27,Nagaland,11091,9699,64,109,112061.0
9243,2020-11-28,Nagaland,11115,9724,64,109,112347.0
9279,2020-11-29,Nagaland,11159,9898,64,110,112820.0
9315,2020-11-30,Nagaland,11186,10086,64,110,113046.0
9351,2020-12-01,Nagaland,11209,10194,64,111,113371.0
9387,2020-12-02,Nagaland,11254,10358,64,111,113727.0
9423,2020-12-03,Nagaland,11283,10410,64,113,113952.0
9459,2020-12-04,Nagaland,11305,10649,65,113,114232.0
9495,2020-12-05,Nagaland,11340,10649,65,115,114417.0
9531,2020-12-06,Nagaland,11379,10653,66,116,114555.0
9567,2020-12-07,Nagaland,11418,10658,66,117,114809.0
9603,2020-12-08,Nagaland,11479,10666,67,118,115224.0
9639,2020-12-09,Nagaland,11508,10728,67,124,115583.0
9675,2020-12-10,Nagaland,11602,10746,68,125,116033.0
9711,2020-12-11,Nagaland,11634,10812,68,125,116359.0
9747,2020-12-12,Nagaland,11676,10876,68,125,116685.0
9783,2020-12-13,Nagaland,11709,10883,68,127,116880.0
9819,2020-12-14,Nagaland,11728,10939,69,130,117267.0
9855,2020-12-15,Nagaland,11761,10970,69,130,117545.0
9891,2020-12-16,Nagaland,11787,10993,70,130,117886.0
9927,2020-12-17,Nagaland,11820,11071,73,129,118202.0
9963,2020-12-18,Nagaland,11832,11076,73,129,118324.0
9999,2020-12-19,Nagaland,11841,11101,73,129,118485.0
10035,2020-12-20,Nagaland,11842,11144,73,129,118579.0
10071,2020-12-21,Nagaland,11858,11194,73,129,118937.0
10107,2020-12-22,Nagaland,11866,11244,76,129,119085.0
10143,2020-12-23,Nagaland,11877,11294,77,129,119229.0
10179,2020-12-24,Nagaland,11890,11377,77,131,119498.0
10215,2020-12-25,Nagaland,11895,11413,77,131,119611.0
10251,2020-12-26,Nagaland,11897,11415,78,130,119641.0
10287,2020-12-27,Nagaland,11897,11438,78,130,119713.0
10323,2020-12-28,Nagaland,11911,11458,79,131,119858.0
10359,2020-12-29,Nagaland,11917,11464,79,131,119959.0
10395,2020-12-30,Nagaland,11921,11493,79,131,120071.0
10431,2020-12-31,Nagaland,11927,11514,79,132,120246.0
10467,2021-01-01,Nagaland,11929,11528,79,132,120397.0
10503,2021-01-02,Nagaland,11929,11533,79,131,120496.0
10539,2021-01-03,Nagaland,11930,11542,79,131,120626.0
10575,2021-01-04,Nagaland,11935,11551,79,132,120771.0
10611,2021-01-05,Nagaland,11937,11581,79,133,121009.0
10647,2021-01-06,Nagaland,11954,11603,80,134,121268.0
10683,2021-01-07,Nagaland,11960,11610,82,139,121428.0
10719,2021-01-08,Nagaland,11964,11614,83,140,121586.0
10755,2021-01-09,Nagaland,11975,11639,84,140,121763.0
10791,2021-01-10,Nagaland,11978,11639,84,140,121851.0
10827,2021-01-11,Nagaland,11987,11655,84,141,121976.0
10863,2021-01-12,Nagaland,11997,11667,84,141,122223.0
10899,2021-01-13,Nagaland,12003,11674,86,140,122366.0
10935,2021-01-14,Nagaland,12035,11685,86,140,122578.0
10971,2021-01-15,Nagaland,12039,11707,88,140,122708.0
11007,2021-01-16,Nagaland,12054,11709,88,140,122899.0
11043,2021-01-17,Nagaland,12058,11713,88,141,123029.0
11080,2021-01-18,Nagaland,12061,11717,88,141,123166.0
11117,2021-01-19,Nagaland,12066,11724,88,142,123350.0
11154,2021-01-20,Nagaland,12067,11731,88,142,123470.0
11191,2021-01-21,Nagaland,12070,11733,88,142,123635.0
11228,2021-01-22,Nagaland,12072,11738,88,142,123806.0
11265,2021-01-23,Nagaland,12076,11742,88,142,123935.0
11302,2021-01-24,Nagaland,12076,11743,88,142,123999.0
11339,2021-01-25,Nagaland,12079,11753,88,142,124078.0
11376,2021-01-26,Nagaland,12081,11756,88,142,124186.0
11413,2021-01-27,Nagaland,12083,11796,88,142,124326.0
11450,2021-01-28,Nagaland,12084,11801,88,143,124466.0
11487,2021-01-29,Nagaland,12088,11804,88,143,124658.0
11524,2021-01-30,Nagaland,12090,11806,88,143,124820.0
11561,2021-01-31,Nagaland,12094,11806,88,144,124945.0
11598,2021-02-01,Nagaland,12099,11810,88,147,125075.0
11635,2021-02-02,Nagaland,12101,11810,88,148,125210.0
11672,2021-02-03,Nagaland,12117,11815,88,148,125331.0
11709,2021-02-04,Nagaland,12121,11821,88,148,125521.0
11746,2021-02-05,Nagaland,12126,11821,88,148,125667.0
11783,2021-02-06,Nagaland,12148,11826,88,149,126187.0
11820,2021-02-07,Nagaland,12158,11826,88,149,126597.0
11857,2021-02-08,Nagaland,12160,11837,88,151,126877.0
11894,2021-02-09,Nagaland,12166,11840,88,151,127149.0
11931,2021-02-10,Nagaland,12168,11843,88,150,127320.0
11968,2021-02-11,Nagaland,12175,11848,88,150,127552.0
12005,2021-02-12,Nagaland,12176,11861,88,150,127722.0
12042,2021-02-13,Nagaland,12183,11868,88,151,127927.0
12079,2021-02-14,Nagaland,12189,11877,88,151,128108.0
12116,2021-02-15,Nagaland,12189,11892,88,151,128241.0
12153,2021-02-16,Nagaland,12190,11908,90,151,128499.0
12190,2021-02-17,Nagaland,12190,11913,90,151,128623.0
12227,2021-02-18,Nagaland,12191,11919,91,152,128754.0
12264,2021-02-19,Nagaland,12191,11928,91,152,128898.0
12301,2021-02-20,Nagaland,12191,11930,91,152,129050.0
12338,2021-02-21,Nagaland,12192,11936,91,152,129164.0
12375,2021-02-22,Nagaland,12192,11937,91,152,129228.0
12412,2021-02-23,Nagaland,12192,11937,91,152,129522.0
12449,2021-02-24,Nagaland,12192,11941,91,152,129711.0
12486,2021-02-25,Nagaland,12198,11942,91,152,129815.0
12523,2021-02-26,Nagaland,12198,11946,91,152,129926.0
12560,2021-02-27,Nagaland,12199,11946,91,152,130147.0
12597,2021-02-28,Nagaland,12200,11949,91,152,130265.0
12634,2021-03-01,Nagaland,12200,11949,91,153,130436.0
12671,2021-03-02,Nagaland,12200,11949,91,153,130743.0
12708,2021-03-03,Nagaland,12205,11949,91,153,131010.0
12745,2021-03-04,Nagaland,12210,11951,91,153,131243.0
12782,2021-03-05,Nagaland,12210,11951,91,153,131491.0
12819,2021-03-06,Nagaland,12211,11952,91,153,131612.0
12856,2021-03-07,Nagaland,12217,11953,91,153,131788.0
12893,2021-03-08,Nagaland,12217,11954,91,153,131916.0
12930,2021-03-09,Nagaland,12217,11955,91,153,132242.0
12967,2021-03-10,Nagaland,12217,11963,91,153,132779.0
13004,2021-03-11,Nagaland,12217,11963,91,153,133252.0
13041,2021-03-12,Nagaland,12221,11966,91,154,133437.0
13078,2021-03-13,Nagaland,12225,11966,91,154,133696.0
13115,2021-03-14,Nagaland,12225,11966,91,154,133812.0
13152,2021-03-15,Nagaland,12225,11966,91,154,133942.0
13189,2021-03-16,Nagaland,12225,11966,91,154,134241.0
13226,2021-03-17,Nagaland,12225,11973,91,154,134419.0
13263,2021-03-18,Nagaland,12225,11973,91,154,134580.0
13300,2021-03-19,Nagaland,12225,11978,91,154,134721.0
13337,2021-03-20,Nagaland,12225,11978,91,154,134822.0
13374,2021-03-21,Nagaland,12225,11978,91,154,134886.0
13411,2021-03-22,Nagaland,12225,11978,91,154,134968.0
13448,2021-03-23,Nagaland,12225,11978,91,154,135304.0
13485,2021-03-24,Nagaland,12226,11979,91,154,135549.0
13522,2021-03-25,Nagaland,12228,11979,91,154,135646.0
13559,2021-03-26,Nagaland,12229,11979,91,154,135648.0
13596,2021-03-27,Nagaland,12229,11979,91,154,135859.0
13633,2021-03-28,Nagaland,12230,11980,91,154,135936.0
13670,2021-03-29,Nagaland,12233,11980,91,154,135981.0
13707,2021-03-30,Nagaland,12233,11980,91,154,136126.0
13744,2021-03-31,Nagaland,12340,11980,91,156,136361.0
13781,2021-04-01,Nagaland,12345,11980,91,156,136586.0
13818,2021-04-02,Nagaland,12361,11980,91,156,136754.0
13855,2021-04-03,Nagaland,12362,11980,91,156,136843.0
13892,2021-04-04,Nagaland,12363,11980,91,156,137007.0
13929,2021-04-05,Nagaland,12365,11980,91,156,137112.0
13966,2021-04-06,Nagaland,12365,11982,91,158,137282.0
14003,2021-04-07,Nagaland,12376,11984,91,158,137507.0
14040,2021-04-08,Nagaland,12381,11984,91,158,137712.0
14077,2021-04-09,Nagaland,12388,11988,91,158,137712.0
14114,2021-04-10,Nagaland,12400,11990,91,162,138300.0
14151,2021-04-11,Nagaland,12405,11992,93,163,138515.0
14188,2021-04-12,Nagaland,12416,11992,93,164,138701.0
14225,2021-04-13,Nagaland,12427,11995,93,165,138968.0
14262,2021-04-14,Nagaland,12440,12097,93,167,139312.0
14299,2021-04-15,Nagaland,12482,12100,93,168,139558.0
14336,2021-04-16,Nagaland,12504,12102,94,169,139828.0
14373,2021-04-17,Nagaland,12536,12102,94,173,140194.0
14410,2021-04-18,Nagaland,12555,12110,94,173,140449.0
14447,2021-04-19,Nagaland,12568,12110,94,175,140601.0
14484,2021-04-20,Nagaland,12650,12110,94,189,141093.0
