,Date,State,Confirmed,Recovered,Deceased,Other,Tested
63,2020-03-09,Punjab,1,0,0,0,
76,2020-03-10,Punjab,1,0,0,0,
89,2020-03-11,Punjab,1,0,0,0,
103,2020-03-12,Punjab,1,0,0,0,
117,2020-03-13,Punjab,1,0,0,0,
132,2020-03-14,Punjab,1,0,0,0,
147,2020-03-15,Punjab,1,0,0,0,
164,2020-03-16,Punjab,1,0,0,0,
181,2020-03-17,Punjab,1,0,0,0,
200,2020-03-18,Punjab,1,0,0,0,
222,2020-03-19,Punjab,2,0,0,0,
245,2020-03-20,Punjab,3,0,0,0,
268,2020-03-21,Punjab,13,0,0,0,
292,2020-03-22,Punjab,21,0,0,0,
316,2020-03-23,Punjab,23,0,0,0,
341,2020-03-24,Punjab,29,0,0,0,
368,2020-03-25,Punjab,31,0,0,0,
396,2020-03-26,Punjab,33,0,0,0,
424,2020-03-27,Punjab,38,0,0,0,
452,2020-03-28,Punjab,38,0,0,0,
480,2020-03-29,Punjab,38,1,1,0,
508,2020-03-30,Punjab,41,1,3,0,
538,2020-03-31,Punjab,42,1,4,0,
568,2020-04-01,Punjab,46,1,4,0,
599,2020-04-02,Punjab,47,1,5,0,1434.0
630,2020-04-03,Punjab,53,1,5,0,1434.0
661,2020-04-04,Punjab,65,3,5,0,1434.0
692,2020-04-05,Punjab,68,4,7,0,1434.0
724,2020-04-06,Punjab,79,4,7,0,1434.0
757,2020-04-07,Punjab,99,14,8,0,1434.0
790,2020-04-08,Punjab,106,14,9,0,2937.0
824,2020-04-09,Punjab,130,18,10,0,3192.0
858,2020-04-10,Punjab,151,20,11,0,3461.0
892,2020-04-11,Punjab,158,20,12,0,3909.0
926,2020-04-12,Punjab,170,23,12,0,4281.0
961,2020-04-13,Punjab,176,25,12,0,4480.0
996,2020-04-14,Punjab,184,27,13,0,4844.0
1031,2020-04-15,Punjab,186,27,13,0,5193.0
1066,2020-04-16,Punjab,197,29,14,0,5524.0
1101,2020-04-17,Punjab,211,30,14,0,5988.0
1136,2020-04-18,Punjab,234,31,16,0,6167.0
1171,2020-04-19,Punjab,244,37,16,0,6607.0
1206,2020-04-20,Punjab,245,38,16,0,6797.0
1241,2020-04-21,Punjab,251,49,16,0,7355.0
1276,2020-04-22,Punjab,278,53,16,0,7887.0
1311,2020-04-23,Punjab,283,66,17,0,8757.0
1346,2020-04-24,Punjab,298,70,17,0,10611.0
1381,2020-04-25,Punjab,308,72,17,0,13270.0
1416,2020-04-26,Punjab,322,84,18,0,14317.0
1451,2020-04-27,Punjab,330,98,19,0,15516.0
1486,2020-04-28,Punjab,342,101,19,0,17021.0
1521,2020-04-29,Punjab,375,101,19,0,18670.0
1556,2020-04-30,Punjab,480,104,20,0,21205.0
1591,2020-05-01,Punjab,585,108,20,0,23176.0
1626,2020-05-02,Punjab,772,112,20,0,24868.0
1661,2020-05-03,Punjab,1102,117,21,0,26439.0
1696,2020-05-04,Punjab,1232,128,23,0,28545.0
1732,2020-05-05,Punjab,1451,133,25,0,30199.0
1768,2020-05-06,Punjab,1526,135,27,0,32060.0
1804,2020-05-07,Punjab,1644,149,28,0,34701.0
1840,2020-05-08,Punjab,1731,152,29,0,37950.0
1876,2020-05-09,Punjab,1762,157,31,0,39462.0
1912,2020-05-10,Punjab,1823,166,31,0,40962.0
1948,2020-05-11,Punjab,1877,168,31,0,42306.0
1984,2020-05-12,Punjab,1914,171,32,0,43999.0
2020,2020-05-13,Punjab,1924,200,32,0,46026.0
2056,2020-05-14,Punjab,1935,223,32,0,47408.0
2092,2020-05-15,Punjab,1932,305,32,0,49301.0
2128,2020-05-16,Punjab,1946,1257,32,0,50613.0
2164,2020-05-17,Punjab,1964,1366,35,0,51812.0
2200,2020-05-18,Punjab,1980,1547,37,0,52955.0
2236,2020-05-19,Punjab,2002,1642,38,0,55634.0
2273,2020-05-20,Punjab,2005,1794,38,0,57737.0
2310,2020-05-21,Punjab,2028,1819,39,0,59618.0
2347,2020-05-22,Punjab,2029,1847,39,0,62399.0
2384,2020-05-23,Punjab,2045,1870,39,0,63567.0
2421,2020-05-24,Punjab,2060,1898,40,0,66142.0
2458,2020-05-25,Punjab,2081,1913,40,0,67213.0
2495,2020-05-26,Punjab,2106,1918,40,0,69818.0
2532,2020-05-27,Punjab,2139,1918,40,0,72468.0
2569,2020-05-28,Punjab,2158,1946,40,0,72468.0
2606,2020-05-29,Punjab,2197,1949,42,0,81021.0
2643,2020-05-30,Punjab,2233,1967,44,0,84497.0
2680,2020-05-31,Punjab,2263,1987,45,0,87852.0
2717,2020-06-01,Punjab,2301,2000,44,0,91113.0
2754,2020-06-02,Punjab,2342,2017,46,0,96329.0
2791,2020-06-03,Punjab,2376,2029,47,0,101036.0
2828,2020-06-04,Punjab,2415,2043,47,0,106933.0
2865,2020-06-05,Punjab,2461,2069,48,0,113542.0
2902,2020-06-06,Punjab,2515,2092,50,0,115974.0
2939,2020-06-07,Punjab,2608,2106,51,0,124266.0
2976,2020-06-08,Punjab,2663,2128,53,0,129821.0
3013,2020-06-09,Punjab,2719,2167,55,0,136343.0
3050,2020-06-10,Punjab,2805,2232,55,0,144467.0
3087,2020-06-11,Punjab,2887,2259,59,0,154498.0
3124,2020-06-12,Punjab,2986,2282,63,0,165548.0
3161,2020-06-13,Punjab,3063,2327,65,0,176533.0
3198,2020-06-14,Punjab,3140,2356,67,0,182225.0
3235,2020-06-15,Punjab,3267,2443,71,0,188699.0
3272,2020-06-16,Punjab,3371,2461,72,0,198211.0
3309,2020-06-17,Punjab,3497,2538,78,0,208408.0
3346,2020-06-18,Punjab,3615,2570,83,0,219528.0
3383,2020-06-19,Punjab,3832,2636,92,0,227012.0
3420,2020-06-20,Punjab,3952,2678,98,0,235700.0
3457,2020-06-21,Punjab,4074,2700,99,0,240803.0
3494,2020-06-22,Punjab,4235,2825,101,0,246760.0
3531,2020-06-23,Punjab,4397,3047,105,0,255380.0
3568,2020-06-24,Punjab,4627,3099,113,0,260857.0
3605,2020-06-25,Punjab,4769,3192,120,0,269037.0
3642,2020-06-26,Punjab,4957,3201,122,0,276919.0
3679,2020-06-27,Punjab,5056,3320,128,0,284431.0
3716,2020-06-28,Punjab,5216,3526,133,0,289923.0
3753,2020-06-29,Punjab,5418,3764,138,0,294448.0
3790,2020-06-30,Punjab,5568,3867,144,0,301830.0
3827,2020-07-01,Punjab,5668,3989,149,0,308998.0
3864,2020-07-02,Punjab,5784,4144,152,0,317802.0
3901,2020-07-03,Punjab,5937,4266,157,0,324054.0
3938,2020-07-04,Punjab,6109,4306,162,0,331585.0
3975,2020-07-05,Punjab,6283,4408,164,0,337789.0
4012,2020-07-06,Punjab,6491,4494,169,0,342524.0
4049,2020-07-07,Punjab,6749,4554,175,0,352363.0
4086,2020-07-08,Punjab,6907,4828,178,0,360189.0
4123,2020-07-09,Punjab,7140,4945,183,0,369425.0
4160,2020-07-10,Punjab,7357,5017,187,0,378045.0
4197,2020-07-11,Punjab,7587,5040,195,0,388494.0
4234,2020-07-12,Punjab,7821,5392,199,0,395185.0
4271,2020-07-13,Punjab,8178,5586,204,0,400944.0
4308,2020-07-14,Punjab,8511,5663,213,0,409643.0
4345,2020-07-15,Punjab,8799,5867,221,0,421593.0
4382,2020-07-16,Punjab,9094,6277,230,0,429832.0
4419,2020-07-17,Punjab,9442,6373,239,0,438793.0
4456,2020-07-18,Punjab,9792,6454,246,0,450732.0
4493,2020-07-19,Punjab,10100,6535,254,0,459900.0
4529,2020-07-20,Punjab,10510,7118,262,0,466057.0
4565,2020-07-21,Punjab,10889,7389,263,0,478421.0
4601,2020-07-22,Punjab,11301,7641,269,0,489836.0
4637,2020-07-23,Punjab,11739,7741,277,0,500562.0
4673,2020-07-24,Punjab,12216,8096,282,0,509267.0
4709,2020-07-25,Punjab,12684,8297,291,0,521906.0
4745,2020-07-26,Punjab,13218,8810,306,0,531336.0
4781,2020-07-27,Punjab,13769,9064,318,0,539371.0
4817,2020-07-28,Punjab,14378,9752,336,0,550267.0
4853,2020-07-29,Punjab,14946,10213,361,0,561121.0
4889,2020-07-30,Punjab,15456,10509,370,0,572067.0
4925,2020-07-31,Punjab,16119,10734,386,0,582573.0
4961,2020-08-01,Punjab,17063,11075,405,0,592392.0
4997,2020-08-02,Punjab,17853,11466,423,0,599651.0
5033,2020-08-03,Punjab,18527,11882,442,0,603912.0
5069,2020-08-04,Punjab,19015,12491,462,0,611609.0
5105,2020-08-05,Punjab,19856,12943,491,0,622127.0
5141,2020-08-06,Punjab,20891,13659,517,0,634271.0
5177,2020-08-07,Punjab,21930,14040,539,0,646439.0
5213,2020-08-08,Punjab,22928,14860,562,0,659284.0
5249,2020-08-09,Punjab,23903,15319,586,0,672761.0
5285,2020-08-10,Punjab,24889,15735,604,0,681321.0
5321,2020-08-11,Punjab,25889,16790,636,0,697327.0
5357,2020-08-12,Punjab,26909,17212,675,0,711260.0
5393,2020-08-13,Punjab,27936,17839,706,0,723357.0
