,Date,State,Confirmed,Recovered,Deceased,Other,Tested
14,2020-03-03,Rajasthan,1,0,0,0,
20,2020-03-04,Rajasthan,2,0,0,0,
27,2020-03-05,Rajasthan,2,0,0,0,
34,2020-03-06,Rajasthan,2,0,0,0,
42,2020-03-07,Rajasthan,2,0,0,0,
51,2020-03-08,Rajasthan,2,0,0,0,
64,2020-03-09,Rajasthan,2,0,0,0,
77,2020-03-10,Rajasthan,3,0,0,0,
90,2020-03-11,Rajasthan,3,0,0,0,
104,2020-03-12,Rajasthan,3,0,0,0,
118,2020-03-13,Rajasthan,3,0,0,0,
133,2020-03-14,Rajasthan,4,0,0,0,
148,2020-03-15,Rajasthan,4,0,0,0,
165,2020-03-16,Rajasthan,4,0,0,0,
183,2020-03-17,Rajasthan,4,0,0,0,
202,2020-03-18,Rajasthan,7,0,0,0,
224,2020-03-19,Rajasthan,9,0,0,0,
247,2020-03-20,Rajasthan,17,0,0,0,
270,2020-03-21,Rajasthan,24,0,0,0,
294,2020-03-22,Rajasthan,29,0,0,0,
318,2020-03-23,Rajasthan,32,0,0,0,
343,2020-03-24,Rajasthan,32,0,0,0,
370,2020-03-25,Rajasthan,38,0,0,0,
398,2020-03-26,Rajasthan,43,0,0,0,
426,2020-03-27,Rajasthan,50,0,0,0,
454,2020-03-28,Rajasthan,54,0,0,0,
482,2020-03-29,Rajasthan,59,3,0,0,
510,2020-03-30,Rajasthan,79,3,0,0,
540,2020-03-31,Rajasthan,93,3,0,0,
570,2020-04-01,Rajasthan,120,3,0,0,
601,2020-04-02,Rajasthan,133,3,0,0,
632,2020-04-03,Rajasthan,179,3,0,0,
663,2020-04-04,Rajasthan,206,25,1,0,
694,2020-04-05,Rajasthan,266,25,1,0,
726,2020-04-06,Rajasthan,301,25,2,0,
759,2020-04-07,Rajasthan,343,25,2,0,17638.0
792,2020-04-08,Rajasthan,383,45,3,0,17638.0
826,2020-04-09,Rajasthan,463,60,3,0,19107.0
860,2020-04-10,Rajasthan,561,60,3,0,22349.0
894,2020-04-11,Rajasthan,700,116,9,0,24857.0
928,2020-04-12,Rajasthan,804,121,11,0,28505.0
963,2020-04-13,Rajasthan,897,121,11,0,31804.0
998,2020-04-14,Rajasthan,1005,147,11,0,34928.0
1033,2020-04-15,Rajasthan,1076,147,11,0,37860.0
1068,2020-04-16,Rajasthan,1131,164,11,0,40778.0
1103,2020-04-17,Rajasthan,1229,183,17,0,42847.0
1138,2020-04-18,Rajasthan,1351,200,21,0,47197.0
1173,2020-04-19,Rajasthan,1478,205,23,0,51614.0
1208,2020-04-20,Rajasthan,1576,205,25,0,57290.0
1243,2020-04-21,Rajasthan,1735,274,26,0,61492.0
1278,2020-04-22,Rajasthan,1888,344,27,0,66257.0
1313,2020-04-23,Rajasthan,1964,451,28,0,69764.0
1348,2020-04-24,Rajasthan,2034,493,32,0,74484.0
1383,2020-04-25,Rajasthan,2083,513,34,0,78993.0
1418,2020-04-26,Rajasthan,2185,629,41,0,82942.0
1453,2020-04-27,Rajasthan,2262,744,50,0,87777.0
1488,2020-04-28,Rajasthan,2364,770,52,0,92506.0
1523,2020-04-29,Rajasthan,2440,814,55,0,97790.0
1558,2020-04-30,Rajasthan,2584,893,58,0,103704.0
1593,2020-05-01,Rajasthan,2666,1116,62,0,108543.0
1628,2020-05-02,Rajasthan,2772,1242,68,0,113934.0
1663,2020-05-03,Rajasthan,2886,1356,71,0,120240.0
1698,2020-05-04,Rajasthan,3061,1438,77,0,129258.0
1734,2020-05-05,Rajasthan,3158,1525,89,0,134987.0
1770,2020-05-06,Rajasthan,3317,1739,93,0,139580.0
1806,2020-05-07,Rajasthan,3427,1889,99,0,145510.0
1842,2020-05-08,Rajasthan,3579,2011,103,0,152245.0
1878,2020-05-09,Rajasthan,3708,2162,106,0,159157.0
1914,2020-05-10,Rajasthan,3814,2241,108,0,166424.0
1950,2020-05-11,Rajasthan,3988,2324,113,0,176130.0
1986,2020-05-12,Rajasthan,4126,2454,117,0,185610.0
2022,2020-05-13,Rajasthan,4328,2573,121,0,194683.0
2058,2020-05-14,Rajasthan,4534,2638,125,0,204243.0
2094,2020-05-15,Rajasthan,4747,2729,125,0,212317.0
2130,2020-05-16,Rajasthan,4960,2944,126,0,221439.0
2166,2020-05-17,Rajasthan,5202,3055,131,0,231946.0
2202,2020-05-18,Rajasthan,5507,3218,138,0,243476.0
2238,2020-05-19,Rajasthan,5845,3337,143,0,254533.0
2275,2020-05-20,Rajasthan,6015,3404,147,0,265555.0
2312,2020-05-21,Rajasthan,6227,3485,151,0,275974.0
2349,2020-05-22,Rajasthan,6494,3680,153,0,287164.0
2386,2020-05-23,Rajasthan,6742,3786,160,0,303935.0
2423,2020-05-24,Rajasthan,7028,3848,163,0,317067.0
2460,2020-05-25,Rajasthan,7300,4056,167,0,327836.0
2497,2020-05-26,Rajasthan,7536,4276,170,0,337159.0
2534,2020-05-27,Rajasthan,7816,4562,173,0,350600.0
2571,2020-05-28,Rajasthan,8067,4815,180,0,365556.0
2608,2020-05-29,Rajasthan,8365,5244,184,0,379315.0
2645,2020-05-30,Rajasthan,8617,5739,193,0,395490.0
2682,2020-05-31,Rajasthan,8831,6032,194,0,409777.0
2719,2020-06-01,Rajasthan,9100,6213,199,0,425184.0
2756,2020-06-02,Rajasthan,9373,6435,203,0,440789.0
2793,2020-06-03,Rajasthan,9652,6744,209,0,454788.0
2830,2020-06-04,Rajasthan,9862,7104,213,0,467129.0
2867,2020-06-05,Rajasthan,10084,7359,218,0,480910.0
2904,2020-06-06,Rajasthan,10337,7501,231,0,494480.0
2941,2020-06-07,Rajasthan,10599,7754,240,0,506784.0
2978,2020-06-08,Rajasthan,10876,8117,246,0,518350.0
3015,2020-06-09,Rajasthan,11245,8328,255,0,530031.0
3052,2020-06-10,Rajasthan,11600,8569,259,0,543312.0
3089,2020-06-11,Rajasthan,11838,8775,265,0,558064.0
3126,2020-06-12,Rajasthan,12068,9011,272,0,571543.0
3163,2020-06-13,Rajasthan,12401,9337,282,0,584954.0
3200,2020-06-14,Rajasthan,12694,9566,292,0,598920.0
3237,2020-06-15,Rajasthan,12981,9785,301,0,609296.0
3274,2020-06-16,Rajasthan,13216,9962,308,0,622334.0
3311,2020-06-17,Rajasthan,13542,10467,313,0,637937.0
3348,2020-06-18,Rajasthan,13857,10742,330,0,654816.0
3385,2020-06-19,Rajasthan,14156,10997,333,0,667643.0
3422,2020-06-20,Rajasthan,14537,11274,337,0,683017.0
3459,2020-06-21,Rajasthan,14930,11597,349,0,699126.0
3496,2020-06-22,Rajasthan,15232,11910,356,0,709592.0
3533,2020-06-23,Rajasthan,15627,12213,365,0,726077.0
3570,2020-06-24,Rajasthan,16009,12611,375,0,740855.0
3607,2020-06-25,Rajasthan,16296,12840,379,0,757137.0
3644,2020-06-26,Rajasthan,16660,13062,380,0,770174.0
3681,2020-06-27,Rajasthan,16944,13367,391,0,784803.0
3718,2020-06-28,Rajasthan,17271,13611,399,0,800214.0
3755,2020-06-29,Rajasthan,17660,13921,405,0,809777.0
3792,2020-06-30,Rajasthan,18008,14220,413,0,824213.0
3829,2020-07-01,Rajasthan,18312,14574,421,0,839370.0
3866,2020-07-02,Rajasthan,18662,14948,430,0,854274.0
3903,2020-07-03,Rajasthan,19052,15281,440,0,869602.0
3940,2020-07-04,Rajasthan,19532,15640,447,0,889355.0
3977,2020-07-05,Rajasthan,20164,15928,456,0,909132.0
4014,2020-07-06,Rajasthan,20688,16278,461,0,920600.0
4051,2020-07-07,Rajasthan,21404,16575,472,0,940758.0
4088,2020-07-08,Rajasthan,22063,16866,482,0,963454.0
4125,2020-07-09,Rajasthan,22563,17070,491,0,987272.0
4162,2020-07-10,Rajasthan,23174,17620,497,0,1009195.0
4199,2020-07-11,Rajasthan,23748,17869,503,0,1032198.0
4236,2020-07-12,Rajasthan,24392,18103,510,0,1054080.0
4273,2020-07-13,Rajasthan,24936,18630,518,0,1068283.0
4310,2020-07-14,Rajasthan,25571,19169,524,0,1096696.0
4347,2020-07-15,Rajasthan,26437,19502,530,0,1123902.0
4384,2020-07-16,Rajasthan,27174,19970,538,0,1151952.0
4421,2020-07-17,Rajasthan,27789,20626,546,0,1175379.0
4458,2020-07-18,Rajasthan,28500,21144,553,0,1204676.0
4495,2020-07-19,Rajasthan,29434,21730,559,0,1231760.0
4531,2020-07-20,Rajasthan,30390,22195,568,0,1244387.0
4567,2020-07-21,Rajasthan,31373,22744,577,0,1270376.0
4603,2020-07-22,Rajasthan,32334,23364,583,0,1298218.0
4639,2020-07-23,Rajasthan,33220,23815,594,0,1325580.0
4675,2020-07-24,Rajasthan,34178,24547,602,0,1349544.0
4711,2020-07-25,Rajasthan,35298,25306,613,0,1377850.0
4747,2020-07-26,Rajasthan,36430,25954,624,0,1403124.0
4783,2020-07-27,Rajasthan,37564,26834,633,0,1417882.0
4819,2020-07-28,Rajasthan,38636,27317,644,0,1445240.0
4855,2020-07-29,Rajasthan,39780,28309,654,0,1473098.0
4891,2020-07-30,Rajasthan,40936,29231,667,0,1500693.0
4927,2020-07-31,Rajasthan,42083,29845,680,0,1526962.0
4963,2020-08-01,Rajasthan,43243,30668,694,0,1553942.0
4999,2020-08-02,Rajasthan,44410,31216,706,0,1570989.0
5035,2020-08-03,Rajasthan,45555,32051,719,0,1584925.0
5071,2020-08-04,Rajasthan,46679,32832,732,0,1592318.0
5107,2020-08-05,Rajasthan,47845,33849,745,0,1619744.0
5143,2020-08-06,Rajasthan,48996,35131,757,0,1651221.0
5179,2020-08-07,Rajasthan,50157,36195,767,0,1678314.0
5215,2020-08-08,Rajasthan,51328,37163,778,0,1710963.0
5251,2020-08-09,Rajasthan,52497,38235,789,0,1740732.0
5287,2020-08-10,Rajasthan,53670,39060,800,0,1754897.0
5323,2020-08-11,Rajasthan,54887,40399,811,0,1784992.0
5359,2020-08-12,Rajasthan,56100,41648,822,0,1820131.0
5395,2020-08-13,Rajasthan,57414,41819,833,0,1839445.0
5431,2020-08-14,Rajasthan,58692,43897,846,0,1868534.0
5467,2020-08-15,Rajasthan,59979,45254,862,0,1898595.0
5503,2020-08-16,Rajasthan,61296,46604,876,0,1913726.0
5539,2020-08-17,Rajasthan,62630,47654,887,0,1930842.0
5575,2020-08-18,Rajasthan,63977,48960,898,0,1966178.0
5611,2020-08-19,Rajasthan,65289,49963,910,0,1998912.0
5647,2020-08-20,Rajasthan,66619,51190,921,0,2033646.0
5683,2020-08-21,Rajasthan,67954,52496,933,0,2062109.0
5719,2020-08-22,Rajasthan,69264,54144,944,0,2093850.0
5755,2020-08-23,Rajasthan,70609,55324,955,0,2122395.0
5791,2020-08-24,Rajasthan,71955,56600,967,0,2137137.0
5827,2020-08-25,Rajasthan,73325,58126,980,0,2166744.0
5863,2020-08-26,Rajasthan,74670,59579,992,0,2196353.0
5899,2020-08-27,Rajasthan,76015,60585,1005,0,2228662.0
5935,2020-08-28,Rajasthan,77370,62033,1017,0,2254613.0
5971,2020-08-29,Rajasthan,78777,62971,1030,0,2274901.0
6007,2020-08-30,Rajasthan,80227,65093,1043,0,2302023.0
6043,2020-08-31,Rajasthan,81693,66812,1056,0,2314603.0
6079,2020-09-01,Rajasthan,83163,68124,1069,0,2343369.0
6115,2020-09-02,Rajasthan,84674,70674,1081,0,2364613.0
6151,2020-09-03,Rajasthan,86227,71220,1095,0,2392144.0
6187,2020-09-04,Rajasthan,87797,71899,1108,0,2416268.0
6223,2020-09-05,Rajasthan,89363,73245,1122,0,2443995.0
6259,2020-09-06,Rajasthan,90956,74861,1137,0,2471540.0
6295,2020-09-07,Rajasthan,92536,76427,1151,0,2483715.0
6331,2020-09-08,Rajasthan,94126,77872,1164,0,2513910.0
6367,2020-09-09,Rajasthan,95736,79450,1178,0,2542632.0
6403,2020-09-10,Rajasthan,97376,80482,1192,0,2572191.0
6439,2020-09-11,Rajasthan,99036,81970,1207,0,2599477.0
6475,2020-09-12,Rajasthan,100705,82902,1221,0,2630771.0
6511,2020-09-13,Rajasthan,102408,84518,1236,0,2658373.0
6547,2020-09-14,Rajasthan,104138,86162,1250,0,2672224.0
6583,2020-09-15,Rajasthan,105898,87873,1264,0,2705303.0
6619,2020-09-16,Rajasthan,107680,89352,1279,0,2738444.0
6655,2020-09-17,Rajasthan,109473,90685,1293,0,2767508.0
6691,2020-09-18,Rajasthan,111290,92265,1308,0,2795479.0
6727,2020-09-19,Rajasthan,113124,93805,1322,0,2826262.0
6763,2020-09-20,Rajasthan,114989,95469,1336,0,2856718.0
6799,2020-09-21,Rajasthan,116881,97284,1352,0,2870267.0
6835,2020-09-22,Rajasthan,118793,98812,1367,0,2904053.0
6871,2020-09-23,Rajasthan,120739,100365,1382,0,2935751.0
6907,2020-09-24,Rajasthan,122720,102330,1397,0,2968083.0
6943,2020-09-25,Rajasthan,124730,104288,1412,0,2994763.0
6979,2020-09-26,Rajasthan,126775,105994,1426,0,3024341.0
7015,2020-09-27,Rajasthan,128859,107718,1441,0,3051135.0
7051,2020-09-28,Rajasthan,130971,109472,1456,0,3062603.0
7087,2020-09-29,Rajasthan,133119,111272,1471,0,3091105.0
7123,2020-09-30,Rajasthan,135292,113225,1486,0,3118797.0
7159,2020-10-01,Rajasthan,137485,115178,1500,0,3143572.0
7195,2020-10-02,Rajasthan,139696,117238,1516,0,3165902.0
7231,2020-10-03,Rajasthan,141846,119241,1530,0,3182409.0
7267,2020-10-04,Rajasthan,144030,121331,1545,0,3207733.0
7303,2020-10-05,Rajasthan,146195,123421,1559,0,3219068.0
7339,2020-10-06,Rajasthan,148316,125448,1574,0,3245268.0
7375,2020-10-07,Rajasthan,150467,127526,1590,0,3267575.0
7411,2020-10-08,Rajasthan,152605,129618,1605,0,3291115.0
7447,2020-10-09,Rajasthan,154785,131766,1621,0,3311811.0
7483,2020-10-10,Rajasthan,156908,133918,1636,0,3335785.0
7519,2020-10-11,Rajasthan,159052,135990,1650,0,3356935.0
7555,2020-10-12,Rajasthan,161184,137848,1665,0,3366071.0
7591,2020-10-13,Rajasthan,163219,139616,1679,0,3392097.0
7627,2020-10-14,Rajasthan,165240,141835,1694,0,3414166.0
7663,2020-10-15,Rajasthan,167279,143984,1708,0,3436121.0
7699,2020-10-16,Rajasthan,169289,146185,1723,0,3456029.0
7735,2020-10-17,Rajasthan,171281,148291,1735,0,3478430.0
7771,2020-10-18,Rajasthan,173266,150379,1748,0,3490719.0
7807,2020-10-19,Rajasthan,175226,152573,1760,0,3499421.0
7843,2020-10-20,Rajasthan,177123,155095,1774,0,3524088.0
7879,2020-10-21,Rajasthan,178933,157960,1788,0,3546683.0
7915,2020-10-22,Rajasthan,180755,160614,1800,0,3568198.0
7951,2020-10-23,Rajasthan,182570,162981,1814,0,3587537.0
7987,2020-10-24,Rajasthan,184422,165496,1826,0,3609151.0
8023,2020-10-25,Rajasthan,186243,167736,1839,0,3623031.0
8059,2020-10-26,Rajasthan,188048,169962,1853,0,3631465.0
8095,2020-10-27,Rajasthan,189844,172028,1867,0,3654738.0
8131,2020-10-28,Rajasthan,191629,174044,1877,0,3677569.0
8167,2020-10-29,Rajasthan,193419,175977,1888,0,3699339.0
8203,2020-10-30,Rajasthan,195213,178064,1898,0,3718493.0
8239,2020-10-31,Rajasthan,196993,179984,1907,0,3732880.0
8275,2020-11-01,Rajasthan,198747,181575,1917,0,3753254.0
8311,2020-11-02,Rajasthan,200495,182680,1926,0,3761961.0
8347,2020-11-03,Rajasthan,202220,183899,1936,0,3785407.0
8383,2020-11-04,Rajasthan,203990,185722,1945,0,3806335.0
8419,2020-11-05,Rajasthan,205800,187544,1955,0,3825035.0
8455,2020-11-06,Rajasthan,207597,189354,1966,0,3844472.0
8491,2020-11-07,Rajasthan,209438,191132,1979,0,3865194.0
8527,2020-11-08,Rajasthan,211310,192945,1989,0,3885562.0
8563,2020-11-09,Rajasthan,213169,194629,1998,0,3896209.0
8599,2020-11-10,Rajasthan,215071,196338,2008,0,3921623.0
8635,2020-11-11,Rajasthan,217151,198139,2019,0,3943942.0
8671,2020-11-12,Rajasthan,219327,199943,2032,0,3966824.0
8707,2020-11-13,Rajasthan,221471,201770,2044,0,3988281.0
8743,2020-11-14,Rajasthan,223633,203524,2056,0,4007392.0
8779,2020-11-15,Rajasthan,225817,205414,2066,0,4015598.0
8815,2020-11-16,Rajasthan,227986,207224,2078,0,4022884.0
