,Date,State,Confirmed,Recovered,Deceased,Other,Tested
1699,2020-05-04,Sikkim,0,0,0,0,170.0
1735,2020-05-05,Sikkim,0,0,0,0,181.0
1771,2020-05-06,Sikkim,0,0,0,0,189.0
1807,2020-05-07,Sikkim,0,0,0,0,216.0
1843,2020-05-08,Sikkim,0,0,0,0,216.0
1879,2020-05-09,Sikkim,0,0,0,0,219.0
1915,2020-05-10,Sikkim,0,0,0,0,219.0
1951,2020-05-11,Sikkim,0,0,0,0,219.0
1987,2020-05-12,Sikkim,0,0,0,0,348.0
2023,2020-05-13,Sikkim,0,0,0,0,439.0
2059,2020-05-14,Sikkim,0,0,0,0,579.0
2095,2020-05-15,Sikkim,0,0,0,0,348.0
2131,2020-05-16,Sikkim,0,0,0,0,840.0
2167,2020-05-17,Sikkim,0,0,0,0,947.0
2203,2020-05-18,Sikkim,0,0,0,0,1087.0
2239,2020-05-19,Sikkim,0,0,0,0,1204.0
2276,2020-05-20,Sikkim,0,0,0,0,1342.0
2313,2020-05-21,Sikkim,0,0,0,0,1342.0
2350,2020-05-22,Sikkim,0,0,0,0,1637.0
2387,2020-05-23,Sikkim,1,0,0,0,1707.0
2424,2020-05-24,Sikkim,1,0,0,0,1855.0
2461,2020-05-25,Sikkim,1,0,0,0,2103.0
2498,2020-05-26,Sikkim,1,0,0,0,2255.0
2535,2020-05-27,Sikkim,1,0,0,0,2417.0
2572,2020-05-28,Sikkim,1,0,0,0,2626.0
2609,2020-05-29,Sikkim,1,0,0,0,2759.0
2646,2020-05-30,Sikkim,1,0,0,0,2829.0
2683,2020-05-31,Sikkim,1,0,0,0,2925.0
2720,2020-06-01,Sikkim,1,0,0,0,3525.0
2757,2020-06-02,Sikkim,1,0,0,0,3788.0
2794,2020-06-03,Sikkim,2,0,0,0,4102.0
2831,2020-06-04,Sikkim,2,0,0,0,4358.0
2868,2020-06-05,Sikkim,3,0,0,0,4761.0
2905,2020-06-06,Sikkim,7,0,0,0,5005.0
2942,2020-06-07,Sikkim,7,0,0,0,5005.0
2979,2020-06-08,Sikkim,7,0,0,0,5547.0
3016,2020-06-09,Sikkim,13,3,0,0,5815.0
3053,2020-06-10,Sikkim,13,3,0,0,6161.0
3090,2020-06-11,Sikkim,13,3,0,0,6692.0
3127,2020-06-12,Sikkim,63,3,0,0,5157.0
3164,2020-06-13,Sikkim,63,4,0,0,5377.0
3201,2020-06-14,Sikkim,68,4,0,0,5664.0
3238,2020-06-15,Sikkim,68,4,0,0,5762.0
3275,2020-06-16,Sikkim,68,4,0,0,6192.0
3312,2020-06-17,Sikkim,70,4,0,0,6349.0
3349,2020-06-18,Sikkim,70,5,0,0,6349.0
3386,2020-06-19,Sikkim,70,21,0,0,6882.0
