,Date,State,Confirmed,Recovered,Deceased,Other,Tested
729,2020-04-06,Tripura,1,0,0,0,
762,2020-04-07,Tripura,1,0,0,0,
795,2020-04-08,Tripura,1,0,0,0,
829,2020-04-09,Tripura,1,0,0,0,
863,2020-04-10,Tripura,2,0,0,0,
897,2020-04-11,Tripura,2,0,0,0,337.0
931,2020-04-12,Tripura,2,0,0,0,337.0
966,2020-04-13,Tripura,2,0,0,0,337.0
1001,2020-04-14,Tripura,2,0,0,0,337.0
1036,2020-04-15,Tripura,2,1,0,0,738.0
1071,2020-04-16,Tripura,2,1,0,0,762.0
1106,2020-04-17,Tripura,2,1,0,0,762.0
1141,2020-04-18,Tripura,2,1,0,0,762.0
1176,2020-04-19,Tripura,2,1,0,0,762.0
1211,2020-04-20,Tripura,2,1,0,0,762.0
1246,2020-04-21,Tripura,2,1,0,0,2604.0
1281,2020-04-22,Tripura,2,1,0,0,3215.0
1316,2020-04-23,Tripura,2,2,0,0,3215.0
1351,2020-04-24,Tripura,2,2,0,0,3215.0
1386,2020-04-25,Tripura,2,2,0,0,3215.0
1421,2020-04-26,Tripura,2,2,0,0,3215.0
1456,2020-04-27,Tripura,2,2,0,0,3215.0
1491,2020-04-28,Tripura,2,2,0,0,3215.0
1526,2020-04-29,Tripura,2,2,0,0,3215.0
1561,2020-04-30,Tripura,3,2,0,0,3215.0
1596,2020-05-01,Tripura,3,2,0,0,4828.0
1631,2020-05-02,Tripura,5,2,0,0,4955.0
1666,2020-05-03,Tripura,17,2,0,0,5162.0
1702,2020-05-04,Tripura,30,2,0,0,5394.0
1738,2020-05-05,Tripura,43,2,0,0,5850.0
1774,2020-05-06,Tripura,65,2,0,0,6228.0
1810,2020-05-07,Tripura,89,2,0,0,6917.0
1846,2020-05-08,Tripura,119,2,0,0,7448.0
1882,2020-05-09,Tripura,136,2,0,0,8340.0
1918,2020-05-10,Tripura,152,2,0,0,9091.0
1954,2020-05-11,Tripura,152,2,0,0,9596.0
1990,2020-05-12,Tripura,154,2,0,0,10344.0
2026,2020-05-13,Tripura,155,2,0,0,11146.0
2062,2020-05-14,Tripura,156,29,0,0,11804.0
2098,2020-05-15,Tripura,156,42,0,0,12561.0
2134,2020-05-16,Tripura,167,64,0,0,13178.0
2170,2020-05-17,Tripura,165,85,0,0,13750.0
2206,2020-05-18,Tripura,165,89,0,0,14286.0
2242,2020-05-19,Tripura,173,116,0,0,15083.0
2279,2020-05-20,Tripura,173,116,0,0,15822.0
2316,2020-05-21,Tripura,175,148,0,0,16873.0
2353,2020-05-22,Tripura,175,152,0,0,17721.0
2390,2020-05-23,Tripura,191,152,0,0,18737.0
2427,2020-05-24,Tripura,194,165,0,0,19278.0
2464,2020-05-25,Tripura,198,165,0,0,20871.0
2501,2020-05-26,Tripura,232,165,0,0,22049.0
2538,2020-05-27,Tripura,242,165,0,0,23264.0
2575,2020-05-28,Tripura,244,167,0,0,24126.0
2612,2020-05-29,Tripura,254,167,0,0,25403.0
2649,2020-05-30,Tripura,271,172,0,0,26376.0
2686,2020-05-31,Tripura,316,173,0,0,27475.0
2723,2020-06-01,Tripura,423,173,0,0,28360.0
2760,2020-06-02,Tripura,471,173,0,0,29066.0
2797,2020-06-03,Tripura,622,173,0,0,30481.0
2834,2020-06-04,Tripura,646,173,0,0,31138.0
2871,2020-06-05,Tripura,694,173,0,0,32300.0
2908,2020-06-06,Tripura,749,173,0,0,33331.0
2945,2020-06-07,Tripura,802,192,0,0,35263.0
2982,2020-06-08,Tripura,840,192,0,0,37453.0
3019,2020-06-09,Tripura,866,192,1,0,38572.0
3056,2020-06-10,Tripura,897,239,1,0,40027.0
3093,2020-06-11,Tripura,922,278,1,0,41389.0
3130,2020-06-12,Tripura,963,278,1,0,40837.0
3167,2020-06-13,Tripura,1046,315,1,0,43972.0
3204,2020-06-14,Tripura,1079,433,1,0,46015.0
3241,2020-06-15,Tripura,1089,433,1,0,47683.0
3278,2020-06-16,Tripura,1090,556,1,0,49208.0
3315,2020-06-17,Tripura,1133,556,1,0,50268.0
3352,2020-06-18,Tripura,1154,639,1,0,51495.0
3389,2020-06-19,Tripura,1181,657,1,0,52752.0
3426,2020-06-20,Tripura,1189,680,1,0,53905.0
3463,2020-06-21,Tripura,1224,759,1,0,54983.0
3500,2020-06-22,Tripura,1240,782,1,0,56035.0
3537,2020-06-23,Tripura,1263,807,1,0,56901.0
3574,2020-06-24,Tripura,1263,904,1,0,57753.0
3611,2020-06-25,Tripura,1295,1026,1,0,59025.0
3648,2020-06-26,Tripura,1330,1062,1,0,60199.0
3685,2020-06-27,Tripura,1339,1078,1,0,61194.0
3722,2020-06-28,Tripura,1351,1086,1,0,62278.0
3759,2020-06-29,Tripura,1385,1092,1,0,63364.0
3796,2020-06-30,Tripura,1393,1092,1,0,64478.0
3833,2020-07-01,Tripura,1401,1093,1,0,65549.0
3870,2020-07-02,Tripura,1440,1146,1,0,67255.0
3907,2020-07-03,Tripura,1533,1199,1,0,68634.0
3944,2020-07-04,Tripura,1558,1202,1,0,69891.0
3981,2020-07-05,Tripura,1581,1206,1,0,71338.0
4018,2020-07-06,Tripura,1692,1219,1,13,73058.0
4055,2020-07-07,Tripura,1716,1248,1,13,74230.0
4092,2020-07-08,Tripura,1773,1324,1,13,75641.0
4129,2020-07-09,Tripura,1789,1338,1,13,77439.0
4166,2020-07-10,Tripura,1931,1372,1,13,79429.0
4203,2020-07-11,Tripura,1962,1375,2,14,81631.0
4240,2020-07-12,Tripura,2067,1421,2,14,83353.0
4277,2020-07-13,Tripura,2093,1475,2,14,86211.0
4314,2020-07-14,Tripura,2183,1538,2,14,88677.0
4351,2020-07-15,Tripura,2281,1604,3,14,92313.0
4388,2020-07-16,Tripura,2379,1637,3,14,95328.0
4425,2020-07-17,Tripura,2497,1684,3,14,97471.0
4462,2020-07-18,Tripura,2668,1735,5,14,105058.0
4499,2020-07-19,Tripura,2891,1759,5,14,109290.0
4535,2020-07-20,Tripura,3093,1845,7,14,114165.0
4571,2020-07-21,Tripura,3345,1926,8,14,119046.0
4607,2020-07-22,Tripura,3471,2033,9,18,123269.0
4643,2020-07-23,Tripura,3677,2072,10,18,127742.0
4679,2020-07-24,Tripura,3777,2131,11,18,131485.0
4715,2020-07-25,Tripura,3882,2210,11,18,135436.0
4751,2020-07-26,Tripura,3919,2362,13,18,138100.0
4787,2020-07-27,Tripura,4066,2467,17,18,142275.0
4823,2020-07-28,Tripura,4287,2621,21,18,148877.0
4859,2020-07-29,Tripura,4503,2678,21,18,156382.0
4895,2020-07-30,Tripura,4722,2962,21,18,163640.0
4931,2020-07-31,Tripura,4996,3327,21,18,170834.0
4967,2020-08-01,Tripura,5248,3463,23,18,176171.0
5003,2020-08-02,Tripura,5389,3605,27,18,180684.0
5039,2020-08-03,Tripura,5389,3605,27,18,180684.0
5075,2020-08-04,Tripura,5520,3675,28,18,184227.0
5111,2020-08-05,Tripura,5642,3725,30,18,187848.0
5147,2020-08-06,Tripura,5740,3793,31,18,190492.0
5183,2020-08-07,Tripura,5868,3860,36,18,193268.0
5219,2020-08-08,Tripura,6014,4084,37,18,196440.0
5255,2020-08-09,Tripura,6161,4176,41,18,199937.0
5291,2020-08-10,Tripura,6223,4443,42,18,202004.0
5327,2020-08-11,Tripura,6387,4656,43,18,205125.0
5363,2020-08-12,Tripura,6497,4838,43,18,208165.0
5399,2020-08-13,Tripura,6618,4912,44,18,210678.0
5435,2020-08-14,Tripura,6782,5015,46,18,213730.0
5471,2020-08-15,Tripura,6949,5088,50,18,217119.0
5507,2020-08-16,Tripura,7076,5151,55,18,218981.0
5543,2020-08-17,Tripura,7219,5286,59,18,220789.0
5579,2020-08-18,Tripura,7424,5404,62,18,223966.0
5615,2020-08-19,Tripura,7660,5497,65,18,228003.0
