,Date,State,Confirmed,Recovered,Deceased,Other,Tested
153,2020-03-15,Uttarakhand,1,0,0,0,
170,2020-03-16,Uttarakhand,1,0,0,0,
188,2020-03-17,Uttarakhand,1,0,0,0,
207,2020-03-18,Uttarakhand,1,0,0,0,
229,2020-03-19,Uttarakhand,3,0,0,0,
252,2020-03-20,Uttarakhand,3,0,0,0,
275,2020-03-21,Uttarakhand,3,0,0,0,
299,2020-03-22,Uttarakhand,3,0,0,0,
323,2020-03-23,Uttarakhand,4,0,0,0,
348,2020-03-24,Uttarakhand,4,0,0,0,
375,2020-03-25,Uttarakhand,5,0,0,0,
403,2020-03-26,Uttarakhand,5,0,0,0,
431,2020-03-27,Uttarakhand,5,0,0,0,
459,2020-03-28,Uttarakhand,6,0,0,0,
487,2020-03-29,Uttarakhand,7,2,0,0,
515,2020-03-30,Uttarakhand,7,2,0,0,
545,2020-03-31,Uttarakhand,7,2,0,0,
575,2020-04-01,Uttarakhand,7,2,0,0,
606,2020-04-02,Uttarakhand,10,2,0,0,678.0
637,2020-04-03,Uttarakhand,16,2,0,0,678.0
668,2020-04-04,Uttarakhand,22,2,0,0,678.0
699,2020-04-05,Uttarakhand,26,4,0,0,678.0
732,2020-04-06,Uttarakhand,31,4,0,0,678.0
765,2020-04-07,Uttarakhand,31,4,0,0,1289.0
798,2020-04-08,Uttarakhand,35,5,0,0,1289.0
832,2020-04-09,Uttarakhand,35,5,0,0,1531.0
866,2020-04-10,Uttarakhand,35,5,0,0,1688.0
900,2020-04-11,Uttarakhand,35,5,0,0,1705.0
934,2020-04-12,Uttarakhand,35,5,0,0,1820.0
969,2020-04-13,Uttarakhand,35,7,0,0,1998.0
1004,2020-04-14,Uttarakhand,37,9,0,0,2174.0
1039,2020-04-15,Uttarakhand,37,9,0,0,2413.0
1074,2020-04-16,Uttarakhand,37,9,0,0,2593.0
1109,2020-04-17,Uttarakhand,40,9,0,0,2831.0
1144,2020-04-18,Uttarakhand,42,9,0,0,3158.0
1179,2020-04-19,Uttarakhand,44,11,0,0,3344.0
1214,2020-04-20,Uttarakhand,46,18,0,0,3677.0
1249,2020-04-21,Uttarakhand,46,19,0,0,4061.0
1284,2020-04-22,Uttarakhand,46,23,0,0,4275.0
1319,2020-04-23,Uttarakhand,47,24,0,0,4473.0
1354,2020-04-24,Uttarakhand,48,25,0,0,4767.0
1389,2020-04-25,Uttarakhand,48,26,0,0,5194.0
1424,2020-04-26,Uttarakhand,51,26,0,0,5277.0
1459,2020-04-27,Uttarakhand,51,26,0,0,5463.0
1494,2020-04-28,Uttarakhand,54,26,0,0,5739.0
1529,2020-04-29,Uttarakhand,55,28,0,0,6046.0
1564,2020-04-30,Uttarakhand,57,36,0,0,6565.0
1599,2020-05-01,Uttarakhand,57,37,1,0,7042.0
1634,2020-05-02,Uttarakhand,59,39,1,0,7369.0
1669,2020-05-03,Uttarakhand,60,39,1,0,7578.0
1705,2020-05-04,Uttarakhand,60,39,1,0,7806.0
1741,2020-05-05,Uttarakhand,61,39,1,0,8060.0
1777,2020-05-06,Uttarakhand,61,39,1,0,8346.0
1813,2020-05-07,Uttarakhand,61,39,1,0,8783.0
1849,2020-05-08,Uttarakhand,63,45,1,0,9116.0
1885,2020-05-09,Uttarakhand,67,46,1,0,9386.0
1921,2020-05-10,Uttarakhand,68,46,1,0,9668.0
1957,2020-05-11,Uttarakhand,68,46,1,0,9915.0
1993,2020-05-12,Uttarakhand,69,46,1,0,10471.0
2029,2020-05-13,Uttarakhand,72,46,1,0,10792.0
2065,2020-05-14,Uttarakhand,78,50,1,0,11294.0
2101,2020-05-15,Uttarakhand,82,51,1,0,12045.0
2137,2020-05-16,Uttarakhand,91,51,1,0,12597.0
2173,2020-05-17,Uttarakhand,92,52,1,0,13212.0
2209,2020-05-18,Uttarakhand,96,52,1,0,13870.0
2246,2020-05-19,Uttarakhand,111,52,1,0,14691.0
2283,2020-05-20,Uttarakhand,126,53,1,0,15503.0
2320,2020-05-21,Uttarakhand,145,53,1,0,16528.0
2357,2020-05-22,Uttarakhand,153,53,1,0,18008.0
2394,2020-05-23,Uttarakhand,244,55,1,0,19248.0
2431,2020-05-24,Uttarakhand,317,58,3,1,20969.0
2468,2020-05-25,Uttarakhand,349,58,4,3,22117.0
2505,2020-05-26,Uttarakhand,400,64,4,3,23076.0
2542,2020-05-27,Uttarakhand,469,79,4,3,23975.0
2579,2020-05-28,Uttarakhand,500,79,4,3,25380.0
2616,2020-05-29,Uttarakhand,716,102,4,3,26951.0
2653,2020-05-30,Uttarakhand,749,102,5,3,28433.0
2690,2020-05-31,Uttarakhand,907,102,5,3,30438.0
2727,2020-06-01,Uttarakhand,959,222,5,3,31703.0
2764,2020-06-02,Uttarakhand,1043,252,7,3,33081.0
2801,2020-06-03,Uttarakhand,1085,259,8,3,34413.0
2838,2020-06-04,Uttarakhand,1153,297,10,4,35117.0
2875,2020-06-05,Uttarakhand,1215,344,11,4,35967.0
2912,2020-06-06,Uttarakhand,1303,422,11,5,36638.0
2949,2020-06-07,Uttarakhand,1355,528,13,5,37166.0
2986,2020-06-08,Uttarakhand,1411,714,13,7,39133.0
3023,2020-06-09,Uttarakhand,1537,755,13,7,40264.0
3060,2020-06-10,Uttarakhand,1562,831,15,7,40872.0
3097,2020-06-11,Uttarakhand,1655,886,16,7,41888.0
3134,2020-06-12,Uttarakhand,1724,947,21,7,42783.0
3171,2020-06-13,Uttarakhand,1785,1077,23,8,44040.0
3208,2020-06-14,Uttarakhand,1819,1111,24,9,45344.0
3245,2020-06-15,Uttarakhand,1845,1189,24,12,46573.0
3282,2020-06-16,Uttarakhand,1942,1216,25,13,47870.0
3319,2020-06-17,Uttarakhand,2023,1254,26,13,49462.0
3356,2020-06-18,Uttarakhand,2103,1386,26,13,50796.0
3393,2020-06-19,Uttarakhand,2177,1433,26,15,53155.0
3430,2020-06-20,Uttarakhand,2301,1450,27,15,54512.0
3467,2020-06-21,Uttarakhand,2344,1500,27,15,55819.0
3504,2020-06-22,Uttarakhand,2402,1521,28,15,56724.0
3541,2020-06-23,Uttarakhand,2535,1602,30,17,58338.0
3578,2020-06-24,Uttarakhand,2623,1721,35,17,59616.0
3615,2020-06-25,Uttarakhand,2691,1758,36,17,61165.0
3652,2020-06-26,Uttarakhand,2725,1822,37,18,62500.0
3689,2020-06-27,Uttarakhand,2791,1909,37,18,63960.0
3726,2020-06-28,Uttarakhand,2823,2018,38,18,64984.0
3763,2020-06-29,Uttarakhand,2831,2111,39,22,66396.0
3800,2020-06-30,Uttarakhand,2881,2231,41,27,69024.0
3837,2020-07-01,Uttarakhand,2947,2317,41,27,70032.0
3874,2020-07-02,Uttarakhand,2984,2405,42,27,72104.0
3911,2020-07-03,Uttarakhand,3048,2481,42,27,73738.0
3948,2020-07-04,Uttarakhand,3093,2502,42,27,76878.0
3985,2020-07-05,Uttarakhand,3124,2524,42,28,78306.0
4022,2020-07-06,Uttarakhand,3161,2586,42,28,79605.0
4059,2020-07-07,Uttarakhand,3230,2621,43,28,81447.0
4096,2020-07-08,Uttarakhand,3258,2650,46,28,83900.0
4133,2020-07-09,Uttarakhand,3305,2672,46,29,86458.0
4170,2020-07-10,Uttarakhand,3373,2706,46,29,89179.0
4207,2020-07-11,Uttarakhand,3417,2718,46,30,92198.0
4244,2020-07-12,Uttarakhand,3537,2786,47,30,94121.0
4281,2020-07-13,Uttarakhand,3608,2856,49,32,96123.0
4318,2020-07-14,Uttarakhand,3686,2867,50,33,98878.0
4355,2020-07-15,Uttarakhand,3785,2948,50,33,102529.0
4392,2020-07-16,Uttarakhand,3982,2995,50,33,109784.0
4429,2020-07-17,Uttarakhand,4102,3021,51,34,113846.0
4466,2020-07-18,Uttarakhand,4276,3081,52,35,116694.0
4502,2020-07-19,Uttarakhand,4515,3116,52,36,119345.0
4538,2020-07-20,Uttarakhand,4642,3212,55,37,123000.0
4574,2020-07-21,Uttarakhand,4849,3297,55,38,127098.0
4610,2020-07-22,Uttarakhand,5300,3349,57,38,129783.0
4646,2020-07-23,Uttarakhand,5445,3399,60,38,132840.0
4682,2020-07-24,Uttarakhand,5717,3441,62,38,135447.0
4718,2020-07-25,Uttarakhand,5961,3495,63,38,139229.0
4754,2020-07-26,Uttarakhand,6104,3566,63,38,141431.0
4790,2020-07-27,Uttarakhand,6328,3675,66,38,145627.0
4826,2020-07-28,Uttarakhand,6587,3720,70,38,150065.0
4862,2020-07-29,Uttarakhand,6866,3811,72,38,154984.0
4898,2020-07-30,Uttarakhand,7065,3996,76,38,163683.0
4934,2020-07-31,Uttarakhand,7183,4168,80,38,168113.0
4970,2020-08-01,Uttarakhand,7447,4330,83,38,172477.0
5006,2020-08-02,Uttarakhand,7593,4437,86,38,175881.0
5042,2020-08-03,Uttarakhand,7800,4538,90,38,178595.0
5078,2020-08-04,Uttarakhand,8008,4847,95,38,182335.0
5114,2020-08-05,Uttarakhand,8254,5233,98,38,186966.0
5150,2020-08-06,Uttarakhand,8623,5427,102,38,190898.0
5186,2020-08-07,Uttarakhand,8901,5731,112,38,199081.0
5222,2020-08-08,Uttarakhand,9402,5963,117,39,205565.0
5258,2020-08-09,Uttarakhand,9632,6134,125,39,209627.0
5294,2020-08-10,Uttarakhand,10021,6301,134,39,218838.0
5330,2020-08-11,Uttarakhand,10432,6470,136,39,225618.0
5366,2020-08-12,Uttarakhand,10886,6687,140,39,232259.0
5402,2020-08-13,Uttarakhand,11302,7014,143,42,242150.0
5438,2020-08-14,Uttarakhand,11615,7502,147,42,251236.0
5474,2020-08-15,Uttarakhand,11940,7748,151,44,256008.0
5510,2020-08-16,Uttarakhand,12175,8100,152,44,260790.0
5546,2020-08-17,Uttarakhand,12493,8485,158,44,265748.0
5582,2020-08-18,Uttarakhand,12961,8724,164,49,273357.0
5618,2020-08-19,Uttarakhand,13225,9132,178,50,279961.0
5654,2020-08-20,Uttarakhand,13636,9433,187,50,286330.0
5690,2020-08-21,Uttarakhand,14083,9676,192,51,294279.0
