,Date,State,Confirmed,Recovered,Deceased,Other,Tested
189,2020-03-17,West Bengal,1,0,0,0,
208,2020-03-18,West Bengal,1,0,0,0,
230,2020-03-19,West Bengal,1,0,0,0,
253,2020-03-20,West Bengal,2,0,0,0,
276,2020-03-21,West Bengal,4,0,0,0,
300,2020-03-22,West Bengal,7,0,0,0,
324,2020-03-23,West Bengal,7,0,0,0,
349,2020-03-24,West Bengal,9,0,0,0,
376,2020-03-25,West Bengal,9,0,0,0,
404,2020-03-26,West Bengal,10,0,0,0,
432,2020-03-27,West Bengal,15,0,0,0,
460,2020-03-28,West Bengal,18,0,0,0,
488,2020-03-29,West Bengal,21,0,1,0,
516,2020-03-30,West Bengal,22,0,2,0,
546,2020-03-31,West Bengal,37,3,3,0,
576,2020-04-01,West Bengal,37,3,3,0,659.0
607,2020-04-02,West Bengal,53,3,3,0,659.0
638,2020-04-03,West Bengal,53,3,3,0,659.0
669,2020-04-04,West Bengal,53,3,3,0,1042.0
700,2020-04-05,West Bengal,80,10,3,0,1042.0
733,2020-04-06,West Bengal,80,10,3,0,1301.0
766,2020-04-07,West Bengal,91,13,3,0,1487.0
799,2020-04-08,West Bengal,99,13,5,0,1487.0
833,2020-04-09,West Bengal,103,16,5,0,1889.0
867,2020-04-10,West Bengal,116,16,5,0,2095.0
901,2020-04-11,West Bengal,126,16,5,0,2286.0
935,2020-04-12,West Bengal,134,19,7,0,2523.0
970,2020-04-13,West Bengal,152,29,7,0,2793.0
1005,2020-04-14,West Bengal,190,36,7,0,3081.0
1040,2020-04-15,West Bengal,213,37,7,0,3470.0
1075,2020-04-16,West Bengal,231,42,10,0,3811.0
1110,2020-04-17,West Bengal,255,51,10,0,4212.0
1145,2020-04-18,West Bengal,287,55,12,0,4630.0
1180,2020-04-19,West Bengal,310,62,12,0,5045.0
1215,2020-04-20,West Bengal,339,66,12,0,5469.0
1250,2020-04-21,West Bengal,392,73,15,0,6182.0
1285,2020-04-22,West Bengal,423,73,15,0,7037.0
1320,2020-04-23,West Bengal,456,79,15,0,7990.0
1355,2020-04-24,West Bengal,514,103,18,0,8933.0
1390,2020-04-25,West Bengal,571,103,18,0,9880.0
1425,2020-04-26,West Bengal,611,105,20,0,10893.0
1460,2020-04-27,West Bengal,649,105,20,0,12043.0
1495,2020-04-28,West Bengal,697,109,22,0,13223.0
1530,2020-04-29,West Bengal,725,119,22,0,14620.0
1565,2020-04-30,West Bengal,758,124,33,0,16525.0
1600,2020-05-01,West Bengal,795,139,41,0,18566.0
1635,2020-05-02,West Bengal,922,151,48,0,20976.0
1670,2020-05-03,West Bengal,1198,132,122,0,22915.0
1706,2020-05-04,West Bengal,1259,218,133,0,25116.0
1742,2020-05-05,West Bengal,1344,264,140,0,27571.0
1778,2020-05-06,West Bengal,1456,265,144,0,30141.0
1814,2020-05-07,West Bengal,1548,296,151,0,32752.0
1850,2020-05-08,West Bengal,1678,323,160,0,35767.0
1886,2020-05-09,West Bengal,1786,372,171,0,39368.0
1922,2020-05-10,West Bengal,1939,417,185,0,43414.0
1958,2020-05-11,West Bengal,2063,499,190,0,47615.0
1994,2020-05-12,West Bengal,2173,612,198,0,52622.0
2030,2020-05-13,West Bengal,2290,702,207,0,57632.0
2066,2020-05-14,West Bengal,2377,768,215,0,62837.0
2102,2020-05-15,West Bengal,2461,829,225,0,69543.0
2138,2020-05-16,West Bengal,2576,892,232,0,77288.0
2174,2020-05-17,West Bengal,2677,959,238,0,85956.0
2210,2020-05-18,West Bengal,2824,1006,244,0,93570.0
2247,2020-05-19,West Bengal,2961,1074,250,0,102282.0
2284,2020-05-20,West Bengal,3103,1136,253,0,111002.0
2321,2020-05-21,West Bengal,3197,1193,259,0,115244.0
2358,2020-05-22,West Bengal,3332,1221,265,0,120599.0
2395,2020-05-23,West Bengal,3459,1281,269,0,129608.0
2432,2020-05-24,West Bengal,3667,1339,272,0,138824.0
2469,2020-05-25,West Bengal,3816,1414,278,0,148049.0
2506,2020-05-26,West Bengal,4009,1486,283,0,157277.0
