,Date,State,Confirmed,Recovered,Deceased,Other,Tested
8,2020-03-02,Delhi,1,0,0,0,
12,2020-03-03,Delhi,1,0,0,0,
17,2020-03-04,Delhi,1,0,0,0,
24,2020-03-05,Delhi,2,0,0,0,
31,2020-03-06,Delhi,3,0,0,0,
38,2020-03-07,Delhi,3,0,0,0,
47,2020-03-08,Delhi,3,0,0,0,
56,2020-03-09,Delhi,4,0,0,0,
69,2020-03-10,Delhi,4,0,0,0,
82,2020-03-11,Delhi,5,0,0,0,
96,2020-03-12,Delhi,6,0,0,0,
110,2020-03-13,Delhi,7,0,0,0,
124,2020-03-14,Delhi,7,0,0,0,
139,2020-03-15,Delhi,7,0,0,0,
155,2020-03-16,Delhi,7,0,0,0,
172,2020-03-17,Delhi,10,0,0,0,
191,2020-03-18,Delhi,11,0,0,0,
212,2020-03-19,Delhi,14,0,0,0,
234,2020-03-20,Delhi,20,0,0,0,
257,2020-03-21,Delhi,27,0,0,0,
281,2020-03-22,Delhi,28,0,0,0,
305,2020-03-23,Delhi,30,0,0,0,
329,2020-03-24,Delhi,30,0,0,0,
354,2020-03-25,Delhi,35,0,0,0,
382,2020-03-26,Delhi,39,0,0,0,
410,2020-03-27,Delhi,40,0,0,0,
438,2020-03-28,Delhi,49,0,0,0,
466,2020-03-29,Delhi,72,6,2,0,
494,2020-03-30,Delhi,97,6,2,0,
523,2020-03-31,Delhi,120,6,2,0,
553,2020-04-01,Delhi,152,6,2,0,2621.0
584,2020-04-02,Delhi,293,8,4,0,2621.0
615,2020-04-03,Delhi,386,8,6,0,2621.0
646,2020-04-04,Delhi,445,16,6,0,2621.0
677,2020-04-05,Delhi,503,16,7,0,2621.0
708,2020-04-06,Delhi,525,16,7,0,2621.0
741,2020-04-07,Delhi,576,20,9,0,9041.0
774,2020-04-08,Delhi,669,21,9,0,9041.0
807,2020-04-09,Delhi,720,25,12,0,9968.0
841,2020-04-10,Delhi,903,27,14,0,11061.0
875,2020-04-11,Delhi,1069,27,19,0,11709.0
909,2020-04-12,Delhi,1154,28,24,0,14036.0
943,2020-04-13,Delhi,1510,31,28,0,15032.0
978,2020-04-14,Delhi,1561,31,30,0,16282.0
1013,2020-04-15,Delhi,1578,41,32,0,16605.0
1048,2020-04-16,Delhi,1640,52,38,0,18784.0
1083,2020-04-17,Delhi,1707,72,42,0,21409.0
1118,2020-04-18,Delhi,1893,207,43,0,22283.0
1153,2020-04-19,Delhi,2003,290,45,0,24387.0
1188,2020-04-20,Delhi,2081,431,47,0,25900.0
1223,2020-04-21,Delhi,2156,611,47,0,26627.0
1258,2020-04-22,Delhi,2248,724,48,0,28309.0
1293,2020-04-23,Delhi,2376,808,50,0,30560.0
1328,2020-04-24,Delhi,2514,857,53,0,33672.0
1363,2020-04-25,Delhi,2625,869,54,0,35519.0
1398,2020-04-26,Delhi,2918,877,54,0,37613.0
1433,2020-04-27,Delhi,3108,877,54,0,39911.0
1468,2020-04-28,Delhi,3314,1078,54,0,43370.0
1503,2020-04-29,Delhi,3439,1092,56,0,47225.0
1538,2020-04-30,Delhi,3515,1094,59,0,47225.0
1573,2020-05-01,Delhi,3738,1167,61,0,47225.0
1608,2020-05-02,Delhi,4122,1256,64,0,58210.0
1643,2020-05-03,Delhi,4549,1362,64,0,60246.0
1678,2020-05-04,Delhi,4898,1431,64,0,64108.0
1714,2020-05-05,Delhi,5104,1468,64,0,67852.0
1750,2020-05-06,Delhi,5532,1542,65,0,71934.0
1786,2020-05-07,Delhi,5980,1931,66,0,77234.0
1822,2020-05-08,Delhi,6318,2020,68,0,81367.0
1858,2020-05-09,Delhi,6542,2020,68,0,84226.0
