,Date,State,Confirmed,Recovered,Deceased,Other,Tested
10,2020-03-02,Telangana,1,0,0,0,
15,2020-03-03,Telangana,1,0,0,0,
21,2020-03-04,Telangana,1,0,0,0,
28,2020-03-05,Telangana,1,0,0,0,
35,2020-03-06,Telangana,1,0,0,0,
43,2020-03-07,Telangana,1,0,0,0,
52,2020-03-08,Telangana,1,0,0,0,
65,2020-03-09,Telangana,1,0,0,0,
78,2020-03-10,Telangana,1,0,0,0,
91,2020-03-11,Telangana,1,0,0,0,
105,2020-03-12,Telangana,1,0,0,0,
119,2020-03-13,Telangana,1,0,0,0,
134,2020-03-14,Telangana,2,0,0,0,
149,2020-03-15,Telangana,3,0,0,0,
166,2020-03-16,Telangana,4,0,0,0,
184,2020-03-17,Telangana,5,0,0,0,
203,2020-03-18,Telangana,13,0,0,0,
225,2020-03-19,Telangana,16,0,0,0,
248,2020-03-20,Telangana,19,0,0,0,
271,2020-03-21,Telangana,21,0,0,0,
295,2020-03-22,Telangana,27,0,0,0,
319,2020-03-23,Telangana,33,0,0,0,
344,2020-03-24,Telangana,39,0,0,0,
371,2020-03-25,Telangana,41,0,0,0,
399,2020-03-26,Telangana,45,0,0,0,
427,2020-03-27,Telangana,59,0,0,0,
455,2020-03-28,Telangana,67,0,0,0,
483,2020-03-29,Telangana,70,1,1,0,
511,2020-03-30,Telangana,77,14,6,0,
541,2020-03-31,Telangana,97,14,6,0,
571,2020-04-01,Telangana,127,14,9,0,
602,2020-04-02,Telangana,154,17,9,0,
633,2020-04-03,Telangana,229,32,11,0,
664,2020-04-04,Telangana,272,33,11,0,
695,2020-04-05,Telangana,334,33,11,0,
727,2020-04-06,Telangana,364,45,11,0,
760,2020-04-07,Telangana,404,45,11,0,
793,2020-04-08,Telangana,453,45,11,0,
827,2020-04-09,Telangana,471,45,12,0,
861,2020-04-10,Telangana,487,45,12,0,
895,2020-04-11,Telangana,503,96,14,0,
929,2020-04-12,Telangana,531,103,16,0,
964,2020-04-13,Telangana,592,103,17,0,
999,2020-04-14,Telangana,644,110,18,0,
1034,2020-04-15,Telangana,650,118,18,0,
1069,2020-04-16,Telangana,700,186,18,0,
1104,2020-04-17,Telangana,766,186,18,0,
1139,2020-04-18,Telangana,809,186,18,0,
1174,2020-04-19,Telangana,858,186,21,0,14962.0
1209,2020-04-20,Telangana,872,186,23,0,14962.0
1244,2020-04-21,Telangana,928,194,23,0,14962.0
1279,2020-04-22,Telangana,943,194,24,0,14962.0
1314,2020-04-23,Telangana,970,252,25,0,14962.0
1349,2020-04-24,Telangana,983,291,25,0,14962.0
1384,2020-04-25,Telangana,990,307,25,0,14962.0
1419,2020-04-26,Telangana,1001,316,25,0,14962.0
1454,2020-04-27,Telangana,1003,332,25,0,14962.0
1489,2020-04-28,Telangana,1009,374,25,0,19063.0
1524,2020-04-29,Telangana,1016,409,25,0,19278.0
1559,2020-04-30,Telangana,1038,442,28,0,19278.0
1594,2020-05-01,Telangana,1044,464,28,0,19278.0
1629,2020-05-02,Telangana,1061,499,29,0,19278.0
1664,2020-05-03,Telangana,1082,545,29,0,19278.0
1700,2020-05-04,Telangana,1085,585,29,0,19278.0
1736,2020-05-05,Telangana,1096,628,29,0,19278.0
1772,2020-05-06,Telangana,1107,648,29,0,19278.0
1808,2020-05-07,Telangana,1122,693,29,0,19278.0
1844,2020-05-08,Telangana,1132,727,29,0,19278.0
1880,2020-05-09,Telangana,1163,751,30,0,19278.0
1916,2020-05-10,Telangana,1196,751,30,0,19278.0
1952,2020-05-11,Telangana,1275,801,30,0,19278.0
1988,2020-05-12,Telangana,1326,822,32,0,19278.0
2024,2020-05-13,Telangana,1367,939,34,0,19278.0
2060,2020-05-14,Telangana,1414,952,34,0,19278.0
2096,2020-05-15,Telangana,1454,959,34,0,19278.0
2132,2020-05-16,Telangana,1509,971,34,0,23388.0
2168,2020-05-17,Telangana,1551,992,34,0,23388.0
2204,2020-05-18,Telangana,1592,1002,34,0,23388.0
2240,2020-05-19,Telangana,1634,1011,38,0,23388.0
2277,2020-05-20,Telangana,1661,1013,40,0,23388.0
2314,2020-05-21,Telangana,1699,1036,45,0,23388.0
2351,2020-05-22,Telangana,1761,1043,48,0,23388.0
2388,2020-05-23,Telangana,1813,1068,49,0,23388.0
2425,2020-05-24,Telangana,1854,1092,53,0,23388.0
2462,2020-05-25,Telangana,1920,1164,56,0,23388.0
2499,2020-05-26,Telangana,2032,1284,57,0,23388.0
2536,2020-05-27,Telangana,2139,1321,63,0,23388.0
2573,2020-05-28,Telangana,2256,1345,67,0,23388.0
2610,2020-05-29,Telangana,2425,1381,71,0,23388.0
2647,2020-05-30,Telangana,2499,1412,77,0,23388.0
2684,2020-05-31,Telangana,2698,1428,82,0,23388.0
2721,2020-06-01,Telangana,2792,1491,88,0,23388.0
2758,2020-06-02,Telangana,2891,1526,92,0,23388.0
2795,2020-06-03,Telangana,3020,1556,99,0,23388.0
2832,2020-06-04,Telangana,3147,1587,105,0,23388.0
2869,2020-06-05,Telangana,3290,1627,113,0,23388.0
2906,2020-06-06,Telangana,3496,1710,123,0,23388.0
2943,2020-06-07,Telangana,3650,1742,137,0,23388.0
2980,2020-06-08,Telangana,3742,1742,142,0,23388.0
3017,2020-06-09,Telangana,3920,1742,148,0,23388.0
3054,2020-06-10,Telangana,4111,1817,156,0,23388.0
3091,2020-06-11,Telangana,4320,1993,165,0,23388.0
3128,2020-06-12,Telangana,4484,2278,174,0,23388.0
3165,2020-06-13,Telangana,4737,2352,182,0,23388.0
3202,2020-06-14,Telangana,4974,2377,185,0,23388.0
3239,2020-06-15,Telangana,5193,2766,187,0,23388.0
3276,2020-06-16,Telangana,5406,3027,191,0,44431.0
3313,2020-06-17,Telangana,5675,3071,192,0,45911.0
3350,2020-06-18,Telangana,6027,3301,195,0,45911.0
3387,2020-06-19,Telangana,6526,3352,198,0,50569.0
3424,2020-06-20,Telangana,7072,3506,203,0,53757.0
3461,2020-06-21,Telangana,7802,3731,210,0,57054.0
3498,2020-06-22,Telangana,8674,4005,217,0,60243.0
3535,2020-06-23,Telangana,9553,4224,220,0,63249.0
3572,2020-06-24,Telangana,10444,4361,225,0,67318.0
3609,2020-06-25,Telangana,11364,4688,230,0,70934.0
3646,2020-06-26,Telangana,12349,4766,237,0,75308.0
3683,2020-06-27,Telangana,13436,4928,243,0,79231.0
3720,2020-06-28,Telangana,14419,5172,247,0,82458.0
3757,2020-06-29,Telangana,15394,5582,253,0,85106.0
3794,2020-06-30,Telangana,16339,7294,260,0,88563.0
3831,2020-07-01,Telangana,17357,8082,267,0,92797.0
3868,2020-07-02,Telangana,18570,9069,275,0,98153.0
3905,2020-07-03,Telangana,20462,10195,283,0,104118.0
3942,2020-07-04,Telangana,22312,11537,288,0,110545.0
3979,2020-07-05,Telangana,23902,12703,295,0,115835.0
4016,2020-07-06,Telangana,25733,14781,306,0,122218.0
4053,2020-07-07,Telangana,27612,16287,313,0,128438.0
4090,2020-07-08,Telangana,29536,17279,324,0,134801.0
4127,2020-07-09,Telangana,30946,18192,331,0,140755.0
4164,2020-07-10,Telangana,32224,19205,339,0,151109.0
4201,2020-07-11,Telangana,33402,20919,348,0,162171.0
4238,2020-07-12,Telangana,34671,22482,356,0,170324.0
4275,2020-07-13,Telangana,36221,23679,365,0,181849.0
4312,2020-07-14,Telangana,37745,24840,375,0,195024.0
4349,2020-07-15,Telangana,39342,25999,386,0,208666.0
4386,2020-07-16,Telangana,41018,27295,396,0,222693.0
4423,2020-07-17,Telangana,42496,28705,403,0,237817.0
4460,2020-07-18,Telangana,43780,30607,409,0,252700.0
4497,2020-07-19,Telangana,45076,32438,415,0,265219.0
4533,2020-07-20,Telangana,46274,34323,422,0,276222.0
4569,2020-07-21,Telangana,47704,36385,429,0,293077.0
4605,2020-07-22,Telangana,49259,37666,438,0,308959.0
4641,2020-07-23,Telangana,50826,39327,447,0,322326.0
4677,2020-07-24,Telangana,52466,40334,455,0,337771.0
4713,2020-07-25,Telangana,54059,41332,463,0,353425.0
4749,2020-07-26,Telangana,54059,41332,463,0,353425.0
4785,2020-07-27,Telangana,55532,42106,471,0,363242.0
4821,2020-07-28,Telangana,57142,42909,480,0,379081.0
4857,2020-07-29,Telangana,58906,43751,492,0,397939.0
4893,2020-07-30,Telangana,60717,44572,505,0,416202.0
4929,2020-07-31,Telangana,62703,45388,519,0,437582.0
4965,2020-08-01,Telangana,64786,46502,530,0,458593.0
5001,2020-08-02,Telangana,66677,47590,540,0,477795.0
5037,2020-08-03,Telangana,67660,48609,551,0,487238.0
5073,2020-08-04,Telangana,68946,49675,563,0,501025.0
5109,2020-08-05,Telangana,70958,50814,576,0,522143.0
5145,2020-08-06,Telangana,73050,52103,589,0,543489.0
5181,2020-08-07,Telangana,75257,53239,601,0,566984.0
5217,2020-08-08,Telangana,77513,54330,615,0,590306.0
5253,2020-08-09,Telangana,79495,55999,627,0,613231.0
5289,2020-08-10,Telangana,80751,57586,637,0,624840.0
5325,2020-08-11,Telangana,82647,59374,645,0,642875.0
5361,2020-08-12,Telangana,84544,61294,654,0,665847.0
5397,2020-08-13,Telangana,86475,63074,665,0,689150.0
5433,2020-08-14,Telangana,88396,64284,674,0,711196.0
5469,2020-08-15,Telangana,90259,66196,684,0,732435.0
5505,2020-08-16,Telangana,91361,68126,693,0,744555.0
5541,2020-08-17,Telangana,92255,70132,703,0,753349.0
5577,2020-08-18,Telangana,93937,72202,711,0,772928.0
5613,2020-08-19,Telangana,95700,73991,719,0,797470.0
5649,2020-08-20,Telangana,97424,75186,729,0,821311.0
5685,2020-08-21,Telangana,99391,76967,737,0,848078.0
5721,2020-08-22,Telangana,101865,78735,744,0,891173.0
5757,2020-08-23,Telangana,104249,80586,755,0,931839.0
5793,2020-08-24,Telangana,106091,82411,761,0,968121.0
5829,2020-08-25,Telangana,108670,84163,770,0,1021054.0
5865,2020-08-26,Telangana,111688,85223,780,0,1082094.0
5901,2020-08-27,Telangana,114483,86095,788,0,1142480.0
5937,2020-08-28,Telangana,117415,87675,799,0,1204343.0
5973,2020-08-29,Telangana,120166,89350,808,0,1266643.0
6009,2020-08-30,Telangana,123090,90988,818,0,1327791.0
6045,2020-08-31,Telangana,124963,92837,827,0,1365582.0
6081,2020-09-01,Telangana,127697,95162,836,0,1423846.0
6117,2020-09-02,Telangana,130589,97402,846,0,1483267.0
6153,2020-09-03,Telangana,133406,100013,856,0,1542978.0
6189,2020-09-04,Telangana,135884,102024,866,0,1605521.0
6225,2020-09-05,Telangana,138395,104603,877,0,1667653.0
6261,2020-09-06,Telangana,140969,107530,886,0,1730389.0
6297,2020-09-07,Telangana,142771,110241,895,0,1766982.0
6333,2020-09-08,Telangana,145163,112587,906,0,1827905.0
6369,2020-09-09,Telangana,147642,115072,916,0,1890554.0
6405,2020-09-10,Telangana,150176,117143,927,0,1953571.0
6441,2020-09-11,Telangana,152602,119467,940,0,2016461.0
6477,2020-09-12,Telangana,154880,121925,950,0,2078695.0
6513,2020-09-13,Telangana,157096,124528,961,0,2134912.0
6549,2020-09-14,Telangana,158513,127007,974,0,2169339.0
6585,2020-09-15,Telangana,160571,129187,984,0,2220586.0
6621,2020-09-16,Telangana,162844,131447,996,0,2276222.0
6657,2020-09-17,Telangana,165003,133555,1005,0,2329316.0
6693,2020-09-18,Telangana,167046,135357,1016,0,2379950.0
