,Date,State,Confirmed,Recovered,Deceased,Other,Tested
23,2020-03-04,Uttar Pradesh,7,0,0,0,
30,2020-03-05,Uttar Pradesh,8,0,0,0,
37,2020-03-06,Uttar Pradesh,8,0,0,0,
46,2020-03-07,Uttar Pradesh,8,0,0,0,
55,2020-03-08,Uttar Pradesh,8,0,0,0,
68,2020-03-09,Uttar Pradesh,10,0,0,0,
81,2020-03-10,Uttar Pradesh,10,0,0,0,
94,2020-03-11,Uttar Pradesh,10,0,0,0,
108,2020-03-12,Uttar Pradesh,12,0,0,0,
122,2020-03-13,Uttar Pradesh,13,0,0,0,
137,2020-03-14,Uttar Pradesh,13,0,0,0,
152,2020-03-15,Uttar Pradesh,13,0,0,0,
169,2020-03-16,Uttar Pradesh,13,0,0,0,
187,2020-03-17,Uttar Pradesh,15,0,0,0,
206,2020-03-18,Uttar Pradesh,17,0,0,0,
228,2020-03-19,Uttar Pradesh,20,0,0,0,
251,2020-03-20,Uttar Pradesh,24,0,0,0,
274,2020-03-21,Uttar Pradesh,28,0,0,0,
298,2020-03-22,Uttar Pradesh,30,0,0,0,
322,2020-03-23,Uttar Pradesh,34,0,0,0,
347,2020-03-24,Uttar Pradesh,35,0,0,0,
374,2020-03-25,Uttar Pradesh,38,0,0,0,
402,2020-03-26,Uttar Pradesh,42,0,0,0,
430,2020-03-27,Uttar Pradesh,49,0,0,0,
458,2020-03-28,Uttar Pradesh,65,0,0,0,
486,2020-03-29,Uttar Pradesh,72,11,0,0,
514,2020-03-30,Uttar Pradesh,96,17,0,0,
544,2020-03-31,Uttar Pradesh,104,17,0,0,
574,2020-04-01,Uttar Pradesh,117,17,2,0,
605,2020-04-02,Uttar Pradesh,128,17,2,0,
636,2020-04-03,Uttar Pradesh,174,17,2,0,
667,2020-04-04,Uttar Pradesh,234,21,2,0,
698,2020-04-05,Uttar Pradesh,278,21,3,0,5255.0
731,2020-04-06,Uttar Pradesh,305,21,3,0,5255.0
764,2020-04-07,Uttar Pradesh,332,21,3,0,5255.0
797,2020-04-08,Uttar Pradesh,361,31,4,0,5255.0
831,2020-04-09,Uttar Pradesh,410,31,4,0,8402.0
865,2020-04-10,Uttar Pradesh,433,32,4,0,9332.0
899,2020-04-11,Uttar Pradesh,452,45,5,0,10595.0
933,2020-04-12,Uttar Pradesh,483,45,5,0,11855.0
968,2020-04-13,Uttar Pradesh,558,49,5,0,13287.0
1003,2020-04-14,Uttar Pradesh,660,50,8,0,15914.0
1038,2020-04-15,Uttar Pradesh,735,57,11,0,19506.0
1073,2020-04-16,Uttar Pradesh,805,68,13,0,21384.0
1108,2020-04-17,Uttar Pradesh,849,82,14,0,24643.0
1143,2020-04-18,Uttar Pradesh,975,108,14,0,28484.0
1178,2020-04-19,Uttar Pradesh,1100,127,17,0,31767.0
1213,2020-04-20,Uttar Pradesh,1184,140,18,0,34326.0
1248,2020-04-21,Uttar Pradesh,1337,162,21,0,37933.0
