Symbol,Date,Open,High,Low,Close,Volume
786,03-Jan-2003,4.50,4.70,4.10,4.70,27500
786,06-Jan-2003,4.70,4.70,4.70,4.70,9000
786,07-Jan-2003,4.60,4.65,4.60,4.65,4000
786,08-Jan-2003,4.65,4.65,4.65,4.65,3000
786,10-Jan-2003,4.90,4.95,4.90,4.95,2500
786,15-Jan-2003,4.70,4.95,4.70,4.95,2500
786,16-Jan-2003,4.75,4.75,4.75,4.75,6000
786,21-Jan-2003,4.75,4.75,4.75,4.75,1000
786,23-Jan-2003,4.75,4.75,4.70,4.70,8000
786,24-Jan-2003,4.50,4.50,4.00,4.00,8000
786,27-Jan-2003,4.50,4.50,4.30,4.30,4000
786,28-Jan-2003,4.70,4.70,4.40,4.40,7000
786,31-Jan-2003,4.80,4.90,4.30,4.30,17000
786,07-Feb-2003,4.80,4.80,4.80,4.80,2000
786,24-Feb-2003,4.50,4.50,4.40,4.40,3500
786,25-Feb-2003,4.70,4.70,4.50,4.50,5000
786,26-Feb-2003,4.50,5.00,4.50,4.60,9000
786,03-Mar-2003,4.60,4.10,4.00,4.10,2000
786,04-Mar-2003,4.10,4.80,4.75,4.80,10000
786,12-Mar-2003,4.80,4.80,4.80,4.80,1000
786,17-Mar-2003,4.80,4.70,4.70,4.70,2000
786,18-Mar-2003,4.70,4.90,4.90,4.90,7000
786,19-Mar-2003,4.90,6.00,5.25,5.25,50500
786,20-Mar-2003,5.25,6.00,5.30,5.30,12500
786,21-Mar-2003,5.30,6.00,5.45,5.45,3500
786,25-Mar-2003,5.50,5.40,5.40,5.40,1000
786,02-Apr-2003,5.40,5.50,4.65,5.50,1000
786,08-Apr-2003,5.50,5.50,5.50,5.50,1000
786,11-Apr-2003,5.55,5.75,5.75,5.75,2000
786,15-Apr-2003,6.05,6.05,6.05,6.05,1000
786,21-Apr-2003,6.00,6.00,6.00,6.00,1000
786,23-Apr-2003,6.20,6.20,6.20,6.20,1000
786,24-Apr-2003,6.25,6.25,5.55,5.55,2000
786,25-Apr-2003,5.50,5.50,5.50,5.50,1000
786,29-Apr-2003,5.50,5.50,5.50,5.50,1000
786,30-Apr-2003,6.00,6.00,6.00,6.00,500
786,16-May-2003,6.50,6.50,6.50,6.50,2000
786,19-May-2003,6.50,6.50,6.50,6.50,500
786,21-May-2003,6.70,7.00,6.55,7.00,12500
786,22-May-2003,6.75,7.00,6.75,7.00,2000
786,23-May-2003,7.10,7.50,7.10,7.50,1000
786,29-May-2003,7.50,7.50,7.50,7.50,500
786,30-May-2003,7.95,9.00,7.95,9.00,3500
786,04-Jun-2003,8.65,10.45,8.65,10.45,12000
786,05-Jun-2003,9.90,11.90,9.40,10.95,33500
786,06-Jun-2003,9.95,11.95,9.95,11.95,11000
786,11-Jun-2003,10.40,10.40,10.40,10.40,500
786,12-Jun-2003,9.40,9.40,9.40,9.40,500
786,13-Jun-2003,10.00,10.00,10.00,10.00,1000
786,16-Jun-2003,10.00,10.00,10.00,10.00,2000
786,17-Jun-2003,10.10,10.10,10.10,10.10,1000
786,19-Jun-2003,10.00,10.10,10.00,10.10,2500
786,20-Jun-2003,9.75,9.75,9.75,9.75,1000
786,23-Jun-2003,10.00,10.00,9.00,9.00,4000
786,24-Jun-2003,9.00,9.00,9.00,9.00,500
786,10-Jul-2003,8.75,9.15,8.75,9.15,2000
786,28-Jul-2003,8.20,8.20,8.20,8.20,500
786,31-Jul-2003,8.50,8.50,8.50,8.50,1000
786,01-Aug-2003,8.00,8.55,8.00,8.55,1500
786,12-Aug-2003,8.50,8.90,8.50,8.90,4000
786,20-Aug-2003,7.90,7.90,7.90,7.90,1000
786,27-Aug-2003,8.00,8.00,8.00,8.00,2500
786,28-Aug-2003,8.45,8.45,8.45,8.45,500
786,29-Aug-2003,8.50,8.50,8.50,8.50,1000
786,01-Sep-2003,8.30,8.30,8.30,8.30,1000
786,02-Sep-2003,8.60,8.60,8.60,8.60,2000
786,03-Sep-2003,8.50,8.70,8.50,8.70,2500
786,04-Sep-2003,8.35,8.35,8.35,8.35,2000
786,05-Sep-2003,8.35,8.35,8.10,8.10,2500
786,08-Sep-2003,8.35,8.40,8.35,8.40,1000
786,11-Sep-2003,8.65,8.65,8.65,8.65,2000
786,12-Sep-2003,8.35,8.35,8.35,8.35,500
786,16-Sep-2003,8.90,8.90,8.90,8.90,500
786,18-Sep-2003,8.90,8.95,8.90,8.95,3000
786,19-Sep-2003,9.05,9.50,9.00,9.50,9000
786,23-Sep-2003,8.90,8.90,8.90,8.90,500
786,24-Sep-2003,8.90,9.00,8.90,9.00,1500
786,25-Sep-2003,8.90,9.00,8.90,9.00,5000
786,26-Sep-2003,8.50,8.50,8.50,8.50,2000
786,02-Oct-2003,9.00,9.00,9.00,9.00,1000
786,07-Oct-2003,9.00,9.00,9.00,9.00,3000
786,08-Oct-2003,9.25,9.95,9.00,9.00,4000
786,09-Oct-2003,9.00,9.00,9.00,9.00,1000
786,15-Oct-2003,8.00,8.00,8.00,8.00,500
786,05-Nov-2003,6.50,6.50,6.50,6.50,500
786,12-Nov-2003,6.50,6.50,6.50,6.50,1000
786,01-Dec-2003,8.00,8.00,6.50,6.50,7500
786,09-Dec-2003,6.50,6.50,6.50,6.50,3000
786,15-Dec-2003,7.50,7.50,7.50,7.50,2000
786,31-Dec-2003,7.50,7.50,7.50,7.50,1000
786,20-Jan-2004,8.50,8.50,8.50,8.50,500
786,27-Jan-2004,8.85,9.00,8.85,9.00,2500
786,28-Jan-2004,8.85,9.00,8.85,9.00,2500
786,29-Jan-2004,8.00,8.00,8.00,8.00,1000
786,06-Feb-2004,7.75,8.00,7.75,8.00,8000
786,16-Feb-2004,8.00,8.00,8.00,8.00,1500
786,20-Feb-2004,8.00,8.00,8.00,8.00,500
786,26-Feb-2004,8.00,8.00,8.00,8.00,1000
786,03-Mar-2004,8.00,8.05,8.00,8.00,7500
786,04-Mar-2004,8.00,8.00,8.00,8.00,1500
786,09-Mar-2004,8.50,9.00,8.50,9.00,2000
786,10-Mar-2004,8.50,8.50,8.50,8.50,16000
786,11-Mar-2004,9.00,9.70,9.00,9.70,12000
786,12-Mar-2004,9.50,9.50,9.50,9.50,7000
786,17-Mar-2004,8.50,8.50,8.50,9.50,2000
786,22-Mar-2004,8.50,9.25,8.50,9.25,10000
786,25-Mar-2004,8.50,8.50,8.25,8.50,6500
786,26-Mar-2004,8.65,8.75,8.65,8.75,2000
786,07-Apr-2004,8.50,8.50,8.50,8.75,500
786,14-Apr-2004,8.55,8.55,8.55,8.55,4000
786,16-Apr-2004,9.00,9.00,8.55,8.55,1500
786,11-May-2004,8.00,8.00,8.00,8.00,1500
786,14-May-2004,8.00,8.25,8.10,8.25,2000
786,17-May-2004,8.50,8.50,8.50,8.50,500
786,24-May-2004,8.75,9.00,8.75,9.00,4000
786,25-May-2004,8.95,9.00,8.95,9.00,11500
786,27-May-2004,9.25,9.25,9.25,9.25,500
786,28-May-2004,10.00,10.05,10.00,10.05,8000
786,31-May-2004,9.50,9.75,9.30,9.75,7500
