Symbol,Date,Open,High,Low,Close,Volume
AABS,01-Jan-2003,14.30,14.30,14.30,14.30,500
AABS,02-Jan-2003,14.15,14.15,14.15,14.15,500
AABS,03-Jan-2003,14.10,14.10,14.10,14.10,2500
AABS,06-Jan-2003,14.10,14.10,13.60,13.60,13500
AABS,07-Jan-2003,13.60,14.00,13.60,14.00,3000
AABS,08-Jan-2003,13.00,13.00,13.00,13.00,500
AABS,09-Jan-2003,12.95,12.95,12.95,12.95,500
AABS,10-Jan-2003,13.40,13.45,13.40,13.45,5500
AABS,13-Jan-2003,13.50,13.50,13.50,13.50,500
AABS,14-Jan-2003,12.95,13.00,12.95,12.95,2500
AABS,15-Jan-2003,13.00,13.00,13.00,13.00,500
AABS,20-Jan-2003,13.50,14.50,13.50,14.50,59500
AABS,21-Jan-2003,14.00,14.00,14.00,14.00,6000
AABS,22-Jan-2003,13.55,14.25,13.55,14.25,13000
AABS,24-Jan-2003,13.50,14.00,13.50,13.50,5000
AABS,27-Jan-2003,14.00,14.00,14.00,14.00,10000
AABS,28-Jan-2003,14.00,14.10,14.00,14.00,4000
AABS,29-Jan-2003,14.00,14.25,14.00,14.25,5000
AABS,30-Jan-2003,14.50,14.50,14.50,14.50,6500
AABS,31-Jan-2003,14.50,14.50,14.25,14.25,2000
AABS,06-Feb-2003,13.50,13.50,13.50,13.50,500
AABS,07-Feb-2003,14.00,14.00,13.85,13.85,3500
AABS,18-Feb-2003,13.75,13.75,13.75,13.75,3000
AABS,20-Feb-2003,13.05,13.05,13.05,13.05,500
AABS,21-Feb-2003,12.95,13.50,12.95,13.50,3000
AABS,24-Feb-2003,13.00,13.90,13.00,13.90,1500
AABS,25-Feb-2003,13.50,13.50,13.50,13.50,5000
AABS,27-Feb-2003,13.50,13.50,13.50,13.50,1000
AABS,28-Feb-2003,13.50,14.15,13.90,14.15,1500
AABS,03-Mar-2003,14.15,14.10,14.10,14.10,3500
AABS,12-Mar-2003,14.10,14.10,14.10,14.10,3500
AABS,26-Mar-2003,14.00,13.60,13.60,13.60,1000
AABS,31-Mar-2003,13.60,13.50,13.50,13.50,1500
AABS,03-Apr-2003,13.50,13.40,13.35,13.35,1000
AABS,04-Apr-2003,13.35,13.35,13.35,13.35,1500
AABS,07-Apr-2003,13.35,13.50,13.50,13.50,1000
AABS,11-Apr-2003,13.50,13.40,13.30,13.40,2500
AABS,14-Apr-2003,13.40,13.50,13.25,13.50,3000
AABS,15-Apr-2003,13.50,14.50,13.60,14.50,6500
AABS,16-Apr-2003,14.50,14.50,14.00,14.50,1500
AABS,17-Apr-2003,14.45,13.45,13.45,13.45,2000
AABS,18-Apr-2003,14.20,14.25,14.20,14.25,3000
AABS,22-Apr-2003,14.25,14.25,14.25,14.25,1500
AABS,23-Apr-2003,13.50,14.40,13.50,14.40,1000
AABS,24-Apr-2003,14.05,14.05,14.05,14.05,500
AABS,25-Apr-2003,14.40,14.40,14.40,14.40,3000
AABS,28-Apr-2003,14.90,15.00,14.90,15.00,10500
AABS,02-May-2003,14.50,14.75,14.50,14.75,3000
AABS,05-May-2003,14.00,14.90,14.00,14.25,3500
AABS,06-May-2003,14.50,15.00,14.50,14.50,27000
AABS,07-May-2003,15.05,15.25,15.00,15.00,19000
AABS,08-May-2003,14.75,15.00,14.75,15.00,4500
AABS,09-May-2003,15.00,15.45,15.00,15.45,10000
AABS,12-May-2003,15.25,15.25,15.25,15.25,2000
AABS,14-May-2003,16.00,16.00,15.55,15.55,3000
AABS,16-May-2003,16.00,16.00,16.00,16.00,500
AABS,19-May-2003,16.50,16.90,16.25,16.90,15500
AABS,20-May-2003,16.90,17.00,16.30,16.30,13000
AABS,21-May-2003,16.50,16.50,16.50,16.50,4500
AABS,22-May-2003,17.00,17.00,16.50,17.00,18500
AABS,23-May-2003,17.05,18.00,17.00,17.50,51000
AABS,26-May-2003,18.00,19.00,18.00,19.00,38500
AABS,27-May-2003,20.00,20.50,19.00,20.50,39000
AABS,28-May-2003,20.50,20.50,19.50,19.50,29000
AABS,29-May-2003,20.00,20.50,19.95,20.50,26500
AABS,30-May-2003,21.25,21.50,20.50,20.50,44500
AABS,02-Jun-2003,20.25,20.25,19.60,20.00,7000
AABS,03-Jun-2003,20.25,21.45,20.25,21.45,29000
AABS,04-Jun-2003,22.00,23.00,21.50,22.85,61000
AABS,05-Jun-2003,23.25,23.40,22.00,22.00,37000
AABS,06-Jun-2003,22.00,22.70,21.50,22.05,39000
AABS,09-Jun-2003,21.00,21.85,21.00,21.85,4000
AABS,10-Jun-2003,21.30,21.30,20.80,20.80,4500
AABS,11-Jun-2003,20.00,20.60,19.80,19.80,25500
AABS,12-Jun-2003,19.85,20.25,19.75,19.75,16000
AABS,13-Jun-2003,19.90,20.00,19.60,19.60,6500
AABS,16-Jun-2003,20.00,20.00,19.60,19.75,5500
AABS,17-Jun-2003,20.00,20.90,19.70,20.90,16500
AABS,18-Jun-2003,20.20,20.50,19.90,20.00,23500
AABS,19-Jun-2003,19.50,19.50,19.50,19.50,5000
AABS,20-Jun-2003,19.50,19.50,19.25,19.50,6000
AABS,23-Jun-2003,19.50,20.00,19.50,20.00,4000
AABS,24-Jun-2003,19.55,19.60,19.55,19.60,3000
AABS,25-Jun-2003,20.00,20.00,20.00,20.00,3000
AABS,26-Jun-2003,19.90,20.00,19.65,19.75,10000
AABS,27-Jun-2003,19.75,19.75,19.00,19.00,42500
AABS,01-Jul-2003,19.55,20.00,19.55,20.00,13500
AABS,02-Jul-2003,20.00,20.00,19.70,19.70,2500
AABS,03-Jul-2003,20.20,20.50,19.90,19.95,16000
AABS,04-Jul-2003,20.75,20.75,20.05,20.05,6500
AABS,07-Jul-2003,19.80,20.00,19.75,19.75,63000
AABS,08-Jul-2003,19.75,20.00,19.75,20.00,56000
AABS,09-Jul-2003,19.70,20.05,19.70,20.05,3000
AABS,10-Jul-2003,19.60,19.95,19.60,19.60,3500
AABS,11-Jul-2003,19.55,19.85,19.55,19.65,9500
AABS,14-Jul-2003,20.00,20.00,20.00,20.00,10000
AABS,15-Jul-2003,20.00,21.50,20.00,21.40,67500
AABS,16-Jul-2003,21.00,21.90,21.00,21.30,7500
AABS,17-Jul-2003,22.25,22.85,22.25,22.85,22500
AABS,18-Jul-2003,22.85,23.00,22.85,22.85,14000
AABS,21-Jul-2003,23.90,24.25,23.00,24.25,17000
AABS,22-Jul-2003,24.75,26.00,24.25,26.00,21000
AABS,23-Jul-2003,26.00,26.75,26.00,26.00,38000
AABS,24-Jul-2003,26.75,26.75,25.00,25.50,45000
AABS,25-Jul-2003,25.00,26.50,25.00,25.50,712000
AABS,28-Jul-2003,26.50,26.50,26.30,26.30,2000
AABS,29-Jul-2003,25.50,25.50,25.50,25.50,3500
AABS,30-Jul-2003,25.00,25.50,25.00,25.00,6500
AABS,31-Jul-2003,24.50,25.00,24.50,24.80,21000
AABS,01-Aug-2003,25.50,25.50,25.50,25.50,1000
AABS,04-Aug-2003,25.00,25.00,25.00,25.00,500
AABS,05-Aug-2003,25.05,25.05,24.30,25.00,1500
AABS,07-Aug-2003,25.00,25.50,25.00,25.00,32500
AABS,08-Aug-2003,25.00,25.00,24.75,24.75,56000
AABS,11-Aug-2003,24.50,25.20,24.50,24.60,12000
AABS,12-Aug-2003,24.75,25.10,24.75,25.10,4000
AABS,13-Aug-2003,24.75,24.75,24.75,24.75,10000
AABS,15-Aug-2003,24.75,24.75,24.75,24.75,2000
AABS,18-Aug-2003,24.55,24.70,24.55,24.70,6500
AABS,19-Aug-2003,24.75,25.10,24.75,25.00,12000
AABS,20-Aug-2003,25.00,25.25,25.00,25.25,8500
AABS,21-Aug-2003,25.00,25.00,25.00,25.00,14500
AABS,26-Aug-2003,24.50,24.50,24.50,24.50,1000
AABS,27-Aug-2003,25.00,25.00,25.00,25.00,500
AABS,28-Aug-2003,25.25,25.25,25.25,25.25,2000
AABS,02-Sep-2003,25.50,25.50,25.50,25.50,500
AABS,03-Sep-2003,25.20,25.25,24.65,24.65,3500
AABS,05-Sep-2003,25.00,25.00,25.00,25.00,1500
AABS,08-Sep-2003,24.75,24.90,24.75,24.90,1500
AABS,10-Sep-2003,25.00,25.25,25.00,25.25,2000
AABS,11-Sep-2003,25.05,25.25,25.00,25.00,3000
AABS,12-Sep-2003,25.00,25.25,25.00,25.25,1500
AABS,15-Sep-2003,25.50,25.50,25.50,25.50,11500
AABS,16-Sep-2003,25.75,26.45,25.25,26.45,6500
AABS,17-Sep-2003,25.55,25.55,25.50,25.55,2000
AABS,18-Sep-2003,26.25,27.45,26.25,27.45,113500
AABS,19-Sep-2003,27.00,28.60,27.00,28.60,9000
AABS,23-Sep-2003,27.20,27.20,27.20,27.20,16000
AABS,24-Sep-2003,27.30,29.00,27.30,29.00,17500
AABS,25-Sep-2003,28.50,29.00,28.50,28.50,16500
AABS,26-Sep-2003,30.45,30.45,29.05,29.05,1000
AABS,29-Sep-2003,28.30,28.30,28.10,28.10,2500
AABS,30-Sep-2003,27.00,28.00,27.00,28.00,1500
AABS,01-Oct-2003,27.90,28.00,27.90,28.00,2500
AABS,02-Oct-2003,28.90,28.90,28.75,28.75,5000
AABS,03-Oct-2003,30.40,30.40,29.45,29.45,1000
AABS,06-Oct-2003,28.10,28.15,28.10,28.15,1000
AABS,07-Oct-2003,29.00,29.00,29.00,29.00,5500
AABS,08-Oct-2003,28.50,28.50,28.00,28.00,1500
AABS,09-Oct-2003,28.00,28.00,28.00,28.00,1500
AABS,13-Oct-2003,28.00,28.00,28.00,28.00,5000
AABS,15-Oct-2003,27.25,28.00,27.25,28.00,6500
AABS,16-Oct-2003,28.25,30.00,28.25,30.00,3500
AABS,17-Oct-2003,28.75,28.75,28.50,28.50,10500
AABS,21-Oct-2003,30.00,30.00,30.00,30.00,7500
AABS,22-Oct-2003,30.00,30.25,29.25,30.15,6000
AABS,23-Oct-2003,30.25,30.25,30.00,30.00,20000
AABS,24-Oct-2003,30.00,30.50,30.00,30.50,4000
AABS,28-Oct-2003,30.00,30.00,30.00,30.00,2000
AABS,30-Oct-2003,30.00,30.00,30.00,30.00,4000
AABS,31-Oct-2003,30.00,30.00,30.00,30.00,4000
AABS,04-Nov-2003,31.50,32.25,31.50,32.25,53000
AABS,05-Nov-2003,32.65,32.65,32.65,32.65,1500
AABS,06-Nov-2003,33.00,33.00,32.90,33.00,24500
AABS,07-Nov-2003,35.00,35.00,35.00,33.00,500
