Symbol,Date,Open,High,Low,Close,Volume
AASM,25-Mar-2003,48.00,48.00,48.00,48.00,600
AASM,04-Apr-2003,48.00,50.10,50.00,50.00,600
AASM,15-Apr-2003,49.50,52.00,50.00,52.00,700
AASM,16-Apr-2003,54.00,54.00,54.00,54.00,200
AASM,17-Apr-2003,54.00,58.00,56.00,56.10,2100
AASM,22-Apr-2003,53.50,53.50,53.30,53.30,200
AASM,23-Apr-2003,54.00,54.00,54.00,54.00,600
AASM,06-May-2003,55.00,56.00,55.00,56.00,1400
AASM,07-May-2003,60.20,60.20,60.20,60.20,200
AASM,08-May-2003,62.95,62.95,62.95,62.95,200
AASM,09-May-2003,60.00,60.00,60.00,60.00,300
AASM,19-May-2003,63.50,64.50,63.50,64.05,900
AASM,20-May-2003,63.50,65.00,63.50,65.00,4700
AASM,21-May-2003,69.80,69.80,69.80,69.80,5000
AASM,22-May-2003,66.35,75.00,66.35,75.00,4700
AASM,26-May-2003,71.30,78.90,71.30,78.90,4200
AASM,29-May-2003,73.65,77.95,73.65,77.95,4000
AASM,03-Jun-2003,74.00,74.00,74.00,74.00,100
AASM,20-Jun-2003,78.00,79.50,78.00,79.50,1400
AASM,02-Jul-2003,82.10,82.10,82.10,82.10,500
AASM,07-Jul-2003,78.00,88.00,78.00,88.00,4000
AASM,25-Jul-2003,90.00,94.50,90.00,94.50,2000
AASM,05-Aug-2003,89.30,89.30,89.30,89.30,100
AASM,12-Aug-2003,90.00,90.00,90.00,90.00,4000
AASM,25-Aug-2003,85.50,85.50,85.50,85.50,500
AASM,27-Aug-2003,88.00,88.00,88.00,88.00,100
AASM,03-Sep-2003,85.00,88.00,85.00,88.00,600
AASM,10-Sep-2003,83.75,94.50,83.70,94.50,12000
AASM,06-Nov-2003,82.00,92.00,82.00,92.00,2000
AASM,23-Dec-2003,88.00,88.00,88.00,88.00,100
AASM,22-Nov-2004,70.30,70.30,70.30,70.30,1400
AASM,02-Dec-2004,70.00,70.00,70.00,70.00,500
AASM,29-Dec-2004,65.60,65.60,65.60,65.60,100
AASM,13-Jan-2005,61.75,61.75,61.75,61.75,100
AASM,17-Jan-2005,58.70,58.70,58.70,58.70,100
AASM,24-Jan-2005,56.10,56.10,56.05,56.05,300
AASM,25-Jan-2005,60.25,60.25,60.25,60.25,300
AASM,09-Feb-2005,59.75,59.75,59.75,59.75,1000
AASM,17-Feb-2005,60.00,64.20,60.00,64.20,10000
AASM,01-Apr-2005,64.00,64.00,64.00,64.00,1600
AASM,31-Aug-2005,57.00,57.00,57.00,57.00,200
AASM,08-Mar-2006,58.00,58.00,58.00,58.00,500
AASM,09-Mar-2006,60.90,60.90,57.00,57.00,2100
AASM,13-Mar-2006,54.25,54.25,54.25,54.25,500
AASM,22-Mar-2006,57.75,57.75,57.75,57.75,500
AASM,27-Mar-2006,60.60,60.60,60.60,60.60,500
AASM,31-Mar-2006,60.60,60.60,60.60,60.60,500
AASM,06-Apr-2006,59.95,59.95,59.95,59.95,500
AASM,13-Apr-2006,58.00,58.00,58.00,58.00,100
AASM,17-Apr-2006,56.00,56.00,56.00,56.00,500
AASM,18-Apr-2006,58.80,58.80,58.80,58.80,500
AASM,21-Apr-2006,56.00,56.00,55.90,55.90,1000
AASM,26-Apr-2006,57.00,57.00,55.00,55.00,600
AASM,27-Apr-2006,57.75,57.75,56.10,56.10,4500
AASM,08-May-2006,56.60,56.60,56.50,56.50,1500
AASM,09-May-2006,57.00,57.00,57.00,57.00,1000
AASM,12-May-2006,55.00,59.85,55.00,59.85,1500
AASM,22-May-2006,54.60,54.60,54.60,54.60,500
AASM,24-May-2006,52.10,52.10,52.10,52.10,500
AASM,25-May-2006,52.50,52.50,52.50,52.50,500
AASM,01-Jun-2006,55.10,55.10,55.10,55.10,500
AASM,14-Jul-2006,56.00,56.00,56.00,56.00,1000
AASM,17-Jul-2006,54.00,54.00,54.00,54.00,2000
AASM,19-Jul-2006,56.70,56.70,56.65,56.65,2000
AASM,20-Jul-2006,56.90,59.45,56.90,59.45,600
AASM,05-Dec-2006,55.10,55.10,55.10,55.10,200
AASM,12-Feb-2007,53.00,53.00,53.00,53.00,100
AASM,22-Mar-2007,50.35,50.35,50.35,50.35,100
AASM,09-Apr-2007,47.85,47.85,47.85,47.85,100
AASM,18-Apr-2007,45.60,47.60,45.60,47.60,1000
AASM,26-Apr-2007,47.00,49.90,47.00,49.90,1000
AASM,17-Dec-2007,51.70,51.70,51.70,51.70,1000
