Symbol,Date,Open,High,Low,Close,Volume
AATM,07-Jan-2004,2.20,2.20,2.20,2.20,5000
AATM,15-Jan-2004,2.45,2.45,2.45,2.45,2000
AATM,20-Jan-2004,2.50,2.50,2.50,2.50,1000
AATM,21-Jan-2004,2.50,2.50,2.50,2.50,5500
AATM,22-Jan-2004,2.60,3.35,2.60,3.35,12500
AATM,27-Jan-2004,2.75,3.45,2.75,3.25,20000
AATM,28-Jan-2004,2.75,3.45,2.75,3.25,20000
AATM,29-Jan-2004,3.25,3.25,3.25,3.25,500
AATM,06-Feb-2004,3.65,4.00,3.50,4.00,23000
AATM,10-Feb-2004,4.00,4.00,4.00,4.00,500
AATM,11-Feb-2004,3.75,4.00,3.50,3.85,18000
AATM,12-Feb-2004,3.50,3.50,3.50,3.50,500
AATM,13-Feb-2004,3.10,3.50,3.10,3.50,1500
AATM,19-Feb-2004,3.50,3.50,3.50,3.50,2000
AATM,10-Mar-2004,3.45,3.65,3.45,3.65,9500
AATM,11-Mar-2004,4.15,4.50,3.85,3.85,24000
AATM,12-Mar-2004,4.00,4.45,4.00,4.10,70000
AATM,15-Mar-2004,4.35,4.35,4.00,4.00,11500
AATM,16-Mar-2004,4.40,4.60,4.15,4.45,80000
AATM,17-Mar-2004,4.50,5.00,4.50,4.70,29500
AATM,18-Mar-2004,4.80,5.75,4.80,5.00,86000
AATM,19-Mar-2004,5.00,5.00,4.70,4.70,13500
AATM,22-Mar-2004,4.75,5.00,4.75,4.90,12500
AATM,24-Mar-2004,4.75,5.00,4.75,4.85,11000
AATM,25-Mar-2004,4.80,4.80,4.80,4.80,1000
AATM,26-Mar-2004,4.50,4.50,4.40,4.40,6500
AATM,29-Mar-2004,4.40,4.40,4.40,4.40,2500
AATM,30-Mar-2004,4.90,4.90,4.40,4.40,5000
AATM,01-Apr-2004,4.25,4.45,4.25,4.35,7000
AATM,02-Apr-2004,4.00,4.00,4.00,4.00,500
AATM,05-Apr-2004,3.00,4.00,3.00,4.00,4500
AATM,06-Apr-2004,3.60,4.45,3.60,4.30,10500
AATM,07-Apr-2004,4.05,4.15,4.05,4.15,7000
AATM,08-Apr-2004,4.10,4.10,4.10,4.10,500
AATM,09-Apr-2004,4.00,4.05,4.00,4.05,2500
AATM,13-Apr-2004,4.05,4.05,4.05,4.05,2500
AATM,14-Apr-2004,4.10,4.10,4.10,4.10,2000
AATM,16-Apr-2004,4.15,4.50,4.15,4.50,1000
AATM,19-Apr-2004,4.15,4.15,4.15,4.15,5000
AATM,21-Apr-2004,3.50,4.70,3.50,4.00,4000
AATM,22-Apr-2004,3.65,3.65,3.65,3.65,500
AATM,23-Apr-2004,4.25,4.25,4.25,4.25,500
AATM,27-Apr-2004,4.00,4.00,4.00,4.00,4500
AATM,28-Apr-2004,4.00,4.00,4.00,4.00,500
AATM,30-Apr-2004,4.45,4.45,4.00,4.00,1500
AATM,05-May-2004,3.50,4.25,3.50,4.25,3000
AATM,06-May-2004,4.25,4.25,4.25,4.25,1000
AATM,11-May-2004,4.00,4.00,4.00,4.00,500
AATM,12-May-2004,4.00,4.00,4.00,4.00,5000
AATM,13-May-2004,4.45,4.45,4.10,4.10,2000
AATM,17-May-2004,4.00,4.00,4.00,4.00,2000
AATM,19-May-2004,4.10,4.10,4.10,4.10,5000
AATM,20-May-2004,4.65,5.50,4.65,5.00,6500
AATM,21-May-2004,5.40,5.80,5.15,5.80,13500
AATM,24-May-2004,5.45,5.45,4.50,4.50,2000
AATM,25-May-2004,5.10,5.65,5.10,5.50,23500
AATM,26-May-2004,5.65,6.00,5.60,5.60,35500
AATM,27-May-2004,5.50,5.50,5.45,5.45,3000
AATM,28-May-2004,4.75,5.05,4.75,5.00,11500
AATM,31-May-2004,5.05,5.05,5.00,5.00,4000
AATM,01-Jun-2004,5.25,5.60,5.25,5.50,9500
AATM,02-Jun-2004,5.50,5.50,5.50,5.50,4500
AATM,03-Jun-2004,5.70,5.70,5.60,5.70,8500
AATM,04-Jun-2004,5.50,5.50,5.50,5.50,500
AATM,07-Jun-2004,5.65,5.70,5.65,5.70,1500
AATM,08-Jun-2004,5.65,6.00,5.65,6.00,5000
AATM,09-Jun-2004,6.25,6.50,6.25,6.25,15000
AATM,11-Jun-2004,7.50,7.80,7.50,7.55,5000
AATM,14-Jun-2004,8.00,8.90,8.00,8.00,2000
AATM,15-Jun-2004,8.00,8.40,7.50,8.40,2500
AATM,16-Jun-2004,7.50,7.75,7.40,7.75,7500
AATM,17-Jun-2004,8.00,9.00,8.00,8.90,11000
AATM,18-Jun-2004,8.50,8.50,7.90,7.90,1500
AATM,21-Jun-2004,8.00,8.00,7.00,7.00,3000
AATM,22-Jun-2004,6.60,6.60,6.60,6.60,500
AATM,23-Jun-2004,7.00,7.50,7.00,7.45,4500
AATM,24-Jun-2004,7.00,7.35,6.75,7.35,3500
AATM,25-Jun-2004,6.35,7.30,6.35,7.30,5000
AATM,28-Jun-2004,8.00,8.00,6.75,6.75,5500
AATM,29-Jun-2004,6.75,6.75,6.75,6.75,2000
AATM,07-Jul-2004,5.90,5.90,5.90,5.90,3000
