Symbol,Date,Open,High,Low,Close,Volume
ABL,17-Aug-2005,35.00,49.00,35.00,42.40,15000
ABL,19-Aug-2005,41.50,42.50,41.25,42.40,6500
ABL,22-Aug-2005,42.95,43.50,42.25,43.00,29000
ABL,23-Aug-2005,43.00,43.00,40.85,42.60,16500
ABL,24-Aug-2005,42.95,42.95,41.50,41.60,13000
ABL,25-Aug-2005,41.50,41.50,41.25,41.25,1500
ABL,26-Aug-2005,40.75,41.00,40.75,41.00,2500
ABL,29-Aug-2005,40.20,42.50,40.00,42.25,31500
ABL,30-Aug-2005,42.85,42.90,42.85,42.85,5000
ABL,31-Aug-2005,43.00,43.20,42.00,43.15,17000
ABL,01-Sep-2005,43.20,43.50,43.00,43.10,27500
ABL,02-Sep-2005,43.40,43.40,43.00,43.00,5500
ABL,05-Sep-2005,43.00,44.10,43.00,44.00,17500
ABL,06-Sep-2005,44.00,46.20,44.00,46.10,25500
ABL,07-Sep-2005,48.40,48.40,48.00,48.40,29000
ABL,08-Sep-2005,50.80,50.80,50.80,50.80,4500
ABL,09-Sep-2005,53.30,53.30,53.30,53.30,3500
ABL,12-Sep-2005,55.95,55.95,54.00,55.95,289500
ABL,13-Sep-2005,56.80,58.70,56.80,58.70,62000
ABL,14-Sep-2005,59.95,61.60,59.50,61.60,44000
ABL,15-Sep-2005,64.65,64.65,64.00,64.65,119000
ABL,16-Sep-2005,67.05,67.85,67.00,67.85,101500
ABL,19-Sep-2005,71.10,71.20,64.50,64.50,241500
ABL,20-Sep-2005,64.50,64.50,61.30,61.30,212500
ABL,21-Sep-2005,60.50,64.30,58.25,58.25,154000
ABL,22-Sep-2005,57.20,57.20,55.50,55.55,103000
ABL,23-Sep-2005,56.50,58.30,56.50,58.30,46500
ABL,26-Sep-2005,60.50,61.20,58.00,60.10,129000
ABL,27-Sep-2005,62.25,62.45,58.60,60.00,91500
ABL,28-Sep-2005,60.00,61.00,59.40,59.60,55000
ABL,29-Sep-2005,58.60,60.40,58.60,60.00,72500
ABL,30-Sep-2005,60.00,62.00,59.00,61.00,105500
ABL,03-Oct-2005,61.40,64.05,60.50,62.55,532500
ABL,04-Oct-2005,62.50,65.65,62.50,65.65,262000
ABL,05-Oct-2005,65.75,68.90,65.65,68.90,214000
ABL,06-Oct-2005,69.50,72.00,69.50,71.00,511500
ABL,07-Oct-2005,70.00,73.00,68.70,71.25,375500
