Symbol,Date,Open,High,Low,Close,Volume
ABOT,01-Jan-2003,84.00,85.00,84.00,85.00,1200
ABOT,02-Jan-2003,84.00,84.00,84.00,84.00,300
ABOT,03-Jan-2003,82.00,82.00,82.00,82.00,2000
ABOT,06-Jan-2003,80.05,83.00,80.00,83.00,10400
ABOT,07-Jan-2003,83.25,83.25,83.00,83.00,5000
ABOT,08-Jan-2003,83.00,83.00,83.00,83.00,4100
ABOT,09-Jan-2003,82.00,82.00,81.05,81.05,1200
ABOT,10-Jan-2003,83.00,83.90,83.00,83.90,4200
ABOT,13-Jan-2003,83.00,83.70,83.00,83.00,1400
ABOT,14-Jan-2003,83.00,84.90,83.00,84.90,300
ABOT,15-Jan-2003,83.05,83.05,83.05,83.05,400
ABOT,16-Jan-2003,83.00,83.05,83.00,83.00,21400
ABOT,17-Jan-2003,83.05,83.05,83.00,83.00,12300
ABOT,20-Jan-2003,83.00,83.00,82.00,82.05,3000
ABOT,21-Jan-2003,82.95,83.00,82.95,83.00,20000
ABOT,22-Jan-2003,84.90,88.50,84.90,85.05,4300
ABOT,23-Jan-2003,88.00,88.00,85.00,85.00,11600
ABOT,24-Jan-2003,82.00,84.50,82.00,84.50,1700
ABOT,27-Jan-2003,87.00,90.00,87.00,90.00,7700
ABOT,28-Jan-2003,90.40,91.00,88.00,88.00,2700
ABOT,29-Jan-2003,87.00,87.00,83.75,86.00,29200
ABOT,30-Jan-2003,85.50,87.00,85.50,87.00,2500
ABOT,31-Jan-2003,88.00,88.00,84.50,84.50,3800
ABOT,03-Feb-2003,82.00,82.00,81.00,81.00,1400
ABOT,06-Feb-2003,81.00,81.00,80.00,81.00,800
ABOT,07-Feb-2003,80.00,80.00,80.00,80.00,100
ABOT,10-Feb-2003,80.95,82.05,80.30,82.00,31800
ABOT,17-Feb-2003,81.00,81.00,81.00,81.00,2000
ABOT,18-Feb-2003,84.00,85.00,82.00,85.00,8900
ABOT,19-Feb-2003,86.00,86.00,83.50,83.50,8300
ABOT,20-Feb-2003,85.00,85.00,83.25,83.50,16100
ABOT,21-Feb-2003,86.00,87.00,84.50,84.50,2800
ABOT,24-Feb-2003,84.50,84.50,82.50,82.50,12900
ABOT,25-Feb-2003,82.25,84.00,82.00,83.50,31900
ABOT,26-Feb-2003,87.00,87.00,82.50,82.50,3200
ABOT,27-Feb-2003,84.00,84.00,82.50,84.00,2400
ABOT,03-Mar-2003,84.00,86.00,85.00,86.00,1300
ABOT,04-Mar-2003,86.00,83.50,83.10,83.10,700
ABOT,05-Mar-2003,83.10,84.10,84.10,84.10,300
ABOT,06-Mar-2003,84.20,85.00,85.00,85.00,3000
ABOT,07-Mar-2003,85.00,83.95,82.00,83.00,6900
ABOT,10-Mar-2003,84.00,84.00,84.00,84.00,500
ABOT,11-Mar-2003,83.00,89.00,84.00,89.00,5700
ABOT,12-Mar-2003,89.00,89.50,87.05,89.50,1600
ABOT,17-Mar-2003,78.65,79.95,78.00,78.50,1500
ABOT,20-Mar-2003,77.90,79.15,77.00,79.00,4400
ABOT,24-Mar-2003,79.00,80.00,80.00,80.00,200
ABOT,26-Mar-2003,80.00,78.50,76.15,78.00,3100
ABOT,27-Mar-2003,78.00,75.55,75.55,75.55,100
ABOT,28-Mar-2003,76.00,76.00,74.00,75.00,500
ABOT,31-Mar-2003,75.00,75.20,75.05,75.05,500
ABOT,01-Apr-2003,75.05,74.60,74.00,74.60,200
ABOT,02-Apr-2003,74.60,77.70,75.50,77.70,200
ABOT,03-Apr-2003,77.70,77.00,75.05,75.75,2800
ABOT,04-Apr-2003,75.75,76.10,76.00,76.00,600
ABOT,07-Apr-2003,76.00,77.00,76.95,77.00,700
ABOT,08-Apr-2003,77.00,77.50,75.10,77.50,2600
ABOT,09-Apr-2003,77.50,78.75,77.95,78.75,1600
ABOT,14-Apr-2003,78.75,79.50,78.00,78.00,2200
ABOT,15-Apr-2003,78.00,79.40,78.00,78.00,400
ABOT,16-Apr-2003,78.00,80.80,79.25,80.80,4700
ABOT,17-Apr-2003,80.80,82.00,80.00,82.00,1100
ABOT,18-Apr-2003,83.50,86.00,83.50,86.00,4100
ABOT,21-Apr-2003,83.00,86.00,82.25,86.00,2300
ABOT,22-Apr-2003,82.30,86.00,82.10,82.75,1600
ABOT,24-Apr-2003,81.00,82.00,81.00,82.00,800
ABOT,28-Apr-2003,83.50,83.90,83.50,83.50,400
ABOT,29-Apr-2003,83.40,84.25,83.40,84.00,1400
ABOT,30-Apr-2003,84.00,85.00,83.90,84.25,1600
ABOT,05-May-2003,90.00,90.00,85.50,85.50,3700
ABOT,06-May-2003,86.00,87.00,84.50,86.00,5900
ABOT,07-May-2003,86.95,87.00,86.10,86.10,1300
ABOT,08-May-2003,85.50,86.00,85.00,85.50,3500
ABOT,09-May-2003,85.00,85.50,84.00,85.50,700
ABOT,12-May-2003,85.00,85.00,85.00,85.00,500
ABOT,13-May-2003,82.00,83.00,82.00,82.00,1300
ABOT,14-May-2003,82.10,86.00,82.10,86.00,1800
ABOT,16-May-2003,86.00,92.45,84.00,92.45,16400
ABOT,19-May-2003,95.00,96.00,92.00,93.05,8100
ABOT,20-May-2003,92.00,94.00,92.00,92.05,300
ABOT,21-May-2003,90.00,98.90,90.00,96.00,9200
ABOT,22-May-2003,91.50,95.75,91.50,94.00,1100
ABOT,23-May-2003,93.00,93.10,93.00,93.00,1100
ABOT,26-May-2003,94.00,94.00,93.00,93.00,1100
ABOT,27-May-2003,92.00,92.90,92.00,92.90,400
ABOT,28-May-2003,91.00,91.50,89.10,89.10,2000
ABOT,29-May-2003,89.00,90.00,89.00,89.75,2400
ABOT,02-Jun-2003,87.55,87.55,87.50,87.50,300
ABOT,03-Jun-2003,89.50,89.50,89.00,89.00,400
ABOT,04-Jun-2003,89.00,89.00,89.00,89.00,200
ABOT,05-Jun-2003,87.20,87.90,87.00,87.90,1300
ABOT,09-Jun-2003,86.00,90.00,86.00,90.00,500
ABOT,10-Jun-2003,90.00,93.00,89.00,93.00,2100
ABOT,12-Jun-2003,89.10,89.10,89.00,89.00,200
ABOT,13-Jun-2003,89.05,92.00,89.00,92.00,1700
ABOT,16-Jun-2003,92.00,92.00,88.00,88.00,5400
ABOT,17-Jun-2003,88.00,90.00,88.00,89.25,6300
ABOT,18-Jun-2003,89.00,89.80,89.00,89.75,2300
ABOT,20-Jun-2003,90.85,96.00,90.85,96.00,5500
ABOT,23-Jun-2003,91.25,91.25,91.25,91.25,200
ABOT,24-Jun-2003,91.50,91.50,91.50,91.50,1000
ABOT,27-Jun-2003,89.25,90.45,89.05,90.45,400
ABOT,30-Jun-2003,92.00,92.00,92.00,92.00,1300
ABOT,01-Jul-2003,92.00,92.00,92.00,92.00,300
ABOT,02-Jul-2003,93.00,94.00,92.00,92.50,2400
ABOT,03-Jul-2003,94.00,95.75,94.00,95.50,4800
ABOT,04-Jul-2003,95.00,99.00,95.00,97.05,4100
ABOT,07-Jul-2003,94.00,100.00,94.00,98.00,3300
ABOT,08-Jul-2003,96.50,96.50,93.10,93.10,4000
ABOT,09-Jul-2003,95.00,98.00,95.00,95.90,4000
ABOT,10-Jul-2003,98.00,99.50,96.00,99.00,2400
ABOT,11-Jul-2003,99.95,99.95,98.00,98.50,4200
ABOT,14-Jul-2003,99.45,101.00,99.05,99.45,2100
ABOT,15-Jul-2003,98.00,102.00,98.00,98.00,1200
ABOT,16-Jul-2003,98.95,99.00,98.95,99.00,1900
ABOT,17-Jul-2003,102.00,104.00,100.00,104.00,900
ABOT,18-Jul-2003,103.00,103.00,100.00,100.00,800
ABOT,21-Jul-2003,107.50,107.50,104.50,104.95,2100
ABOT,22-Jul-2003,110.00,110.00,103.00,104.95,1200
ABOT,23-Jul-2003,103.10,104.00,103.00,104.00,2600
ABOT,24-Jul-2003,104.95,111.80,104.95,111.80,3200
ABOT,25-Jul-2003,108.00,111.50,106.25,110.00,1600
ABOT,28-Jul-2003,106.55,107.00,106.50,107.00,2000
ABOT,29-Jul-2003,108.00,108.00,106.00,107.00,12100
ABOT,30-Jul-2003,106.90,110.00,106.90,107.00,5800
ABOT,31-Jul-2003,106.00,107.00,106.00,107.00,500
ABOT,01-Aug-2003,107.50,107.50,104.00,104.00,900
ABOT,04-Aug-2003,99.10,102.00,99.10,102.00,800
ABOT,05-Aug-2003,99.00,99.00,99.00,99.00,200
ABOT,07-Aug-2003,98.05,104.00,98.05,104.00,2900
ABOT,08-Aug-2003,105.00,109.00,101.00,109.00,1900
ABOT,11-Aug-2003,105.00,106.00,103.55,103.55,400
ABOT,12-Aug-2003,100.00,100.00,100.00,100.00,500
ABOT,13-Aug-2003,101.00,101.00,100.00,100.00,1000
ABOT,15-Aug-2003,101.00,104.90,101.00,101.00,1500
ABOT,18-Aug-2003,101.00,105.00,101.00,105.00,1700
ABOT,19-Aug-2003,110.90,110.90,105.00,105.00,3200
ABOT,20-Aug-2003,106.00,107.00,105.50,107.00,3400
ABOT,21-Aug-2003,104.50,104.50,104.00,104.00,1400
ABOT,22-Aug-2003,104.90,110.00,104.90,110.00,3400
ABOT,25-Aug-2003,110.00,110.00,107.90,110.00,5100
ABOT,26-Aug-2003,105.10,105.10,105.10,105.10,100
ABOT,27-Aug-2003,108.90,110.10,108.90,110.10,500
ABOT,28-Aug-2003,110.00,112.00,110.00,110.00,5800
ABOT,29-Aug-2003,110.00,115.00,110.00,110.25,3800
ABOT,01-Sep-2003,110.50,114.90,110.50,111.25,700
ABOT,02-Sep-2003,119.55,119.55,115.00,118.00,900
ABOT,03-Sep-2003,118.00,118.50,116.00,116.00,500
