Symbol,Date,Open,High,Low,Close,Volume
ACCM,16-Jan-2004,1.50,2.00,1.50,2.00,9500
ACCM,19-Jan-2004,1.50,2.00,1.50,2.00,9500
ACCM,21-Jan-2004,1.90,2.05,1.90,2.00,22000
ACCM,22-Jan-2004,2.00,2.00,2.00,2.00,9000
ACCM,23-Jan-2004,2.00,2.00,2.00,2.00,1000
ACCM,26-Jan-2004,2.00,2.00,1.90,1.90,5500
ACCM,27-Jan-2004,2.00,2.10,1.80,2.10,8500
ACCM,28-Jan-2004,2.00,2.10,1.80,2.10,8500
ACCM,30-Jan-2004,2.15,2.15,2.15,2.15,3000
ACCM,09-Feb-2004,2.05,2.05,2.00,2.05,12000
ACCM,10-Feb-2004,2.05,2.05,2.05,2.05,5000
ACCM,11-Feb-2004,2.00,2.00,2.00,2.00,2000
ACCM,12-Feb-2004,2.00,2.00,2.00,2.00,2000
ACCM,13-Feb-2004,2.05,2.15,2.05,2.15,42000
ACCM,16-Feb-2004,2.15,2.15,2.15,2.15,3000
ACCM,17-Feb-2004,2.00,2.00,2.00,2.00,14500
ACCM,18-Feb-2004,2.00,2.00,2.00,2.00,5500
ACCM,19-Feb-2004,2.05,2.05,2.05,2.05,500
ACCM,20-Feb-2004,2.10,2.15,2.05,2.15,11000
ACCM,27-Feb-2004,2.00,2.00,2.00,2.10,15000
ACCM,03-Mar-2004,2.10,2.10,2.00,2.00,13500
ACCM,04-Mar-2004,2.00,2.70,2.00,2.10,165500
ACCM,05-Mar-2004,2.30,2.65,2.30,2.50,192500
ACCM,08-Mar-2004,2.55,3.25,2.50,3.00,411500
ACCM,09-Mar-2004,3.00,3.00,2.75,2.80,47000
ACCM,10-Mar-2004,2.85,2.95,2.50,2.85,81000
ACCM,11-Mar-2004,2.95,2.95,2.80,2.85,17000
ACCM,12-Mar-2004,2.95,3.00,2.70,2.70,16500
ACCM,15-Mar-2004,2.90,3.25,2.90,2.90,48000
ACCM,16-Mar-2004,2.90,3.40,2.90,3.00,95000
ACCM,17-Mar-2004,3.00,3.20,3.00,3.15,64000
ACCM,18-Mar-2004,2.90,3.10,2.90,3.10,35500
ACCM,19-Mar-2004,3.00,3.10,2.90,2.90,19500
ACCM,22-Mar-2004,2.95,2.95,2.95,2.95,5500
ACCM,24-Mar-2004,3.00,3.20,2.85,2.85,27500
ACCM,25-Mar-2004,3.50,3.50,3.00,3.20,55000
ACCM,26-Mar-2004,3.40,3.40,3.00,3.00,39000
ACCM,29-Mar-2004,3.00,3.00,2.90,2.90,3000
ACCM,30-Mar-2004,3.10,3.30,2.80,2.80,38000
ACCM,31-Mar-2004,2.70,3.00,2.65,3.00,23000
ACCM,01-Apr-2004,2.85,2.85,2.80,2.85,10000
ACCM,02-Apr-2004,3.00,3.30,2.90,3.05,144500
ACCM,05-Apr-2004,3.20,3.75,3.10,3.40,189000
ACCM,06-Apr-2004,3.70,3.90,3.55,3.60,101500
ACCM,07-Apr-2004,3.70,4.05,3.70,3.75,135500
ACCM,08-Apr-2004,3.90,4.75,3.75,4.30,223000
ACCM,09-Apr-2004,4.25,4.45,4.00,4.40,84000
ACCM,12-Apr-2004,4.50,4.65,4.25,4.40,99500
ACCM,13-Apr-2004,4.55,4.55,4.35,4.35,83500
ACCM,14-Apr-2004,4.25,4.30,3.95,4.05,80500
ACCM,15-Apr-2004,3.90,4.10,3.90,4.00,24000
ACCM,16-Apr-2004,4.00,4.00,3.90,3.95,21000
ACCM,19-Apr-2004,3.90,4.10,3.90,4.10,14500
ACCM,20-Apr-2004,3.95,4.00,3.95,4.00,7500
ACCM,21-Apr-2004,4.10,4.30,3.80,3.80,37500
ACCM,22-Apr-2004,3.80,3.95,3.50,3.80,15500
ACCM,23-Apr-2004,3.90,3.90,3.90,3.90,5000
ACCM,27-Apr-2004,3.60,3.70,3.60,3.70,8000
ACCM,28-Apr-2004,3.70,3.70,3.70,3.70,3000
ACCM,30-Apr-2004,3.60,3.60,3.50,3.60,8000
ACCM,05-May-2004,3.25,3.25,3.25,3.25,4000
ACCM,06-May-2004,3.25,3.25,3.25,3.25,19000
ACCM,07-May-2004,3.00,3.10,3.00,3.10,5000
ACCM,10-May-2004,3.00,3.00,3.00,3.00,2000
ACCM,13-May-2004,3.00,3.00,3.00,3.00,5000
ACCM,14-May-2004,3.00,3.00,2.95,2.95,6000
ACCM,17-May-2004,2.95,2.95,2.75,2.75,3000
ACCM,18-May-2004,2.85,3.00,2.85,3.00,12500
ACCM,19-May-2004,3.00,3.00,3.00,3.00,14000
ACCM,20-May-2004,3.05,3.20,3.05,3.10,10000
ACCM,21-May-2004,3.40,3.85,3.40,3.80,45000
ACCM,24-May-2004,4.00,5.15,4.00,4.80,724000
ACCM,25-May-2004,5.25,5.40,4.65,4.75,140000
ACCM,26-May-2004,4.70,5.00,4.60,4.85,150000
ACCM,27-May-2004,4.85,5.05,4.70,4.70,61000
ACCM,28-May-2004,4.95,5.00,4.80,4.90,23000
ACCM,31-May-2004,4.60,5.00,4.60,5.00,21000
ACCM,01-Jun-2004,4.60,4.75,4.60,4.75,5000
ACCM,02-Jun-2004,4.70,4.70,4.50,4.50,5500
ACCM,03-Jun-2004,5.00,5.00,4.05,4.05,30000
ACCM,04-Jun-2004,4.70,4.70,4.35,4.35,6000
ACCM,07-Jun-2004,4.50,4.50,4.40,4.50,33000
ACCM,08-Jun-2004,4.50,4.65,4.45,4.45,19500
ACCM,09-Jun-2004,4.30,4.80,4.30,4.70,15000
ACCM,10-Jun-2004,4.80,4.80,4.50,4.55,8500
ACCM,14-Jun-2004,3.80,3.95,3.80,3.95,2000
ACCM,15-Jun-2004,4.40,4.65,4.25,4.35,18000
ACCM,16-Jun-2004,4.10,4.60,4.00,4.20,174500
ACCM,17-Jun-2004,4.25,5.25,4.25,4.85,543000
ACCM,18-Jun-2004,4.80,5.30,4.70,5.20,169500
ACCM,21-Jun-2004,5.20,5.20,4.55,4.90,45500
ACCM,22-Jun-2004,4.70,4.70,4.50,4.55,10000
ACCM,23-Jun-2004,4.40,4.60,4.20,4.25,24500
ACCM,24-Jun-2004,4.70,4.70,4.70,4.70,4500
ACCM,25-Jun-2004,4.65,4.65,4.50,4.50,5000
ACCM,28-Jun-2004,4.25,4.60,4.25,4.60,6000
ACCM,30-Jun-2004,5.05,5.05,4.45,4.45,24000
ACCM,05-Jul-2004,4.50,4.50,4.45,4.45,3500
ACCM,06-Jul-2004,4.40,4.40,4.20,4.20,2000
ACCM,09-Jul-2004,4.10,4.10,4.00,4.00,2000
ACCM,13-Jul-2004,4.00,4.00,4.00,4.00,1000
ACCM,16-Jul-2004,4.00,4.00,3.75,3.80,4000
ACCM,19-Jul-2004,3.95,3.95,3.95,3.80,500
ACCM,20-Jul-2004,3.85,3.85,3.80,3.80,1500
ACCM,21-Jul-2004,4.50,4.50,3.75,3.75,2000
ACCM,23-Jul-2004,3.70,3.70,3.60,3.60,3500
ACCM,26-Jul-2004,3.50,3.70,2.60,3.70,3500
ACCM,29-Jul-2004,3.55,3.55,3.55,3.55,2000
ACCM,03-Aug-2004,4.25,4.25,4.25,4.25,1000
ACCM,04-Aug-2004,3.30,3.30,3.30,3.30,500
ACCM,09-Aug-2004,3.25,3.25,3.25,3.25,500
ACCM,10-Aug-2004,3.35,3.90,3.35,3.90,2500
ACCM,11-Aug-2004,3.50,3.50,3.50,3.50,2000
ACCM,25-Aug-2004,3.50,3.50,3.50,3.50,500
ACCM,31-Aug-2004,3.20,3.20,3.00,3.00,16500
ACCM,03-Sep-2004,3.10,3.10,3.10,3.10,9000
ACCM,08-Sep-2004,3.10,3.10,3.10,3.10,500
ACCM,09-Sep-2004,3.15,3.15,3.15,3.15,4000
ACCM,13-Sep-2004,3.05,3.05,3.05,3.05,1000
ACCM,14-Sep-2004,3.05,3.05,3.05,3.05,500
ACCM,17-Sep-2004,3.00,3.00,3.00,3.00,1500
ACCM,20-Sep-2004,3.00,3.00,3.00,3.00,500
ACCM,23-Sep-2004,3.00,3.00,3.00,3.00,2000
ACCM,24-Sep-2004,2.60,2.60,2.60,2.60,3500
ACCM,27-Sep-2004,3.00,3.00,3.00,3.00,5000
ACCM,28-Sep-2004,3.00,3.10,3.00,3.10,6500
ACCM,29-Sep-2004,3.05,3.15,3.05,3.15,10000
ACCM,30-Sep-2004,3.40,3.45,3.20,3.20,17000
ACCM,01-Oct-2004,3.25,3.25,3.25,3.25,500
ACCM,04-Oct-2004,3.10,3.25,3.00,3.25,15000
ACCM,05-Oct-2004,3.25,3.25,3.25,3.25,1000
ACCM,11-Oct-2004,3.15,3.15,3.15,3.15,500
ACCM,15-Oct-2004,3.00,3.00,3.00,3.00,2500
ACCM,26-Oct-2004,2.75,2.75,2.75,2.75,1000
ACCM,27-Oct-2004,2.95,2.95,2.95,2.95,1000
ACCM,05-Nov-2004,2.75,2.75,2.75,2.75,500
ACCM,10-Nov-2004,2.80,2.80,2.80,2.80,500
ACCM,22-Nov-2004,3.00,3.00,3.00,3.00,1000
ACCM,23-Nov-2004,3.25,3.25,3.25,3.25,1500
ACCM,24-Nov-2004,3.45,3.45,3.00,3.00,14000
ACCM,26-Nov-2004,3.05,3.05,3.05,3.05,4000
ACCM,29-Nov-2004,3.00,3.00,3.00,3.00,1000
ACCM,30-Nov-2004,3.00,3.15,3.00,3.15,13000
ACCM,01-Dec-2004,3.35,4.00,3.35,3.70,146000
ACCM,02-Dec-2004,4.15,4.20,3.75,3.95,22000
ACCM,03-Dec-2004,3.95,3.95,3.65,3.65,7000
ACCM,07-Dec-2004,3.65,3.65,3.50,3.50,8500
ACCM,10-Dec-2004,3.50,3.50,3.50,3.50,1000
ACCM,13-Dec-2004,3.50,3.70,3.50,3.70,5000
ACCM,14-Dec-2004,3.65,3.80,3.65,3.80,16500
ACCM,15-Dec-2004,3.90,4.10,3.80,3.80,20000
ACCM,16-Dec-2004,3.65,3.65,3.40,3.40,10000
ACCM,17-Dec-2004,3.65,3.85,3.50,3.50,2500
ACCM,20-Dec-2004,3.50,3.75,3.50,3.75,2000
