Symbol,Date,Open,High,Low,Close,Volume
ACF,06-Apr-2004,19.60,19.60,18.00,18.25,410000
ACF,07-Apr-2004,19.25,19.25,17.90,17.95,1231000
ACF,08-Apr-2004,18.20,18.50,17.80,17.90,531000
ACF,09-Apr-2004,17.90,18.00,17.70,17.95,162500
ACF,12-Apr-2004,18.00,18.00,17.75,17.80,111500
ACF,13-Apr-2004,17.95,18.30,17.45,17.85,171000
ACF,14-Apr-2004,17.90,18.00,17.70,17.70,53000
ACF,15-Apr-2004,17.75,18.00,17.70,17.75,66500
ACF,16-Apr-2004,17.90,17.90,17.65,17.65,79500
ACF,19-Apr-2004,17.75,17.75,16.65,17.10,145500
ACF,20-Apr-2004,17.50,17.50,16.90,16.95,66500
ACF,21-Apr-2004,17.40,17.40,16.50,16.75,100000
ACF,22-Apr-2004,17.00,17.60,16.50,17.05,92500
ACF,23-Apr-2004,17.25,17.45,16.80,16.80,79000
ACF,26-Apr-2004,17.00,17.00,16.40,16.80,80000
ACF,27-Apr-2004,16.95,17.10,16.75,16.90,116000
ACF,28-Apr-2004,17.05,17.10,16.30,16.50,65500
ACF,29-Apr-2004,16.75,16.75,16.35,16.65,27500
ACF,30-Apr-2004,16.40,16.70,16.40,16.60,70000
ACF,04-May-2004,16.95,16.95,16.40,16.75,35500
ACF,05-May-2004,16.80,16.90,15.75,16.50,212500
ACF,06-May-2004,16.55,16.70,16.50,16.50,27000
ACF,07-May-2004,16.30,16.60,16.25,16.55,46000
ACF,10-May-2004,17.00,17.00,16.05,16.05,17500
ACF,11-May-2004,16.00,16.40,16.00,16.05,39500
ACF,12-May-2004,16.25,16.75,16.00,16.00,39500
ACF,13-May-2004,16.00,16.25,16.00,16.25,30000
ACF,14-May-2004,16.25,16.55,16.20,16.50,48500
ACF,17-May-2004,16.45,16.50,16.10,16.10,18000
ACF,18-May-2004,16.85,16.85,16.00,16.20,67000
ACF,19-May-2004,16.35,16.40,16.20,16.20,35000
ACF,20-May-2004,16.40,17.05,16.40,17.05,152000
ACF,21-May-2004,17.15,18.00,16.75,17.30,162500
ACF,24-May-2004,17.50,17.50,17.10,17.30,25500
ACF,25-May-2004,17.30,17.50,17.05,17.15,28500
ACF,26-May-2004,17.25,17.30,17.00,17.05,104000
ACF,27-May-2004,17.15,18.00,17.00,17.00,49500
ACF,28-May-2004,17.05,17.25,17.00,17.15,16000
ACF,31-May-2004,16.90,17.20,16.85,16.95,17000
ACF,01-Jun-2004,16.80,17.00,16.80,17.00,26500
ACF,02-Jun-2004,17.00,17.10,16.85,17.00,28000
ACF,03-Jun-2004,17.25,17.25,16.00,16.25,166500
ACF,07-Jun-2004,16.50,16.50,16.00,16.00,227000
ACF,08-Jun-2004,16.15,16.20,16.00,16.15,58000
ACF,09-Jun-2004,16.20,16.20,16.00,16.00,78500
ACF,10-Jun-2004,16.20,16.20,16.00,16.00,10000
ACF,11-Jun-2004,16.10,16.15,16.00,16.00,32000
ACF,14-Jun-2004,15.90,15.90,15.45,15.50,34500
ACF,15-Jun-2004,15.90,16.15,15.90,16.15,26500
ACF,16-Jun-2004,16.00,16.00,15.80,16.00,55500
ACF,17-Jun-2004,15.80,16.00,15.80,15.95,28500
ACF,18-Jun-2004,15.75,15.85,15.45,15.45,29500
ACF,21-Jun-2004,15.95,15.95,15.30,15.40,26500
ACF,22-Jun-2004,15.20,15.35,14.90,14.90,60500
ACF,23-Jun-2004,15.10,15.20,14.70,14.95,76000
ACF,24-Jun-2004,15.10,15.60,15.10,15.60,109500
ACF,25-Jun-2004,15.95,15.95,15.50,15.55,6523000
ACF,28-Jun-2004,15.75,16.10,15.50,16.05,121500
ACF,29-Jun-2004,16.25,16.25,15.75,15.95,99000
ACF,30-Jun-2004,16.00,16.15,15.90,16.10,85000
ACF,01-Jul-2004,15.50,16.20,15.50,16.05,50500
ACF,02-Jul-2004,16.20,16.30,16.10,16.25,45000
ACF,05-Jul-2004,16.35,16.75,16.25,16.45,149000
ACF,06-Jul-2004,16.25,17.45,16.25,17.45,538500
ACF,07-Jul-2004,17.40,17.50,16.75,16.95,224500
ACF,08-Jul-2004,17.40,17.40,16.80,16.80,86000
ACF,09-Jul-2004,16.85,17.00,16.80,16.85,25000
ACF,12-Jul-2004,16.75,17.95,16.75,17.10,161000
ACF,13-Jul-2004,17.15,17.25,16.90,16.90,88500
ACF,14-Jul-2004,16.80,17.10,16.80,17.00,72500
ACF,15-Jul-2004,16.90,17.10,16.90,17.00,76000
ACF,16-Jul-2004,17.00,17.00,16.60,16.85,80000
ACF,19-Jul-2004,16.80,16.95,16.70,16.80,15500
ACF,20-Jul-2004,16.80,17.00,16.65,16.80,39000
ACF,21-Jul-2004,16.80,16.90,16.75,16.90,51500
ACF,22-Jul-2004,16.85,16.90,16.80,16.90,36500
ACF,23-Jul-2004,16.80,16.90,16.70,16.90,23000
ACF,26-Jul-2004,16.75,16.85,16.60,16.60,63500
ACF,27-Jul-2004,16.70,16.85,16.60,16.60,71500
ACF,28-Jul-2004,17.00,17.35,16.50,16.75,631500
ACF,29-Jul-2004,16.95,16.95,16.10,16.30,104500
ACF,30-Jul-2004,16.10,16.50,16.10,16.20,41000
ACF,02-Aug-2004,16.40,16.40,16.15,16.25,15000
ACF,03-Aug-2004,16.05,16.35,16.05,16.10,35500
ACF,04-Aug-2004,16.20,16.40,16.20,16.40,39500
ACF,05-Aug-2004,16.40,16.50,16.15,16.35,85500
ACF,06-Aug-2004,16.40,16.50,16.30,16.50,66000
ACF,09-Aug-2004,16.55,16.55,16.40,16.40,39500
ACF,10-Aug-2004,16.55,16.65,16.35,16.40,525000
ACF,11-Aug-2004,16.50,16.60,16.30,16.40,168000
ACF,12-Aug-2004,16.60,16.60,16.30,16.50,36500
ACF,13-Aug-2004,16.00,16.45,15.50,15.50,421500
ACF,16-Aug-2004,15.50,15.50,15.00,15.25,84500
ACF,17-Aug-2004,15.25,15.45,15.25,15.40,223000
ACF,18-Aug-2004,15.40,15.45,15.25,15.35,163000
ACF,19-Aug-2004,15.45,15.45,15.30,15.35,111500
ACF,20-Aug-2004,15.15,15.40,15.15,15.20,89500
ACF,23-Aug-2004,15.50,15.50,15.05,15.05,49500
ACF,24-Aug-2004,15.15,15.25,15.05,15.25,52500
ACF,25-Aug-2004,15.25,15.30,15.10,15.20,27500
ACF,26-Aug-2004,15.50,15.50,15.10,15.15,51500
ACF,27-Aug-2004,15.20,15.25,15.00,15.15,41000
