Symbol,Date,Open,High,Low,Close,Volume
ACPL,01-Jan-2003,17.25,17.25,17.00,17.00,52000
ACPL,02-Jan-2003,16.95,17.20,16.90,16.90,80000
ACPL,03-Jan-2003,16.80,18.40,16.80,18.40,396500
ACPL,06-Jan-2003,19.25,19.70,18.00,19.10,607500
ACPL,07-Jan-2003,19.15,20.35,19.15,19.70,567000
ACPL,08-Jan-2003,19.60,20.60,19.15,19.40,995500
ACPL,09-Jan-2003,19.40,19.40,18.65,18.75,336500
ACPL,10-Jan-2003,18.85,18.95,18.50,18.50,152000
ACPL,13-Jan-2003,18.50,19.00,18.30,18.40,105500
ACPL,14-Jan-2003,18.55,18.55,18.25,18.30,18000
ACPL,15-Jan-2003,18.50,19.55,18.50,19.40,452000
ACPL,16-Jan-2003,19.25,20.80,19.25,19.55,1095000
ACPL,17-Jan-2003,20.45,20.45,19.50,19.75,199500
ACPL,20-Jan-2003,19.70,19.80,19.30,19.30,73000
ACPL,21-Jan-2003,18.65,19.60,18.30,18.30,95000
ACPL,22-Jan-2003,17.40,18.45,17.40,17.95,68500
ACPL,23-Jan-2003,18.30,18.30,16.95,16.95,87500
ACPL,24-Jan-2003,16.50,16.50,15.95,15.95,38500
ACPL,27-Jan-2003,16.25,17.20,16.25,17.05,94000
ACPL,28-Jan-2003,17.05,17.10,16.05,16.50,45000
ACPL,29-Jan-2003,16.00,16.05,15.60,16.00,33000
ACPL,30-Jan-2003,15.75,16.45,15.75,16.05,52500
ACPL,31-Jan-2003,16.00,16.00,15.05,15.35,41000
ACPL,03-Feb-2003,14.95,14.95,14.35,14.80,60000
ACPL,04-Feb-2003,14.55,15.50,14.50,14.60,90000
ACPL,06-Feb-2003,14.35,14.50,14.35,14.50,5500
ACPL,07-Feb-2003,14.50,14.75,14.50,14.65,35000
ACPL,10-Feb-2003,14.35,14.40,14.15,14.40,8500
ACPL,17-Feb-2003,14.75,15.00,14.70,15.00,21000
ACPL,18-Feb-2003,15.10,15.45,15.05,15.05,25500
ACPL,19-Feb-2003,15.50,15.50,15.20,15.25,6000
ACPL,20-Feb-2003,15.00,15.00,14.75,14.90,15500
ACPL,21-Feb-2003,14.90,15.20,14.75,14.75,15500
ACPL,24-Feb-2003,15.00,15.40,14.95,15.00,16500
