Symbol,Date,Open,High,Low,Close,Volume
ADAMS,04-Mar-2003,7.50,7.80,7.80,7.80,1000
ADAMS,26-Mar-2003,7.80,7.10,7.10,7.10,1000
ADAMS,27-Mar-2003,7.10,7.25,7.25,7.10,1000
ADAMS,14-Apr-2003,7.10,8.00,8.00,8.00,500
ADAMS,15-Apr-2003,7.95,7.65,7.65,7.65,2000
ADAMS,17-Apr-2003,7.75,7.75,7.75,7.75,500
ADAMS,21-Apr-2003,9.20,9.20,9.20,9.20,500
ADAMS,23-Apr-2003,10.20,10.20,10.20,10.20,500
ADAMS,09-May-2003,9.50,9.50,9.50,9.50,2000
ADAMS,12-May-2003,9.00,9.00,9.00,9.00,500
ADAMS,21-May-2003,8.35,8.35,8.25,8.25,3000
ADAMS,22-May-2003,9.00,9.00,9.00,9.00,2000
ADAMS,23-May-2003,8.50,8.50,8.50,8.50,500
ADAMS,30-May-2003,9.50,10.00,9.50,10.00,10000
ADAMS,02-Jun-2003,10.00,10.55,10.00,10.55,9500
ADAMS,03-Jun-2003,10.25,10.25,10.25,10.25,500
ADAMS,04-Jun-2003,10.50,11.75,10.40,11.75,14500
ADAMS,05-Jun-2003,11.75,13.25,11.75,12.50,8500
ADAMS,06-Jun-2003,12.70,12.70,12.70,12.70,1500
ADAMS,11-Jun-2003,12.00,12.00,11.05,11.05,3000
ADAMS,12-Jun-2003,12.00,12.00,11.50,11.50,2000
ADAMS,13-Jun-2003,11.60,12.00,11.60,12.00,3000
ADAMS,16-Jun-2003,11.75,12.00,11.75,12.00,6500
ADAMS,20-Jun-2003,11.50,11.50,11.50,11.50,500
ADAMS,24-Jun-2003,11.65,11.65,11.65,11.65,2000
ADAMS,25-Jun-2003,11.65,11.65,11.65,11.65,500
ADAMS,30-Jun-2003,10.85,10.85,10.85,10.85,500
ADAMS,03-Jul-2003,12.00,12.00,12.00,12.00,1000
ADAMS,04-Jul-2003,12.00,12.00,12.00,12.00,1000
ADAMS,07-Jul-2003,12.00,12.00,12.00,12.00,1000
ADAMS,11-Jul-2003,12.00,12.00,12.00,12.00,1000
ADAMS,28-Jul-2003,12.75,13.55,12.75,13.40,10000
ADAMS,29-Jul-2003,13.00,14.00,13.00,14.00,7000
ADAMS,30-Jul-2003,14.00,14.00,13.55,13.55,3500
ADAMS,31-Jul-2003,13.50,13.50,13.50,13.50,500
ADAMS,19-Aug-2003,14.50,14.50,14.50,14.50,1000
ADAMS,26-Aug-2003,13.75,13.75,13.75,13.75,1000
ADAMS,29-Aug-2003,15.00,15.00,13.70,15.00,2000
ADAMS,02-Sep-2003,14.45,14.50,14.45,14.50,1000
ADAMS,05-Nov-2003,12.00,12.00,12.00,12.00,1000
ADAMS,13-Nov-2003,11.00,11.00,11.00,11.00,1000
ADAMS,18-Nov-2003,10.00,10.00,10.00,11.00,3500
ADAMS,20-Nov-2003,11.00,11.00,11.00,11.00,500
ADAMS,09-Dec-2003,12.50,12.50,12.50,12.50,2000
ADAMS,12-Jan-2004,11.75,11.75,11.75,11.75,500
ADAMS,06-Feb-2004,10.45,10.50,10.45,10.50,2000
ADAMS,12-Feb-2004,10.50,10.50,10.50,10.50,1000
ADAMS,19-Feb-2004,9.50,9.50,9.50,9.50,1000
ADAMS,08-Mar-2004,11.00,11.00,10.00,10.00,2500
ADAMS,15-Mar-2004,10.00,11.10,10.00,10.35,6000
ADAMS,19-Mar-2004,11.95,12.00,11.00,12.00,10500
ADAMS,24-Mar-2004,12.00,12.45,12.00,12.45,12000
ADAMS,25-Mar-2004,12.00,12.00,12.00,12.00,5000
ADAMS,29-Mar-2004,11.50,12.00,11.50,12.00,1000
ADAMS,05-Apr-2004,12.00,12.00,12.00,12.00,2000
ADAMS,14-Apr-2004,11.05,11.05,11.05,11.05,500
ADAMS,16-Apr-2004,11.95,11.95,11.95,11.95,500
ADAMS,19-Apr-2004,11.95,11.95,11.95,11.95,1000
ADAMS,20-Apr-2004,12.25,12.25,12.25,12.25,1000
ADAMS,21-Apr-2004,12.20,12.25,12.15,12.15,10000
ADAMS,22-Apr-2004,12.70,12.70,12.70,12.70,500
ADAMS,26-Apr-2004,13.15,13.15,13.15,13.15,1000
ADAMS,28-Apr-2004,12.15,12.15,12.15,12.15,1000
ADAMS,06-May-2004,11.25,11.25,11.25,11.25,500
ADAMS,10-May-2004,12.00,12.00,12.00,12.00,1000
ADAMS,11-May-2004,11.30,11.30,11.25,11.25,3000
ADAMS,24-May-2004,12.20,12.20,12.20,12.20,500
ADAMS,25-May-2004,12.25,12.30,12.00,12.00,3000
ADAMS,27-May-2004,11.00,11.00,11.00,12.00,500
ADAMS,31-May-2004,12.00,12.35,12.00,12.35,7500
