Symbol,Date,Open,High,Low,Close,Volume
ADMM,17-Jan-2003,70.50,70.50,70.50,70.50,5000
ADMM,21-Apr-2003,69.00,73.00,69.00,73.00,1000
ADMM,02-May-2003,66.50,69.00,66.50,69.00,1500
ADMM,05-May-2003,70.00,70.00,70.00,70.00,500
ADMM,08-May-2003,71.00,71.00,69.00,70.00,2000
ADMM,19-May-2003,71.50,71.50,71.50,71.50,500
ADMM,26-May-2003,67.90,67.90,67.90,67.90,2000
ADMM,27-May-2003,69.50,69.50,69.50,69.50,500
ADMM,30-May-2003,68.50,70.00,68.50,70.00,2500
ADMM,06-Jun-2003,71.50,71.50,71.00,71.00,1500
ADMM,10-Jun-2003,71.00,75.00,71.00,72.00,3000
ADMM,11-Jun-2003,74.00,74.70,74.00,74.00,1500
ADMM,12-Jun-2003,76.75,76.75,76.75,76.75,500
ADMM,13-Jun-2003,77.95,78.00,77.95,78.00,1000
ADMM,18-Jun-2003,79.45,80.00,79.45,80.00,5000
ADMM,19-Jun-2003,81.00,81.00,79.50,81.00,5500
ADMM,20-Jun-2003,80.00,81.50,80.00,81.50,3000
ADMM,23-Jun-2003,80.00,80.50,80.00,80.50,15500
ADMM,25-Jun-2003,80.00,83.00,80.00,81.00,19000
ADMM,26-Jun-2003,83.25,83.25,83.25,83.25,1000
ADMM,27-Jun-2003,80.05,82.50,80.05,82.50,1000
ADMM,01-Jul-2003,80.00,81.50,79.00,81.50,2000
ADMM,02-Jul-2003,84.95,86.00,83.00,86.00,12500
ADMM,03-Jul-2003,86.95,86.95,86.95,86.95,500
ADMM,04-Jul-2003,87.00,87.00,87.00,86.95,2000
ADMM,09-Jul-2003,82.00,84.75,82.00,84.75,1500
ADMM,10-Jul-2003,81.25,83.00,81.25,83.00,2000
ADMM,15-Jul-2003,79.50,83.50,79.25,83.50,5500
ADMM,21-Jul-2003,80.00,80.00,80.00,80.00,1000
ADMM,24-Jul-2003,76.55,76.55,76.00,76.00,3000
ADMM,25-Jul-2003,78.40,78.40,74.00,74.00,5000
ADMM,28-Jul-2003,75.00,76.00,74.50,75.00,2000
ADMM,30-Jul-2003,76.00,80.00,76.00,80.00,8000
ADMM,31-Jul-2003,80.50,80.80,80.50,80.80,2000
ADMM,01-Aug-2003,80.00,80.00,77.00,77.00,1500
ADMM,04-Aug-2003,80.00,80.00,78.00,78.00,1500
ADMM,05-Aug-2003,74.80,74.80,74.10,74.10,4000
ADMM,07-Aug-2003,76.50,77.50,75.00,77.50,2000
ADMM,08-Aug-2003,80.00,83.30,78.00,82.00,14500
ADMM,10-Sep-2003,80.70,82.00,80.70,82.00,4000
ADMM,16-Sep-2003,78.00,78.00,78.00,78.00,5000
ADMM,17-Sep-2003,74.10,74.10,74.10,74.10,500
ADMM,18-Sep-2003,78.00,78.00,70.40,70.40,1000
ADMM,19-Sep-2003,74.00,74.00,74.00,74.00,500
ADMM,14-Oct-2003,69.00,69.00,69.00,69.00,500
ADMM,19-Nov-2003,65.00,65.00,65.00,65.00,100
ADMM,25-Nov-2003,64.00,64.00,64.00,64.00,100
ADMM,02-Dec-2003,68.00,68.00,68.00,68.00,100
ADMM,22-Dec-2003,60.00,60.00,60.00,60.00,100
ADMM,29-Dec-2003,57.00,57.00,57.00,57.00,200
ADMM,30-Dec-2003,57.00,57.00,55.00,55.00,300
ADMM,05-Jan-2004,54.00,54.00,54.00,54.00,500
ADMM,12-Jan-2004,54.00,54.00,54.00,54.00,600
ADMM,13-Jan-2004,55.40,55.40,53.00,54.50,3800
ADMM,14-Jan-2004,55.00,55.00,55.00,55.00,500
ADMM,22-Jan-2004,56.40,56.40,56.40,56.40,100
ADMM,23-Jan-2004,56.40,56.40,56.40,56.40,1000
ADMM,26-Jan-2004,56.40,56.40,53.60,53.60,1300
ADMM,29-Jan-2004,56.00,56.00,56.00,56.00,100
ADMM,06-Feb-2004,53.70,53.70,53.70,53.70,200
ADMM,09-Feb-2004,56.00,56.00,53.60,53.60,2200
ADMM,11-Feb-2004,56.00,56.00,56.00,56.00,100
ADMM,17-Feb-2004,52.25,52.25,52.25,52.25,500
ADMM,18-Feb-2004,52.00,52.00,52.00,52.00,3000
ADMM,04-Mar-2004,55.35,55.35,55.00,55.00,700
ADMM,11-Mar-2004,52.00,52.00,52.00,52.00,200
ADMM,15-Mar-2004,50.00,50.00,50.00,50.00,400
ADMM,16-Mar-2004,48.00,48.00,47.50,47.50,2000
ADMM,17-Mar-2004,49.90,49.90,49.90,49.90,100
ADMM,18-Mar-2004,50.00,53.50,50.00,53.50,1200
ADMM,24-Mar-2004,54.45,54.45,54.45,54.45,100
ADMM,25-Mar-2004,54.50,54.50,54.50,54.50,200
ADMM,29-Mar-2004,55.40,55.50,55.40,55.50,1500
ADMM,16-Apr-2004,52.25,52.25,52.25,52.25,1000
ADMM,19-Apr-2004,55.00,55.00,55.00,55.00,500
ADMM,20-Apr-2004,53.00,54.00,53.00,54.00,200
ADMM,21-Apr-2004,55.00,55.00,55.00,55.00,1200
ADMM,22-Apr-2004,55.00,55.00,55.00,55.00,100
ADMM,26-Apr-2004,55.00,55.00,55.00,55.00,500
ADMM,27-Apr-2004,55.00,55.00,55.00,55.00,2500
