Symbol,Date,Open,High,Low,Close,Volume
ADOS,01-Jan-2003,4.90,5.10,4.90,5.10,4500
ADOS,02-Jan-2003,5.00,5.05,5.00,5.00,4500
ADOS,03-Jan-2003,5.05,5.20,5.05,5.05,10500
ADOS,06-Jan-2003,5.30,5.50,5.05,5.50,14000
ADOS,07-Jan-2003,5.50,5.50,5.50,5.50,1500
ADOS,08-Jan-2003,5.50,5.50,5.25,5.50,54000
ADOS,09-Jan-2003,5.75,5.75,5.50,5.50,2000
ADOS,10-Jan-2003,5.55,5.80,5.50,5.55,7000
ADOS,13-Jan-2003,5.55,5.55,5.50,5.50,2000
ADOS,14-Jan-2003,5.70,5.70,5.10,5.50,9000
ADOS,15-Jan-2003,5.60,5.60,5.45,5.50,8000
ADOS,16-Jan-2003,5.45,5.55,5.40,5.40,8500
ADOS,17-Jan-2003,5.45,5.45,5.40,5.40,13500
ADOS,20-Jan-2003,5.35,5.35,5.25,5.25,7500
ADOS,21-Jan-2003,5.20,5.20,5.20,5.20,5000
ADOS,23-Jan-2003,5.00,5.00,4.80,4.80,10000
ADOS,24-Jan-2003,4.50,4.50,3.90,3.90,15000
ADOS,27-Jan-2003,4.25,4.50,4.25,4.50,1500
ADOS,28-Jan-2003,4.75,4.75,4.75,4.75,5000
ADOS,29-Jan-2003,4.55,4.55,4.40,4.40,7500
ADOS,30-Jan-2003,4.50,4.50,4.50,4.50,5000
ADOS,03-Feb-2003,4.50,4.50,3.80,3.80,7000
ADOS,10-Feb-2003,3.75,3.80,3.75,3.80,1000
ADOS,27-Feb-2003,4.15,4.15,3.75,4.15,7500
ADOS,03-Mar-2003,4.15,3.75,3.75,3.75,3500
ADOS,06-Mar-2003,3.75,3.60,3.60,3.60,2000
ADOS,17-Mar-2003,3.60,3.30,3.30,3.30,500
ADOS,19-Mar-2003,3.30,3.25,3.25,3.25,1500
ADOS,20-Mar-2003,3.25,3.15,3.15,3.15,500
ADOS,26-Mar-2003,3.15,3.20,3.20,3.20,500
ADOS,28-Mar-2003,3.20,3.75,3.50,3.50,2500
ADOS,31-Mar-2003,3.50,3.20,3.20,3.20,1000
ADOS,02-Apr-2003,3.20,3.30,3.30,3.20,500
ADOS,07-Apr-2003,3.30,3.60,3.60,3.60,1000
ADOS,14-Apr-2003,3.60,4.10,3.95,4.00,16000
ADOS,15-Apr-2003,4.00,3.85,3.60,3.60,14000
ADOS,17-Apr-2003,3.60,3.70,3.60,3.60,27000
ADOS,18-Apr-2003,3.75,3.75,3.65,3.65,1000
ADOS,21-Apr-2003,3.90,4.40,3.90,4.20,25500
ADOS,22-Apr-2003,3.90,3.90,3.80,3.80,11500
ADOS,23-Apr-2003,3.80,3.80,3.80,3.80,1000
ADOS,24-Apr-2003,3.70,3.70,3.70,3.70,3000
ADOS,25-Apr-2003,3.70,3.70,3.70,3.70,2000
ADOS,30-Apr-2003,3.95,4.00,3.95,4.00,2000
ADOS,02-May-2003,3.95,3.95,3.95,3.95,500
ADOS,06-May-2003,4.00,4.00,4.00,4.00,6500
ADOS,07-May-2003,4.15,4.30,4.00,4.25,16500
ADOS,08-May-2003,4.20,4.20,4.20,4.20,500
ADOS,09-May-2003,4.35,5.00,4.35,4.75,122000
ADOS,12-May-2003,4.80,5.10,4.75,4.75,32000
ADOS,13-May-2003,5.00,5.25,4.90,4.90,25000
ADOS,14-May-2003,5.00,5.00,4.80,4.85,17000
ADOS,16-May-2003,4.80,4.80,4.60,4.60,5000
ADOS,19-May-2003,4.70,4.90,4.60,4.60,19500
ADOS,20-May-2003,4.40,4.50,4.35,4.50,3000
ADOS,21-May-2003,4.35,4.35,4.35,4.35,1000
ADOS,22-May-2003,4.40,4.60,4.40,4.60,2500
ADOS,23-May-2003,4.75,5.00,4.75,4.80,34000
ADOS,26-May-2003,4.90,4.90,4.55,4.75,28500
ADOS,27-May-2003,4.50,4.55,4.00,4.55,21000
ADOS,28-May-2003,4.50,4.55,4.30,4.30,13000
ADOS,29-May-2003,4.50,4.60,4.40,4.45,10500
ADOS,30-May-2003,4.55,4.55,4.55,4.55,4000
ADOS,03-Jun-2003,4.30,4.30,4.30,4.30,500
ADOS,05-Jun-2003,4.40,4.45,4.40,4.45,2000
ADOS,06-Jun-2003,4.40,4.40,4.35,4.35,4000
ADOS,09-Jun-2003,4.60,4.75,4.55,4.75,7000
ADOS,10-Jun-2003,4.75,4.75,4.50,4.50,4500
ADOS,11-Jun-2003,4.60,4.70,4.35,4.35,11500
ADOS,12-Jun-2003,4.65,4.65,4.30,4.30,1500
ADOS,13-Jun-2003,4.50,4.50,4.50,4.50,3000
ADOS,16-Jun-2003,4.50,4.50,4.50,4.50,1500
ADOS,17-Jun-2003,4.50,4.50,4.50,4.50,1000
ADOS,18-Jun-2003,4.40,4.50,4.40,4.50,4000
ADOS,19-Jun-2003,4.25,4.40,4.25,4.40,1000
ADOS,20-Jun-2003,4.30,4.70,4.30,4.70,1500
ADOS,23-Jun-2003,4.50,4.90,4.50,4.50,17500
ADOS,24-Jun-2003,4.50,4.50,4.50,4.50,2500
ADOS,25-Jun-2003,4.15,4.35,4.15,4.30,11000
ADOS,26-Jun-2003,4.25,4.30,4.25,4.30,1500
ADOS,30-Jun-2003,4.20,4.30,4.20,4.30,1500
ADOS,01-Jul-2003,4.35,4.50,4.35,4.50,7500
ADOS,02-Jul-2003,4.25,4.50,4.25,4.50,1500
ADOS,03-Jul-2003,4.70,4.85,4.60,4.60,10500
ADOS,04-Jul-2003,4.50,4.75,4.25,4.55,13500
ADOS,08-Jul-2003,4.30,4.30,4.30,4.30,5000
ADOS,09-Jul-2003,4.50,4.55,4.50,4.50,9000
ADOS,10-Jul-2003,4.50,4.50,4.30,4.45,12000
ADOS,14-Jul-2003,4.45,4.75,4.45,4.60,6500
ADOS,15-Jul-2003,4.25,4.75,4.20,4.20,4500
ADOS,17-Jul-2003,4.60,4.60,4.40,4.40,2500
ADOS,18-Jul-2003,4.45,4.45,4.45,4.45,2500
ADOS,21-Jul-2003,4.50,4.50,4.50,4.50,2000
ADOS,22-Jul-2003,4.70,4.85,4.60,4.60,32500
ADOS,23-Jul-2003,4.60,4.95,4.60,4.95,28000
ADOS,24-Jul-2003,5.20,5.50,5.20,5.25,70500
ADOS,25-Jul-2003,5.50,5.75,5.20,5.55,81000
ADOS,28-Jul-2003,5.80,7.05,5.55,6.90,507500
ADOS,29-Jul-2003,7.50,7.50,6.00,6.40,76500
ADOS,30-Jul-2003,6.40,6.80,6.40,6.40,45000
ADOS,31-Jul-2003,6.50,6.50,6.25,6.35,7500
ADOS,01-Aug-2003,6.00,6.45,6.00,6.45,4000
ADOS,04-Aug-2003,6.45,6.45,5.50,5.70,7000
ADOS,05-Aug-2003,5.25,5.90,5.25,5.50,9500
ADOS,06-Aug-2003,5.35,5.75,5.35,5.40,4000
ADOS,07-Aug-2003,5.95,5.95,5.65,5.85,41000
ADOS,08-Aug-2003,5.55,5.65,5.55,5.55,16000
ADOS,13-Aug-2003,5.50,5.75,5.25,5.75,7500
ADOS,15-Aug-2003,5.00,5.00,4.75,4.75,35000
ADOS,18-Aug-2003,4.65,5.00,4.55,5.00,8500
ADOS,19-Aug-2003,5.05,5.05,4.80,5.00,32000
ADOS,20-Aug-2003,5.00,5.20,5.00,5.00,4500
ADOS,21-Aug-2003,5.00,5.00,4.80,5.00,10500
ADOS,22-Aug-2003,5.00,5.00,5.00,5.00,1000
ADOS,25-Aug-2003,4.65,4.65,4.65,4.65,3500
ADOS,26-Aug-2003,4.65,4.65,4.65,4.65,500
ADOS,27-Aug-2003,5.10,5.25,5.00,5.20,42000
ADOS,28-Aug-2003,5.00,5.05,5.00,5.05,1000
ADOS,29-Aug-2003,5.50,6.15,5.50,6.10,113000
ADOS,01-Sep-2003,6.15,7.25,6.15,7.10,147000
ADOS,02-Sep-2003,7.10,7.50,6.95,7.15,83500
ADOS,03-Sep-2003,7.90,7.90,6.35,6.35,20000
ADOS,04-Sep-2003,7.00,7.00,6.75,6.75,13000
ADOS,05-Sep-2003,6.50,7.00,6.50,7.00,19000
ADOS,08-Sep-2003,6.50,6.60,6.50,6.50,4000
ADOS,09-Sep-2003,6.60,6.60,6.60,6.60,500
ADOS,10-Sep-2003,6.25,7.00,6.10,7.00,17500
ADOS,11-Sep-2003,6.50,8.50,6.50,8.35,206500
ADOS,12-Sep-2003,8.60,9.00,8.00,8.00,90500
ADOS,15-Sep-2003,7.50,8.45,7.50,8.00,22500
ADOS,16-Sep-2003,8.00,8.05,8.00,8.00,10000
ADOS,17-Sep-2003,7.50,7.50,7.20,7.20,6000
ADOS,18-Sep-2003,7.50,7.50,7.25,7.40,21500
ADOS,19-Sep-2003,7.65,7.65,7.00,7.00,5500
ADOS,22-Sep-2003,7.25,7.45,6.10,6.10,4500
ADOS,23-Sep-2003,5.60,5.60,5.15,5.15,5500
ADOS,24-Sep-2003,6.00,6.00,4.90,5.05,8000
ADOS,25-Sep-2003,5.90,6.00,5.75,5.90,4500
ADOS,26-Sep-2003,5.40,5.40,5.30,5.30,2500
ADOS,29-Sep-2003,5.00,5.00,5.00,5.00,1000
ADOS,30-Sep-2003,5.60,6.40,5.60,6.00,4500
ADOS,02-Oct-2003,5.90,5.90,5.90,5.90,1000
ADOS,03-Oct-2003,6.00,6.00,6.00,6.00,2500
ADOS,06-Oct-2003,6.20,6.20,5.60,5.60,1000
ADOS,08-Oct-2003,6.00,6.90,6.00,5.60,1500
ADOS,09-Oct-2003,5.70,5.70,5.10,5.10,4000
ADOS,10-Oct-2003,6.00,6.00,4.80,4.90,13000
ADOS,13-Oct-2003,6.40,6.40,6.10,6.40,18000
ADOS,14-Oct-2003,6.40,7.00,6.40,6.80,4000
ADOS,20-Oct-2003,6.50,6.50,6.50,6.50,5000
ADOS,10-Nov-2003,8.00,8.00,8.00,8.00,1000
ADOS,11-Nov-2003,7.90,8.75,7.90,8.75,3500
ADOS,12-Nov-2003,8.75,9.90,8.75,9.90,5500
ADOS,13-Nov-2003,11.40,11.40,11.40,11.40,500
ADOS,14-Nov-2003,12.75,12.90,12.75,12.90,1000
ADOS,17-Nov-2003,12.10,14.40,12.00,14.40,3000
ADOS,19-Nov-2003,14.50,14.50,13.00,13.00,1500
ADOS,20-Nov-2003,13.05,14.50,13.05,14.50,1000
ADOS,21-Nov-2003,14.55,16.00,14.55,16.00,1500
ADOS,11-Dec-2003,9.00,9.00,9.00,9.00,2000
ADOS,15-Dec-2003,8.00,8.00,8.00,8.00,1000
ADOS,16-Dec-2003,7.90,8.00,7.90,8.00,1500
ADOS,17-Dec-2003,8.00,8.00,8.00,8.00,1000
ADOS,18-Dec-2003,7.00,7.00,7.00,7.00,1000
ADOS,31-Dec-2003,6.40,7.00,6.40,7.00,1500
ADOS,02-Jan-2004,7.50,7.50,7.50,7.50,2000
ADOS,05-Jan-2004,7.05,7.05,7.00,7.00,2000
ADOS,06-Jan-2004,6.50,6.55,6.50,6.55,1000
ADOS,07-Jan-2004,6.55,6.55,6.50,6.50,1500
ADOS,09-Jan-2004,6.60,7.45,6.60,7.45,2000
ADOS,14-Jan-2004,6.55,6.55,6.50,6.50,3000
ADOS,15-Jan-2004,7.25,7.25,7.25,7.25,1000
ADOS,16-Jan-2004,7.00,7.50,7.00,7.50,3000
ADOS,19-Jan-2004,7.00,7.50,7.00,7.50,3000
ADOS,20-Jan-2004,7.15,7.25,7.15,7.20,3000
ADOS,21-Jan-2004,6.60,7.00,6.60,7.00,1000
ADOS,29-Jan-2004,7.00,7.00,7.00,7.00,500
ADOS,09-Feb-2004,6.50,6.50,6.50,6.50,1000
ADOS,11-Feb-2004,6.80,6.80,6.80,6.80,1000
ADOS,12-Feb-2004,6.30,6.35,6.30,6.30,5000
ADOS,13-Feb-2004,6.00,6.70,6.00,6.70,6000
ADOS,17-Feb-2004,6.25,6.25,6.20,6.20,9000
ADOS,19-Feb-2004,6.25,6.25,6.25,6.25,1000
ADOS,20-Feb-2004,6.20,6.20,6.20,6.20,2000
ADOS,23-Feb-2004,7.10,7.10,6.00,6.00,1000
ADOS,25-Feb-2004,6.35,6.35,6.35,6.35,1000
ADOS,26-Feb-2004,6.35,7.85,6.30,7.10,56500
ADOS,27-Feb-2004,7.95,7.95,7.00,7.80,42000
ADOS,03-Mar-2004,7.55,7.95,7.40,7.55,10000
ADOS,04-Mar-2004,7.00,7.60,7.00,7.60,56500
ADOS,05-Mar-2004,7.00,7.45,7.00,7.45,4500
ADOS,08-Mar-2004,7.75,8.95,7.50,8.45,116500
ADOS,09-Mar-2004,8.30,9.75,8.30,9.40,128500
ADOS,10-Mar-2004,9.50,9.55,8.40,8.40,83000
ADOS,11-Mar-2004,8.75,9.00,8.15,8.85,37500
ADOS,12-Mar-2004,9.00,9.40,8.75,9.15,89500
ADOS,15-Mar-2004,9.30,10.65,9.25,10.25,226000
ADOS,16-Mar-2004,10.50,11.55,10.25,11.00,225000
ADOS,17-Mar-2004,10.80,10.95,10.65,10.65,36000
ADOS,18-Mar-2004,10.65,10.95,10.10,10.70,26500
ADOS,19-Mar-2004,10.90,10.90,10.60,10.60,9000
ADOS,22-Mar-2004,10.60,10.65,10.20,10.20,11000
ADOS,24-Mar-2004,10.00,10.00,10.00,10.00,1000
ADOS,25-Mar-2004,9.80,10.00,9.65,9.65,9000
ADOS,26-Mar-2004,8.70,9.50,8.70,9.35,29500
ADOS,29-Mar-2004,9.50,9.80,9.50,9.80,26000
ADOS,30-Mar-2004,9.30,9.80,9.30,9.80,14500
ADOS,31-Mar-2004,9.70,10.65,9.55,10.65,94000
ADOS,01-Apr-2004,11.00,12.15,10.50,12.15,365000
ADOS,02-Apr-2004,12.55,13.65,11.60,13.50,228500
ADOS,05-Apr-2004,13.90,14.00,13.10,13.20,60500
ADOS,06-Apr-2004,13.25,13.25,12.25,12.25,17500
ADOS,07-Apr-2004,12.00,13.70,11.70,12.50,292000
ADOS,08-Apr-2004,13.00,13.20,12.00,12.25,60000
ADOS,12-Apr-2004,12.50,12.50,11.60,11.60,9000
ADOS,13-Apr-2004,11.85,11.85,10.65,10.95,19500
ADOS,14-Apr-2004,11.00,11.45,10.90,11.00,23000
ADOS,15-Apr-2004,11.20,11.25,11.10,11.10,10000
ADOS,16-Apr-2004,11.10,11.10,10.50,10.55,6000
ADOS,19-Apr-2004,11.25,11.25,10.60,11.00,18000
ADOS,20-Apr-2004,10.60,10.70,10.40,10.40,3500
ADOS,21-Apr-2004,10.45,10.45,10.00,10.00,7000
ADOS,22-Apr-2004,9.15,10.55,9.15,10.50,23000
ADOS,23-Apr-2004,10.85,10.85,10.45,10.45,14000
ADOS,26-Apr-2004,9.65,10.25,9.65,10.00,15500
ADOS,27-Apr-2004,10.10,10.10,10.10,10.10,1000
ADOS,28-Apr-2004,9.75,9.75,9.70,9.70,2500
ADOS,30-Apr-2004,8.95,8.95,8.95,8.95,500
ADOS,04-May-2004,9.90,9.90,9.90,8.95,500
ADOS,05-May-2004,9.95,9.95,9.40,9.80,5000
ADOS,06-May-2004,9.60,9.75,9.60,9.75,3000
ADOS,07-May-2004,9.95,9.95,9.50,9.50,1000
ADOS,10-May-2004,9.25,9.50,9.20,9.50,6500
ADOS,11-May-2004,9.20,9.20,8.80,8.80,12000
ADOS,12-May-2004,8.85,8.85,8.50,8.80,12000
ADOS,13-May-2004,8.75,8.80,8.20,8.20,14500
ADOS,14-May-2004,8.20,9.00,8.20,8.50,41500
ADOS,17-May-2004,9.40,9.40,8.25,8.40,14000
ADOS,18-May-2004,8.30,8.30,8.30,8.30,500
ADOS,19-May-2004,8.50,8.80,8.50,8.50,65500
ADOS,20-May-2004,8.90,9.70,8.55,9.25,99000
ADOS,21-May-2004,9.45,9.70,9.20,9.40,91000
