Symbol,Date,Open,High,Low,Close,Volume
ADPP,27-Jan-2004,2.00,2.00,2.00,2.00,500
ADPP,28-Jan-2004,2.00,2.00,2.00,2.00,500
ADPP,06-Feb-2004,2.85,2.95,2.85,2.90,2500
ADPP,16-Feb-2004,2.90,2.90,2.90,2.90,500
ADPP,17-Feb-2004,3.00,3.00,3.00,3.00,500
ADPP,19-Feb-2004,3.00,3.50,3.00,3.45,8000
ADPP,20-Feb-2004,3.00,3.00,3.00,3.00,500
ADPP,25-Feb-2004,3.30,3.30,3.30,3.30,2500
ADPP,26-Feb-2004,3.00,3.00,3.00,3.00,2000
ADPP,05-Mar-2004,2.85,3.25,2.85,3.25,8000
ADPP,08-Mar-2004,2.95,2.95,2.95,2.95,500
ADPP,09-Mar-2004,3.00,3.00,3.00,3.00,2000
ADPP,10-Mar-2004,3.50,3.75,3.05,3.50,6500
ADPP,11-Mar-2004,3.90,3.90,3.70,3.70,2500
ADPP,12-Mar-2004,3.75,3.75,3.75,3.75,500
ADPP,15-Mar-2004,3.30,3.30,3.25,3.25,5000
ADPP,17-Mar-2004,3.00,3.05,3.00,3.05,3500
ADPP,22-Mar-2004,3.20,3.20,3.20,3.20,6000
ADPP,24-Mar-2004,3.10,3.10,3.10,3.10,500
ADPP,25-Mar-2004,3.10,3.10,3.10,3.10,500
ADPP,26-Mar-2004,3.00,3.00,3.00,3.00,2000
ADPP,29-Mar-2004,3.00,3.00,3.00,3.00,500
ADPP,30-Mar-2004,3.10,3.10,3.00,3.00,3000
ADPP,31-Mar-2004,3.20,3.20,3.20,3.20,2000
ADPP,01-Apr-2004,2.90,2.90,2.90,2.90,3500
ADPP,02-Apr-2004,3.40,3.50,3.30,3.40,15500
ADPP,05-Apr-2004,3.60,3.90,3.60,3.65,13000
ADPP,06-Apr-2004,3.75,3.75,3.75,3.75,5000
ADPP,07-Apr-2004,3.55,3.55,3.55,3.55,3000
ADPP,08-Apr-2004,3.25,3.25,3.25,3.25,500
ADPP,09-Apr-2004,3.75,3.75,3.75,3.75,4000
ADPP,12-Apr-2004,4.00,4.35,3.25,3.25,16500
ADPP,13-Apr-2004,3.75,3.75,3.75,3.75,7000
ADPP,14-Apr-2004,3.85,4.10,3.85,4.00,7500
ADPP,15-Apr-2004,4.40,4.50,4.20,4.25,11000
ADPP,16-Apr-2004,4.30,4.50,4.25,4.30,16500
ADPP,19-Apr-2004,4.50,4.50,3.30,4.35,9500
ADPP,20-Apr-2004,4.05,4.25,4.00,4.00,14500
ADPP,21-Apr-2004,4.05,4.05,4.00,4.00,6500
ADPP,27-Apr-2004,3.50,3.50,3.50,3.50,2500
ADPP,04-May-2004,3.30,3.30,3.30,3.30,500
ADPP,06-May-2004,3.50,3.50,3.50,3.50,500
ADPP,07-May-2004,3.30,3.30,3.30,3.30,500
ADPP,24-May-2004,3.00,4.70,3.00,4.70,20000
ADPP,25-May-2004,4.25,4.55,4.05,4.10,18000
ADPP,26-May-2004,4.35,4.35,3.75,3.75,5500
ADPP,27-May-2004,3.50,4.25,3.50,3.80,14000
ADPP,28-May-2004,4.15,4.25,4.10,4.25,85500
ADPP,31-May-2004,4.20,4.50,4.20,4.50,6000
ADPP,02-Jun-2004,4.00,4.00,4.00,4.00,1000
ADPP,03-Jun-2004,4.00,4.00,4.00,4.00,500
ADPP,08-Jun-2004,3.85,4.10,3.80,3.80,4500
ADPP,09-Jun-2004,4.15,4.35,4.15,4.35,15500
