Symbol,Date,Open,High,Low,Close,Volume
ADTM,09-Jan-2003,6.50,6.50,6.25,6.25,2500
ADTM,10-Jan-2003,6.25,6.25,6.25,6.25,1000
ADTM,16-Jan-2003,5.50,6.00,5.50,6.00,7000
ADTM,20-Jan-2003,6.00,6.00,6.00,6.00,500
ADTM,23-Jan-2003,5.05,5.05,5.05,5.05,500
ADTM,06-Feb-2003,5.50,5.50,5.50,5.50,1000
ADTM,07-Feb-2003,6.00,6.00,6.00,6.00,3000
ADTM,18-Mar-2003,5.95,5.00,5.00,5.00,1000
ADTM,26-Mar-2003,5.00,5.50,5.00,5.50,4500
ADTM,31-Mar-2003,5.50,4.75,4.50,4.50,4500
ADTM,11-Apr-2003,4.80,5.00,5.00,5.00,500
ADTM,23-Apr-2003,4.40,4.40,4.40,4.40,500
ADTM,07-May-2003,4.05,4.05,4.05,4.05,1500
ADTM,13-May-2003,4.90,4.90,4.75,4.75,1500
ADTM,14-May-2003,5.25,5.25,5.25,5.25,500
ADTM,19-May-2003,5.75,6.75,5.75,6.00,21000
ADTM,20-May-2003,6.10,6.10,6.00,6.00,4000
ADTM,21-May-2003,6.00,6.10,5.50,5.50,12500
ADTM,23-May-2003,5.05,5.75,5.05,5.75,2000
ADTM,28-May-2003,5.50,5.75,5.50,5.75,1000
ADTM,29-May-2003,5.50,5.50,5.50,5.50,500
ADTM,30-May-2003,6.00,6.00,6.00,6.00,500
ADTM,02-Jun-2003,5.50,7.50,5.50,7.50,49000
ADTM,03-Jun-2003,8.00,9.00,7.50,9.00,29500
ADTM,04-Jun-2003,9.50,10.50,9.50,9.90,34000
ADTM,05-Jun-2003,9.50,9.50,9.50,9.50,4000
ADTM,06-Jun-2003,9.00,9.00,9.00,9.00,500
ADTM,09-Jun-2003,8.75,8.75,8.75,8.75,500
ADTM,10-Jun-2003,8.60,8.60,8.50,8.50,2500
ADTM,11-Jun-2003,8.10,8.50,8.10,8.50,2000
ADTM,12-Jun-2003,8.25,8.25,8.25,8.25,1500
ADTM,17-Jun-2003,8.00,8.00,8.00,8.25,1000
ADTM,20-Jun-2003,8.10,8.10,8.00,8.00,1000
ADTM,23-Jun-2003,8.25,8.25,8.25,8.25,1500
ADTM,26-Jun-2003,8.00,8.00,8.00,8.00,2000
ADTM,27-Jun-2003,7.75,7.75,7.75,7.75,1000
ADTM,30-Jun-2003,7.75,7.75,7.75,7.75,500
ADTM,01-Jul-2003,7.75,7.75,7.75,7.75,2000
ADTM,04-Jul-2003,8.00,8.00,7.75,7.75,3500
ADTM,10-Jul-2003,7.85,7.85,7.85,7.85,500
ADTM,15-Jul-2003,8.25,8.25,8.25,8.25,1500
ADTM,16-Jul-2003,8.25,8.25,8.25,8.25,3000
ADTM,17-Jul-2003,8.25,8.25,8.25,8.25,5000
ADTM,18-Jul-2003,8.50,8.50,8.00,8.20,12500
ADTM,21-Jul-2003,8.00,9.00,8.00,9.00,3000
ADTM,22-Jul-2003,10.00,10.50,9.00,10.50,13000
ADTM,23-Jul-2003,10.50,11.70,10.50,11.50,9000
ADTM,24-Jul-2003,10.90,11.70,10.55,10.55,6500
ADTM,25-Jul-2003,11.50,12.05,11.50,12.05,21500
ADTM,28-Jul-2003,12.90,13.00,12.15,12.15,14500
ADTM,29-Jul-2003,13.50,13.50,12.50,12.50,2000
ADTM,30-Jul-2003,12.00,13.00,12.00,13.00,3500
ADTM,31-Jul-2003,12.00,12.00,12.00,12.00,1500
ADTM,01-Aug-2003,11.00,11.00,11.00,11.00,1000
