Symbol,Date,Open,High,Low,Close,Volume
AEL,08-May-2003,18.50,18.50,18.50,18.50,1000
AEL,09-May-2003,18.00,18.00,17.75,17.75,1500
AEL,16-May-2003,16.80,16.80,16.80,16.80,1000
AEL,09-Jun-2003,18.20,18.20,18.20,18.20,500
AEL,03-Jul-2003,19.70,19.70,19.70,19.70,500
AEL,14-Jul-2003,19.00,20.80,19.00,20.80,2500
AEL,21-Jul-2003,22.35,22.35,22.35,22.35,500
AEL,22-Jul-2003,21.25,21.25,21.25,21.25,500
AEL,24-Jul-2003,21.30,21.30,21.30,21.30,1000
AEL,08-Aug-2003,20.30,20.30,20.30,20.30,500
AEL,07-Nov-2003,19.50,19.50,19.50,18.00,500
AEL,11-Nov-2003,19.50,19.50,19.50,18.00,500
AEL,13-Nov-2003,17.50,17.50,17.00,17.20,5000
AEL,24-Dec-2003,19.00,19.00,19.00,19.00,1000
AEL,30-Jan-2004,21.00,21.00,21.00,21.00,500
AEL,25-Feb-2004,22.55,22.55,22.55,22.55,1000
AEL,16-Mar-2004,21.45,21.45,21.45,22.55,500
AEL,31-Mar-2004,21.50,21.50,21.50,21.50,2000
AEL,13-Apr-2004,22.80,22.80,22.80,22.80,500
AEL,16-Jul-2004,23.00,23.00,23.00,23.00,500
AEL,02-Nov-2004,22.50,22.50,22.50,22.50,500
AEL,08-Dec-2004,21.55,22.20,21.30,22.20,2500
AEL,15-Dec-2004,22.00,22.00,22.00,22.00,500
AEL,15-Mar-2005,23.50,23.50,23.50,23.50,2500
AEL,17-Mar-2005,25.00,25.00,25.00,25.00,2500
AEL,29-Apr-2005,26.25,26.25,26.25,26.25,1000
AEL,08-Sep-2005,23.30,23.30,23.30,23.30,500
AEL,15-Sep-2005,24.15,24.15,24.15,24.15,500
AEL,16-Jan-2006,22.00,22.00,22.00,22.00,500
AEL,26-Jun-2006,15.00,15.00,15.00,15.00,1000
AEL,12-Jul-2006,16.00,16.00,16.00,16.00,500
AEL,21-Nov-2006,16.90,16.90,16.90,16.90,500
AEL,20-Apr-2007,14.60,14.60,14.60,14.60,1000
AEL,30-Jul-2007,15.00,15.00,15.00,15.00,1000
AEL,07-Mar-2008,16.00,16.00,16.00,16.00,500
AEL,13-Mar-2008,16.00,16.00,16.00,16.00,500
AEL,21-Jul-2009,16.00,16.00,16.00,16.00,1
AEL,22-Jul-2009,16.00,16.00,16.00,16.00,2
AEL,23-Jul-2009,16.00,16.00,16.00,16.00,498
AEL,14-Sep-2009,18.00,18.00,18.00,18.00,2
AEL,15-Sep-2009,19.00,19.00,19.00,19.00,2
AEL,13-Oct-2009,16.00,16.00,16.00,16.00,5
AEL,27-Oct-2009,15.00,15.00,15.00,15.00,1
AEL,04-Nov-2009,16.00,16.00,16.00,16.00,2
AEL,05-Nov-2009,17.00,17.00,15.00,15.00,1
AEL,25-Feb-2010,10.00,10.00,10.00,10.00,5
AEL,29-Mar-2010,7.00,7.00,7.00,7.00,120
AEL,31-Mar-2010,7.00,8.00,7.00,8.00,385
AEL,06-Apr-2010,11.00,11.00,11.00,11.00,1
AEL,08-Apr-2010,11.99,12.98,11.99,12.98,384
AEL,27-Apr-2010,11.99,11.99,11.99,11.99,7
AEL,25-May-2010,12.00,12.00,12.00,12.00,2
AEL,27-May-2010,10.50,10.50,10.50,10.50,1
AEL,01-Jun-2010,9.50,9.50,9.50,9.50,2
AEL,29-Jun-2010,8.51,8.51,8.51,8.51,498
AEL,06-Oct-2010,10.00,10.00,10.00,10.00,5
AEL,11-Oct-2010,11.99,12.00,11.99,12.00,16
AEL,21-Oct-2010,12.99,12.99,12.99,12.99,1
AEL,22-Oct-2010,12.80,12.80,12.80,12.80,1
AEL,03-Nov-2010,12.75,12.75,12.75,11.80,1
AEL,08-Nov-2010,11.80,11.80,11.80,11.80,3
AEL,30-Nov-2010,11.70,11.70,11.70,11.70,100
AEL,20-Dec-2010,12.00,12.00,12.00,12.00,1
AEL,30-Dec-2010,9.00,10.00,9.00,10.00,975
AEL,05-Jan-2011,12.00,13.00,12.00,12.88,1925
AEL,06-Jan-2011,13.88,13.88,13.88,13.88,10
AEL,07-Jan-2011,13.50,13.50,13.50,13.50,10
AEL,10-Jan-2011,14.50,14.50,14.50,14.50,10
AEL,11-Jan-2011,14.50,14.50,14.50,14.50,10
AEL,13-Jan-2011,14.00,14.00,14.00,14.00,5
AEL,20-Jan-2011,14.00,14.00,14.00,14.00,5
AEL,25-Jan-2011,15.00,15.00,15.00,15.00,1
AEL,03-Feb-2011,15.25,15.25,14.99,14.99,80
AEL,04-Feb-2011,14.90,14.90,14.90,14.90,20
AEL,07-Feb-2011,15.90,15.90,15.80,15.80,1
AEL,22-Mar-2011,16.50,16.50,15.50,15.50,9
AEL,08-Sep-2011,9.00,10.00,9.00,10.00,10
AEL,19-Sep-2011,9.00,9.00,9.00,9.00,1
AEL,20-Feb-2012,9.00,9.00,9.00,9.00,1
AEL,20-Mar-2012,7.50,7.50,7.50,7.50,5
AEL,21-Mar-2012,7.50,7.50,7.50,7.50,910
AEL,04-Apr-2012,6.60,6.60,6.60,6.60,993
AEL,05-Apr-2012,6.80,6.80,6.80,6.60,50
AEL,09-Apr-2012,6.80,6.80,6.80,6.60,100
AEL,16-Apr-2012,6.60,6.60,5.75,5.75,1000
AEL,19-Apr-2012,7.75,7.75,7.75,6.75,1
AEL,25-Apr-2012,7.70,7.70,7.70,7.70,500
AEL,26-Apr-2012,8.70,8.70,8.70,8.70,525
AEL,27-Apr-2012,9.70,9.70,9.70,8.70,450
AEL,03-May-2012,9.70,9.70,9.70,9.70,700
AEL,22-May-2012,10.70,10.70,10.70,9.70,25
AEL,24-May-2012,10.70,10.70,10.70,9.70,25
AEL,31-May-2012,10.50,10.50,10.50,9.70,100
AEL,25-Jun-2012,10.70,10.70,10.70,9.70,10
AEL,29-Jun-2012,9.70,9.70,9.70,9.70,1
AEL,05-Jul-2012,8.70,8.70,8.70,9.70,10
AEL,09-Jul-2012,9.69,9.69,9.69,9.70,10
AEL,13-Jul-2012,9.70,9.70,9.65,9.65,102
AEL,22-Oct-2012,6.50,6.50,6.50,6.50,6500
AEL,24-Oct-2012,6.50,6.50,6.00,6.00,1000
AEL,25-Oct-2012,6.00,6.00,5.90,6.00,2000
AEL,01-Nov-2012,6.00,6.00,6.00,6.00,1000
AEL,13-Nov-2012,5.80,5.80,5.80,5.80,500
AEL,20-Nov-2012,5.80,5.80,5.80,5.80,500
AEL,21-Nov-2012,5.60,5.60,5.60,5.60,1000
AEL,27-Nov-2012,5.06,5.80,5.00,5.00,12000
AEL,28-Nov-2012,5.00,5.90,4.00,4.65,1350000
AEL,29-Nov-2012,4.70,5.42,4.50,5.22,575000
AEL,30-Nov-2012,5.25,5.30,4.80,4.88,149000
AEL,03-Dec-2012,5.15,5.15,4.60,4.99,33500
AEL,04-Dec-2012,4.80,5.65,4.80,5.16,149000
AEL,05-Dec-2012,5.16,5.28,5.15,5.28,9500
AEL,07-Dec-2012,5.25,5.25,5.25,5.25,500
AEL,10-Dec-2012,5.00,5.00,4.84,4.84,9500
AEL,11-Dec-2012,4.75,4.75,4.65,4.65,1500
AEL,12-Dec-2012,4.85,5.00,4.55,4.58,48000
AEL,17-Dec-2012,4.58,4.58,4.58,4.58,2000
AEL,19-Dec-2012,4.51,4.51,4.50,4.50,4000
AEL,20-Dec-2012,4.50,4.50,4.50,4.50,2000
AEL,21-Dec-2012,4.40,4.40,4.40,4.40,2000
AEL,02-Jan-2013,4.65,4.65,4.65,4.65,500
AEL,04-Jan-2013,4.65,4.80,4.27,4.63,98500
AEL,08-Jan-2013,4.48,4.48,4.48,4.48,500
AEL,15-Jan-2013,4.00,4.00,4.00,4.00,1000
AEL,16-Jan-2013,4.35,4.35,4.35,4.35,500
AEL,18-Jan-2013,4.59,4.59,4.59,4.59,30500
AEL,30-Jan-2013,4.42,4.42,4.40,4.40,2500
AEL,06-Feb-2013,4.57,4.57,4.57,4.57,500
AEL,12-Feb-2013,4.60,4.60,4.60,4.60,500
AEL,18-Feb-2013,4.40,4.40,4.40,4.40,4500
AEL,22-Feb-2013,4.00,4.00,4.00,4.00,500
AEL,25-Feb-2013,4.00,4.00,4.00,4.00,500
AEL,28-Feb-2013,4.00,4.00,3.80,3.80,5000
AEL,06-Mar-2013,3.72,3.80,2.90,3.65,11000
AEL,13-Mar-2013,4.00,4.00,3.50,3.75,4500
AEL,20-Mar-2013,3.93,4.50,3.81,3.92,201000
AEL,08-Apr-2013,3.65,3.65,3.65,3.65,4000
AEL,15-Apr-2013,3.60,3.60,3.60,3.60,500
AEL,10-May-2013,3.75,3.90,3.75,3.90,1500
AEL,14-May-2013,3.80,3.80,3.70,3.70,2000
AEL,15-May-2013,4.00,4.70,4.00,4.70,149500
AEL,16-May-2013,5.40,5.70,5.20,5.67,186500
AEL,17-May-2013,6.00,6.67,5.78,6.25,97500
AEL,20-May-2013,5.76,6.08,5.76,5.82,2500
AEL,21-May-2013,5.82,6.00,5.70,6.00,3500
AEL,22-May-2013,5.90,6.00,5.56,5.99,5000
AEL,23-May-2013,5.60,5.82,5.60,5.82,2500
AEL,24-May-2013,5.70,5.70,5.30,5.50,1500
AEL,27-May-2013,5.00,5.00,4.50,4.79,233500
AEL,28-May-2013,4.88,5.79,4.60,4.77,316500
AEL,29-May-2013,4.72,4.92,4.70,4.71,27000
AEL,30-May-2013,4.90,5.37,4.90,5.02,63000
AEL,31-May-2013,5.23,6.02,5.20,5.92,166500
AEL,03-Jun-2013,6.29,6.29,5.71,5.71,68500
