Symbol,Date,Open,High,Low,Close,Volume
AGF,01-Jan-2003,37.00,37.25,36.25,36.25,9000
AGF,02-Jan-2003,36.90,38.00,36.90,38.00,18000
AGF,03-Jan-2003,39.50,39.50,37.90,37.90,1500
AGF,06-Jan-2003,39.50,40.00,39.00,40.00,84500
AGF,07-Jan-2003,40.50,43.00,40.50,43.00,14000
AGF,08-Jan-2003,42.00,43.75,42.00,43.75,10000
AGF,09-Jan-2003,44.50,45.90,43.50,45.90,10000
AGF,10-Jan-2003,44.50,45.50,43.65,45.00,14000
AGF,13-Jan-2003,46.00,46.00,44.50,45.65,9500
AGF,14-Jan-2003,44.10,49.00,44.10,47.00,186000
AGF,15-Jan-2003,48.00,50.00,48.00,48.50,75500
AGF,16-Jan-2003,47.00,47.00,47.00,47.00,5500
AGF,17-Jan-2003,47.50,47.50,44.90,44.90,4000
AGF,20-Jan-2003,47.00,47.00,45.00,45.00,12500
AGF,21-Jan-2003,46.00,46.00,42.75,45.00,14500
AGF,22-Jan-2003,42.75,46.00,42.75,45.75,225000
AGF,23-Jan-2003,43.25,43.25,43.25,43.25,10500
AGF,24-Jan-2003,41.20,41.20,41.10,41.10,4500
AGF,27-Jan-2003,42.50,44.15,42.50,44.15,3500
AGF,28-Jan-2003,44.00,44.50,43.50,44.00,12500
AGF,29-Jan-2003,42.00,42.00,41.80,41.80,2000
AGF,30-Jan-2003,43.50,44.00,42.50,43.00,5500
AGF,31-Jan-2003,41.05,41.05,40.85,40.85,2500
AGF,17-Feb-2003,42.25,42.25,42.00,42.00,3000
AGF,18-Feb-2003,43.00,44.50,43.00,44.00,22500
AGF,19-Feb-2003,42.25,42.25,42.00,42.00,10000
AGF,21-Feb-2003,42.00,42.00,42.00,42.00,5000
AGF,24-Feb-2003,40.00,40.00,40.00,40.00,500
AGF,25-Feb-2003,39.95,40.00,38.25,39.00,4000
AGF,26-Feb-2003,38.00,38.00,38.00,38.00,5000
AGF,03-Mar-2003,40.00,42.90,39.00,42.50,15000
AGF,10-Mar-2003,41.50,40.50,39.45,39.90,7500
AGF,11-Mar-2003,41.95,41.95,41.95,41.95,500
AGF,12-Mar-2003,41.50,43.90,40.00,41.00,6000
AGF,17-Mar-2003,41.00,41.85,41.00,41.85,6500
AGF,18-Mar-2003,41.85,42.50,41.75,42.50,24500
AGF,19-Mar-2003,42.50,41.60,41.50,41.50,5500
AGF,20-Mar-2003,42.00,43.50,42.00,43.50,2500
AGF,25-Mar-2003,43.50,43.55,43.50,43.55,1500
AGF,26-Mar-2003,43.55,44.50,43.50,44.50,2000
AGF,27-Mar-2003,44.50,46.55,45.00,45.50,7000
AGF,28-Mar-2003,45.50,46.00,46.00,46.00,3000
AGF,01-Apr-2003,46.00,45.70,45.70,45.70,1500
AGF,02-Apr-2003,46.00,47.00,46.50,47.00,2000
AGF,07-Apr-2003,47.00,47.60,47.00,47.60,7500
AGF,08-Apr-2003,47.60,45.75,45.75,45.75,500
AGF,09-Apr-2003,47.50,51.00,48.00,50.95,213000
AGF,10-Apr-2003,50.95,50.00,50.00,50.00,5000
AGF,11-Apr-2003,50.00,50.90,50.00,50.90,5000
AGF,14-Apr-2003,50.90,52.00,50.00,50.20,6500
AGF,15-Apr-2003,50.20,51.00,51.00,51.00,2000
AGF,16-Apr-2003,50.60,51.55,50.60,51.55,2500
AGF,18-Apr-2003,51.60,51.60,51.60,51.55,1000
AGF,21-Apr-2003,50.00,50.00,49.50,49.50,2000
AGF,22-Apr-2003,50.00,50.50,50.00,50.00,117500
AGF,23-Apr-2003,51.00,51.00,51.00,51.00,2000
AGF,24-Apr-2003,50.10,50.10,49.00,49.00,15500
AGF,28-Apr-2003,50.00,50.00,50.00,50.00,1500
AGF,29-Apr-2003,51.00,51.00,50.50,50.75,4000
AGF,30-Apr-2003,50.50,50.80,50.50,50.75,5000
AGF,02-May-2003,50.00,50.00,49.50,49.50,1500
AGF,05-May-2003,50.90,51.25,50.00,50.00,25000
AGF,06-May-2003,51.25,51.50,51.25,51.50,1500
AGF,07-May-2003,51.50,51.50,50.00,50.00,59500
AGF,08-May-2003,50.50,50.50,49.75,49.75,3000
AGF,09-May-2003,49.50,49.50,49.00,49.00,5000
AGF,12-May-2003,49.00,49.50,49.00,49.00,5000
AGF,13-May-2003,49.00,50.00,49.00,50.00,72500
AGF,14-May-2003,49.05,49.05,49.00,49.00,2000
AGF,16-May-2003,49.50,49.50,49.50,49.50,20500
AGF,19-May-2003,51.65,51.65,50.00,50.95,22500
AGF,20-May-2003,51.00,51.50,50.30,51.45,19000
AGF,21-May-2003,35.50,35.50,35.50,35.50,1000
AGF,22-May-2003,36.40,37.00,36.40,37.00,2000
AGF,23-May-2003,37.90,39.65,37.90,39.65,4000
AGF,26-May-2003,39.50,40.00,39.50,40.00,6000
AGF,27-May-2003,40.50,43.00,40.50,43.00,3500
AGF,28-May-2003,43.00,43.00,43.00,43.00,2000
AGF,29-May-2003,43.50,43.65,43.00,43.00,4500
AGF,30-May-2003,43.50,43.50,43.00,43.15,4500
AGF,05-Jun-2003,42.30,43.00,42.30,43.00,3000
AGF,06-Jun-2003,42.50,43.00,42.00,43.00,3500
AGF,09-Jun-2003,42.50,42.50,42.50,42.50,500
AGF,10-Jun-2003,43.00,43.50,42.90,42.90,6500
AGF,11-Jun-2003,43.40,43.50,42.25,42.25,6500
AGF,12-Jun-2003,43.00,43.00,42.50,42.50,3500
AGF,13-Jun-2003,43.00,43.00,43.00,43.00,1500
AGF,17-Jun-2003,40.85,40.90,40.85,40.90,2500
AGF,18-Jun-2003,41.00,41.00,40.50,40.50,1500
AGF,19-Jun-2003,41.00,41.00,41.00,41.00,500
AGF,23-Jun-2003,40.25,40.25,40.20,40.25,2500
AGF,25-Jun-2003,41.25,42.00,41.25,41.50,2000
AGF,30-Jun-2003,41.40,41.50,40.90,40.90,7000
AGF,02-Jul-2003,43.90,43.95,43.10,43.95,18000
AGF,03-Jul-2003,45.90,47.20,45.25,47.20,41500
AGF,04-Jul-2003,50.50,50.70,50.50,50.70,9500
AGF,07-Jul-2003,50.45,50.45,50.45,50.45,500
AGF,09-Jul-2003,47.95,47.95,47.95,47.95,1000
AGF,10-Jul-2003,49.10,49.10,49.10,49.10,500
AGF,14-Jul-2003,49.90,50.00,49.90,50.00,5500
AGF,15-Jul-2003,51.90,51.90,49.90,49.90,5500
AGF,16-Jul-2003,49.10,49.10,49.00,49.00,1000
AGF,17-Jul-2003,49.60,49.70,49.60,49.70,7500
AGF,18-Jul-2003,50.00,50.00,49.00,49.00,6000
AGF,21-Jul-2003,49.00,49.50,49.00,49.00,1500
AGF,22-Jul-2003,48.00,48.00,48.00,48.00,500
AGF,23-Jul-2003,47.50,47.50,47.50,47.50,5000
AGF,24-Jul-2003,48.50,49.00,48.50,49.00,4500
AGF,25-Jul-2003,48.50,51.90,48.50,51.90,6000
AGF,28-Jul-2003,53.25,55.75,52.25,55.75,22000
AGF,29-Jul-2003,58.50,58.90,56.00,56.00,7500
AGF,30-Jul-2003,60.20,60.20,57.50,60.20,26000
AGF,31-Jul-2003,60.65,62.00,60.00,61.00,11000
AGF,01-Aug-2003,62.50,65.50,62.50,65.50,15000
AGF,04-Aug-2003,66.90,70.40,66.90,69.90,30000
AGF,05-Aug-2003,70.00,70.00,67.00,67.00,9000
AGF,06-Aug-2003,68.00,68.10,65.00,65.00,11500
AGF,07-Aug-2003,67.00,67.00,65.00,65.00,6500
AGF,08-Aug-2003,65.00,65.00,62.00,65.00,3000
AGF,11-Aug-2003,66.00,68.00,65.00,66.00,12500
AGF,12-Aug-2003,67.00,68.00,63.00,63.00,7500
AGF,13-Aug-2003,59.85,59.85,59.85,59.85,1000
AGF,15-Aug-2003,57.00,57.00,56.90,56.90,1500
AGF,18-Aug-2003,58.00,58.50,57.50,58.50,4500
AGF,19-Aug-2003,61.00,61.00,60.60,60.60,3000
AGF,20-Aug-2003,60.80,61.00,60.60,60.60,6500
AGF,21-Aug-2003,61.00,61.00,61.00,61.00,2000
AGF,22-Aug-2003,61.50,61.50,60.00,60.00,8000
AGF,02-Sep-2003,44.60,44.60,44.60,44.60,500
AGF,03-Sep-2003,43.00,43.00,43.00,43.00,500
AGF,08-Sep-2003,45.50,45.50,45.00,45.00,7000
AGF,09-Sep-2003,44.50,44.50,44.50,44.50,500
AGF,10-Sep-2003,46.00,46.00,44.00,45.00,12000
AGF,16-Sep-2003,43.05,43.05,43.05,43.05,500
AGF,17-Sep-2003,42.00,42.00,42.00,42.00,5000
AGF,18-Sep-2003,40.10,42.00,40.10,42.00,4500
