Symbol,Date,Open,High,Low,Close,Volume
AGIC,01-Jan-2003,12.65,12.70,12.65,12.65,5500
AGIC,03-Jan-2003,12.90,12.95,12.90,12.95,9000
AGIC,06-Jan-2003,13.00,13.00,13.00,13.00,1000
AGIC,07-Jan-2003,13.50,13.50,13.10,13.30,12500
AGIC,08-Jan-2003,13.10,13.45,13.00,13.25,24500
AGIC,09-Jan-2003,13.05,13.25,12.85,12.85,11000
AGIC,10-Jan-2003,13.40,13.80,13.20,13.75,19500
AGIC,13-Jan-2003,13.50,13.50,13.10,13.10,19500
AGIC,14-Jan-2003,13.00,13.25,12.95,13.00,13500
AGIC,15-Jan-2003,13.50,13.55,13.20,13.50,21000
AGIC,16-Jan-2003,13.25,13.25,13.25,13.25,5000
AGIC,17-Jan-2003,13.25,13.30,13.00,13.30,13500
AGIC,20-Jan-2003,13.25,13.50,13.00,13.50,10000
AGIC,21-Jan-2003,13.40,13.40,12.85,12.90,20500
AGIC,22-Jan-2003,12.80,13.00,12.80,12.85,6500
AGIC,23-Jan-2003,12.70,12.70,12.50,12.50,18000
AGIC,24-Jan-2003,12.25,12.25,12.00,12.05,6000
AGIC,27-Jan-2003,12.50,12.50,12.35,12.35,1500
AGIC,29-Jan-2003,12.35,12.35,12.35,12.35,13000
AGIC,30-Jan-2003,12.45,12.70,12.45,12.70,3500
AGIC,31-Jan-2003,12.40,12.40,12.40,12.40,5000
AGIC,03-Feb-2003,11.90,11.90,11.90,11.90,2500
AGIC,04-Feb-2003,11.80,11.90,11.75,11.90,6500
AGIC,06-Feb-2003,12.10,12.10,12.00,12.00,7000
AGIC,10-Feb-2003,11.60,11.60,11.55,11.55,2000
AGIC,18-Feb-2003,12.50,12.50,12.50,12.50,5000
AGIC,19-Feb-2003,12.00,12.00,12.00,12.00,500
AGIC,20-Feb-2003,11.80,12.00,11.75,12.00,4500
AGIC,24-Feb-2003,12.25,12.25,11.95,11.95,1000
AGIC,25-Feb-2003,11.55,11.55,11.55,11.55,1000
AGIC,26-Feb-2003,11.20,11.20,11.20,11.20,500
AGIC,04-Mar-2003,11.70,11.70,11.60,11.60,1500
AGIC,05-Mar-2003,11.40,11.40,11.40,11.40,2000
AGIC,06-Mar-2003,11.75,11.75,11.75,11.75,500
AGIC,11-Mar-2003,11.75,11.75,11.75,11.75,1000
AGIC,12-Mar-2003,11.75,12.20,12.20,12.20,500
AGIC,17-Mar-2003,12.20,12.00,12.00,12.00,1500
AGIC,20-Mar-2003,12.00,12.40,12.00,12.40,1500
AGIC,24-Mar-2003,12.25,12.25,12.00,12.25,8500
AGIC,25-Mar-2003,12.25,12.00,12.00,12.25,500
AGIC,26-Mar-2003,12.25,12.55,12.45,12.50,10000
AGIC,27-Mar-2003,12.50,12.85,12.70,12.85,2500
AGIC,28-Mar-2003,12.85,12.80,12.55,12.80,8000
AGIC,31-Mar-2003,12.80,12.80,12.65,12.80,11000
AGIC,01-Apr-2003,12.80,12.75,12.55,12.75,5000
AGIC,02-Apr-2003,12.75,13.20,13.00,13.20,9500
AGIC,03-Apr-2003,13.20,13.30,13.05,13.15,10500
AGIC,04-Apr-2003,13.15,13.50,13.20,13.45,20500
AGIC,07-Apr-2003,13.45,13.35,13.20,13.35,18000
AGIC,08-Apr-2003,13.35,13.60,12.90,13.30,61500
AGIC,09-Apr-2003,13.30,13.70,13.30,13.45,54500
AGIC,10-Apr-2003,13.45,14.00,13.75,14.00,15500
AGIC,11-Apr-2003,14.00,14.00,13.70,13.95,16500
AGIC,14-Apr-2003,14.00,14.05,13.75,14.00,45000
AGIC,15-Apr-2003,13.75,14.25,13.75,13.75,28500
AGIC,16-Apr-2003,13.75,14.25,13.85,14.10,21000
AGIC,17-Apr-2003,14.10,14.10,13.85,13.90,30000
AGIC,18-Apr-2003,13.90,14.00,13.55,14.00,51500
AGIC,22-Apr-2003,12.10,12.10,11.80,11.80,10500
AGIC,23-Apr-2003,12.00,12.75,12.00,12.75,1500
AGIC,24-Apr-2003,12.30,12.30,12.25,12.25,6000
