Symbol,Date,Open,High,Low,Close,Volume
AGIL,01-Jan-2003,8.00,8.05,7.75,7.75,121000
AGIL,02-Jan-2003,7.75,8.00,7.75,8.00,90500
AGIL,03-Jan-2003,8.00,8.15,8.00,8.10,48000
AGIL,06-Jan-2003,8.10,8.15,8.05,8.10,27500
AGIL,07-Jan-2003,8.10,8.15,8.10,8.10,55500
AGIL,08-Jan-2003,8.10,8.15,7.90,8.10,68500
AGIL,09-Jan-2003,8.10,8.30,8.05,8.20,145000
AGIL,10-Jan-2003,8.40,8.40,8.20,8.20,51000
AGIL,13-Jan-2003,8.30,8.30,8.20,8.25,102000
AGIL,14-Jan-2003,8.00,8.30,8.00,8.10,144500
AGIL,15-Jan-2003,8.25,8.60,8.10,8.60,291500
AGIL,16-Jan-2003,8.40,8.70,8.35,8.45,75500
AGIL,17-Jan-2003,8.55,8.65,8.35,8.65,202000
AGIL,20-Jan-2003,8.50,8.60,8.35,8.35,45000
AGIL,21-Jan-2003,8.25,8.35,8.05,8.25,65500
AGIL,22-Jan-2003,8.10,8.50,8.10,8.35,153500
AGIL,23-Jan-2003,8.40,8.40,7.75,8.00,439000
AGIL,24-Jan-2003,7.50,7.75,7.25,7.60,81500
AGIL,27-Jan-2003,8.25,8.25,8.00,8.25,71000
AGIL,28-Jan-2003,8.00,8.00,7.70,7.70,21500
AGIL,29-Jan-2003,8.45,8.50,7.60,7.60,69000
AGIL,30-Jan-2003,7.60,7.90,7.60,7.90,5500
AGIL,31-Jan-2003,7.65,7.65,7.25,7.30,54000
AGIL,03-Feb-2003,7.30,7.40,7.00,7.00,18500
AGIL,04-Feb-2003,7.50,7.60,7.50,7.50,17500
AGIL,06-Feb-2003,7.50,7.50,7.25,7.45,32500
AGIL,07-Feb-2003,7.75,7.80,7.35,7.35,17500
AGIL,10-Feb-2003,7.15,7.35,7.10,7.35,10500
AGIL,17-Feb-2003,7.85,8.00,7.40,8.00,30000
AGIL,18-Feb-2003,8.00,8.40,8.00,8.15,157500
AGIL,19-Feb-2003,8.10,8.10,8.00,8.00,45000
AGIL,20-Feb-2003,8.00,8.00,7.75,8.00,22000
AGIL,21-Feb-2003,7.75,8.10,7.65,8.10,106000
AGIL,24-Feb-2003,8.10,8.35,8.10,8.15,144500
AGIL,25-Feb-2003,7.95,8.20,7.90,8.15,33000
AGIL,26-Feb-2003,8.25,8.50,7.95,8.05,110500
AGIL,27-Feb-2003,8.30,8.30,8.00,8.10,69000
AGIL,28-Feb-2003,8.00,8.25,8.10,8.10,10000
AGIL,03-Mar-2003,8.10,8.50,8.20,8.50,107500
AGIL,04-Mar-2003,8.50,8.25,8.20,8.20,5000
AGIL,05-Mar-2003,8.20,8.05,8.00,8.00,52000
AGIL,06-Mar-2003,8.00,8.50,8.25,8.35,56500
AGIL,07-Mar-2003,8.35,8.40,8.20,8.20,39000
AGIL,10-Mar-2003,8.20,8.30,8.00,8.30,19000
AGIL,11-Mar-2003,8.30,8.55,8.10,8.45,114500
AGIL,12-Mar-2003,8.45,8.70,8.50,8.65,97000
AGIL,17-Mar-2003,8.65,8.60,8.50,8.60,39000
AGIL,18-Mar-2003,8.60,9.00,8.65,8.80,152000
AGIL,19-Mar-2003,8.80,9.10,8.60,8.70,207000
AGIL,20-Mar-2003,8.70,9.20,8.40,8.80,92500
AGIL,21-Mar-2003,8.80,9.10,8.90,8.90,105500
AGIL,24-Mar-2003,8.90,9.30,8.85,8.90,305500
AGIL,25-Mar-2003,8.90,9.20,8.75,9.00,48500
AGIL,26-Mar-2003,9.00,9.50,9.20,9.50,109000
AGIL,27-Mar-2003,9.50,9.90,9.25,9.50,194000
AGIL,28-Mar-2003,9.50,9.70,9.50,9.65,63500
AGIL,31-Mar-2003,9.65,9.50,9.35,9.35,68000
AGIL,01-Apr-2003,9.35,9.35,9.00,9.35,69500
AGIL,02-Apr-2003,9.35,9.50,9.25,9.40,35000
AGIL,03-Apr-2003,9.40,9.30,9.15,9.25,42500
AGIL,04-Apr-2003,9.25,9.35,9.15,9.25,29500
AGIL,07-Apr-2003,9.25,9.45,9.25,9.25,40000
AGIL,08-Apr-2003,9.25,9.70,9.10,9.55,120500
AGIL,09-Apr-2003,9.55,9.75,9.50,9.60,111000
AGIL,10-Apr-2003,9.60,10.00,9.50,10.00,98500
AGIL,11-Apr-2003,9.90,10.15,9.70,10.15,134000
AGIL,14-Apr-2003,10.15,10.70,10.15,10.60,279000
AGIL,15-Apr-2003,0.00,11.30,10.75,11.05,333000
AGIL,16-Apr-2003,11.05,12.55,11.25,12.55,646500
AGIL,17-Apr-2003,13.05,13.35,12.30,12.30,424500
AGIL,18-Apr-2003,12.75,13.80,11.70,13.80,860500
AGIL,21-Apr-2003,14.20,14.30,13.30,13.55,443000
AGIL,22-Apr-2003,13.50,13.50,12.55,12.80,273500
AGIL,23-Apr-2003,13.20,13.35,12.50,13.20,209000
AGIL,24-Apr-2003,13.20,13.25,12.65,12.65,56500
AGIL,25-Apr-2003,12.30,12.60,12.25,12.40,19000
AGIL,28-Apr-2003,12.90,13.25,12.70,13.10,131000
AGIL,29-Apr-2003,13.25,14.00,13.00,13.80,335500
AGIL,30-Apr-2003,14.20,14.20,13.40,13.40,70500
AGIL,02-May-2003,13.20,13.40,13.05,13.40,37000
AGIL,05-May-2003,13.50,13.85,13.05,13.40,67000
AGIL,06-May-2003,13.50,13.50,12.80,13.25,71000
AGIL,07-May-2003,13.40,13.50,13.10,13.20,117500
AGIL,08-May-2003,13.20,13.40,13.00,13.20,183500
AGIL,09-May-2003,13.20,13.30,13.15,13.20,75000
AGIL,12-May-2003,13.25,13.25,13.05,13.15,46500
AGIL,13-May-2003,13.25,13.30,13.00,13.25,125000
AGIL,14-May-2003,13.10,14.25,13.05,13.80,548500
AGIL,16-May-2003,13.80,14.75,13.80,14.70,416500
AGIL,19-May-2003,15.00,15.00,14.50,14.60,187500
AGIL,20-May-2003,14.60,14.75,14.00,14.00,178500
AGIL,21-May-2003,14.15,14.30,13.75,14.20,107500
AGIL,22-May-2003,14.45,14.50,14.00,14.10,73000
AGIL,23-May-2003,14.45,14.90,14.20,14.40,289000
AGIL,26-May-2003,14.85,14.85,13.90,14.45,121500
AGIL,27-May-2003,14.35,15.35,14.30,15.10,608500
AGIL,28-May-2003,15.25,15.60,14.85,14.85,230500
AGIL,29-May-2003,15.30,15.30,14.65,14.85,80500
AGIL,30-May-2003,15.60,15.60,14.50,14.50,149000
AGIL,02-Jun-2003,14.50,14.50,14.00,14.15,83000
AGIL,03-Jun-2003,14.15,14.75,14.10,14.35,87500
AGIL,04-Jun-2003,14.75,14.80,14.30,14.65,146000
AGIL,05-Jun-2003,14.75,15.00,14.60,14.60,118000
AGIL,06-Jun-2003,15.50,15.75,14.75,15.40,1186000
AGIL,09-Jun-2003,15.25,15.90,15.20,15.35,116000
AGIL,10-Jun-2003,15.35,15.50,14.85,14.85,165000
AGIL,11-Jun-2003,14.90,15.30,14.50,14.80,278000
AGIL,12-Jun-2003,15.00,15.15,14.80,15.00,110000
AGIL,13-Jun-2003,14.85,15.00,14.70,14.70,41000
AGIL,16-Jun-2003,14.70,15.30,14.50,15.00,188500
AGIL,17-Jun-2003,15.00,15.00,14.75,14.80,16500
AGIL,18-Jun-2003,14.80,15.10,14.75,14.90,118000
AGIL,19-Jun-2003,15.00,15.00,14.60,14.70,66500
AGIL,20-Jun-2003,14.55,14.90,14.50,14.85,77500
AGIL,23-Jun-2003,14.65,14.95,14.65,14.90,53000
AGIL,24-Jun-2003,15.00,15.25,14.85,14.85,215500
AGIL,25-Jun-2003,15.00,15.10,14.75,15.05,113500
AGIL,26-Jun-2003,15.15,15.15,14.60,14.90,165000
AGIL,27-Jun-2003,14.80,14.85,14.55,14.60,55500
AGIL,30-Jun-2003,14.85,15.30,14.85,15.15,227500
AGIL,01-Jul-2003,15.35,16.65,15.20,16.65,995000
AGIL,02-Jul-2003,17.15,18.00,17.15,17.80,584000
AGIL,03-Jul-2003,17.75,18.25,17.25,17.50,487500
AGIL,04-Jul-2003,17.75,17.90,17.10,17.15,114000
AGIL,07-Jul-2003,17.50,17.50,16.65,16.75,122000
AGIL,08-Jul-2003,17.00,17.15,16.80,16.80,60500
AGIL,09-Jul-2003,16.85,18.00,16.85,17.30,309000
AGIL,10-Jul-2003,17.60,17.75,17.45,17.60,59000
AGIL,11-Jul-2003,17.90,18.10,17.60,17.85,142500
AGIL,14-Jul-2003,18.00,18.65,17.80,18.35,208000
AGIL,15-Jul-2003,18.25,18.25,17.35,17.35,116000
AGIL,16-Jul-2003,17.00,17.60,16.50,17.50,69000
AGIL,17-Jul-2003,17.90,18.25,17.50,18.15,146000
AGIL,18-Jul-2003,18.75,18.75,17.55,18.15,115500
AGIL,21-Jul-2003,18.10,18.25,18.00,18.00,47000
AGIL,22-Jul-2003,18.30,18.35,17.60,17.60,44500
