Symbol,Date,Open,High,Low,Close,Volume
AGL,12-Apr-2010,10.00,32.90,10.00,25.65,2435655
AGL,13-Apr-2010,25.55,25.55,24.37,24.37,164943
AGL,14-Apr-2010,23.55,25.40,23.55,25.22,190711
AGL,15-Apr-2010,24.80,25.48,24.24,24.96,127497
AGL,16-Apr-2010,24.96,24.96,24.30,24.63,4244
AGL,19-Apr-2010,25.00,25.00,23.40,23.58,63096
AGL,20-Apr-2010,24.00,24.50,23.10,23.34,12223
AGL,21-Apr-2010,23.35,23.49,23.00,23.10,17750
AGL,22-Apr-2010,23.40,23.50,23.25,23.43,2551
AGL,23-Apr-2010,23.30,24.60,23.00,24.26,166052
AGL,26-Apr-2010,24.70,25.47,23.80,24.70,226152
AGL,27-Apr-2010,24.99,25.14,24.48,24.59,36007
AGL,28-Apr-2010,24.26,24.35,23.50,23.88,10175
AGL,29-Apr-2010,24.50,24.50,23.00,23.03,14294
AGL,30-Apr-2010,22.10,23.00,22.01,22.15,11000
AGL,03-May-2010,22.25,22.50,21.18,21.88,16821
AGL,04-May-2010,22.97,22.97,22.01,22.97,20145
AGL,05-May-2010,23.20,24.11,23.10,24.11,43587
AGL,06-May-2010,24.50,25.31,24.50,25.31,50239
AGL,07-May-2010,25.65,26.57,24.60,26.55,177389
AGL,10-May-2010,26.55,27.35,25.75,25.86,77087
AGL,11-May-2010,26.00,26.50,24.70,25.01,77825
AGL,12-May-2010,25.34,25.35,24.70,25.00,21233
AGL,13-May-2010,25.50,25.50,24.71,25.00,13893
AGL,14-May-2010,24.22,25.29,24.21,24.41,2863
AGL,17-May-2010,24.99,25.23,24.15,24.25,19601
AGL,18-May-2010,23.90,25.39,23.90,25.07,16099
AGL,19-May-2010,24.87,24.87,24.05,24.06,1500
AGL,20-May-2010,24.25,24.74,23.90,24.74,436
AGL,21-May-2010,24.70,24.70,23.61,24.40,1344
AGL,24-May-2010,24.39,24.40,23.32,23.46,5600
AGL,25-May-2010,24.34,24.40,23.27,23.31,15609
AGL,26-May-2010,24.25,24.47,23.35,24.45,15501
AGL,27-May-2010,24.50,24.50,24.00,24.05,2602
AGL,28-May-2010,24.50,24.94,24.25,24.48,7550
AGL,31-May-2010,24.00,24.99,23.85,24.99,3502
AGL,01-Jun-2010,24.99,24.99,23.75,23.75,16599
AGL,02-Jun-2010,23.99,24.34,23.26,24.28,1493
AGL,03-Jun-2010,24.30,24.35,23.81,23.81,3501
AGL,04-Jun-2010,24.98,25.00,23.00,23.15,9143
AGL,07-Jun-2010,22.31,24.22,22.31,23.50,1304
AGL,08-Jun-2010,23.65,24.00,23.65,23.92,4500
AGL,10-Jun-2010,23.20,23.40,22.75,22.81,7051
AGL,14-Jun-2010,22.20,22.20,21.67,21.94,3000
AGL,15-Jun-2010,22.25,22.40,22.00,22.02,3500
AGL,16-Jun-2010,22.60,23.12,22.00,23.10,7901
AGL,17-Jun-2010,22.50,24.25,22.50,23.96,9401
AGL,18-Jun-2010,23.02,25.15,23.02,24.90,52015
AGL,21-Jun-2010,25.99,25.99,23.69,24.17,25646
AGL,22-Jun-2010,25.00,25.30,24.00,25.04,3707
AGL,23-Jun-2010,26.00,26.00,24.00,25.26,84770
AGL,24-Jun-2010,26.40,26.52,24.57,24.90,152508
AGL,25-Jun-2010,25.90,25.90,24.50,24.80,29251
AGL,30-Jun-2010,25.25,25.25,24.26,25.13,11040
AGL,01-Jul-2010,25.26,25.27,23.92,23.92,3001
AGL,02-Jul-2010,23.92,25.00,22.80,25.00,2005
AGL,05-Jul-2010,24.90,24.90,23.92,23.94,506
AGL,06-Jul-2010,24.80,24.80,24.80,24.80,50
AGL,07-Jul-2010,23.65,26.04,23.65,25.61,24952
AGL,08-Jul-2010,25.00,26.40,24.51,25.78,47499
AGL,09-Jul-2010,25.01,26.85,25.01,25.41,3544
AGL,12-Jul-2010,24.64,26.45,24.64,26.08,9512
AGL,13-Jul-2010,26.08,26.26,25.75,26.20,5911
AGL,14-Jul-2010,26.20,26.45,25.90,26.00,5797
AGL,15-Jul-2010,25.10,26.70,25.10,26.31,14200
AGL,16-Jul-2010,25.70,26.50,25.70,26.50,6201
AGL,19-Jul-2010,26.85,26.99,26.61,26.61,7093
AGL,20-Jul-2010,27.70,27.79,26.75,26.95,39100
AGL,21-Jul-2010,27.48,27.50,26.55,26.56,9201
AGL,22-Jul-2010,26.95,26.95,26.60,26.60,4099
AGL,23-Jul-2010,26.50,26.68,26.05,26.07,3764
AGL,26-Jul-2010,25.20,26.70,25.20,26.30,9900
AGL,27-Jul-2010,25.53,26.29,25.53,25.61,6250
AGL,28-Jul-2010,25.12,26.30,25.12,26.25,2200
AGL,29-Jul-2010,26.19,26.19,25.41,25.43,2050
AGL,30-Jul-2010,26.20,26.47,25.11,25.36,2402
AGL,02-Aug-2010,25.06,25.50,25.06,25.30,1449
AGL,03-Aug-2010,26.49,26.49,25.15,25.15,9652
AGL,04-Aug-2010,25.50,25.50,25.50,25.50,1
AGL,05-Aug-2010,24.55,24.80,24.55,24.80,4500
AGL,06-Aug-2010,25.85,25.95,24.90,24.90,8001
AGL,09-Aug-2010,25.01,25.01,23.75,24.00,9756
AGL,10-Aug-2010,22.80,24.90,22.80,23.50,5404
AGL,11-Aug-2010,23.02,24.45,23.02,24.00,10843
AGL,12-Aug-2010,24.88,24.88,23.01,23.62,5002
AGL,13-Aug-2010,23.99,23.99,22.62,23.22,6306
AGL,16-Aug-2010,22.35,23.70,22.06,22.24,15905
AGL,17-Aug-2010,21.15,23.35,21.15,23.30,5355
AGL,18-Aug-2010,24.46,24.46,24.25,24.31,39145
AGL,19-Aug-2010,24.50,24.50,24.20,24.20,29700
AGL,20-Aug-2010,24.01,24.01,23.50,23.50,12558
AGL,23-Aug-2010,22.44,23.90,22.44,22.50,52499
AGL,24-Aug-2010,22.26,23.43,22.26,23.13,301
AGL,27-Aug-2010,23.40,23.48,21.56,23.44,4556
AGL,30-Aug-2010,23.65,23.65,22.50,22.51,2401
AGL,31-Aug-2010,21.40,23.35,21.40,23.30,2510
AGL,01-Sep-2010,23.65,24.00,22.14,23.72,4516
AGL,02-Sep-2010,22.54,23.90,22.54,23.00,3000
AGL,03-Sep-2010,23.75,23.75,21.86,23.29,4507
AGL,06-Sep-2010,23.65,23.65,22.14,23.38,2003
AGL,07-Sep-2010,22.23,23.68,22.22,23.49,14845
AGL,08-Sep-2010,22.38,24.48,22.36,24.48,19332
AGL,09-Sep-2010,25.38,25.38,23.26,24.33,10206
AGL,14-Sep-2010,25.00,25.00,23.75,24.00,6603
AGL,15-Sep-2010,23.81,24.00,23.10,23.59,3999
AGL,16-Sep-2010,23.00,23.46,22.60,23.46,10096
AGL,17-Sep-2010,23.99,23.99,23.99,23.99,1
AGL,20-Sep-2010,24.89,24.89,22.80,24.00,4
AGL,21-Sep-2010,22.80,24.40,22.80,23.98,102
AGL,22-Sep-2010,23.97,23.97,23.97,23.97,1
AGL,23-Sep-2010,23.00,24.48,23.00,24.46,46601
AGL,24-Sep-2010,23.30,24.40,23.25,23.94,4554
AGL,27-Sep-2010,22.77,22.77,22.76,22.76,1100
AGL,28-Sep-2010,23.40,23.75,23.38,23.61,1599
AGL,29-Sep-2010,24.48,24.48,22.52,23.74,3409
AGL,30-Sep-2010,22.66,23.89,22.66,23.68,8701
AGL,01-Oct-2010,23.01,23.01,23.01,23.01,500
AGL,04-Oct-2010,23.00,23.00,23.00,23.00,601
AGL,05-Oct-2010,22.01,23.50,22.01,23.50,2600
AGL,06-Oct-2010,22.25,23.50,22.25,23.50,702
AGL,07-Oct-2010,22.54,23.39,22.54,23.39,4100
AGL,08-Oct-2010,22.31,24.53,22.31,24.53,32165
AGL,11-Oct-2010,23.90,23.90,22.78,22.78,1710
AGL,12-Oct-2010,22.11,23.15,22.10,23.15,501
AGL,14-Oct-2010,23.75,23.75,22.25,22.25,1002
AGL,18-Oct-2010,21.51,22.34,21.35,21.46,17556
AGL,19-Oct-2010,22.10,22.94,22.10,22.94,501
AGL,20-Oct-2010,23.46,23.46,23.15,23.15,10
AGL,21-Oct-2010,23.50,23.50,22.25,22.25,11
AGL,22-Oct-2010,22.00,22.00,22.00,22.00,10
AGL,25-Oct-2010,22.02,22.99,21.54,21.56,8188
AGL,26-Oct-2010,22.56,22.56,21.65,22.00,16540
AGL,27-Oct-2010,22.90,22.90,22.11,22.50,3300
AGL,28-Oct-2010,23.44,23.44,22.25,22.74,111
AGL,29-Oct-2010,21.81,21.96,21.61,21.62,71959
AGL,01-Nov-2010,22.30,22.30,22.25,22.25,25
AGL,02-Nov-2010,22.69,22.69,21.90,21.90,557
AGL,03-Nov-2010,22.86,22.86,22.49,22.49,10
AGL,04-Nov-2010,21.41,21.41,21.37,21.38,1750
AGL,05-Nov-2010,21.93,21.99,21.93,21.94,453
AGL,08-Nov-2010,22.49,22.49,20.90,21.49,3456
AGL,10-Nov-2010,21.49,21.49,20.60,20.75,1991
AGL,11-Nov-2010,20.75,21.40,20.26,21.35,10007
AGL,12-Nov-2010,22.00,22.00,22.00,22.00,10
AGL,15-Nov-2010,22.65,22.65,21.25,21.95,41
AGL,16-Nov-2010,22.49,22.49,22.00,22.00,1000
AGL,22-Nov-2010,20.91,22.75,20.91,21.83,2
