Symbol,Date,Open,High,Low,Close,Volume
AGSML,01-Jan-2004,1.50,1.50,1.50,1.50,12000
AGSML,02-Jan-2004,1.85,2.00,1.85,2.00,14500
AGSML,05-Jan-2004,1.90,2.00,1.75,1.75,17500
AGSML,06-Jan-2004,1.95,2.20,1.95,2.20,15000
AGSML,07-Jan-2004,2.20,3.50,2.20,3.50,243500
AGSML,08-Jan-2004,3.20,3.70,3.15,3.20,117500
AGSML,09-Jan-2004,3.30,3.50,3.00,3.05,87000
AGSML,12-Jan-2004,3.25,3.25,3.10,3.10,11000
AGSML,13-Jan-2004,3.30,3.30,3.00,3.00,6000
AGSML,14-Jan-2004,2.70,3.00,2.70,3.00,5000
AGSML,16-Jan-2004,3.00,3.00,2.60,2.70,15000
AGSML,19-Jan-2004,3.00,3.00,2.60,2.70,15000
AGSML,26-Jan-2004,3.00,3.00,3.00,3.00,5000
AGSML,29-Jan-2004,2.55,2.65,2.50,2.60,5500
AGSML,11-Feb-2004,2.65,3.00,2.65,3.00,19500
AGSML,12-Feb-2004,2.90,2.90,2.60,2.60,15000
AGSML,13-Feb-2004,3.00,3.00,2.85,3.00,14500
AGSML,17-Feb-2004,3.00,3.00,2.75,2.75,5500
AGSML,19-Feb-2004,2.80,2.90,2.80,2.90,5500
AGSML,20-Feb-2004,2.90,2.95,2.50,2.95,15500
AGSML,03-Mar-2004,2.90,2.90,2.75,2.75,6000
AGSML,08-Mar-2004,2.60,2.60,2.60,2.60,500
AGSML,09-Mar-2004,2.60,3.00,2.60,2.95,15000
AGSML,10-Mar-2004,3.00,3.00,3.00,3.00,2000
AGSML,11-Mar-2004,2.80,2.95,2.80,2.95,9000
AGSML,12-Mar-2004,3.00,3.00,2.95,2.95,11000
AGSML,16-Mar-2004,3.25,3.25,3.00,3.20,40000
AGSML,17-Mar-2004,3.30,3.80,3.20,3.35,86500
AGSML,18-Mar-2004,3.20,3.35,3.20,3.25,15000
AGSML,19-Mar-2004,3.15,3.15,3.15,3.15,500
AGSML,22-Mar-2004,3.40,3.40,3.40,3.40,10000
AGSML,24-Mar-2004,3.00,3.25,3.00,3.25,8000
AGSML,26-Mar-2004,3.00,3.00,3.00,3.00,10000
AGSML,29-Mar-2004,3.00,3.00,3.00,3.00,1000
AGSML,30-Mar-2004,2.85,2.85,2.80,2.80,6000
AGSML,31-Mar-2004,2.70,2.70,2.65,2.65,4000
AGSML,01-Apr-2004,2.75,2.95,2.75,2.95,2000
AGSML,09-Apr-2004,3.00,3.25,3.00,3.00,31000
AGSML,12-Apr-2004,3.15,3.25,2.80,3.00,22000
AGSML,13-Apr-2004,3.35,3.50,3.20,3.35,72000
AGSML,14-Apr-2004,3.45,3.60,3.25,3.55,58500
AGSML,15-Apr-2004,3.65,4.35,3.60,4.00,300000
AGSML,16-Apr-2004,4.40,4.80,4.25,4.60,135000
AGSML,19-Apr-2004,4.95,5.00,4.50,4.55,117500
AGSML,20-Apr-2004,4.95,4.95,4.30,4.70,49500
AGSML,21-Apr-2004,4.90,4.95,4.15,4.30,61500
AGSML,22-Apr-2004,4.10,4.70,4.10,4.50,13500
AGSML,23-Apr-2004,4.55,4.80,4.50,4.80,35000
AGSML,26-Apr-2004,4.90,5.10,4.70,4.70,31500
AGSML,27-Apr-2004,4.50,4.50,4.15,4.15,14000
AGSML,28-Apr-2004,4.15,4.15,4.15,4.15,2500
AGSML,29-Apr-2004,4.00,4.20,3.95,4.20,11000
AGSML,05-May-2004,4.20,4.25,4.20,4.25,4000
AGSML,06-May-2004,4.45,4.45,4.05,4.05,22500
AGSML,07-May-2004,4.05,4.05,4.05,4.05,1000
AGSML,11-May-2004,4.00,4.00,3.75,4.05,2000
AGSML,12-May-2004,4.00,4.00,4.00,4.00,1000
AGSML,17-May-2004,4.00,4.00,4.00,4.00,500
AGSML,19-May-2004,3.70,4.30,3.70,4.25,26500
AGSML,20-May-2004,4.30,4.30,4.00,4.00,2500
AGSML,21-May-2004,4.40,4.40,4.40,4.40,7500
AGSML,24-May-2004,4.10,4.25,4.00,4.10,9000
AGSML,26-May-2004,4.30,4.40,4.15,4.35,10500
AGSML,27-May-2004,4.20,4.35,4.20,4.20,9500
AGSML,28-May-2004,4.20,4.50,4.20,4.50,7500
AGSML,31-May-2004,4.20,5.20,4.20,4.90,216000
AGSML,01-Jun-2004,4.25,5.30,4.25,4.80,126000
AGSML,02-Jun-2004,5.15,5.40,5.15,5.15,141500
AGSML,03-Jun-2004,5.15,5.20,4.80,4.80,27000
AGSML,04-Jun-2004,4.80,4.80,4.80,4.80,500
AGSML,07-Jun-2004,5.00,5.60,5.00,5.60,74500
AGSML,08-Jun-2004,5.25,5.55,5.25,5.40,45500
AGSML,09-Jun-2004,5.00,5.80,5.00,5.60,97500
AGSML,10-Jun-2004,5.30,5.75,5.30,5.55,46500
AGSML,11-Jun-2004,5.60,5.75,5.55,5.70,19500
AGSML,14-Jun-2004,5.20,5.20,5.15,5.20,12500
AGSML,17-Jun-2004,5.35,5.35,5.35,5.35,1000
AGSML,18-Jun-2004,5.50,5.50,4.35,4.95,3500
AGSML,21-Jun-2004,4.50,5.05,4.40,4.50,5000
AGSML,22-Jun-2004,4.10,4.95,4.10,4.10,2000
AGSML,23-Jun-2004,4.60,4.60,4.60,4.60,3000
AGSML,25-Jun-2004,4.75,4.95,4.75,4.75,2000
AGSML,28-Jun-2004,4.95,5.20,4.80,5.10,7500
AGSML,01-Jul-2004,5.00,5.00,5.00,5.00,1000
AGSML,02-Jul-2004,5.00,5.05,5.00,5.05,6000
AGSML,05-Jul-2004,4.80,4.95,4.80,4.95,7000
AGSML,07-Jul-2004,4.70,4.70,4.70,4.70,1000
AGSML,08-Jul-2004,4.75,4.75,4.75,4.75,3000
AGSML,12-Jul-2004,4.20,4.25,4.20,4.25,2000
AGSML,13-Jul-2004,4.50,4.50,4.40,4.40,10000
AGSML,16-Jul-2004,4.05,4.05,4.00,4.00,3500
AGSML,21-Jul-2004,4.00,4.00,3.65,3.65,30000
AGSML,22-Jul-2004,3.65,3.80,3.65,3.80,12500
AGSML,26-Jul-2004,3.20,3.20,3.15,3.15,2500
AGSML,27-Jul-2004,3.65,3.65,3.65,3.65,1000
AGSML,29-Jul-2004,3.60,3.60,3.55,3.55,5000
AGSML,30-Jul-2004,3.25,3.25,3.25,3.25,50000
AGSML,02-Aug-2004,3.10,3.10,3.10,3.10,500
AGSML,04-Aug-2004,3.30,3.50,3.25,3.30,20500
AGSML,05-Aug-2004,3.30,3.50,3.30,3.40,15500
AGSML,06-Aug-2004,3.65,3.80,3.50,3.80,33500
AGSML,09-Aug-2004,3.85,4.80,3.85,4.65,101500
AGSML,10-Aug-2004,4.80,4.80,4.30,4.30,20500
AGSML,11-Aug-2004,4.40,4.40,4.30,4.30,2000
AGSML,12-Aug-2004,4.15,4.15,4.00,4.00,6000
AGSML,13-Aug-2004,4.35,4.35,4.00,4.00,7500
AGSML,16-Aug-2004,4.10,4.10,3.75,3.85,11000
AGSML,17-Aug-2004,3.80,4.00,3.80,3.90,18000
AGSML,18-Aug-2004,3.85,3.90,3.85,3.90,5000
AGSML,19-Aug-2004,4.10,4.10,3.85,3.90,15000
AGSML,20-Aug-2004,3.80,3.80,3.80,3.80,5000
AGSML,24-Aug-2004,3.60,3.60,3.55,3.55,3000
AGSML,25-Aug-2004,3.45,3.45,3.45,3.45,2000
AGSML,27-Aug-2004,4.10,4.40,4.10,4.20,33500
AGSML,30-Aug-2004,4.15,4.15,4.05,4.05,14000
AGSML,31-Aug-2004,4.10,4.20,4.05,4.20,11500
AGSML,01-Sep-2004,4.25,4.90,4.25,4.60,96000
AGSML,02-Sep-2004,5.00,6.10,4.70,6.10,279500
AGSML,03-Sep-2004,7.20,7.60,7.00,7.60,388000
AGSML,06-Sep-2004,8.95,9.10,6.60,7.00,318000
AGSML,07-Sep-2004,7.50,7.60,7.05,7.10,76500
AGSML,08-Sep-2004,7.40,7.40,6.75,6.75,48500
AGSML,09-Sep-2004,6.55,6.75,6.10,6.15,19000
AGSML,10-Sep-2004,6.00,6.00,5.90,5.90,15000
AGSML,13-Sep-2004,6.00,6.00,5.50,5.50,22000
AGSML,14-Sep-2004,5.15,5.15,5.00,5.00,30000
AGSML,15-Sep-2004,5.65,5.80,5.40,5.75,31500
AGSML,16-Sep-2004,5.85,6.00,5.75,5.75,16000
AGSML,17-Sep-2004,5.75,5.95,5.75,5.90,21000
AGSML,20-Sep-2004,5.50,5.95,5.35,5.70,10000
AGSML,21-Sep-2004,5.55,5.85,5.55,5.85,2000
AGSML,22-Sep-2004,5.85,6.05,5.85,6.05,16500
