Symbol,Date,Open,High,Low,Close,Volume
AGTL,01-Jan-2003,63.50,63.50,62.70,62.70,3500
AGTL,02-Jan-2003,63.50,63.50,63.00,63.00,1500
AGTL,03-Jan-2003,63.00,63.00,63.00,63.00,500
AGTL,06-Jan-2003,63.50,63.50,63.50,63.50,500
AGTL,07-Jan-2003,63.50,63.50,63.00,63.00,3000
AGTL,08-Jan-2003,62.25,63.75,62.25,63.00,1500
AGTL,09-Jan-2003,64.25,67.50,64.25,66.00,22000
AGTL,10-Jan-2003,68.90,69.00,68.90,69.00,1500
AGTL,13-Jan-2003,66.75,66.75,66.75,66.75,1000
AGTL,15-Jan-2003,68.50,68.50,68.00,68.00,1500
AGTL,16-Jan-2003,68.00,68.00,65.50,65.50,2500
AGTL,17-Jan-2003,68.00,68.00,66.00,66.00,1500
AGTL,20-Jan-2003,64.75,64.75,64.15,64.15,5000
AGTL,21-Jan-2003,63.25,63.25,63.25,63.25,1000
AGTL,22-Jan-2003,60.10,62.00,60.10,62.00,5000
AGTL,23-Jan-2003,60.55,60.55,60.55,60.55,500
AGTL,24-Jan-2003,58.00,58.00,58.00,58.00,500
AGTL,27-Jan-2003,62.35,62.35,62.35,62.35,500
AGTL,28-Jan-2003,62.00,62.00,61.75,61.75,3000
AGTL,29-Jan-2003,62.00,62.00,62.00,62.00,4500
AGTL,30-Jan-2003,62.75,62.75,62.75,62.75,500
AGTL,31-Jan-2003,62.35,62.35,62.15,62.15,4500
AGTL,03-Feb-2003,62.35,64.75,62.10,64.75,11000
AGTL,04-Feb-2003,62.10,62.10,62.10,62.10,2000
AGTL,10-Feb-2003,63.00,63.00,62.50,62.50,1500
AGTL,17-Feb-2003,62.75,63.00,62.75,63.00,1500
AGTL,18-Feb-2003,63.50,63.50,63.50,63.50,500
AGTL,19-Feb-2003,64.00,64.00,64.00,64.00,500
AGTL,21-Feb-2003,63.50,63.50,63.50,63.50,1000
AGTL,25-Feb-2003,64.05,64.05,64.05,64.05,500
AGTL,26-Feb-2003,64.10,64.10,63.00,63.00,6000
AGTL,03-Mar-2003,63.00,64.00,64.00,64.00,500
AGTL,06-Mar-2003,64.00,62.00,62.00,62.00,500
AGTL,12-Mar-2003,62.00,62.00,62.00,62.00,500
AGTL,17-Mar-2003,62.00,62.00,62.00,62.00,1000
AGTL,18-Mar-2003,63.00,63.00,63.00,63.00,2500
AGTL,19-Mar-2003,63.00,66.00,65.45,66.00,7500
AGTL,20-Mar-2003,66.00,67.00,65.00,65.00,4000
AGTL,21-Mar-2003,65.75,65.75,65.50,65.50,2500
AGTL,24-Mar-2003,65.50,66.50,66.00,66.50,9500
AGTL,25-Mar-2003,66.50,68.00,66.50,68.00,22500
AGTL,26-Mar-2003,68.00,71.70,69.00,71.70,26000
AGTL,27-Mar-2003,71.70,71.75,70.00,70.00,9500
AGTL,28-Mar-2003,70.00,74.50,71.50,73.50,26000
AGTL,31-Mar-2003,73.50,75.00,73.00,75.00,24500
AGTL,01-Apr-2003,75.00,77.00,76.00,77.00,9000
AGTL,02-Apr-2003,77.00,80.25,78.00,79.70,41000
AGTL,03-Apr-2003,79.70,80.80,80.00,80.80,11000
AGTL,04-Apr-2003,80.80,84.10,81.00,83.00,13000
AGTL,07-Apr-2003,83.00,85.10,83.00,84.50,15500
AGTL,08-Apr-2003,84.50,85.50,84.50,85.05,13000
AGTL,09-Apr-2003,85.05,90.00,83.50,90.00,51500
AGTL,10-Apr-2003,0.00,94.95,85.55,94.95,15500
AGTL,15-Apr-2003,84.70,80.50,80.50,80.50,500
AGTL,16-Apr-2003,80.50,78.50,76.50,78.50,2500
AGTL,17-Apr-2003,0.00,77.00,72.70,72.75,11000
AGTL,18-Apr-2003,74.45,78.20,74.40,76.50,57000
AGTL,21-Apr-2003,78.50,79.00,76.00,77.05,6000
AGTL,22-Apr-2003,75.00,75.00,73.20,73.20,6000
AGTL,23-Apr-2003,75.00,78.65,75.00,78.00,6500
AGTL,24-Apr-2003,78.30,82.75,78.05,82.60,9500
AGTL,25-Apr-2003,82.00,82.00,82.00,82.00,1000
AGTL,28-Apr-2003,80.10,80.10,80.05,80.05,1000
AGTL,29-Apr-2003,80.50,80.50,80.50,80.50,500
AGTL,30-Apr-2003,81.60,81.60,81.60,81.60,500
AGTL,02-May-2003,84.90,87.70,84.00,84.00,2000
AGTL,05-May-2003,84.50,84.50,84.50,84.50,500
AGTL,06-May-2003,84.05,84.05,80.30,80.30,8000
AGTL,07-May-2003,81.50,81.50,80.50,80.50,5500
AGTL,08-May-2003,80.00,80.00,79.80,79.80,4000
AGTL,09-May-2003,78.90,78.90,78.90,78.90,500
AGTL,12-May-2003,81.75,81.75,80.00,81.00,3000
AGTL,13-May-2003,81.75,81.75,81.00,81.00,10500
AGTL,14-May-2003,81.10,81.70,80.00,81.70,29500
AGTL,16-May-2003,82.50,87.00,82.50,84.00,30500
AGTL,19-May-2003,83.90,85.60,83.25,83.25,7500
AGTL,20-May-2003,83.25,83.75,82.00,83.75,6000
AGTL,21-May-2003,84.25,84.25,83.25,83.50,9000
AGTL,22-May-2003,84.95,86.90,84.00,86.90,30500
AGTL,23-May-2003,88.00,90.85,86.50,90.00,69500
AGTL,26-May-2003,90.70,94.90,90.70,93.50,94000
AGTL,27-May-2003,93.80,100.50,91.00,100.50,190000
AGTL,28-May-2003,102.00,104.00,98.15,98.15,126500
AGTL,29-May-2003,97.50,104.85,97.00,104.00,133500
AGTL,30-May-2003,106.00,111.50,106.00,110.20,135000
AGTL,02-Jun-2003,113.45,113.45,108.50,110.00,82000
AGTL,03-Jun-2003,108.00,109.25,106.75,108.70,23500
AGTL,04-Jun-2003,110.00,110.50,108.05,109.00,52000
AGTL,05-Jun-2003,109.05,117.15,109.00,117.15,141000
AGTL,06-Jun-2003,125.90,125.90,121.00,125.90,42000
AGTL,09-Jun-2003,134.00,135.30,131.25,134.95,66000
AGTL,10-Jun-2003,131.00,134.90,128.25,129.00,47500
AGTL,11-Jun-2003,126.25,127.50,124.00,124.50,23000
AGTL,12-Jun-2003,125.00,127.25,124.75,126.00,9000
AGTL,13-Jun-2003,125.10,125.25,125.05,125.10,9500
AGTL,16-Jun-2003,128.00,131.50,128.00,129.00,22000
AGTL,17-Jun-2003,127.25,130.00,127.00,130.00,13000
AGTL,18-Jun-2003,129.90,129.95,127.50,127.60,12500
AGTL,19-Jun-2003,127.05,128.00,126.00,126.50,8000
AGTL,20-Jun-2003,126.50,127.00,126.50,127.00,2500
AGTL,23-Jun-2003,129.95,130.00,127.50,127.50,12500
AGTL,24-Jun-2003,129.50,131.00,128.80,129.00,37500
AGTL,25-Jun-2003,130.00,131.00,129.00,129.00,14500
AGTL,26-Jun-2003,130.00,131.00,129.00,131.00,2000
AGTL,30-Jun-2003,127.00,128.45,127.00,127.00,8000
AGTL,01-Jul-2003,126.50,126.50,125.00,125.00,5000
AGTL,02-Jul-2003,125.00,126.00,125.00,126.00,4500
AGTL,03-Jul-2003,128.00,128.00,127.00,128.00,9000
AGTL,04-Jul-2003,128.00,128.05,125.00,125.00,5500
AGTL,07-Jul-2003,123.25,123.90,121.25,123.90,7000
AGTL,08-Jul-2003,121.00,133.00,121.00,132.00,60000
AGTL,09-Jul-2003,134.00,139.50,128.25,137.00,130000
AGTL,10-Jul-2003,135.75,137.50,134.00,134.00,34000
AGTL,11-Jul-2003,136.70,136.75,131.75,131.75,8000
AGTL,14-Jul-2003,134.50,140.25,134.00,139.00,92000
AGTL,15-Jul-2003,140.00,140.00,132.05,133.00,95500
AGTL,16-Jul-2003,134.90,141.00,130.25,140.00,101500
AGTL,17-Jul-2003,142.00,144.00,135.00,138.50,177000
AGTL,18-Jul-2003,139.00,145.00,138.00,144.00,177000
AGTL,21-Jul-2003,144.00,144.00,139.00,142.90,34500
AGTL,22-Jul-2003,142.00,145.80,141.05,144.00,40000
AGTL,23-Jul-2003,144.00,153.50,144.00,150.90,187000
AGTL,24-Jul-2003,152.50,156.00,152.00,154.00,120000
AGTL,25-Jul-2003,155.75,155.75,153.00,154.30,35000
AGTL,28-Jul-2003,154.00,154.00,152.05,153.00,13000
AGTL,29-Jul-2003,153.00,154.50,152.00,153.00,39500
AGTL,30-Jul-2003,153.50,154.50,152.75,152.75,20000
AGTL,31-Jul-2003,154.00,155.00,148.00,151.10,18500
AGTL,01-Aug-2003,151.00,155.00,151.00,152.90,31000
AGTL,04-Aug-2003,153.50,157.00,147.00,157.00,40500
AGTL,05-Aug-2003,154.00,157.50,150.00,152.00,20000
AGTL,06-Aug-2003,154.00,163.00,154.00,162.00,118500
AGTL,07-Aug-2003,163.25,165.00,160.00,160.00,77000
AGTL,08-Aug-2003,161.00,172.00,161.00,169.00,95000
AGTL,11-Aug-2003,170.00,172.50,165.00,167.00,15500
AGTL,12-Aug-2003,165.00,170.00,165.00,170.00,17000
AGTL,13-Aug-2003,169.50,182.75,167.00,182.75,190500
AGTL,15-Aug-2003,189.80,189.80,174.00,181.00,106000
AGTL,18-Aug-2003,183.00,187.65,181.00,187.40,70000
AGTL,19-Aug-2003,193.95,201.00,189.00,201.00,114500
AGTL,20-Aug-2003,204.00,204.00,190.95,191.00,116000
AGTL,21-Aug-2003,192.95,192.95,184.95,191.95,56000
AGTL,22-Aug-2003,194.50,205.00,194.00,200.00,158500
AGTL,25-Aug-2003,201.00,203.00,190.00,192.00,113500
AGTL,26-Aug-2003,194.00,194.00,184.95,188.00,22000
AGTL,27-Aug-2003,190.00,200.00,190.00,198.00,107000
AGTL,28-Aug-2003,200.00,202.00,199.05,200.00,48500
AGTL,29-Aug-2003,200.00,200.00,195.00,195.00,9000
AGTL,01-Sep-2003,196.10,196.10,193.50,195.90,10500
AGTL,02-Sep-2003,199.00,199.00,194.00,197.00,4000
AGTL,03-Sep-2003,194.00,194.00,190.50,190.50,28500
AGTL,04-Sep-2003,191.50,194.00,187.00,189.05,14500
AGTL,05-Sep-2003,188.00,188.75,184.05,186.00,4500
AGTL,08-Sep-2003,186.00,188.00,179.00,179.00,56500
AGTL,09-Sep-2003,192.00,192.00,175.00,178.00,18000
AGTL,10-Sep-2003,178.50,182.00,175.00,178.00,25500
AGTL,11-Sep-2003,179.00,183.00,179.00,182.50,29000
AGTL,12-Sep-2003,182.50,184.00,182.00,183.75,9500
