Symbol,Date,Open,High,Low,Close,Volume
AHCL,02-Jan-2003,173.30,173.30,173.30,173.30,500
AHCL,28-Jan-2003,186.25,186.25,186.25,186.25,500
AHCL,29-Jan-2003,180.00,180.00,180.00,180.00,500
AHCL,31-Jan-2003,171.00,193.50,171.00,193.50,6000
AHCL,03-Feb-2003,184.00,208.00,184.00,208.00,3000
AHCL,10-Feb-2003,198.00,223.00,198.00,223.00,2000
AHCL,03-Mar-2003,201.30,201.30,201.30,201.30,500
AHCL,05-Mar-2003,191.25,216.25,191.25,216.25,2000
AHCL,31-Mar-2003,205.45,205.45,205.45,205.45,500
AHCL,01-Apr-2003,195.20,195.20,195.20,195.20,500
AHCL,11-Apr-2003,195.20,209.80,185.55,209.80,2000
AHCL,14-Apr-2003,215.00,225.50,215.00,225.50,1000
AHCL,15-Apr-2003,235.00,242.00,235.00,242.00,1000
AHCL,16-Apr-2003,250.10,260.10,250.10,260.10,1000
AHCL,17-Apr-2003,260.00,260.00,260.00,260.00,1500
AHCL,18-Apr-2003,279.50,279.50,279.50,279.50,500
AHCL,21-Apr-2003,265.60,275.00,265.60,274.00,4000
AHCL,22-Apr-2003,274.00,275.00,262.00,275.00,3500
AHCL,28-Apr-2003,261.25,261.25,261.25,261.25,1000
AHCL,02-May-2003,269.00,269.00,251.00,268.00,2000
AHCL,09-May-2003,274.75,274.75,274.75,274.75,1000
AHCL,13-May-2003,274.00,274.00,262.00,274.00,2000
AHCL,27-May-2003,271.00,271.00,268.50,271.00,3000
AHCL,28-May-2003,270.95,270.95,265.00,270.00,2500
AHCL,29-May-2003,271.00,274.50,271.00,274.50,2000
AHCL,30-May-2003,270.10,279.90,270.10,279.90,3500
AHCL,02-Jun-2003,270.00,300.00,266.00,300.00,1500
AHCL,04-Jun-2003,322.00,322.00,300.00,300.00,2000
AHCL,10-Jun-2003,300.00,300.00,300.00,300.00,500
AHCL,17-Jun-2003,290.00,319.00,290.00,319.00,1000
AHCL,19-Jun-2003,320.00,339.00,303.05,303.05,2000
AHCL,20-Jun-2003,300.00,300.00,300.00,300.00,2000
AHCL,30-Jun-2003,290.00,317.00,290.00,317.00,1000
AHCL,03-Jul-2003,320.00,320.00,320.00,320.00,2000
AHCL,04-Jul-2003,305.00,315.00,305.00,315.00,1000
AHCL,07-Jul-2003,324.00,324.00,324.00,324.00,500
AHCL,10-Jul-2003,325.00,335.00,325.00,335.00,12000
AHCL,11-Jul-2003,340.00,360.00,340.00,345.00,12500
AHCL,14-Jul-2003,350.00,369.00,340.00,355.00,13500
AHCL,15-Jul-2003,342.00,342.00,342.00,342.00,500
AHCL,18-Jul-2003,325.00,349.00,325.00,349.00,3000
AHCL,23-Jul-2003,348.00,348.00,348.00,348.00,1000
