Symbol,Date,Open,High,Low,Close,Volume
AHTM,01-Jan-2003,22.00,22.00,22.00,22.00,2000
AHTM,02-Jan-2003,22.00,22.00,22.00,22.00,500
AHTM,03-Jan-2003,22.00,23.15,22.00,23.15,4500
AHTM,06-Jan-2003,22.95,22.95,22.95,22.95,1000
AHTM,07-Jan-2003,21.85,22.70,21.85,21.85,2000
AHTM,08-Jan-2003,22.80,23.00,22.25,23.00,6000
AHTM,09-Jan-2003,23.00,23.00,22.95,23.00,10500
AHTM,10-Jan-2003,21.90,23.50,21.90,23.50,3000
AHTM,15-Jan-2003,22.00,23.00,22.00,23.00,4000
AHTM,17-Jan-2003,21.85,23.00,21.85,22.50,6500
AHTM,20-Jan-2003,22.00,22.50,22.00,22.50,6000
AHTM,21-Jan-2003,21.40,21.40,21.40,21.40,500
AHTM,23-Jan-2003,20.40,20.40,20.40,20.40,500
AHTM,27-Jan-2003,21.00,21.00,21.00,21.00,500
AHTM,28-Jan-2003,21.90,22.00,21.90,22.00,2500
AHTM,29-Jan-2003,21.50,21.50,21.50,21.50,500
AHTM,30-Jan-2003,21.25,21.25,21.25,21.25,1000
AHTM,31-Jan-2003,21.00,21.00,21.00,21.00,1000
AHTM,03-Feb-2003,20.00,21.00,20.00,21.00,1500
AHTM,04-Feb-2003,20.00,20.00,20.00,20.00,500
AHTM,07-Feb-2003,21.50,21.50,21.50,21.50,500
AHTM,17-Feb-2003,23.00,23.00,22.00,22.00,1500
AHTM,18-Feb-2003,23.00,23.65,22.50,23.65,5500
AHTM,19-Feb-2003,23.00,24.00,23.00,24.00,5500
AHTM,20-Feb-2003,24.00,24.00,24.00,24.00,1500
AHTM,21-Feb-2003,24.20,24.20,24.20,24.20,500
AHTM,24-Feb-2003,24.50,24.50,24.50,24.50,10000
AHTM,27-Feb-2003,23.30,24.80,23.30,24.80,3500
AHTM,03-Mar-2003,24.50,24.75,24.50,24.75,1500
AHTM,04-Mar-2003,24.50,24.50,24.50,24.50,500
AHTM,06-Mar-2003,23.60,23.60,23.60,23.60,1500
AHTM,07-Mar-2003,23.60,23.60,23.60,23.60,500
AHTM,10-Mar-2003,23.60,25.35,24.50,24.50,1500
AHTM,11-Mar-2003,25.00,25.00,25.00,25.00,1000
AHTM,18-Mar-2003,23.70,23.70,23.70,23.70,1000
AHTM,19-Mar-2003,24.10,24.10,24.10,24.10,500
AHTM,20-Mar-2003,25.50,25.50,25.50,25.50,500
AHTM,24-Mar-2003,24.25,25.00,24.25,25.00,1000
AHTM,26-Mar-2003,26.00,26.50,26.00,26.50,1500
AHTM,31-Mar-2003,26.00,26.00,26.00,26.00,500
AHTM,01-Apr-2003,25.00,26.00,25.00,26.00,1000
AHTM,07-Apr-2003,27.00,27.00,27.00,27.00,1000
AHTM,11-Apr-2003,27.00,27.00,27.00,27.00,500
AHTM,14-Apr-2003,26.00,26.00,26.00,27.00,500
AHTM,15-Apr-2003,27.00,29.00,27.00,29.00,6500
AHTM,16-Apr-2003,29.00,28.00,28.00,28.00,1000
AHTM,17-Apr-2003,28.90,29.25,28.90,29.25,2000
AHTM,21-Apr-2003,29.40,29.90,29.40,29.90,15500
AHTM,22-Apr-2003,29.00,29.00,29.00,29.00,2000
AHTM,24-Apr-2003,28.00,28.00,28.00,28.00,500
AHTM,30-Apr-2003,27.00,27.00,27.00,27.00,500
AHTM,02-May-2003,28.75,28.75,28.75,28.75,5000
AHTM,06-May-2003,28.50,28.50,28.50,28.50,500
AHTM,09-May-2003,28.50,28.50,28.50,28.50,500
AHTM,12-May-2003,29.00,29.00,29.00,29.00,5000
AHTM,16-May-2003,29.00,31.15,29.00,31.15,7500
AHTM,19-May-2003,32.00,32.00,31.75,31.75,6000
AHTM,20-May-2003,31.75,32.45,31.75,32.45,1500
AHTM,22-May-2003,32.00,34.00,32.00,34.00,7000
AHTM,23-May-2003,33.00,33.00,33.00,33.00,500
AHTM,26-May-2003,32.40,33.00,32.40,33.00,1000
AHTM,27-May-2003,32.20,33.00,32.20,33.00,1500
AHTM,28-May-2003,32.00,34.00,32.00,34.00,11000
AHTM,29-May-2003,35.00,35.00,32.50,32.50,6000
AHTM,30-May-2003,31.00,32.50,31.00,31.10,4500
