Symbol,Date,Open,High,Low,Close,Volume
AICL,01-Jan-2003,61.90,62.15,60.50,61.55,1360500
AICL,02-Jan-2003,60.50,62.25,60.10,61.40,1814000
AICL,03-Jan-2003,61.85,62.90,61.45,61.85,3108000
AICL,06-Jan-2003,62.15,64.05,62.00,63.05,5241500
AICL,07-Jan-2003,63.50,64.00,62.60,62.75,2985500
AICL,08-Jan-2003,63.00,63.90,62.70,62.80,3043000
AICL,09-Jan-2003,62.90,63.45,61.10,62.35,2271000
AICL,10-Jan-2003,63.20,63.90,62.55,63.00,2590000
AICL,13-Jan-2003,63.60,65.00,63.20,63.40,3499500
AICL,14-Jan-2003,63.25,64.70,62.80,63.70,3250000
AICL,15-Jan-2003,64.50,68.20,64.25,67.55,9839000
AICL,16-Jan-2003,67.00,68.95,65.25,66.50,5062000
AICL,17-Jan-2003,67.35,67.50,64.30,66.50,1677500
AICL,20-Jan-2003,65.05,67.30,64.75,65.50,1535500
AICL,21-Jan-2003,65.75,66.40,62.25,62.25,1428500
AICL,22-Jan-2003,60.00,61.00,59.15,59.15,1137500
AICL,23-Jan-2003,58.00,59.50,56.20,56.20,836500
AICL,24-Jan-2003,53.40,53.40,53.40,53.40,35000
AICL,27-Jan-2003,50.75,55.50,50.75,55.00,1970500
AICL,28-Jan-2003,56.00,56.25,52.25,52.25,1415000
AICL,29-Jan-2003,51.00,51.95,49.65,49.75,805000
AICL,30-Jan-2003,50.30,51.75,49.55,50.00,1175000
AICL,31-Jan-2003,50.85,52.20,47.50,47.50,1700500
AICL,03-Feb-2003,46.95,46.95,45.15,45.15,309000
AICL,04-Feb-2003,44.00,45.55,42.90,45.55,1704000
AICL,06-Feb-2003,45.25,46.00,43.70,44.70,1071000
AICL,07-Feb-2003,45.10,45.65,44.00,45.25,698500
AICL,10-Feb-2003,43.60,43.60,43.00,43.20,316000
AICL,17-Feb-2003,44.05,44.65,43.50,44.50,464000
AICL,18-Feb-2003,44.95,46.70,44.75,45.35,1689500
AICL,19-Feb-2003,45.90,46.00,44.05,44.10,453000
AICL,20-Feb-2003,43.90,44.65,43.30,44.40,364500
AICL,21-Feb-2003,44.65,45.15,44.15,44.55,454500
AICL,24-Feb-2003,44.00,44.30,43.20,43.50,241000
AICL,25-Feb-2003,43.10,43.10,41.35,41.45,262500
AICL,26-Feb-2003,41.75,42.20,39.40,39.40,276000
AICL,27-Feb-2003,39.50,39.70,37.50,37.90,463500
AICL,28-Feb-2003,38.95,39.50,38.25,39.05,428000
AICL,03-Mar-2003,39.50,41.90,39.30,41.75,1100500
AICL,04-Mar-2003,42.00,42.40,39.90,40.05,655000
AICL,05-Mar-2003,40.05,41.10,39.50,40.80,307000
AICL,06-Mar-2003,41.00,41.55,40.50,40.60,510000
AICL,07-Mar-2003,39.85,40.45,39.50,39.75,246000
AICL,10-Mar-2003,38.25,39.10,38.00,39.00,274500
AICL,11-Mar-2003,39.00,40.85,38.60,40.10,1151500
AICL,12-Mar-2003,40.10,41.70,40.00,40.95,1082500
AICL,17-Mar-2003,40.25,40.25,39.00,39.15,478500
AICL,18-Mar-2003,38.35,40.20,38.10,39.60,638500
AICL,19-Mar-2003,39.60,39.70,38.80,38.80,309500
AICL,20-Mar-2003,38.60,41.60,38.60,41.35,1798500
AICL,21-Mar-2003,42.10,42.60,42.00,42.45,215500
AICL,24-Mar-2003,42.45,45.45,41.30,43.25,2121500
AICL,25-Mar-2003,42.10,44.70,42.05,44.25,1386000
AICL,26-Mar-2003,44.75,46.75,44.75,45.80,2938500
AICL,27-Mar-2003,45.40,45.95,44.25,44.75,1292500
AICL,28-Mar-2003,45.00,45.75,44.70,45.00,689000
AICL,31-Mar-2003,44.50,45.75,44.00,45.40,1230000
AICL,01-Apr-2003,44.80,46.10,44.45,45.00,1532500
AICL,02-Apr-2003,45.45,46.40,45.45,45.60,1497500
AICL,03-Apr-2003,46.00,46.45,45.60,46.00,1228500
AICL,04-Apr-2003,46.50,48.75,46.00,48.00,4321500
AICL,07-Apr-2003,48.50,49.65,48.50,49.60,1734000
AICL,08-Apr-2003,49.95,50.70,49.65,50.20,1483000
AICL,09-Apr-2003,50.50,50.70,49.50,49.60,996500
AICL,10-Apr-2003,49.70,50.00,49.40,49.45,221500
AICL,11-Apr-2003,0.00,50.00,49.35,49.80,352000
AICL,14-Apr-2003,49.00,51.50,49.00,51.25,1130000
AICL,15-Apr-2003,51.40,52.25,51.30,52.00,2328500
AICL,16-Apr-2003,51.55,52.40,51.00,51.90,1503000
AICL,17-Apr-2003,52.40,52.40,51.30,51.40,899500
AICL,18-Apr-2003,51.60,51.90,49.45,49.55,1700000
AICL,21-Apr-2003,49.45,49.75,48.05,48.10,591000
AICL,22-Apr-2003,48.05,48.25,45.80,46.25,398000
AICL,23-Apr-2003,46.25,47.25,46.00,46.90,201000
AICL,24-Apr-2003,47.20,47.55,45.65,45.80,359000
AICL,25-Apr-2003,45.25,46.40,44.90,46.40,163000
AICL,28-Apr-2003,46.40,47.50,46.15,46.65,368500
AICL,29-Apr-2003,47.00,48.20,47.00,47.90,899500
AICL,30-Apr-2003,48.15,48.40,47.25,47.50,305500
AICL,02-May-2003,47.25,48.60,46.80,48.40,855500
AICL,05-May-2003,48.70,49.15,48.30,48.55,444500
AICL,06-May-2003,48.75,49.40,48.25,48.85,474000
AICL,07-May-2003,49.00,49.75,48.40,48.75,696500
AICL,08-May-2003,48.50,48.95,48.00,48.00,247000
AICL,09-May-2003,48.45,48.65,47.90,48.25,200000
AICL,12-May-2003,48.30,48.70,47.75,47.85,319000
AICL,13-May-2003,48.25,48.25,47.25,47.35,133500
AICL,14-May-2003,47.15,47.95,46.85,47.60,242000
AICL,16-May-2003,47.50,48.55,47.50,47.90,517500
AICL,19-May-2003,48.35,50.05,48.25,49.55,2784500
AICL,20-May-2003,49.70,50.60,49.25,49.30,2612000
AICL,21-May-2003,49.70,49.80,48.60,49.60,984500
AICL,22-May-2003,49.70,50.40,49.50,49.70,950000
AICL,23-May-2003,50.10,50.50,49.70,50.00,1304000
AICL,26-May-2003,50.40,50.95,50.05,50.20,1117000
AICL,27-May-2003,50.35,50.60,49.70,50.40,690500
AICL,28-May-2003,50.70,51.75,49.00,49.20,2764500
AICL,29-May-2003,49.50,50.20,48.75,49.25,1998000
AICL,30-May-2003,49.35,49.60,48.80,48.80,705000
AICL,02-Jun-2003,49.40,49.45,48.40,48.75,354500
AICL,03-Jun-2003,48.75,49.10,48.20,48.60,499000
AICL,04-Jun-2003,48.75,49.40,48.55,49.25,881000
AICL,05-Jun-2003,49.60,52.90,49.50,52.85,6287500
AICL,06-Jun-2003,55.95,56.25,53.20,54.60,13507000
AICL,09-Jun-2003,55.00,57.95,53.25,56.70,7818500
AICL,10-Jun-2003,57.15,58.50,56.70,56.85,8093500
AICL,11-Jun-2003,57.30,58.10,55.50,55.95,3886500
AICL,12-Jun-2003,56.45,57.60,55.75,56.75,3563500
AICL,13-Jun-2003,57.40,58.00,56.40,56.75,3666500
AICL,16-Jun-2003,57.00,57.20,55.85,55.90,1080500
AICL,17-Jun-2003,56.20,56.75,56.05,56.15,718000
AICL,18-Jun-2003,56.70,59.00,56.65,58.50,6990000
AICL,19-Jun-2003,58.70,59.35,57.15,57.50,5281500
AICL,20-Jun-2003,57.85,58.50,57.50,57.70,1550000
AICL,23-Jun-2003,58.05,58.60,57.90,58.20,1825500
AICL,24-Jun-2003,58.35,59.15,57.95,58.15,2963000
AICL,25-Jun-2003,58.30,58.60,57.80,58.25,1764500
AICL,26-Jun-2003,58.60,59.00,56.60,57.90,2461000
AICL,27-Jun-2003,58.25,60.90,57.20,60.30,5888500
AICL,30-Jun-2003,60.85,61.20,58.75,59.90,3476000
AICL,01-Jul-2003,60.10,64.35,59.80,64.35,9606500
AICL,02-Jul-2003,65.15,68.90,63.65,68.40,11542000
AICL,03-Jul-2003,68.70,71.30,68.60,69.00,10448500
AICL,04-Jul-2003,69.40,69.50,66.50,66.60,2330500
AICL,07-Jul-2003,67.25,67.25,64.10,65.65,1960000
AICL,08-Jul-2003,66.00,67.95,66.00,67.20,4066500
AICL,09-Jul-2003,67.40,68.35,67.25,67.30,2077000
AICL,10-Jul-2003,67.90,68.40,67.20,67.30,2368500
AICL,11-Jul-2003,68.00,68.60,67.50,67.75,3688000
AICL,14-Jul-2003,68.20,69.95,67.75,69.25,5604500
AICL,15-Jul-2003,69.40,69.40,65.80,65.80,1857000
AICL,16-Jul-2003,64.10,66.20,62.55,66.00,1742000
AICL,17-Jul-2003,66.50,67.55,66.30,66.55,1690500
AICL,18-Jul-2003,66.95,68.20,66.90,67.00,1741000
AICL,21-Jul-2003,67.40,69.40,66.25,68.00,3873000
AICL,22-Jul-2003,68.05,69.00,67.40,68.00,3066000
AICL,23-Jul-2003,68.00,68.85,67.45,68.35,2119000
AICL,24-Jul-2003,68.65,73.45,68.55,73.45,16313000
AICL,25-Jul-2003,72.05,74.20,71.10,71.50,6422500
AICL,28-Jul-2003,72.20,73.10,71.65,71.90,4194500
AICL,29-Jul-2003,71.80,72.00,70.10,70.25,1662000
AICL,30-Jul-2003,71.20,72.40,70.60,71.85,3924000
AICL,31-Jul-2003,72.30,73.70,72.10,72.90,6396000
AICL,01-Aug-2003,73.35,74.20,72.80,73.20,5168000
AICL,04-Aug-2003,73.95,77.00,73.10,74.95,6218500
AICL,05-Aug-2003,75.10,76.15,72.80,73.70,4291000
AICL,06-Aug-2003,74.30,76.00,74.00,75.35,4376500
AICL,07-Aug-2003,76.50,77.55,75.00,76.00,6592000
AICL,08-Aug-2003,76.50,79.50,76.30,77.50,7809000
AICL,11-Aug-2003,78.50,82.75,77.00,82.00,15195500
AICL,12-Aug-2003,82.25,83.75,80.10,82.20,5590500
AICL,13-Aug-2003,82.45,83.00,78.10,78.10,4293500
AICL,15-Aug-2003,77.10,78.20,74.20,74.20,1835500
AICL,18-Aug-2003,73.25,76.60,70.55,76.25,4730000
AICL,19-Aug-2003,77.10,78.25,75.40,77.25,3680500
AICL,20-Aug-2003,78.00,79.10,77.60,78.20,3025500
