Symbol,Date,Open,High,Low,Close,Volume
AKBL,01-Jan-2003,26.60,26.60,25.60,25.70,248000
AKBL,02-Jan-2003,25.95,26.80,25.90,26.00,125500
AKBL,03-Jan-2003,26.00,26.25,25.95,26.00,50500
AKBL,06-Jan-2003,26.00,26.25,25.90,26.20,122000
AKBL,07-Jan-2003,26.30,26.75,26.20,26.60,92000
AKBL,08-Jan-2003,26.25,26.45,25.95,26.45,245500
AKBL,09-Jan-2003,26.20,26.95,26.00,26.65,240500
AKBL,10-Jan-2003,27.20,28.25,26.95,28.00,1013500
AKBL,13-Jan-2003,28.10,28.50,27.80,28.20,428000
AKBL,14-Jan-2003,28.00,28.50,27.70,28.20,485500
AKBL,15-Jan-2003,28.30,28.90,28.20,28.50,459000
AKBL,16-Jan-2003,28.45,28.45,28.15,28.30,228000
AKBL,17-Jan-2003,28.45,28.50,27.50,27.80,291500
AKBL,20-Jan-2003,27.90,27.95,27.25,27.75,164500
AKBL,21-Jan-2003,27.75,27.80,26.50,27.00,355500
AKBL,22-Jan-2003,26.00,26.90,25.75,26.40,204000
AKBL,23-Jan-2003,26.25,26.45,25.25,26.45,124000
AKBL,24-Jan-2003,26.00,26.25,25.15,26.25,150500
AKBL,27-Jan-2003,26.50,26.95,25.75,26.55,75000
AKBL,28-Jan-2003,26.30,26.50,25.25,25.65,77000
AKBL,29-Jan-2003,25.25,25.80,24.40,25.80,128000
AKBL,30-Jan-2003,25.15,26.25,25.10,26.25,144500
AKBL,31-Jan-2003,25.75,26.00,25.25,26.00,58500
AKBL,03-Feb-2003,25.15,25.40,24.70,25.25,176500
AKBL,04-Feb-2003,25.00,25.35,24.75,25.30,53000
AKBL,06-Feb-2003,25.00,25.00,24.75,24.80,44500
AKBL,07-Feb-2003,25.25,25.25,24.55,24.75,60500
AKBL,10-Feb-2003,25.25,25.25,23.60,24.00,82500
AKBL,17-Feb-2003,24.20,24.80,24.20,24.80,38000
AKBL,18-Feb-2003,25.50,25.50,24.90,25.20,72500
AKBL,19-Feb-2003,25.15,26.00,25.15,25.85,103500
AKBL,20-Feb-2003,25.90,25.90,24.60,25.00,145500
AKBL,21-Feb-2003,24.70,25.00,24.65,25.00,56000
AKBL,24-Feb-2003,26.45,26.45,24.90,25.25,76500
AKBL,25-Feb-2003,24.80,24.85,24.60,24.85,23500
AKBL,26-Feb-2003,24.50,24.95,24.00,24.50,58000
AKBL,27-Feb-2003,24.00,24.00,23.30,23.50,41500
AKBL,28-Feb-2003,23.50,23.90,23.50,23.90,2500
AKBL,03-Mar-2003,23.90,24.90,23.10,24.90,102500
AKBL,04-Mar-2003,24.90,25.00,24.25,24.55,32500
AKBL,05-Mar-2003,24.55,24.80,24.40,24.55,86500
AKBL,06-Mar-2003,24.55,24.85,24.25,24.50,334000
AKBL,07-Mar-2003,24.50,24.55,24.05,24.25,23000
AKBL,10-Mar-2003,24.25,24.50,23.55,24.50,48500
AKBL,11-Mar-2003,24.50,24.80,24.35,24.55,50500
AKBL,12-Mar-2003,24.55,26.00,24.25,25.50,164500
AKBL,17-Mar-2003,25.50,25.70,24.60,25.50,53000
AKBL,18-Mar-2003,22.40,23.50,22.05,22.30,42000
AKBL,19-Mar-2003,22.30,22.10,21.65,21.90,69000
AKBL,20-Mar-2003,21.90,22.05,21.50,22.05,35500
AKBL,21-Mar-2003,22.05,22.25,22.25,22.25,2000
AKBL,24-Mar-2003,22.25,22.30,21.85,21.85,41000
AKBL,25-Mar-2003,21.85,21.75,21.30,21.60,6500
AKBL,26-Mar-2003,21.60,22.00,21.80,21.80,25000
AKBL,27-Mar-2003,21.80,22.00,21.75,21.85,46000
AKBL,28-Mar-2003,21.95,22.05,21.90,22.00,30000
AKBL,31-Mar-2003,22.00,21.90,21.65,21.75,30500
AKBL,01-Apr-2003,21.75,21.75,21.60,21.60,16000
AKBL,02-Apr-2003,21.60,22.00,21.70,21.95,21500
AKBL,03-Apr-2003,21.95,22.10,21.85,22.00,64000
AKBL,04-Apr-2003,22.00,22.75,22.05,22.40,115500
AKBL,07-Apr-2003,22.40,22.50,22.35,22.35,83500
AKBL,08-Apr-2003,22.35,22.85,22.40,22.60,208500
AKBL,09-Apr-2003,22.60,23.30,22.75,22.95,279500
AKBL,10-Apr-2003,22.95,23.15,22.80,22.85,60000
AKBL,11-Apr-2003,0.00,24.20,22.80,23.50,402500
AKBL,14-Apr-2003,23.55,24.25,23.55,23.65,228500
AKBL,15-Apr-2003,23.65,24.00,23.50,23.80,117500
AKBL,16-Apr-2003,23.80,23.75,23.55,23.75,94500
AKBL,17-Apr-2003,0.00,24.55,23.85,24.50,662500
AKBL,18-Apr-2003,24.75,25.35,24.75,25.10,603500
AKBL,21-Apr-2003,25.35,25.60,25.00,25.05,285500
AKBL,22-Apr-2003,25.10,25.10,23.90,24.00,187000
AKBL,23-Apr-2003,24.25,24.30,23.55,24.00,143500
AKBL,24-Apr-2003,25.10,25.80,24.80,25.05,1507000
AKBL,25-Apr-2003,24.90,25.15,24.65,25.00,160000
AKBL,28-Apr-2003,25.30,25.65,24.90,25.00,439500
AKBL,29-Apr-2003,25.20,25.35,24.90,25.15,192500
AKBL,30-Apr-2003,25.40,25.40,24.90,25.05,104500
AKBL,02-May-2003,24.90,25.35,24.85,25.30,171500
AKBL,05-May-2003,25.10,25.90,25.10,25.70,438500
AKBL,06-May-2003,25.60,25.80,25.55,25.70,122000
AKBL,07-May-2003,25.70,25.85,25.60,25.70,85000
AKBL,08-May-2003,25.75,26.20,25.70,25.95,513500
AKBL,09-May-2003,26.00,26.20,25.90,26.00,122500
AKBL,12-May-2003,26.25,26.40,25.80,25.80,83500
AKBL,13-May-2003,25.90,25.95,25.75,25.80,96500
AKBL,14-May-2003,25.70,26.10,25.70,25.95,37500
AKBL,16-May-2003,26.10,26.20,25.80,26.20,68000
AKBL,19-May-2003,26.25,26.25,25.80,26.00,102500
AKBL,20-May-2003,25.85,25.90,25.75,25.85,63000
AKBL,21-May-2003,25.80,25.80,25.60,25.75,60500
AKBL,22-May-2003,25.80,26.25,25.80,25.90,133000
AKBL,23-May-2003,26.00,26.60,26.00,26.55,497500
AKBL,26-May-2003,26.55,26.75,26.45,26.50,80500
AKBL,27-May-2003,26.50,27.05,26.30,27.00,354000
AKBL,28-May-2003,27.20,27.25,26.75,26.75,126000
AKBL,29-May-2003,26.75,27.25,26.65,26.85,350000
AKBL,30-May-2003,26.90,27.00,26.70,26.75,73500
AKBL,02-Jun-2003,27.00,27.00,26.40,26.65,24500
AKBL,03-Jun-2003,26.60,26.75,26.35,26.55,90000
AKBL,04-Jun-2003,26.90,27.00,26.50,26.75,58000
AKBL,05-Jun-2003,26.90,27.45,26.85,27.00,249500
AKBL,06-Jun-2003,26.90,27.50,26.90,27.00,665500
AKBL,09-Jun-2003,27.25,28.70,27.20,28.45,1492500
AKBL,10-Jun-2003,28.85,29.40,28.05,28.30,551500
AKBL,11-Jun-2003,28.45,28.50,27.75,28.25,299500
AKBL,12-Jun-2003,28.45,28.45,27.70,28.10,119500
AKBL,13-Jun-2003,28.00,30.00,27.50,27.60,1577500
AKBL,16-Jun-2003,28.00,28.15,27.25,27.25,379000
AKBL,17-Jun-2003,27.35,27.50,27.15,27.45,341000
AKBL,18-Jun-2003,27.50,28.50,27.50,27.80,320500
AKBL,19-Jun-2003,27.60,28.00,27.40,27.70,448000
AKBL,20-Jun-2003,27.75,28.50,27.75,28.15,406500
AKBL,23-Jun-2003,28.05,28.90,28.05,28.70,251500
AKBL,24-Jun-2003,29.10,29.10,28.50,28.50,440500
AKBL,25-Jun-2003,28.80,29.00,28.25,29.00,322500
AKBL,26-Jun-2003,29.05,29.25,28.45,28.45,159500
AKBL,27-Jun-2003,28.50,28.70,28.40,28.40,119000
AKBL,30-Jun-2003,28.55,28.55,28.25,28.40,169000
AKBL,01-Jul-2003,28.50,29.35,28.50,29.00,228500
AKBL,02-Jul-2003,29.00,29.75,29.00,29.50,208000
AKBL,03-Jul-2003,29.80,31.70,29.75,30.20,821500
AKBL,04-Jul-2003,30.95,31.00,29.75,29.80,171000
AKBL,07-Jul-2003,29.75,30.00,29.10,29.60,168000
AKBL,08-Jul-2003,29.95,30.50,29.70,30.00,222000
AKBL,09-Jul-2003,30.00,30.30,29.85,29.95,626500
AKBL,10-Jul-2003,29.85,30.45,29.85,30.05,224000
AKBL,11-Jul-2003,30.00,30.45,30.00,30.15,216000
AKBL,14-Jul-2003,30.45,32.40,30.25,31.80,558500
AKBL,15-Jul-2003,32.00,32.30,30.55,30.55,674000
AKBL,16-Jul-2003,30.50,32.80,29.80,32.80,1739000
AKBL,17-Jul-2003,34.45,35.25,33.25,35.25,1466500
AKBL,18-Jul-2003,36.80,37.85,35.75,37.85,3205000
AKBL,21-Jul-2003,38.45,39.90,37.95,38.80,1977500
AKBL,22-Jul-2003,39.50,39.50,37.40,37.40,450000
AKBL,23-Jul-2003,37.75,38.00,37.00,37.90,321500
AKBL,24-Jul-2003,37.90,38.95,37.40,37.95,540500
AKBL,25-Jul-2003,38.35,38.35,37.00,37.30,121500
AKBL,28-Jul-2003,37.45,39.00,37.30,38.30,909000
AKBL,29-Jul-2003,38.30,38.45,37.55,37.80,564000
AKBL,30-Jul-2003,37.15,39.30,37.15,39.05,1361000
AKBL,31-Jul-2003,39.45,39.75,39.00,39.35,399000
AKBL,01-Aug-2003,39.20,39.95,39.00,39.95,634500
AKBL,04-Aug-2003,40.25,40.25,39.25,39.70,470500
AKBL,05-Aug-2003,37.90,39.65,37.90,38.35,131000
AKBL,06-Aug-2003,38.60,39.95,38.60,39.65,773000
AKBL,07-Aug-2003,40.00,40.35,39.35,39.80,237000
AKBL,08-Aug-2003,40.00,41.50,39.15,41.25,823500
AKBL,11-Aug-2003,41.80,44.30,41.65,44.25,2217000
AKBL,12-Aug-2003,44.50,47.25,44.50,45.70,1849000
AKBL,13-Aug-2003,46.15,47.90,43.45,43.45,2585500
AKBL,15-Aug-2003,42.80,44.50,41.35,41.40,827000
AKBL,18-Aug-2003,42.90,42.90,40.80,42.75,625500
AKBL,19-Aug-2003,44.00,44.00,41.00,42.05,524500
AKBL,20-Aug-2003,42.05,44.10,42.05,43.50,2023500
AKBL,21-Aug-2003,43.60,44.00,42.10,42.10,831500
AKBL,22-Aug-2003,43.00,43.00,42.00,42.50,700000
AKBL,25-Aug-2003,43.10,43.50,42.00,42.65,447500
AKBL,26-Aug-2003,42.90,43.00,41.15,42.00,99500
AKBL,27-Aug-2003,42.60,42.75,42.00,42.05,229000
AKBL,28-Aug-2003,42.45,44.90,42.45,44.45,1230000
AKBL,29-Aug-2003,44.40,47.75,44.00,47.75,2235000
AKBL,01-Sep-2003,47.80,48.00,45.80,48.00,1569000
AKBL,02-Sep-2003,48.35,51.60,47.75,49.50,3347500
AKBL,03-Sep-2003,49.50,50.60,48.50,48.60,963000
AKBL,04-Sep-2003,48.60,49.00,46.20,46.25,413000
AKBL,05-Sep-2003,47.80,47.80,45.65,46.75,269000
AKBL,08-Sep-2003,47.40,47.50,46.75,46.90,210000
AKBL,09-Sep-2003,47.40,48.70,47.00,48.00,313000
AKBL,10-Sep-2003,47.80,50.00,47.80,49.50,854500
AKBL,11-Sep-2003,49.60,51.00,49.10,49.60,899500
AKBL,12-Sep-2003,49.50,50.50,49.00,50.00,632500
AKBL,15-Sep-2003,50.00,53.75,49.95,53.00,5776500
AKBL,16-Sep-2003,53.90,53.90,50.35,50.35,1475500
AKBL,17-Sep-2003,51.00,52.95,48.00,50.95,1240500
AKBL,18-Sep-2003,50.85,52.55,50.00,52.00,1063500
AKBL,19-Sep-2003,52.10,52.10,50.00,50.80,844500
AKBL,22-Sep-2003,49.30,49.70,48.30,48.30,309500
AKBL,23-Sep-2003,47.00,47.50,45.90,47.50,617000
AKBL,24-Sep-2003,45.50,46.45,45.15,45.60,391000
AKBL,25-Sep-2003,45.80,47.50,45.80,47.10,332500
AKBL,26-Sep-2003,47.00,48.45,45.10,45.25,956500
AKBL,29-Sep-2003,45.25,45.25,43.00,43.00,593000
AKBL,30-Sep-2003,42.75,43.90,41.25,43.90,766000
AKBL,01-Oct-2003,43.40,44.50,43.00,43.00,415000
AKBL,02-Oct-2003,43.05,45.90,42.80,44.85,479000
AKBL,03-Oct-2003,45.00,46.00,44.40,44.95,176500
AKBL,06-Oct-2003,45.20,46.40,44.40,46.40,653500
AKBL,07-Oct-2003,46.00,46.40,45.50,45.50,101000
AKBL,08-Oct-2003,46.10,48.00,45.85,46.00,107000
AKBL,09-Oct-2003,46.05,46.55,44.10,46.50,188000
AKBL,10-Oct-2003,45.80,47.00,44.80,47.00,132500
AKBL,13-Oct-2003,45.35,46.05,45.35,46.00,51000
AKBL,14-Oct-2003,45.35,45.60,43.70,43.70,239000
AKBL,15-Oct-2003,43.50,45.00,42.55,45.00,97000
