Symbol,Date,Open,High,Low,Close,Volume
AKDCL,03-Jul-2003,43.45,43.45,43.45,43.45,500
AKDCL,04-Jul-2003,46.70,46.70,46.70,43.45,500
AKDCL,14-Dec-2004,103.20,103.20,92.00,103.00,12100
AKDCL,15-Dec-2004,110.70,110.70,110.00,110.70,1200
AKDCL,17-Dec-2004,116.00,127.90,116.00,127.90,1000
AKDCL,20-Dec-2004,137.45,137.45,137.45,137.45,400
AKDCL,23-Dec-2004,170.70,170.70,170.70,170.70,500
AKDCL,27-Dec-2004,197.25,197.25,197.25,197.25,100
AKDCL,31-Dec-2004,263.30,263.30,263.30,263.30,100
AKDCL,04-Jan-2005,304.20,304.20,304.20,304.20,700
AKDCL,05-Jan-2005,327.00,327.00,327.00,327.00,100
AKDCL,07-Jan-2005,377.85,377.85,377.85,377.85,100
AKDCL,10-Jan-2005,406.15,406.15,406.15,406.15,100
AKDCL,12-Jan-2005,469.30,469.30,416.00,469.30,2000
AKDCL,13-Jan-2005,500.00,504.45,490.00,504.45,700
AKDCL,19-Jan-2005,673.55,673.55,673.55,673.55,100
AKDCL,24-Jan-2005,724.05,724.05,724.05,724.05,300
AKDCL,25-Jan-2005,778.35,778.35,778.35,778.35,200
AKDCL,26-Jan-2005,800.00,802.00,745.00,745.00,900
AKDCL,27-Jan-2005,708.00,708.00,708.00,708.00,100
AKDCL,28-Jan-2005,672.70,700.00,672.60,672.60,300
AKDCL,03-Feb-2005,547.90,547.90,547.90,547.90,200
AKDCL,04-Feb-2005,521.00,521.00,520.55,520.55,500
AKDCL,07-Feb-2005,559.00,559.55,494.55,558.00,1000
AKDCL,08-Feb-2005,592.00,594.45,530.30,588.00,600
AKDCL,11-Feb-2005,575.00,575.00,575.00,575.00,100
AKDCL,14-Feb-2005,570.00,570.00,570.00,570.00,200
AKDCL,16-Feb-2005,493.05,504.35,493.05,504.35,600
AKDCL,22-Feb-2005,479.15,479.15,479.15,479.15,100
AKDCL,23-Feb-2005,455.20,455.20,455.20,455.20,100
AKDCL,24-Feb-2005,434.00,434.00,434.00,434.00,200
AKDCL,28-Feb-2005,457.00,462.00,457.00,462.00,400
AKDCL,01-Mar-2005,440.00,495.00,440.00,495.00,300
AKDCL,02-Mar-2005,470.25,470.25,470.25,470.25,100
AKDCL,03-Mar-2005,448.00,448.00,446.75,446.75,200
AKDCL,04-Mar-2005,425.00,425.00,425.00,425.00,200
AKDCL,07-Mar-2005,410.05,410.05,404.00,404.00,300
AKDCL,08-Mar-2005,403.00,403.00,383.80,383.80,500
AKDCL,09-Mar-2005,375.00,375.00,365.00,365.00,400
AKDCL,10-Mar-2005,348.00,348.00,348.00,348.00,200
AKDCL,11-Mar-2005,331.00,331.00,331.00,331.00,800
AKDCL,14-Mar-2005,354.00,355.80,354.00,355.80,300
AKDCL,15-Mar-2005,382.00,382.45,382.00,382.45,300
AKDCL,16-Mar-2005,392.00,405.00,390.00,405.00,400
AKDCL,30-Mar-2005,365.75,365.75,365.75,365.75,600
AKDCL,31-Mar-2005,350.05,350.05,347.50,347.50,300
AKDCL,05-Apr-2005,373.00,373.00,330.15,330.15,200
AKDCL,06-Apr-2005,315.00,315.00,314.00,314.00,200
AKDCL,07-Apr-2005,335.50,337.55,300.00,300.00,300
AKDCL,14-Apr-2005,296.00,296.00,296.00,296.00,100
AKDCL,15-Apr-2005,302.00,318.20,302.00,318.20,300
AKDCL,19-Apr-2005,315.00,315.00,315.00,315.00,100
AKDCL,20-Apr-2005,299.30,299.30,299.30,299.30,100
AKDCL,25-Apr-2005,321.70,321.70,321.70,321.70,100
AKDCL,26-Apr-2005,322.05,325.00,322.05,325.00,300
AKDCL,29-Apr-2005,320.00,320.00,320.00,320.00,200
AKDCL,05-May-2005,324.00,324.00,324.00,324.00,100
AKDCL,09-May-2005,328.00,328.00,328.00,328.00,100
AKDCL,16-May-2005,342.00,342.00,342.00,342.00,200
AKDCL,17-May-2005,350.00,350.00,350.00,350.00,100
AKDCL,18-May-2005,364.00,364.00,364.00,364.00,500
AKDCL,19-May-2005,350.00,350.00,350.00,350.00,100
AKDCL,20-May-2005,352.00,352.00,350.00,350.00,300
AKDCL,24-May-2005,350.00,350.00,350.00,350.00,100
AKDCL,01-Jun-2005,350.00,355.00,350.00,355.00,400
AKDCL,03-Jun-2005,372.75,372.75,360.00,360.00,200
AKDCL,27-Jun-2005,335.05,335.05,335.05,335.05,100
AKDCL,29-Jun-2005,345.00,350.00,345.00,350.00,700
AKDCL,11-Jul-2005,367.50,367.50,367.50,367.50,100
AKDCL,13-Jul-2005,352.50,352.50,352.50,352.50,100
AKDCL,14-Jul-2005,355.00,355.00,355.00,355.00,100
AKDCL,29-Jul-2005,360.00,360.00,360.00,360.00,500
AKDCL,01-Aug-2005,377.00,377.00,377.00,377.00,100
AKDCL,02-Aug-2005,358.15,358.15,358.15,358.15,200
AKDCL,04-Aug-2005,352.00,352.00,350.00,350.00,200
AKDCL,08-Aug-2005,365.00,365.00,365.00,365.00,100
AKDCL,09-Aug-2005,347.00,347.00,347.00,347.00,200
AKDCL,22-Aug-2005,350.00,350.00,350.00,350.00,100
AKDCL,26-Aug-2005,354.00,354.00,354.00,354.00,200
AKDCL,06-Sep-2005,330.00,330.00,330.00,330.00,200
AKDCL,14-Sep-2005,313.50,313.50,313.50,313.50,100
AKDCL,16-Sep-2005,325.00,325.00,325.00,325.00,100
AKDCL,20-Sep-2005,340.00,340.00,340.00,340.00,100
AKDCL,21-Sep-2005,310.05,330.00,310.05,330.00,300
AKDCL,22-Sep-2005,315.00,315.00,314.00,314.00,300
AKDCL,26-Sep-2005,325.00,329.70,325.00,329.70,500
AKDCL,27-Sep-2005,346.00,346.15,346.00,346.15,200
AKDCL,28-Sep-2005,350.00,350.00,349.00,349.00,200
AKDCL,29-Sep-2005,350.00,350.00,350.00,350.00,100
AKDCL,30-Sep-2005,333.00,333.00,333.00,333.00,200
AKDCL,04-Oct-2005,311.50,311.60,311.50,311.50,300
AKDCL,07-Oct-2005,325.40,325.40,325.40,325.40,600
AKDCL,29-Nov-2005,303.00,303.00,303.00,303.00,100
AKDCL,05-Dec-2005,270.75,270.75,270.75,270.75,200
AKDCL,06-Dec-2005,257.25,257.25,257.25,257.25,100
AKDCL,07-Dec-2005,244.45,244.45,244.45,244.45,100
AKDCL,08-Dec-2005,244.45,245.00,244.45,245.00,200
AKDCL,12-Dec-2005,255.00,255.00,255.00,255.00,100
AKDCL,15-Dec-2005,260.00,260.00,260.00,260.00,200
AKDCL,19-Dec-2005,271.00,271.00,271.00,271.00,100
AKDCL,20-Dec-2005,271.00,271.00,271.00,271.00,200
AKDCL,23-Dec-2005,255.00,255.00,255.00,255.00,100
AKDCL,05-Jan-2006,267.45,267.45,267.45,267.45,100
AKDCL,17-Jan-2006,280.00,280.00,280.00,280.00,200
AKDCL,23-Jan-2006,293.00,293.00,293.00,293.00,200
AKDCL,15-Feb-2006,275.50,275.50,275.50,275.50,100
AKDCL,15-Mar-2006,268.85,268.90,268.85,268.90,100
AKDCL,28-Mar-2006,270.95,270.95,270.95,270.95,100
AKDCL,03-Apr-2006,257.90,257.90,257.90,257.90,100
AKDCL,06-Apr-2006,270.00,270.75,270.00,270.75,600
AKDCL,07-Apr-2006,270.75,279.50,270.75,279.00,1100
AKDCL,14-Apr-2006,257.45,257.45,257.45,257.45,500
AKDCL,17-Apr-2006,245.10,245.10,244.60,244.60,400
AKDCL,19-Apr-2006,256.80,256.80,256.80,256.80,100
AKDCL,26-Apr-2006,243.20,243.20,243.20,243.20,100
AKDCL,09-May-2006,249.00,249.00,249.00,249.00,200
AKDCL,31-May-2006,233.50,233.50,233.50,233.50,500
AKDCL,02-Jun-2006,244.00,244.00,222.00,222.00,600
AKDCL,05-Jun-2006,247.90,247.90,247.00,247.00,200
AKDCL,20-Jul-2006,204.25,204.25,204.25,204.25,100
AKDCL,28-Jul-2006,190.00,190.00,190.00,190.00,100
AKDCL,31-Jul-2006,180.50,180.50,180.50,180.50,400
AKDCL,01-Aug-2006,189.00,189.00,189.00,189.00,100
AKDCL,03-Aug-2006,198.45,198.45,198.45,198.45,200
AKDCL,04-Aug-2006,208.00,208.00,208.00,208.00,100
AKDCL,08-Aug-2006,217.00,217.00,217.00,217.00,200
AKDCL,09-Aug-2006,208.00,208.00,208.00,208.00,100
AKDCL,18-Aug-2006,218.00,218.00,218.00,218.00,100
AKDCL,21-Aug-2006,226.50,226.50,226.50,226.50,100
AKDCL,23-Aug-2006,224.00,224.00,224.00,224.00,100
AKDCL,30-Aug-2006,219.00,219.00,219.00,219.00,100
AKDCL,15-Sep-2006,190.00,190.00,190.00,190.00,100
AKDCL,21-Sep-2006,180.50,180.50,180.50,180.50,100
AKDCL,22-Sep-2006,171.50,171.50,171.50,171.50,100
AKDCL,25-Sep-2006,163.05,163.05,163.05,163.05,200
