Symbol,Date,Open,High,Low,Close,Volume
AKDITF,11-Oct-2005,14.00,14.00,11.00,11.40,317500
AKDITF,12-Oct-2005,11.10,11.25,11.00,11.00,184500
AKDITF,13-Oct-2005,10.40,11.15,10.40,10.50,275000
AKDITF,14-Oct-2005,10.50,11.00,10.45,10.85,126500
AKDITF,17-Oct-2005,11.20,11.20,10.65,10.70,180000
AKDITF,18-Oct-2005,10.95,10.95,10.60,10.75,106000
AKDITF,19-Oct-2005,10.70,10.90,10.50,10.75,272500
AKDITF,20-Oct-2005,10.70,11.00,10.60,10.85,275000
AKDITF,21-Oct-2005,10.60,11.00,10.50,10.50,165000
AKDITF,24-Oct-2005,10.75,10.90,10.65,10.90,46000
AKDITF,25-Oct-2005,10.75,10.75,10.60,10.75,3000
AKDITF,26-Oct-2005,10.70,10.70,10.25,10.60,116500
AKDITF,27-Oct-2005,10.80,10.90,10.45,10.45,26500
AKDITF,31-Oct-2005,10.40,10.45,10.30,10.45,44000
AKDITF,02-Nov-2005,10.20,10.45,10.20,10.25,192500
AKDITF,07-Nov-2005,10.25,10.45,10.10,10.25,367500
AKDITF,28-Nov-2005,9.55,10.10,9.55,9.90,35500
AKDITF,29-Nov-2005,10.00,10.15,9.85,10.00,51500
AKDITF,30-Nov-2005,10.00,10.05,9.80,9.80,132500
AKDITF,01-Dec-2005,9.80,9.95,9.50,9.55,30000
AKDITF,02-Dec-2005,9.50,10.05,9.35,9.45,434500
AKDITF,05-Dec-2005,9.50,9.70,9.35,9.65,47500
AKDITF,06-Dec-2005,9.75,9.80,9.55,9.75,64500
AKDITF,07-Dec-2005,9.75,9.80,9.50,9.60,180000
AKDITF,08-Dec-2005,9.55,9.75,9.45,9.70,100000
AKDITF,09-Dec-2005,9.50,9.85,9.50,9.70,166500
AKDITF,12-Dec-2005,9.80,9.80,9.50,9.50,104000
AKDITF,13-Dec-2005,9.55,9.60,9.45,9.50,110500
AKDITF,14-Dec-2005,9.75,9.75,9.05,9.25,42000
AKDITF,15-Dec-2005,9.40,9.55,9.35,9.45,125500
AKDITF,16-Dec-2005,9.65,9.65,9.35,9.40,56500
AKDITF,19-Dec-2005,9.40,9.40,9.25,9.35,30500
AKDITF,20-Dec-2005,9.30,9.35,9.00,9.00,221500
AKDITF,21-Dec-2005,9.35,9.35,9.00,9.00,364000
AKDITF,22-Dec-2005,9.10,9.30,9.00,9.00,100000
AKDITF,23-Dec-2005,9.15,9.30,8.95,8.95,147000
AKDITF,26-Dec-2005,9.05,9.05,9.00,9.00,45500
AKDITF,27-Dec-2005,9.05,9.10,8.95,8.95,76500
AKDITF,28-Dec-2005,9.10,9.10,8.95,9.10,60500
AKDITF,29-Dec-2005,9.05,9.10,9.00,9.00,17500
AKDITF,30-Dec-2005,9.15,9.15,8.95,9.15,29000
AKDITF,02-Jan-2006,9.00,9.25,9.00,9.20,123000
AKDITF,03-Jan-2006,9.15,9.30,9.15,9.30,57000
AKDITF,04-Jan-2006,9.30,10.10,9.25,9.50,681000
AKDITF,05-Jan-2006,9.50,9.85,9.50,9.70,493000
AKDITF,06-Jan-2006,9.70,9.75,9.60,9.60,190500
AKDITF,09-Jan-2006,9.70,9.75,9.50,9.65,153500
AKDITF,16-Jan-2006,9.70,9.80,9.55,9.55,339000
AKDITF,17-Jan-2006,9.70,9.75,9.55,9.55,253500
AKDITF,18-Jan-2006,9.55,9.70,9.40,9.40,132500
AKDITF,19-Jan-2006,9.50,9.70,9.40,9.70,141000
AKDITF,20-Jan-2006,9.40,9.65,9.40,9.60,97000
AKDITF,23-Jan-2006,9.60,9.80,9.50,9.70,369000
AKDITF,24-Jan-2006,9.80,9.80,9.45,9.45,138000
AKDITF,25-Jan-2006,9.60,9.80,9.40,9.55,137500
AKDITF,26-Jan-2006,9.55,9.60,9.50,9.60,9500
AKDITF,27-Jan-2006,9.60,9.95,9.50,9.75,204500
AKDITF,30-Jan-2006,9.85,9.90,9.60,9.70,68000
AKDITF,31-Jan-2006,9.70,10.50,9.70,9.90,2143000
AKDITF,01-Feb-2006,10.05,10.30,9.90,10.00,424500
AKDITF,02-Feb-2006,10.10,10.10,9.75,9.90,271500
AKDITF,03-Feb-2006,9.80,9.95,9.70,9.90,85500
AKDITF,06-Feb-2006,10.00,10.10,10.00,10.10,447000
AKDITF,07-Feb-2006,10.00,10.10,10.00,10.00,477500
AKDITF,10-Feb-2006,10.15,10.20,9.85,9.95,267500
AKDITF,13-Feb-2006,9.95,10.10,9.85,10.05,220000
AKDITF,14-Feb-2006,9.85,10.50,9.85,10.10,1293000
AKDITF,15-Feb-2006,10.05,10.15,10.00,10.10,435000
AKDITF,16-Feb-2006,10.10,10.25,9.90,10.10,517000
AKDITF,17-Feb-2006,10.10,10.10,9.90,9.90,896000
AKDITF,20-Feb-2006,10.10,10.10,9.85,9.95,809000
AKDITF,21-Feb-2006,10.10,10.50,9.90,10.30,1450500
AKDITF,22-Feb-2006,10.50,10.95,10.35,10.40,1398000
AKDITF,23-Feb-2006,10.45,10.85,10.35,10.45,1127500
AKDITF,24-Feb-2006,10.50,10.50,10.10,10.10,240000
AKDITF,27-Feb-2006,10.20,10.40,9.50,9.65,466000
AKDITF,28-Feb-2006,9.90,9.90,9.60,9.75,400500
AKDITF,01-Mar-2006,9.75,9.90,9.45,9.70,275500
AKDITF,02-Mar-2006,9.65,9.75,9.65,9.70,115000
AKDITF,03-Mar-2006,9.75,9.90,9.70,9.75,123000
AKDITF,06-Mar-2006,9.75,9.75,9.30,9.35,152000
AKDITF,07-Mar-2006,9.40,9.55,9.25,9.55,191000
AKDITF,08-Mar-2006,9.75,9.75,8.75,8.80,154000
AKDITF,09-Mar-2006,8.60,9.50,8.50,9.35,69500
AKDITF,10-Mar-2006,9.00,9.75,9.00,9.00,89000
AKDITF,13-Mar-2006,9.20,9.45,8.70,8.70,80500
AKDITF,14-Mar-2006,8.70,9.05,8.60,9.05,68500
AKDITF,15-Mar-2006,9.15,9.15,8.75,8.95,62500
AKDITF,16-Mar-2006,9.10,9.15,8.80,9.10,74500
AKDITF,17-Mar-2006,9.20,10.00,9.10,9.90,104000
AKDITF,20-Mar-2006,9.70,10.00,9.40,9.60,271500
AKDITF,21-Mar-2006,9.75,9.85,9.40,9.45,108000
AKDITF,22-Mar-2006,9.50,9.75,9.30,9.75,139500
AKDITF,24-Mar-2006,9.50,9.75,9.35,9.70,73000
AKDITF,27-Mar-2006,9.50,9.65,9.35,9.50,52000
AKDITF,28-Mar-2006,9.50,9.55,9.30,9.40,74500
AKDITF,29-Mar-2006,9.50,9.50,9.35,9.35,23500
AKDITF,30-Mar-2006,9.30,9.45,9.30,9.40,12000
AKDITF,31-Mar-2006,9.50,10.00,9.45,9.50,42500
AKDITF,03-Apr-2006,9.60,9.70,9.50,9.55,40500
AKDITF,04-Apr-2006,9.60,10.50,9.40,10.10,1300500
AKDITF,05-Apr-2006,10.10,10.15,10.00,10.00,235500
AKDITF,06-Apr-2006,10.05,10.10,10.00,10.10,89500
AKDITF,07-Apr-2006,10.15,10.20,10.05,10.20,217000
