Symbol,Date,Open,High,Low,Close,Volume
AKGL,29-Dec-2003,4.90,4.90,4.90,4.90,1000
AKGL,05-Jan-2004,4.25,4.25,4.00,4.00,3000
AKGL,06-Jan-2004,4.00,4.00,3.90,3.90,4000
AKGL,08-Jan-2004,4.50,4.50,4.50,4.50,1000
AKGL,09-Jan-2004,4.25,4.50,4.25,4.50,21000
AKGL,12-Jan-2004,5.00,5.00,4.70,4.70,4000
AKGL,13-Jan-2004,5.00,5.00,4.80,4.85,7500
AKGL,14-Jan-2004,5.00,5.25,5.00,5.25,13500
AKGL,15-Jan-2004,5.40,5.45,5.40,5.45,2500
AKGL,16-Jan-2004,5.60,6.20,5.60,6.00,53000
AKGL,19-Jan-2004,5.60,6.20,5.60,6.00,53000
AKGL,20-Jan-2004,5.15,5.15,5.15,5.15,500
AKGL,21-Jan-2004,5.50,5.80,5.50,5.80,1500
AKGL,22-Jan-2004,5.95,5.95,5.95,5.95,500
AKGL,23-Jan-2004,6.30,6.30,6.30,6.30,1000
AKGL,30-Jan-2004,4.90,4.90,4.90,5.50,500
AKGL,09-Feb-2004,5.50,6.10,5.50,6.10,15000
AKGL,10-Feb-2004,6.00,6.00,5.75,5.75,1500
AKGL,12-Feb-2004,4.80,4.80,4.80,4.80,5000
AKGL,16-Feb-2004,4.25,4.25,4.25,4.25,500
AKGL,17-Feb-2004,4.50,4.95,4.50,4.95,3000
AKGL,20-Feb-2004,5.10,5.10,5.00,5.00,5500
AKGL,23-Feb-2004,4.85,4.85,4.80,4.80,2000
AKGL,24-Feb-2004,4.90,5.10,4.90,5.10,8500
AKGL,25-Feb-2004,5.10,5.10,5.10,5.10,3000
AKGL,26-Feb-2004,5.25,5.50,5.25,5.50,9000
AKGL,04-Mar-2004,5.10,5.20,5.10,5.20,6500
AKGL,05-Mar-2004,5.50,5.50,5.50,5.50,4000
AKGL,08-Mar-2004,5.50,5.50,5.25,5.25,6000
AKGL,11-Mar-2004,5.70,6.25,5.70,6.00,46000
AKGL,12-Mar-2004,6.25,6.65,6.00,6.50,85000
AKGL,15-Mar-2004,6.70,6.70,6.20,6.60,28500
AKGL,16-Mar-2004,6.65,7.60,6.65,7.25,262500
AKGL,17-Mar-2004,7.75,8.35,7.20,7.75,322000
AKGL,18-Mar-2004,7.80,7.95,7.10,7.10,91000
AKGL,19-Mar-2004,7.40,7.40,7.35,7.35,22500
AKGL,22-Mar-2004,8.00,8.00,7.40,7.40,6000
AKGL,24-Mar-2004,7.05,7.05,7.05,7.40,1500
AKGL,25-Mar-2004,7.10,7.20,7.10,7.20,5500
AKGL,26-Mar-2004,7.00,7.20,7.00,7.20,6500
AKGL,29-Mar-2004,7.00,7.05,7.00,7.00,14500
AKGL,30-Mar-2004,7.50,7.50,7.00,7.00,4500
AKGL,31-Mar-2004,7.00,7.00,7.00,7.00,1500
AKGL,01-Apr-2004,6.95,6.95,6.90,6.90,6000
AKGL,02-Apr-2004,6.75,7.00,6.75,7.00,15500
AKGL,05-Apr-2004,7.00,7.00,6.70,6.70,4000
AKGL,06-Apr-2004,6.95,7.00,6.65,6.65,6000
AKGL,07-Apr-2004,6.75,6.75,6.75,6.75,1000
AKGL,08-Apr-2004,6.65,6.65,6.60,6.60,3000
AKGL,09-Apr-2004,6.90,6.90,6.30,6.30,2500
AKGL,13-Apr-2004,5.50,5.85,5.50,5.85,2000
AKGL,19-Apr-2004,6.00,6.00,5.90,5.90,12500
AKGL,20-Apr-2004,6.25,6.25,6.05,6.10,4000
AKGL,21-Apr-2004,6.25,6.25,6.15,6.15,7000
AKGL,22-Apr-2004,5.50,6.40,5.25,6.40,2500
AKGL,23-Apr-2004,6.35,6.35,6.35,6.40,500
AKGL,26-Apr-2004,6.95,7.45,6.95,6.40,5500
AKGL,27-Apr-2004,6.30,6.30,6.10,6.10,1000
AKGL,30-Apr-2004,5.30,5.30,5.30,5.30,5000
AKGL,10-May-2004,6.15,6.15,5.30,5.30,5500
AKGL,11-May-2004,5.30,5.55,5.30,5.55,4000
AKGL,12-May-2004,5.35,5.35,5.25,5.25,19000
AKGL,13-May-2004,5.50,5.95,5.50,5.50,5500
AKGL,18-May-2004,4.80,4.80,4.80,5.50,500
AKGL,19-May-2004,5.30,5.95,5.25,5.25,9000
AKGL,20-May-2004,5.50,5.50,5.50,5.50,1000
AKGL,21-May-2004,5.60,6.75,5.60,6.15,14000
AKGL,24-May-2004,6.00,6.15,6.00,6.10,5500
AKGL,25-May-2004,6.10,6.90,6.05,6.55,32000
AKGL,26-May-2004,6.70,6.80,6.55,6.60,11000
AKGL,27-May-2004,6.70,6.70,6.70,6.70,500
AKGL,28-May-2004,6.70,6.70,6.50,6.50,12000
AKGL,31-May-2004,6.90,7.85,6.90,7.20,85000
AKGL,01-Jun-2004,7.10,7.80,7.10,7.50,46000
AKGL,02-Jun-2004,7.20,7.50,7.20,7.30,15500
AKGL,03-Jun-2004,7.75,7.75,6.80,6.80,28000
AKGL,04-Jun-2004,7.25,7.25,7.25,7.25,5000
AKGL,07-Jun-2004,7.25,7.25,7.25,7.25,5000
AKGL,08-Jun-2004,7.00,7.45,7.00,7.45,35500
AKGL,09-Jun-2004,7.75,8.10,7.45,7.70,146000
AKGL,10-Jun-2004,7.70,8.60,7.70,7.80,123000
AKGL,11-Jun-2004,8.20,8.75,8.20,8.45,127000
AKGL,14-Jun-2004,7.50,7.50,7.45,7.50,12500
AKGL,15-Jun-2004,7.30,7.90,7.30,7.75,56500
AKGL,16-Jun-2004,7.40,7.85,7.40,7.85,20000
AKGL,17-Jun-2004,7.85,9.00,7.85,8.40,151000
AKGL,18-Jun-2004,8.80,9.90,8.40,9.90,225500
AKGL,21-Jun-2004,10.40,10.40,9.10,9.10,58500
AKGL,22-Jun-2004,10.00,10.00,8.80,9.00,12500
AKGL,23-Jun-2004,8.70,9.00,8.70,9.00,6000
AKGL,24-Jun-2004,8.85,9.10,8.85,8.95,10500
AKGL,25-Jun-2004,8.80,8.80,8.75,8.75,6500
AKGL,28-Jun-2004,8.75,8.90,8.75,8.75,10000
AKGL,29-Jun-2004,9.90,9.90,9.90,8.75,500
AKGL,30-Jun-2004,8.50,8.50,8.15,8.35,5500
AKGL,01-Jul-2004,9.85,9.85,9.25,9.25,2000
AKGL,05-Jul-2004,8.25,8.25,8.25,8.25,500
AKGL,06-Jul-2004,8.25,8.30,8.25,8.30,4500
