Symbol,Date,Open,High,Low,Close,Volume
AKZO,13-Jul-2012,124.52,124.52,124.52,124.52,563
AKZO,16-Jul-2012,118.30,118.30,118.30,118.30,372
AKZO,17-Jul-2012,112.39,112.39,112.39,112.39,1375
AKZO,18-Jul-2012,106.78,109.98,106.78,106.78,615734
AKZO,19-Jul-2012,105.00,105.49,101.45,101.45,235294
AKZO,20-Jul-2012,100.00,102.69,98.00,100.37,243214
AKZO,23-Jul-2012,100.98,105.38,100.98,103.45,172100
AKZO,24-Jul-2012,103.50,104.00,101.90,102.05,19200
AKZO,25-Jul-2012,101.80,104.30,101.66,102.76,32700
AKZO,26-Jul-2012,103.70,103.75,102.25,102.59,5400
AKZO,27-Jul-2012,102.51,103.00,101.60,101.78,10500
AKZO,30-Jul-2012,102.95,105.45,101.25,104.28,50900
AKZO,31-Jul-2012,103.50,103.97,102.10,102.25,15400
AKZO,01-Aug-2012,103.49,103.49,102.20,102.51,17900
AKZO,02-Aug-2012,101.69,102.80,97.99,98.12,68600
AKZO,03-Aug-2012,99.42,99.42,97.00,97.05,7700
AKZO,06-Aug-2012,98.00,98.00,95.11,95.13,9900
AKZO,07-Aug-2012,95.15,96.00,93.75,94.20,19600
AKZO,08-Aug-2012,94.90,94.90,93.50,94.25,2100
AKZO,09-Aug-2012,94.00,97.00,89.54,89.54,134700
AKZO,10-Aug-2012,86.10,87.50,85.07,85.07,30600
AKZO,13-Aug-2012,83.10,86.99,80.82,82.29,166600
AKZO,15-Aug-2012,81.00,81.40,80.01,80.03,74400
AKZO,16-Aug-2012,81.25,81.70,81.00,81.34,2200
AKZO,23-Aug-2012,83.94,85.40,83.00,85.40,26500
AKZO,24-Aug-2012,86.00,89.67,86.00,89.67,22300
AKZO,27-Aug-2012,93.00,94.13,90.05,92.23,9100
AKZO,28-Aug-2012,91.49,91.50,87.62,87.62,84900
AKZO,29-Aug-2012,83.50,88.00,83.50,85.08,25600
AKZO,30-Aug-2012,85.80,88.49,83.90,88.47,11400
AKZO,31-Aug-2012,90.73,90.73,85.00,85.32,13900
AKZO,03-Sep-2012,87.95,88.00,84.00,87.27,15000
AKZO,04-Sep-2012,85.51,86.75,85.00,85.10,20400
AKZO,05-Sep-2012,84.02,86.40,84.02,86.00,700
AKZO,06-Sep-2012,84.00,84.08,83.00,83.47,10900
AKZO,07-Sep-2012,84.00,84.50,82.10,83.00,4600
AKZO,10-Sep-2012,83.00,83.00,81.00,82.46,23900
AKZO,11-Sep-2012,81.10,82.00,80.61,81.25,12900
AKZO,12-Sep-2012,82.49,83.69,81.51,83.02,4700
