Symbol,Date,Open,High,Low,Close,Volume
ALAC,01-Jan-2003,3.05,3.05,3.05,3.05,2000
ALAC,03-Jan-2003,2.95,2.95,2.95,2.95,500
ALAC,06-Jan-2003,3.00,3.00,3.00,3.00,1000
ALAC,08-Jan-2003,2.90,2.90,2.90,2.90,500
ALAC,10-Jan-2003,2.75,2.75,2.75,2.75,1000
ALAC,14-Jan-2003,2.75,3.15,2.65,3.15,2500
ALAC,17-Jan-2003,3.00,3.00,2.50,2.50,2500
ALAC,29-Jan-2003,2.75,2.75,1.70,1.70,1000
ALAC,03-Feb-2003,1.75,2.00,1.75,1.80,12000
ALAC,04-Feb-2003,2.00,2.00,1.90,1.90,1500
ALAC,20-Feb-2003,2.00,2.00,2.00,2.00,500
ALAC,03-Mar-2003,2.00,2.00,2.00,2.00,500
ALAC,25-Mar-2003,2.00,1.80,1.80,2.00,500
ALAC,01-Apr-2003,2.00,1.80,1.70,1.80,3000
ALAC,02-Apr-2003,1.80,2.25,2.25,2.25,2000
ALAC,03-Apr-2003,2.25,2.35,2.20,2.20,7500
ALAC,07-Apr-2003,2.20,2.00,1.70,2.00,2500
ALAC,08-Apr-2003,2.00,2.35,2.35,2.35,1000
ALAC,09-Apr-2003,2.35,2.20,2.15,2.15,1000
ALAC,14-Apr-2003,2.15,2.20,2.00,2.20,7000
ALAC,15-Apr-2003,2.20,2.25,2.25,2.25,2000
ALAC,16-Apr-2003,2.25,2.35,2.20,2.20,2500
ALAC,22-Apr-2003,2.30,2.30,2.25,2.25,2000
ALAC,24-Apr-2003,2.25,2.25,2.25,2.25,2500
ALAC,02-May-2003,2.90,2.90,2.90,2.90,1000
ALAC,05-May-2003,2.60,2.90,2.60,2.90,6500
ALAC,06-May-2003,2.85,2.85,2.85,2.85,1000
ALAC,07-May-2003,3.00,3.00,2.95,2.95,3500
ALAC,08-May-2003,3.10,3.20,3.10,3.20,5500
ALAC,12-May-2003,3.00,3.00,3.00,3.00,500
ALAC,19-May-2003,3.40,3.50,3.00,3.00,9000
ALAC,20-May-2003,3.10,3.50,3.10,3.50,3500
ALAC,21-May-2003,3.05,3.90,3.05,3.90,4000
ALAC,22-May-2003,4.00,4.50,4.00,4.00,14500
ALAC,23-May-2003,4.10,4.10,3.90,3.90,11500
ALAC,26-May-2003,4.15,4.15,4.15,4.15,2000
ALAC,27-May-2003,3.95,3.95,3.95,3.95,1000
ALAC,30-May-2003,4.05,4.05,4.05,4.05,500
ALAC,03-Jun-2003,3.30,3.30,3.30,3.30,1000
ALAC,06-Jun-2003,3.40,3.40,3.40,3.40,500
ALAC,10-Jun-2003,3.80,3.80,3.80,3.80,500
ALAC,18-Jun-2003,3.75,3.75,3.55,3.55,4500
ALAC,19-Jun-2003,3.70,3.70,3.70,3.70,500
ALAC,20-Jun-2003,4.25,4.25,3.65,3.65,8000
ALAC,23-Jun-2003,3.90,5.15,3.90,5.15,13500
ALAC,24-Jun-2003,4.50,5.00,4.50,4.90,9500
ALAC,25-Jun-2003,4.70,4.80,4.05,4.75,3000
ALAC,27-Jun-2003,4.50,5.90,4.50,5.85,35500
ALAC,30-Jun-2003,5.50,6.20,5.50,6.10,25000
ALAC,01-Jul-2003,6.30,7.05,6.20,7.05,35000
ALAC,02-Jul-2003,7.10,7.95,7.00,7.80,20000
ALAC,03-Jul-2003,8.00,9.25,8.00,8.40,42000
ALAC,04-Jul-2003,9.20,9.25,7.60,8.00,23000
ALAC,07-Jul-2003,7.70,7.70,7.10,7.10,22500
ALAC,08-Jul-2003,6.90,7.50,6.90,7.45,8500
ALAC,09-Jul-2003,7.45,7.45,6.70,6.70,1000
ALAC,10-Jul-2003,7.70,7.70,6.85,6.85,4500
ALAC,11-Jul-2003,6.70,6.85,6.55,6.75,18500
ALAC,14-Jul-2003,6.75,6.75,6.45,6.75,6500
ALAC,15-Jul-2003,6.20,6.20,5.75,5.75,3000
ALAC,18-Jul-2003,6.30,6.35,6.30,6.35,2000
ALAC,21-Jul-2003,6.90,6.90,5.80,5.80,17000
ALAC,22-Jul-2003,6.10,6.50,6.10,6.20,12000
ALAC,23-Jul-2003,6.70,6.70,6.40,6.40,5500
ALAC,24-Jul-2003,6.90,7.05,6.50,6.50,27000
ALAC,25-Jul-2003,6.35,6.35,6.30,6.30,5500
ALAC,28-Jul-2003,6.65,6.75,6.65,6.65,2000
ALAC,29-Jul-2003,7.25,7.25,6.80,6.80,3000
ALAC,30-Jul-2003,6.60,6.60,6.30,6.35,4500
ALAC,01-Aug-2003,5.85,5.85,5.85,5.85,500
ALAC,04-Aug-2003,5.85,6.80,5.85,6.80,3500
ALAC,05-Aug-2003,6.10,6.10,6.10,6.10,1000
ALAC,06-Aug-2003,5.80,6.50,5.80,6.50,7500
ALAC,07-Aug-2003,6.05,6.05,6.00,6.00,1500
ALAC,08-Aug-2003,6.00,6.05,6.00,6.05,1500
ALAC,11-Aug-2003,6.00,6.10,6.00,6.00,10500
ALAC,12-Aug-2003,6.95,7.00,6.20,6.40,4000
ALAC,13-Aug-2003,6.25,6.25,5.60,5.60,1500
ALAC,15-Aug-2003,6.00,6.00,6.00,6.00,10000
ALAC,19-Aug-2003,6.00,6.00,6.00,6.00,1500
ALAC,20-Aug-2003,5.95,5.95,5.95,5.95,500
ALAC,21-Aug-2003,6.05,6.05,6.00,6.00,2000
ALAC,26-Aug-2003,5.05,5.20,5.05,5.20,1000
ALAC,27-Aug-2003,5.20,5.20,5.20,5.20,1000
ALAC,28-Aug-2003,5.00,5.25,5.00,5.25,2000
ALAC,01-Sep-2003,5.45,5.50,5.45,5.45,1500
ALAC,02-Sep-2003,5.10,5.10,5.10,5.10,1500
ALAC,03-Sep-2003,5.45,5.50,5.25,5.25,2500
ALAC,04-Sep-2003,5.25,5.25,5.25,5.25,500
ALAC,05-Sep-2003,5.25,5.25,5.25,5.25,2000
ALAC,08-Sep-2003,4.30,4.65,4.30,4.65,5000
ALAC,09-Sep-2003,4.75,4.75,4.70,4.70,1000
ALAC,10-Sep-2003,4.75,5.25,4.75,5.25,8000
ALAC,12-Sep-2003,5.35,5.40,5.35,5.40,6000
ALAC,23-Sep-2003,4.40,4.40,4.40,4.40,1000
ALAC,24-Sep-2003,4.40,4.40,4.40,4.40,1000
ALAC,29-Sep-2003,3.40,3.40,3.40,3.40,1000
ALAC,15-Oct-2003,2.75,3.50,2.75,3.50,15000
ALAC,17-Oct-2003,3.50,3.50,3.50,3.50,500
ALAC,21-Oct-2003,3.10,3.10,3.10,3.10,500
ALAC,27-Oct-2003,3.55,3.55,3.50,3.50,3000
ALAC,29-Oct-2003,4.60,4.60,4.10,4.10,9500
ALAC,30-Oct-2003,4.05,4.95,4.00,4.00,9500
ALAC,04-Nov-2003,3.75,4.00,3.75,4.00,4500
ALAC,05-Nov-2003,4.55,4.65,4.55,4.65,1500
ALAC,06-Nov-2003,4.50,4.50,4.50,4.50,3000
ALAC,07-Nov-2003,4.25,4.25,4.25,4.25,500
ALAC,10-Nov-2003,4.50,4.50,4.05,4.45,1500
ALAC,11-Nov-2003,4.25,4.45,4.25,4.45,1500
ALAC,12-Nov-2003,4.10,4.10,4.10,4.10,500
ALAC,13-Nov-2003,4.45,4.45,4.45,4.45,500
ALAC,14-Nov-2003,4.40,4.40,4.40,4.40,500
ALAC,25-Nov-2003,4.00,4.00,4.00,4.00,1000
ALAC,10-Dec-2003,4.00,4.30,4.00,4.00,5000
ALAC,17-Dec-2003,3.80,3.80,3.80,4.00,1000
ALAC,22-Dec-2003,4.00,4.00,4.00,4.00,500
ALAC,29-Dec-2003,4.40,4.40,4.40,4.40,500
ALAC,30-Dec-2003,4.45,4.55,4.45,4.50,7500
ALAC,31-Dec-2003,4.25,4.25,4.25,4.25,5000
ALAC,01-Jan-2004,4.45,5.00,4.45,4.55,18000
ALAC,02-Jan-2004,5.00,6.00,5.00,5.70,18000
ALAC,05-Jan-2004,6.05,6.45,5.75,5.95,23500
ALAC,06-Jan-2004,5.75,5.75,5.50,5.50,10500
ALAC,07-Jan-2004,5.90,6.50,5.90,6.50,20500
ALAC,08-Jan-2004,6.75,6.90,6.70,6.80,13000
ALAC,09-Jan-2004,6.15,6.15,6.15,6.15,2000
ALAC,12-Jan-2004,6.65,6.75,6.65,6.75,7500
ALAC,13-Jan-2004,6.30,6.30,6.30,6.30,500
ALAC,14-Jan-2004,7.00,7.00,6.55,6.55,11500
ALAC,15-Jan-2004,7.35,7.45,7.10,7.10,9500
ALAC,16-Jan-2004,7.50,7.50,7.45,7.50,12000
ALAC,19-Jan-2004,7.50,7.50,7.45,7.50,12000
ALAC,20-Jan-2004,7.00,7.00,7.00,7.00,1000
ALAC,21-Jan-2004,7.00,7.25,7.00,7.20,4500
ALAC,22-Jan-2004,6.50,7.05,6.50,7.05,1000
ALAC,23-Jan-2004,7.00,7.00,7.00,7.00,1000
ALAC,27-Jan-2004,6.15,6.15,6.15,6.15,2000
ALAC,28-Jan-2004,6.15,6.15,6.15,6.15,2000
ALAC,30-Jan-2004,6.50,6.50,6.50,6.50,4000
ALAC,06-Feb-2004,6.25,6.25,6.25,6.25,1000
