Symbol,Date,Open,High,Low,Close,Volume
ALCL,07-Jan-2003,1.75,1.75,1.75,1.75,500
ALCL,13-Jan-2003,1.55,1.60,1.55,1.60,2000
ALCL,15-Jan-2003,1.80,1.80,1.75,1.75,5000
ALCL,20-Jan-2003,1.75,1.75,1.75,1.75,1000
ALCL,21-Jan-2003,1.75,1.75,1.75,1.75,1000
ALCL,23-Jan-2003,1.75,1.75,1.75,1.75,5000
ALCL,24-Jan-2003,1.75,1.75,1.75,1.75,2500
ALCL,06-Feb-2003,1.75,1.75,1.75,1.75,500
ALCL,07-Feb-2003,1.75,1.75,1.75,1.75,3500
ALCL,21-Feb-2003,1.75,1.75,1.75,1.75,3000
ALCL,27-Feb-2003,1.75,1.75,1.75,1.75,4000
ALCL,11-Mar-2003,1.75,1.75,1.75,1.75,1000
ALCL,25-Mar-2003,1.75,3.00,1.75,2.90,229500
ALCL,27-Mar-2003,2.90,2.85,2.80,2.85,1500
ALCL,31-Mar-2003,2.85,1.95,1.95,1.95,1000
ALCL,03-Apr-2003,1.95,2.50,2.50,2.50,1000
ALCL,21-Apr-2003,2.90,2.90,2.90,2.90,1000
ALCL,22-Apr-2003,2.00,2.00,1.90,1.90,14000
ALCL,06-May-2003,2.00,2.20,2.00,2.20,2500
ALCL,07-May-2003,2.50,2.50,2.25,2.25,10000
ALCL,08-May-2003,2.05,2.25,2.05,2.05,4000
ALCL,12-May-2003,2.25,2.25,2.25,2.25,2000
ALCL,20-May-2003,2.00,2.00,2.00,2.00,1000
ALCL,22-May-2003,2.30,2.30,2.30,2.30,500
ALCL,26-May-2003,2.40,2.50,2.25,2.50,25000
ALCL,27-May-2003,2.30,2.30,2.30,2.30,5000
ALCL,28-May-2003,2.30,2.30,2.30,2.30,2000
ALCL,30-May-2003,2.30,2.30,2.30,2.30,1000
ALCL,03-Jun-2003,2.75,2.75,2.60,2.65,6500
ALCL,04-Jun-2003,2.25,2.50,2.25,2.50,1000
ALCL,05-Jun-2003,2.50,2.50,2.50,2.50,500
ALCL,06-Jun-2003,2.60,2.60,2.60,2.60,1000
ALCL,09-Jun-2003,2.50,2.55,2.50,2.50,35000
ALCL,10-Jun-2003,2.70,2.75,2.60,2.60,12000
ALCL,11-Jun-2003,2.50,2.50,2.50,2.50,10000
ALCL,13-Jun-2003,2.50,2.50,2.40,2.40,7000
ALCL,16-Jun-2003,2.20,2.30,2.20,2.30,4000
ALCL,20-Jun-2003,2.50,2.50,2.35,2.35,14000
ALCL,25-Jun-2003,2.75,2.75,2.75,2.75,5000
ALCL,04-Jul-2003,2.35,2.45,2.25,2.25,11500
ALCL,08-Jul-2003,2.50,2.50,2.50,2.50,1000
ALCL,09-Jul-2003,2.50,2.80,2.50,2.75,12500
ALCL,10-Jul-2003,2.95,2.95,2.90,2.95,31500
ALCL,11-Jul-2003,3.00,3.25,3.00,3.25,40000
ALCL,14-Jul-2003,3.25,3.25,3.25,3.25,5000
ALCL,15-Jul-2003,3.00,3.00,3.00,3.00,11000
ALCL,16-Jul-2003,3.00,3.00,3.00,3.00,2500
ALCL,17-Jul-2003,3.10,3.10,3.00,3.00,7000
ALCL,18-Jul-2003,3.00,3.15,3.00,3.15,37500
ALCL,22-Jul-2003,3.35,3.50,3.00,3.00,38500
ALCL,23-Jul-2003,3.10,3.10,3.00,3.00,16000
ALCL,24-Jul-2003,3.15,3.90,3.15,3.45,10500
ALCL,25-Jul-2003,3.40,3.85,3.40,3.70,24500
ALCL,28-Jul-2003,3.75,4.00,3.75,3.80,19500
ALCL,29-Jul-2003,3.75,4.00,3.70,3.90,36500
ALCL,30-Jul-2003,3.90,4.50,3.70,4.05,49500
ALCL,31-Jul-2003,4.15,4.15,4.15,4.15,3000
ALCL,01-Aug-2003,4.45,4.70,4.00,4.50,19000
