Symbol,Date,Open,High,Low,Close,Volume
ALNRS,01-Jan-2003,6.05,6.05,6.05,6.05,1500
ALNRS,06-Jan-2003,6.50,7.00,6.50,7.00,1500
ALNRS,17-Jan-2003,7.00,7.00,7.00,7.00,10000
ALNRS,20-Jan-2003,7.00,7.00,7.00,7.00,40000
ALNRS,16-Apr-2003,5.90,5.90,5.90,5.90,500
ALNRS,18-Apr-2003,5.50,5.50,5.50,5.50,500
ALNRS,28-Apr-2003,5.00,5.00,5.00,5.00,2000
ALNRS,29-Apr-2003,4.00,4.00,4.00,5.00,63000
ALNRS,30-Apr-2003,5.15,5.15,5.15,5.00,500
ALNRS,02-May-2003,4.15,4.20,4.15,5.10,60000
ALNRS,05-May-2003,5.50,6.00,5.50,6.00,6000
ALNRS,08-May-2003,6.00,6.50,6.00,6.50,6500
ALNRS,09-May-2003,6.60,6.60,6.60,6.60,5000
ALNRS,12-May-2003,6.50,6.50,6.50,6.50,2000
ALNRS,06-Jun-2003,6.50,6.50,6.50,6.50,1000
ALNRS,09-Jun-2003,6.50,6.50,6.50,6.50,3000
ALNRS,10-Jun-2003,6.50,6.50,6.30,6.30,21000
ALNRS,11-Jun-2003,6.50,7.50,6.50,6.55,6500
ALNRS,12-Jun-2003,6.00,6.00,6.00,6.00,6000
ALNRS,16-Jun-2003,6.00,6.00,6.00,6.00,1000
ALNRS,17-Jun-2003,6.50,6.50,6.50,6.50,16000
ALNRS,18-Jun-2003,7.00,8.00,7.00,8.00,4000
ALNRS,20-Jun-2003,8.00,8.00,7.00,7.00,1500
ALNRS,23-Jun-2003,7.00,7.00,7.00,7.00,1500
ALNRS,24-Jun-2003,6.00,6.00,6.00,6.00,4000
ALNRS,25-Jun-2003,7.00,7.00,6.00,6.50,8000
ALNRS,26-Jun-2003,5.55,5.55,5.50,5.50,1500
ALNRS,27-Jun-2003,5.00,6.50,5.00,5.00,19000
ALNRS,30-Jun-2003,5.30,5.30,5.00,5.00,47500
ALNRS,01-Jul-2003,4.60,5.80,4.60,5.80,21500
ALNRS,02-Jul-2003,6.25,6.25,6.25,6.25,6000
ALNRS,04-Jul-2003,5.50,5.50,5.50,5.50,1000
ALNRS,09-Jul-2003,5.50,5.50,5.30,5.30,17000
ALNRS,10-Jul-2003,5.75,6.00,5.75,6.00,10000
ALNRS,11-Jul-2003,6.25,6.25,6.25,6.25,500
ALNRS,14-Jul-2003,6.25,6.25,6.25,6.25,2000
ALNRS,16-Jul-2003,6.20,6.20,6.20,6.20,2000
ALNRS,24-Jul-2003,6.45,6.50,6.45,6.50,13000
ALNRS,25-Jul-2003,6.80,7.25,6.80,7.25,14000
ALNRS,28-Jul-2003,7.25,7.70,7.25,7.50,39500
ALNRS,29-Jul-2003,7.50,8.00,7.00,7.00,35000
ALNRS,30-Jul-2003,7.45,7.50,7.15,7.15,15500
ALNRS,01-Aug-2003,6.90,6.90,6.90,6.90,2000
ALNRS,08-Aug-2003,6.50,6.50,6.50,6.50,5000
ALNRS,13-Aug-2003,6.00,6.50,6.00,6.00,5500
ALNRS,19-Aug-2003,6.00,6.00,6.00,6.00,2000
ALNRS,20-Aug-2003,6.70,6.70,6.50,6.50,2500
ALNRS,21-Aug-2003,6.50,6.50,6.50,6.50,3000
ALNRS,22-Aug-2003,6.00,6.10,6.00,6.00,7000
ALNRS,25-Aug-2003,6.05,6.05,6.05,6.05,1000
ALNRS,26-Aug-2003,6.05,6.05,6.00,6.00,2500
ALNRS,02-Sep-2003,6.00,6.00,6.00,6.00,500
ALNRS,08-Sep-2003,5.70,5.70,5.25,5.25,10000
ALNRS,15-Sep-2003,6.00,6.00,6.00,6.00,2500
ALNRS,16-Sep-2003,6.00,6.00,5.50,5.50,18000
ALNRS,19-Sep-2003,5.10,5.10,5.10,5.10,500
ALNRS,22-Sep-2003,5.05,5.05,5.00,5.00,10000
ALNRS,23-Sep-2003,4.50,4.50,4.25,4.25,6000
ALNRS,24-Sep-2003,4.75,4.95,4.65,4.65,5500
ALNRS,26-Sep-2003,4.30,4.30,4.25,4.25,5500
ALNRS,15-Oct-2003,3.60,4.00,3.60,4.00,2000
ALNRS,21-Oct-2003,4.20,4.20,4.20,4.20,5000
ALNRS,29-Oct-2003,3.85,3.85,3.85,3.85,3000
ALNRS,31-Oct-2003,4.00,4.00,4.00,4.00,1000
ALNRS,06-Nov-2003,3.80,3.80,3.75,3.75,1500
ALNRS,19-Nov-2003,4.20,4.20,4.20,4.20,1000
ALNRS,25-Nov-2003,4.90,5.00,4.90,5.00,1500
ALNRS,01-Dec-2003,5.00,5.00,5.00,5.00,2000
ALNRS,04-Dec-2003,4.75,4.75,4.75,4.75,500
ALNRS,09-Dec-2003,3.75,3.75,3.75,3.75,500
ALNRS,18-Dec-2003,4.90,4.90,4.90,4.90,500
ALNRS,22-Dec-2003,4.80,4.80,4.80,4.80,1000
ALNRS,23-Dec-2003,3.80,3.80,3.80,3.80,500
ALNRS,31-Dec-2003,4.75,4.80,3.40,3.40,4000
ALNRS,01-Jan-2004,4.65,4.95,4.65,4.70,26000
ALNRS,02-Jan-2004,4.90,4.90,4.90,4.90,3000
ALNRS,05-Jan-2004,4.05,4.05,4.05,4.05,10000
ALNRS,06-Jan-2004,3.25,3.25,3.25,4.05,500
ALNRS,07-Jan-2004,3.60,3.60,3.60,3.60,500
ALNRS,13-Jan-2004,4.85,4.85,4.85,4.85,500
ALNRS,15-Jan-2004,4.25,4.25,4.25,4.85,1500
ALNRS,30-Jan-2004,4.00,5.00,4.00,5.00,33000
ALNRS,06-Feb-2004,5.25,5.25,5.25,5.25,1000
ALNRS,10-Feb-2004,4.20,4.20,4.20,4.20,4000
ALNRS,11-Feb-2004,5.00,5.25,5.00,5.25,4500
ALNRS,12-Feb-2004,4.90,5.25,4.90,5.25,6500
ALNRS,18-Feb-2004,5.10,5.10,5.10,5.10,500
ALNRS,20-Feb-2004,4.50,4.50,4.50,4.50,1000
ALNRS,26-Feb-2004,4.75,4.75,4.75,4.75,5000
ALNRS,27-Feb-2004,4.75,4.75,4.75,4.75,5000
ALNRS,08-Mar-2004,5.00,5.00,4.75,4.75,17500
ALNRS,10-Mar-2004,5.00,5.00,5.00,5.00,500
ALNRS,15-Mar-2004,5.00,5.00,5.00,5.00,1000
ALNRS,16-Mar-2004,5.50,5.50,5.50,5.50,1000
ALNRS,17-Mar-2004,5.95,5.95,5.95,5.95,1000
ALNRS,18-Mar-2004,5.95,6.10,5.95,6.10,1500
ALNRS,19-Mar-2004,6.20,6.20,6.10,6.10,3000
ALNRS,24-Mar-2004,5.75,5.75,5.75,5.75,2500
ALNRS,25-Mar-2004,6.00,6.00,6.00,6.00,1000
ALNRS,26-Mar-2004,6.00,6.00,5.50,5.50,1500
ALNRS,29-Mar-2004,6.10,6.10,5.50,5.50,5000
ALNRS,30-Mar-2004,5.50,5.50,5.45,5.50,26000
ALNRS,31-Mar-2004,5.25,5.25,5.25,5.25,25000
ALNRS,01-Apr-2004,5.25,5.30,5.25,5.25,27000
ALNRS,02-Apr-2004,5.10,5.10,5.10,5.10,500
ALNRS,05-Apr-2004,5.00,5.00,5.00,5.00,500
ALNRS,06-Apr-2004,5.50,5.50,4.00,4.00,13000
ALNRS,08-Apr-2004,5.10,5.10,5.10,5.10,1000
ALNRS,09-Apr-2004,5.15,5.15,5.15,5.15,500
ALNRS,12-Apr-2004,5.35,5.50,5.35,5.40,23500
ALNRS,13-Apr-2004,5.50,5.75,5.50,5.55,6000
ALNRS,14-Apr-2004,5.50,5.50,5.50,5.50,1000
ALNRS,15-Apr-2004,5.60,6.45,5.60,6.30,26500
ALNRS,16-Apr-2004,7.75,7.75,6.60,7.25,58500
ALNRS,19-Apr-2004,7.50,8.00,7.40,7.75,117000
ALNRS,20-Apr-2004,8.00,8.15,7.05,7.50,10000
ALNRS,21-Apr-2004,7.50,7.50,7.15,7.15,14000
ALNRS,22-Apr-2004,7.50,8.60,7.50,8.60,66500
ALNRS,23-Apr-2004,9.05,10.10,9.05,9.75,100000
ALNRS,26-Apr-2004,9.60,10.60,9.60,10.05,95500
ALNRS,27-Apr-2004,10.45,10.45,9.50,9.85,25000
ALNRS,28-Apr-2004,9.95,9.95,9.00,9.00,20000
ALNRS,29-Apr-2004,8.00,8.00,8.00,8.00,500
ALNRS,30-Apr-2004,7.00,8.25,7.00,8.00,8500
ALNRS,04-May-2004,8.25,9.00,8.25,8.50,8000
