Symbol,Date,Open,High,Low,Close,Volume
ALQT,06-Jan-2003,5.50,5.50,5.50,5.50,1000
ALQT,15-Jan-2003,4.50,5.50,4.50,5.50,2000
ALQT,22-Jan-2003,4.50,4.50,4.50,4.50,500
ALQT,23-Jan-2003,5.50,5.50,5.50,5.50,1500
ALQT,27-Mar-2003,5.50,5.10,5.10,5.10,1000
ALQT,02-Apr-2003,5.10,5.00,5.00,5.00,500
ALQT,03-Apr-2003,5.00,4.50,4.50,4.50,1000
ALQT,04-Apr-2003,4.55,5.25,5.25,5.25,2000
ALQT,09-Apr-2003,5.25,5.50,5.00,5.50,1500
ALQT,15-Apr-2003,5.50,5.50,5.50,5.50,3000
ALQT,21-Apr-2003,5.50,5.50,5.50,5.50,500
ALQT,24-Apr-2003,5.50,5.50,5.50,5.50,500
ALQT,29-Apr-2003,5.50,5.50,5.50,5.50,3500
ALQT,12-May-2003,5.50,5.50,5.50,5.50,500
ALQT,14-May-2003,5.25,5.50,5.25,5.50,6000
ALQT,21-May-2003,5.05,5.05,5.05,5.05,500
ALQT,27-May-2003,5.50,5.50,5.50,5.50,500
ALQT,30-May-2003,5.50,5.50,5.50,5.50,500
ALQT,05-Jun-2003,5.50,5.50,5.50,5.50,1000
ALQT,26-Jun-2003,6.45,6.50,6.45,6.45,4000
ALQT,27-Jun-2003,6.50,6.50,6.50,6.50,500
ALQT,03-Jul-2003,6.00,6.00,6.00,6.00,1000
ALQT,08-Jul-2003,5.25,5.25,5.25,5.25,1000
ALQT,18-Jul-2003,5.50,5.50,5.50,5.50,1000
ALQT,23-Jul-2003,5.50,7.00,5.50,7.00,1500
ALQT,24-Jul-2003,7.00,7.00,7.00,7.00,500
ALQT,25-Jul-2003,7.90,7.90,7.90,7.90,500
ALQT,05-Sep-2003,9.40,9.40,9.40,9.40,500
ALQT,12-Sep-2003,8.75,8.75,8.75,8.75,500
ALQT,18-Sep-2003,9.00,9.00,9.00,9.00,1000
ALQT,19-Sep-2003,8.75,8.75,8.75,8.75,500
ALQT,26-Sep-2003,8.50,8.50,8.50,8.50,500
ALQT,29-Sep-2003,8.00,8.00,8.00,8.00,1000
ALQT,06-Oct-2003,8.00,8.00,8.00,8.00,1000
ALQT,04-Dec-2003,9.50,9.50,9.25,9.25,11500
ALQT,05-Dec-2003,8.25,9.50,8.25,8.25,8000
ALQT,23-Dec-2003,8.00,8.00,8.00,8.00,500
ALQT,31-Dec-2003,9.00,9.00,9.00,9.00,500
ALQT,06-Jan-2004,8.10,8.10,8.10,8.10,500
