Symbol,Date,Open,High,Low,Close,Volume
ALTN,02-Jan-2003,4.50,4.50,4.50,4.50,500
ALTN,03-Jan-2003,4.25,4.25,4.25,4.25,500
ALTN,28-Jan-2003,4.50,4.50,4.50,4.50,5000
ALTN,26-May-2003,5.40,5.50,5.40,5.50,5000
ALTN,10-Jun-2003,6.00,6.00,6.00,6.00,5000
ALTN,13-Jun-2003,7.45,7.50,7.45,7.50,6000
ALTN,20-Jun-2003,7.45,7.50,7.45,7.50,7500
ALTN,24-Jun-2003,6.50,6.50,6.50,6.50,2500
ALTN,30-Jun-2003,7.45,8.00,6.10,6.10,24500
ALTN,07-Jul-2003,6.10,6.10,6.10,6.10,500
ALTN,10-Jul-2003,6.25,6.25,6.25,6.25,2500
ALTN,16-Jul-2003,6.50,6.50,6.50,6.50,2500
ALTN,17-Jul-2003,6.50,6.50,6.50,6.50,5000
ALTN,21-Jul-2003,6.10,6.10,6.05,6.05,7500
ALTN,22-Jul-2003,6.15,6.15,6.15,6.15,500
ALTN,31-Jul-2003,6.15,6.15,6.15,6.15,2500
ALTN,20-Aug-2003,5.90,5.90,5.90,5.90,1500
ALTN,25-Aug-2003,5.90,5.90,5.90,5.90,1000
ALTN,29-Aug-2003,6.10,6.10,6.10,6.10,1000
ALTN,03-Sep-2003,6.00,6.00,6.00,6.00,5000
ALTN,05-Sep-2003,6.00,6.00,6.00,6.00,4000
ALTN,08-Sep-2003,6.25,6.25,6.00,6.00,25000
ALTN,09-Sep-2003,6.00,6.20,6.00,6.20,4500
ALTN,10-Sep-2003,6.10,6.25,6.00,6.00,12500
ALTN,11-Sep-2003,6.00,6.00,6.00,6.00,9500
ALTN,19-Sep-2003,6.50,6.50,6.50,6.50,500
ALTN,09-Oct-2003,6.00,6.00,6.00,6.00,1000
ALTN,17-Nov-2003,5.55,5.55,5.10,5.10,10000
ALTN,18-Nov-2003,5.10,6.00,5.10,5.75,14000
ALTN,19-Nov-2003,5.20,6.20,5.20,6.20,1000
ALTN,20-Nov-2003,5.35,5.75,5.35,5.75,3000
ALTN,04-Dec-2003,5.90,7.00,5.90,7.00,567500
ALTN,10-Dec-2003,6.05,6.05,6.05,6.05,2000
ALTN,16-Dec-2003,6.50,6.50,6.50,6.50,500
ALTN,24-Dec-2003,6.25,6.75,6.25,6.30,26500
ALTN,26-Dec-2003,6.95,6.95,6.95,6.95,7000
ALTN,30-Dec-2003,6.75,6.75,6.75,6.75,3000
ALTN,31-Dec-2003,6.15,6.15,6.00,6.00,13500
ALTN,16-Jan-2004,6.25,6.25,6.25,6.25,500
ALTN,19-Jan-2004,6.25,6.25,6.25,6.25,500
ALTN,20-Jan-2004,6.00,6.00,6.00,6.00,2500
ALTN,27-Jan-2004,5.10,5.10,5.10,5.10,500
ALTN,28-Jan-2004,5.10,5.10,5.10,5.10,500
ALTN,29-Jan-2004,5.60,6.50,5.60,6.00,80000
ALTN,30-Jan-2004,6.00,6.00,6.00,6.00,500
ALTN,09-Feb-2004,6.75,6.75,6.75,6.75,10000
ALTN,10-Feb-2004,6.85,6.85,6.85,6.85,1000
ALTN,11-Feb-2004,6.35,7.00,6.35,7.00,14500
