Symbol,Date,Open,High,Low,Close,Volume
AMAT,08-Jan-2004,1.50,1.50,1.50,1.50,4000
AMAT,14-Jan-2004,1.50,2.00,1.50,2.00,3500
AMAT,22-Jan-2004,1.60,1.60,1.60,1.60,2500
AMAT,23-Jan-2004,1.70,1.75,1.70,1.75,2500
AMAT,29-Jan-2004,2.00,2.00,2.00,2.00,3000
AMAT,30-Jan-2004,2.00,2.15,2.00,2.15,4000
AMAT,06-Feb-2004,2.10,2.50,2.10,2.50,10500
AMAT,09-Feb-2004,2.20,2.20,2.20,2.20,1000
AMAT,10-Feb-2004,2.00,2.00,2.00,2.00,1000
AMAT,11-Feb-2004,2.00,2.00,2.00,2.00,1000
AMAT,16-Feb-2004,1.55,1.55,1.55,1.55,7000
AMAT,17-Feb-2004,2.50,2.50,2.50,2.50,1000
AMAT,23-Feb-2004,2.05,2.05,2.05,2.05,1500
AMAT,27-Feb-2004,1.80,1.80,1.80,1.80,5000
AMAT,04-Mar-2004,2.10,2.35,2.10,2.25,5000
AMAT,05-Mar-2004,2.15,2.25,2.15,2.25,5000
AMAT,08-Mar-2004,2.50,2.50,2.45,2.50,36500
AMAT,09-Mar-2004,2.55,2.90,2.55,2.85,42000
AMAT,10-Mar-2004,2.95,3.20,2.80,3.00,59500
AMAT,11-Mar-2004,2.75,2.75,2.70,2.75,10500
AMAT,12-Mar-2004,2.75,2.90,2.65,2.90,14500
AMAT,15-Mar-2004,2.75,2.75,2.75,2.75,1000
AMAT,18-Mar-2004,2.80,2.80,2.80,2.80,500
AMAT,19-Mar-2004,2.35,2.35,2.35,2.35,500
AMAT,22-Mar-2004,2.60,2.60,2.60,2.60,500
AMAT,26-Mar-2004,2.55,2.55,2.55,2.55,500
AMAT,29-Mar-2004,2.50,2.50,2.50,2.50,1000
AMAT,30-Mar-2004,2.65,2.65,2.65,2.50,2000
AMAT,02-Apr-2004,2.60,2.60,2.45,2.45,1000
AMAT,05-Apr-2004,2.40,2.40,2.40,2.40,500
AMAT,06-Apr-2004,2.60,2.70,2.60,2.70,2500
AMAT,07-Apr-2004,2.80,2.80,2.80,2.80,1000
AMAT,09-Apr-2004,2.55,3.45,2.55,3.00,155500
AMAT,12-Apr-2004,3.30,3.35,3.05,3.05,12000
AMAT,13-Apr-2004,3.05,3.05,3.05,3.05,6000
AMAT,14-Apr-2004,3.30,3.30,3.05,3.05,5500
AMAT,21-Apr-2004,3.00,3.00,3.00,2.90,25000
AMAT,22-Apr-2004,2.80,2.80,2.80,2.90,25000
AMAT,28-Apr-2004,2.45,2.45,2.45,2.80,50000
AMAT,29-Apr-2004,2.40,2.40,2.40,2.50,50000
AMAT,30-Apr-2004,2.50,2.50,2.50,2.50,500
AMAT,04-May-2004,2.35,2.35,2.35,2.35,500
AMAT,17-May-2004,1.90,1.90,1.70,1.70,12500
AMAT,18-May-2004,2.00,2.10,2.00,2.10,1500
AMAT,21-May-2004,2.70,3.60,2.45,3.25,57500
AMAT,24-May-2004,2.50,4.10,2.25,3.05,202500
AMAT,25-May-2004,3.65,3.70,3.10,3.25,282500
AMAT,26-May-2004,3.50,3.75,3.35,3.70,221000
AMAT,27-May-2004,3.50,4.45,3.50,4.00,256000
AMAT,28-May-2004,4.20,4.20,3.80,4.00,84000
AMAT,31-May-2004,3.95,4.45,3.80,4.10,57000
AMAT,01-Jun-2004,4.30,5.60,4.30,5.60,325500
AMAT,02-Jun-2004,6.40,6.40,4.95,5.50,136000
AMAT,03-Jun-2004,5.50,5.50,4.50,4.50,77000
AMAT,04-Jun-2004,4.60,4.60,4.25,4.50,10000
AMAT,07-Jun-2004,4.55,4.75,4.50,4.50,8000
