Symbol,Date,Open,High,Low,Close,Volume
AMBL,24-Jan-2005,10.00,11.05,10.00,10.60,16000
AMBL,25-Jan-2005,10.05,10.95,10.05,10.25,15500
AMBL,26-Jan-2005,10.25,10.45,10.05,10.05,21000
AMBL,27-Jan-2005,10.05,10.25,10.05,10.05,10500
AMBL,31-Jan-2005,10.05,10.10,10.05,10.10,18500
AMBL,01-Feb-2005,10.10,10.10,9.70,9.75,2000
AMBL,02-Feb-2005,9.70,9.80,9.70,9.80,1500
AMBL,03-Feb-2005,9.50,10.00,9.50,9.90,37500
AMBL,04-Feb-2005,10.10,10.50,10.10,10.10,22500
AMBL,07-Feb-2005,10.15,10.40,10.15,10.40,34000
AMBL,08-Feb-2005,10.60,11.90,10.40,11.90,251000
AMBL,09-Feb-2005,13.40,13.40,11.05,11.25,204500
AMBL,10-Feb-2005,10.90,11.65,10.90,11.30,35000
AMBL,11-Feb-2005,11.30,11.40,10.85,10.90,54000
AMBL,14-Feb-2005,11.10,11.10,10.45,10.50,47500
AMBL,15-Feb-2005,10.50,10.55,10.35,10.35,18500
AMBL,16-Feb-2005,10.40,11.85,9.50,11.85,277500
AMBL,17-Feb-2005,11.70,13.35,11.60,12.40,302000
AMBL,18-Feb-2005,11.75,12.40,11.75,12.00,36000
AMBL,21-Feb-2005,11.50,12.00,11.00,11.80,37000
AMBL,22-Feb-2005,12.00,12.45,11.65,11.80,32500
AMBL,23-Feb-2005,12.20,12.25,11.50,11.50,24500
AMBL,24-Feb-2005,12.10,12.35,11.30,11.50,36000
AMBL,25-Feb-2005,11.60,12.00,11.60,11.60,59000
AMBL,28-Feb-2005,12.00,12.25,11.70,12.05,60000
AMBL,01-Mar-2005,12.00,13.40,11.75,13.40,47500
AMBL,02-Mar-2005,13.60,13.75,12.40,12.85,124500
AMBL,03-Mar-2005,12.35,12.55,12.25,12.50,18500
AMBL,04-Mar-2005,12.00,12.35,11.75,11.75,2000
AMBL,07-Mar-2005,11.75,12.40,11.75,12.40,6000
AMBL,08-Mar-2005,12.30,12.30,11.60,11.60,1000
AMBL,09-Mar-2005,12.00,12.05,11.75,11.75,9000
AMBL,10-Mar-2005,11.65,12.00,11.65,12.00,22000
AMBL,11-Mar-2005,11.70,12.00,11.70,11.75,9500
AMBL,14-Mar-2005,12.00,12.00,11.60,11.60,17500
AMBL,15-Mar-2005,11.60,11.80,11.60,11.80,10500
AMBL,16-Mar-2005,11.60,11.60,11.10,11.10,10500
AMBL,17-Mar-2005,11.00,11.00,10.10,10.20,31000
AMBL,18-Mar-2005,10.05,10.25,10.00,10.20,10000
AMBL,21-Mar-2005,10.05,10.05,9.50,9.50,3500
AMBL,22-Mar-2005,9.00,9.00,8.50,8.50,9000
AMBL,24-Mar-2005,8.10,8.10,7.50,8.00,12500
AMBL,25-Mar-2005,7.50,7.50,7.50,7.50,500
AMBL,28-Mar-2005,7.50,8.15,7.50,8.10,3000
AMBL,29-Mar-2005,8.00,8.50,8.00,8.50,107500
AMBL,30-Mar-2005,8.55,10.00,8.50,10.00,78000
AMBL,31-Mar-2005,10.00,11.50,10.00,10.00,40500
AMBL,01-Apr-2005,9.70,9.70,9.70,9.70,6000
AMBL,04-Apr-2005,9.50,9.50,9.50,9.50,1500
AMBL,05-Apr-2005,9.55,9.55,9.50,9.50,4000
AMBL,06-Apr-2005,9.50,9.50,9.25,9.25,3500
AMBL,08-Apr-2005,10.00,10.00,10.00,10.00,8000
AMBL,11-Apr-2005,10.00,10.00,9.15,9.25,2500
AMBL,12-Apr-2005,9.00,9.00,9.00,9.00,6500
AMBL,13-Apr-2005,9.00,9.00,9.00,9.00,500
AMBL,15-Apr-2005,9.25,9.25,9.25,9.25,1000
AMBL,18-Apr-2005,9.25,9.25,9.25,9.25,1000
AMBL,19-Apr-2005,9.25,9.45,9.00,9.45,29000
AMBL,20-Apr-2005,9.00,9.00,9.00,9.00,3500
AMBL,21-Apr-2005,9.00,9.30,9.00,9.25,31500
AMBL,25-Apr-2005,9.40,10.50,9.40,10.50,18000
AMBL,26-Apr-2005,9.50,9.50,9.50,9.50,10000
AMBL,27-Apr-2005,9.40,9.50,9.40,9.50,14000
AMBL,28-Apr-2005,9.50,9.50,9.25,9.25,10500
AMBL,29-Apr-2005,9.00,9.95,9.00,9.10,7000
AMBL,02-May-2005,9.00,9.00,9.00,9.00,4500
AMBL,03-May-2005,9.00,9.00,9.00,9.00,36000
AMBL,06-May-2005,8.80,8.80,8.50,8.50,8000
AMBL,09-May-2005,8.50,9.50,8.50,9.50,14000
AMBL,11-May-2005,9.50,10.50,9.50,10.50,9500
AMBL,12-May-2005,11.45,11.45,9.50,9.55,3500
AMBL,13-May-2005,10.00,10.00,10.00,10.00,500
AMBL,16-May-2005,9.10,9.10,9.10,9.10,1000
AMBL,18-May-2005,9.15,9.15,9.10,9.10,7500
AMBL,19-May-2005,9.00,9.00,9.00,9.00,2500
AMBL,20-May-2005,9.00,9.00,9.00,9.00,2000
AMBL,23-May-2005,8.15,8.15,8.15,8.15,5000
AMBL,25-May-2005,8.05,8.05,8.05,8.05,1000
AMBL,27-May-2005,8.00,8.00,8.00,8.00,500
AMBL,30-May-2005,8.00,8.00,8.00,8.00,500
AMBL,31-May-2005,8.00,8.00,8.00,8.00,1000
AMBL,01-Jun-2005,8.05,8.20,8.05,8.20,2000
AMBL,02-Jun-2005,8.10,9.20,8.10,9.20,2000
AMBL,06-Jun-2005,10.00,10.00,10.00,10.00,500
AMBL,07-Jun-2005,8.90,9.85,8.90,9.85,3000
AMBL,08-Jun-2005,8.90,8.90,8.90,8.90,500
AMBL,14-Jun-2005,8.00,8.00,8.00,8.00,500
AMBL,16-Jun-2005,8.05,8.25,8.05,8.25,2500
AMBL,21-Jun-2005,8.85,8.90,8.85,8.90,1500
AMBL,22-Jun-2005,8.20,8.20,8.20,8.20,500
AMBL,27-Jun-2005,8.00,8.00,8.00,8.00,7500
AMBL,29-Jun-2005,8.75,8.75,8.00,8.00,10500
AMBL,30-Jun-2005,8.00,8.00,8.00,8.00,2500
AMBL,01-Jul-2005,8.05,8.05,8.00,8.00,6000
AMBL,04-Jul-2005,8.00,8.05,8.00,8.00,22000
AMBL,06-Jul-2005,7.65,8.00,7.60,7.75,7500
AMBL,12-Jul-2005,8.10,8.50,8.10,8.50,20000
AMBL,18-Jul-2005,8.10,8.10,8.10,8.10,1000
AMBL,21-Jul-2005,8.25,9.10,8.25,8.30,17000
AMBL,22-Jul-2005,8.50,9.30,8.50,8.55,8000
AMBL,27-Jul-2005,8.20,8.20,8.20,8.20,500
