Symbol,Date,Open,High,Low,Close,Volume
AMFL,01-Jan-2004,4.05,4.05,4.05,4.05,1000
AMFL,06-Jan-2004,4.05,4.05,4.05,4.05,5000
AMFL,07-Jan-2004,4.00,4.00,4.00,4.00,3500
AMFL,09-Feb-2004,4.05,4.05,4.05,4.05,6000
AMFL,10-Feb-2004,4.00,4.05,4.00,4.05,2500
AMFL,12-Feb-2004,3.25,3.25,3.05,4.05,1000
AMFL,13-Feb-2004,4.00,4.00,4.00,4.00,3000
AMFL,16-Feb-2004,3.00,3.00,3.00,4.00,500
AMFL,19-Feb-2004,3.00,3.00,3.00,4.00,500
AMFL,20-Feb-2004,4.00,4.00,4.00,4.00,500
AMFL,23-Feb-2004,3.00,3.00,3.00,4.00,500
AMFL,26-Feb-2004,4.00,4.05,4.00,4.05,5500
AMFL,27-Feb-2004,4.05,4.05,4.05,4.05,5500
AMFL,09-Mar-2004,5.00,5.00,5.00,5.00,5500
AMFL,10-Mar-2004,5.00,5.00,5.00,5.00,1500
AMFL,11-Mar-2004,5.00,5.00,5.00,5.00,3500
AMFL,16-Mar-2004,5.00,5.00,5.00,5.00,1000
AMFL,17-Mar-2004,5.00,5.00,5.00,5.00,3000
AMFL,18-Mar-2004,5.30,5.50,5.30,5.50,2000
AMFL,19-Mar-2004,5.30,5.30,5.30,5.30,500
AMFL,29-Mar-2004,5.00,5.00,5.00,5.00,1000
AMFL,08-Apr-2004,6.00,6.50,6.00,6.50,9000
AMFL,23-Apr-2004,4.00,4.00,4.00,4.00,500
AMFL,24-Jun-2004,4.50,4.50,4.50,4.30,2000
AMFL,13-Jul-2004,5.80,5.80,5.80,5.80,2000
AMFL,08-Sep-2004,4.10,4.10,4.10,4.10,500
AMFL,22-Sep-2004,4.10,4.10,4.10,4.10,500
AMFL,28-Sep-2004,4.50,4.50,4.50,4.50,1500
AMFL,05-Oct-2004,4.10,4.10,4.10,4.10,500
AMFL,14-Dec-2004,5.00,5.00,5.00,5.00,1000
AMFL,17-Dec-2004,5.00,5.00,5.00,5.00,500
AMFL,04-Feb-2005,4.95,4.95,4.95,4.95,1000
AMFL,07-Feb-2005,5.00,5.00,5.00,5.00,500
AMFL,05-Apr-2005,5.15,5.15,5.15,5.15,500
AMFL,05-May-2005,4.50,4.50,4.50,4.50,1000
AMFL,17-May-2005,3.00,3.00,3.00,3.00,1000
AMFL,19-May-2005,2.10,2.10,2.10,2.10,1000
AMFL,28-Jun-2005,3.90,3.90,3.90,3.90,1000
AMFL,08-Jul-2005,4.00,4.00,4.00,4.00,2000
AMFL,12-Jul-2005,4.00,4.00,4.00,4.00,1000
AMFL,14-Jul-2005,4.00,4.00,4.00,4.00,500
AMFL,08-Aug-2005,4.00,4.00,4.00,4.00,1000
AMFL,24-Aug-2005,4.00,4.00,4.00,4.00,500
AMFL,29-Aug-2005,4.25,4.25,3.95,3.95,1000
AMFL,30-Aug-2005,4.00,4.00,3.90,3.90,1000
AMFL,31-Aug-2005,4.00,4.00,4.00,4.00,20000
AMFL,14-Sep-2005,3.25,3.25,3.25,3.25,500
AMFL,20-Sep-2005,3.00,3.00,3.00,3.00,500
AMFL,14-Oct-2005,4.00,4.00,4.00,4.00,500
AMFL,10-Nov-2005,4.00,4.00,4.00,4.00,1000
AMFL,11-Nov-2005,4.00,4.00,4.00,4.00,500
AMFL,15-Nov-2005,4.50,4.50,4.50,4.50,500
AMFL,16-Nov-2005,4.50,4.50,4.00,4.00,10000
AMFL,28-Nov-2005,3.75,4.00,3.75,4.00,11000
AMFL,29-Nov-2005,4.25,4.50,4.25,4.50,17500
AMFL,30-Nov-2005,4.00,4.00,4.00,4.00,2500
AMFL,02-Dec-2005,4.35,4.35,4.35,4.35,5000
AMFL,06-Dec-2005,4.50,4.75,4.50,4.75,20500
AMFL,07-Dec-2005,4.95,5.05,4.95,5.05,3000
AMFL,08-Dec-2005,6.00,6.05,6.00,6.05,10000
AMFL,09-Dec-2005,6.70,6.70,6.00,6.25,11000
AMFL,12-Dec-2005,5.75,6.00,5.75,6.00,6500
AMFL,13-Dec-2005,6.00,6.00,6.00,6.00,500
AMFL,14-Dec-2005,5.50,6.00,5.50,6.00,2000
AMFL,20-Dec-2005,5.95,6.00,5.95,6.00,4000
AMFL,21-Dec-2005,5.95,5.95,5.95,5.95,500
AMFL,22-Dec-2005,6.00,6.00,6.00,6.00,5000
AMFL,23-Dec-2005,6.10,6.10,6.10,6.10,5000
AMFL,27-Dec-2005,6.00,6.00,6.00,6.00,1500
AMFL,02-Jan-2006,6.15,7.00,6.15,7.00,4500
AMFL,05-Jan-2006,7.00,7.00,7.00,7.00,1000
AMFL,06-Jan-2006,7.00,7.00,7.00,7.00,1500
AMFL,18-Jan-2006,7.00,7.00,7.00,7.00,500
AMFL,27-Jan-2006,7.10,7.10,7.10,7.10,500
AMFL,10-Feb-2006,7.10,7.10,7.10,7.10,1000
AMFL,14-Feb-2006,6.10,6.10,6.10,6.10,500
AMFL,15-Feb-2006,5.80,5.80,5.10,5.10,1000
AMFL,17-Feb-2006,5.70,5.70,5.70,5.70,500
AMFL,20-Feb-2006,6.00,6.00,6.00,6.00,1000
AMFL,22-Feb-2006,7.00,7.00,7.00,7.00,2000
AMFL,23-Feb-2006,7.50,7.50,7.50,7.50,500
AMFL,28-Feb-2006,7.50,7.50,7.50,7.50,500
AMFL,20-Mar-2006,7.50,7.50,7.50,7.50,500
AMFL,21-Mar-2006,7.50,7.60,7.50,7.60,500
AMFL,22-Mar-2006,7.50,7.50,7.50,7.50,500
AMFL,27-Mar-2006,7.90,7.90,7.50,7.50,1500
AMFL,05-Apr-2006,8.00,8.00,8.00,8.00,500
AMFL,06-Apr-2006,8.00,8.00,8.00,8.00,1000
AMFL,07-Apr-2006,8.00,8.00,8.00,8.00,1000
AMFL,19-Apr-2006,8.00,8.00,7.90,7.90,1500
AMFL,20-Apr-2006,7.50,7.50,7.50,7.50,1000
AMFL,21-Apr-2006,7.50,7.50,7.50,7.50,2500
AMFL,24-Apr-2006,7.50,7.50,7.50,7.50,1000
AMFL,25-Apr-2006,7.50,7.50,7.50,7.50,1000
AMFL,16-May-2006,6.50,6.50,6.50,6.50,500
AMFL,13-Oct-2006,6.00,6.00,6.00,6.00,2500
AMFL,28-Feb-2007,7.00,7.00,7.00,7.00,1000
AMFL,06-Apr-2007,7.50,7.50,7.50,7.50,1000
AMFL,31-May-2007,6.60,6.60,6.60,6.60,500
AMFL,04-Jun-2007,6.75,6.75,6.75,6.75,500
AMFL,29-Jun-2007,7.00,7.00,7.00,7.00,1000
AMFL,11-Sep-2007,6.00,6.00,6.00,6.00,1000
AMFL,12-Sep-2007,7.00,7.00,7.00,7.00,1000
AMFL,11-Mar-2008,6.75,6.75,6.75,6.75,500
AMFL,12-Mar-2008,6.50,6.50,6.00,6.00,2500
AMFL,08-Apr-2008,7.00,7.00,7.00,7.00,1000
AMFL,15-Apr-2008,7.00,7.00,7.00,7.00,1500
AMFL,16-Apr-2008,7.00,7.00,6.90,7.00,50500
AMFL,17-Apr-2008,8.00,8.00,8.00,8.00,2500
AMFL,18-Apr-2008,8.35,9.00,8.35,9.00,3000
AMFL,21-Apr-2008,8.30,8.30,8.30,8.30,500
AMFL,22-Apr-2008,9.30,9.30,8.00,9.30,2500
AMFL,23-Apr-2008,8.70,10.00,8.70,10.00,15500
AMFL,24-Apr-2008,10.00,10.00,9.00,9.00,37000
AMFL,28-Apr-2008,8.91,8.91,8.91,8.91,1000
AMFL,07-Jul-2008,8.91,8.91,8.91,8.91,114000
AMFL,08-Jul-2008,8.91,8.91,8.91,8.91,2500
AMFL,09-Jul-2008,8.91,8.91,8.91,8.91,3000
AMFL,11-Jul-2008,8.91,8.91,8.91,8.91,6500
AMFL,14-Jul-2008,8.91,8.91,8.91,8.91,500
AMFL,16-Jul-2008,8.91,8.91,8.91,8.91,5000
AMFL,18-Jul-2008,8.91,8.91,8.91,8.91,1500
AMFL,21-Jul-2008,8.91,8.91,8.91,8.91,1000
AMFL,23-Jul-2008,8.91,8.91,8.91,8.91,1000
AMFL,28-Jul-2008,8.91,8.91,8.91,8.91,20500
AMFL,29-Jul-2008,8.91,8.91,8.91,8.91,5000
AMFL,01-Aug-2008,8.91,8.91,8.91,8.91,3500
AMFL,05-Aug-2008,8.91,8.91,8.91,8.91,3000
AMFL,11-Aug-2008,8.91,8.91,8.91,8.91,3500
AMFL,12-Aug-2008,8.91,8.91,8.91,8.91,3500
AMFL,18-Aug-2008,8.91,8.91,8.91,8.91,6000
AMFL,19-Aug-2008,8.91,8.91,8.91,8.91,1500
AMFL,20-Aug-2008,8.91,8.91,8.91,8.91,1000
AMFL,25-Aug-2008,8.91,8.91,8.91,8.91,1000
AMFL,27-Aug-2008,8.91,8.91,8.91,8.91,500
AMFL,02-Sep-2008,8.91,8.91,8.91,8.91,6500
AMFL,03-Sep-2008,8.91,8.91,8.91,8.91,11000
AMFL,04-Sep-2008,8.91,8.91,8.91,8.91,9000
