Symbol,Date,Open,High,Low,Close,Volume
AMSL,01-Jan-2003,6.95,6.95,6.40,6.40,6000
AMSL,02-Jan-2003,7.00,7.00,6.50,6.50,2500
AMSL,03-Jan-2003,7.00,7.00,7.00,7.00,3000
AMSL,06-Jan-2003,7.00,7.00,6.75,6.90,15000
AMSL,07-Jan-2003,6.95,7.70,6.75,6.75,13000
AMSL,08-Jan-2003,6.30,7.25,6.30,7.10,15500
AMSL,09-Jan-2003,7.25,7.55,7.25,7.50,17500
AMSL,10-Jan-2003,7.00,7.50,7.00,7.25,4500
AMSL,13-Jan-2003,6.60,7.15,6.60,7.15,2000
AMSL,14-Jan-2003,7.00,7.10,7.00,7.10,1000
AMSL,15-Jan-2003,7.10,7.10,7.00,7.05,6000
AMSL,16-Jan-2003,7.00,7.00,6.85,6.85,5500
AMSL,17-Jan-2003,7.00,7.00,7.00,7.00,500
AMSL,20-Jan-2003,7.00,7.00,7.00,7.00,500
AMSL,21-Jan-2003,7.60,7.60,7.00,7.00,8000
AMSL,22-Jan-2003,7.60,7.85,7.00,7.85,20500
AMSL,23-Jan-2003,7.10,7.15,7.05,7.15,1500
AMSL,27-Jan-2003,7.45,7.45,7.45,7.45,2500
AMSL,28-Jan-2003,7.25,7.50,7.25,7.35,8500
AMSL,29-Jan-2003,7.55,7.90,7.35,7.90,9500
AMSL,30-Jan-2003,7.10,7.90,7.10,7.90,7000
AMSL,31-Jan-2003,7.05,9.40,7.05,9.40,513000
AMSL,03-Feb-2003,8.40,10.90,8.40,10.90,52000
AMSL,04-Feb-2003,11.50,12.40,11.50,12.15,16000
AMSL,06-Feb-2003,13.60,13.65,13.10,13.65,15000
AMSL,07-Feb-2003,12.65,15.10,12.65,15.00,13500
AMSL,10-Feb-2003,14.50,16.50,14.50,16.50,7500
AMSL,17-Feb-2003,16.25,18.00,15.50,18.00,8000
AMSL,18-Feb-2003,19.50,19.50,18.05,19.50,12500
AMSL,19-Feb-2003,21.00,21.00,18.50,18.50,5000
AMSL,20-Feb-2003,20.00,20.00,17.60,19.00,6500
AMSL,21-Feb-2003,18.50,18.50,18.00,18.05,3000
AMSL,24-Feb-2003,17.05,17.05,17.05,17.05,500
AMSL,03-Mar-2003,14.35,15.95,14.35,14.35,9000
AMSL,04-Mar-2003,14.35,15.85,13.35,15.85,15500
AMSL,05-Mar-2003,14.85,16.25,14.85,16.25,10000
AMSL,07-Mar-2003,15.25,15.50,14.25,15.00,11000
AMSL,10-Mar-2003,15.00,14.25,14.00,14.00,1000
AMSL,11-Mar-2003,14.00,15.50,13.50,15.50,16000
AMSL,17-Mar-2003,15.00,16.50,15.00,16.50,10000
AMSL,18-Mar-2003,15.95,15.00,14.95,14.95,3500
AMSL,19-Mar-2003,14.95,14.45,14.10,14.45,3000
AMSL,20-Mar-2003,14.45,15.95,15.00,15.00,11000
AMSL,24-Mar-2003,16.00,16.50,15.50,16.50,6500
AMSL,25-Mar-2003,16.50,16.50,15.75,16.50,4500
AMSL,26-Mar-2003,16.50,16.75,16.75,16.75,2000
AMSL,27-Mar-2003,16.75,16.50,16.50,16.50,1000
AMSL,28-Mar-2003,16.50,16.45,16.00,16.45,3000
AMSL,31-Mar-2003,16.00,17.95,16.00,17.95,2000
AMSL,01-Apr-2003,16.95,16.95,16.95,17.95,500
AMSL,02-Apr-2003,17.50,16.55,16.50,16.50,2000
AMSL,03-Apr-2003,15.50,15.50,15.50,15.50,1500
AMSL,04-Apr-2003,15.50,15.00,14.50,14.50,1000
AMSL,07-Apr-2003,14.50,15.50,13.50,13.50,18500
AMSL,08-Apr-2003,13.50,15.00,13.00,13.00,6500
AMSL,09-Apr-2003,13.00,14.50,13.50,14.50,3000
AMSL,10-Apr-2003,14.50,16.00,14.55,16.00,2000
AMSL,11-Apr-2003,16.00,17.50,15.00,17.50,7500
AMSL,14-Apr-2003,17.50,19.00,16.50,18.00,9000
AMSL,15-Apr-2003,18.00,19.50,17.00,17.00,6000
AMSL,16-Apr-2003,18.15,18.50,16.00,16.00,4000
AMSL,17-Apr-2003,16.00,16.15,16.10,16.10,1500
AMSL,18-Apr-2003,15.50,15.50,15.10,15.10,2500
AMSL,21-Apr-2003,15.75,15.75,14.10,14.10,16000
AMSL,22-Apr-2003,14.00,14.00,13.10,13.10,4000
AMSL,23-Apr-2003,14.55,14.60,14.55,14.60,3500
AMSL,24-Apr-2003,15.00,16.10,14.50,14.50,9000
