Symbol,Date,Open,High,Low,Close,Volume
AMTEX,13-Apr-2010,13.00,13.00,12.00,12.31,1809813
AMTEX,14-Apr-2010,12.39,13.00,12.08,12.82,1790360
AMTEX,15-Apr-2010,12.82,13.00,12.75,12.83,1417707
AMTEX,16-Apr-2010,12.95,12.95,12.45,12.47,1182203
AMTEX,19-Apr-2010,12.69,12.69,12.00,12.06,532435
AMTEX,20-Apr-2010,12.50,12.50,12.11,12.18,845891
AMTEX,21-Apr-2010,12.38,12.38,11.50,11.94,558650
AMTEX,22-Apr-2010,12.15,12.94,12.05,12.92,5713897
AMTEX,23-Apr-2010,13.00,13.92,12.95,13.92,8660730
AMTEX,26-Apr-2010,14.15,14.29,13.51,13.85,3793562
AMTEX,27-Apr-2010,13.80,13.85,13.35,13.57,1661680
AMTEX,28-Apr-2010,13.74,13.74,12.80,12.97,1531550
AMTEX,29-Apr-2010,13.00,13.60,11.97,12.14,3355942
AMTEX,30-Apr-2010,12.05,12.30,11.20,11.29,694134
AMTEX,03-May-2010,11.35,11.55,10.81,10.95,387043
AMTEX,04-May-2010,11.24,11.44,10.55,11.13,698884
AMTEX,05-May-2010,11.35,11.50,11.00,11.06,461560
AMTEX,06-May-2010,11.35,11.40,11.18,11.28,754365
AMTEX,07-May-2010,11.16,11.21,10.75,10.79,248392
AMTEX,10-May-2010,11.00,11.15,10.70,10.83,232067
AMTEX,11-May-2010,11.00,11.08,10.25,10.36,323945
AMTEX,12-May-2010,10.59,10.95,10.10,10.48,346455
AMTEX,13-May-2010,10.68,10.70,10.30,10.53,220480
AMTEX,14-May-2010,10.79,10.79,10.40,10.52,281387
AMTEX,17-May-2010,10.70,10.80,10.15,10.56,211853
AMTEX,18-May-2010,10.35,10.48,10.10,10.33,193100
AMTEX,19-May-2010,10.50,10.50,10.00,10.34,213973
AMTEX,20-May-2010,10.10,10.30,9.85,10.19,221695
AMTEX,21-May-2010,9.90,10.25,9.50,10.07,463519
AMTEX,24-May-2010,9.71,10.00,9.50,9.63,134227
AMTEX,25-May-2010,9.75,9.89,8.63,9.06,337380
AMTEX,26-May-2010,9.44,9.44,8.50,9.03,354758
AMTEX,27-May-2010,9.00,9.00,8.05,8.13,849098
AMTEX,28-May-2010,8.25,8.43,7.65,8.30,287062
AMTEX,31-May-2010,8.55,8.55,7.71,7.91,61107
AMTEX,01-Jun-2010,8.40,8.40,7.51,7.99,167298
AMTEX,02-Jun-2010,8.39,8.54,7.80,8.34,143270
